Time,Detroit,Score,Oklahoma City,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:54.0,Turnover by A. Thompson (lost ball; steal by S. Gilgeous-Alexander),58-68, ,,3,58,68,-10,1626.0
8:51.0, ,58-68,Personal foul by A. Thompson (drawn by S. Gilgeous-Alexander),,3,58,68,-10,1629.0
8:36.0, ,58-68,Turnover by C. Holmgren (traveling),,3,58,68,-10,1644.0
8:25.0,Def 3 sec tech foul by Team,58-68, ,,3,58,68,-10,1655.0
8:25.0,C. Cunningham misses technical free throw,58-68, ,,3,58,68,-10,1655.0
8:25.0,Offensive rebound by Team,58-68, ,,3,58,68,-10,1655.0
8:13.0,I. Stewart misses 2-pt layup from 2 ft (block by C. Holmgren),58-68, ,,3,58,68,-10,1667.0
8:11.0, ,58-68,Defensive rebound by C. Holmgren,,3,58,68,-10,1669.0
7:55.0, ,58-70,J. Williams makes 2-pt jump shot from 11 ft,,3,58,70,-12,1685.0
7:45.0,A. Thompson makes 2-pt dunk from 2 ft (assist by K. Hayes),60-70, ,,3,60,70,-10,1695.0
7:35.0, ,60-70,Personal foul by K. Hayes (drawn by J. Williams),,3,60,70,-10,1705.0
7:30.0, ,60-72,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,,3,60,72,-12,1710.0
7:20.0,Turnover by C. Cunningham (palming),60-72, ,,3,60,72,-12,1720.0
7:09.0, ,60-74,S. Gilgeous-Alexander makes 2-pt jump shot from 10 ft,,3,60,74,-14,1731.0
6:53.0,Turnover by C. Cunningham (bad pass; steal by L. Dort),60-74, ,,3,60,74,-14,1747.0
6:48.0, ,60-74,Oklahoma City full timeout,,3,60,74,-14,1752.0
6:41.0, ,60-76,J. Williams makes 2-pt dunk from 1 ft,,3,60,76,-16,1759.0
6:25.0,Personal foul by C. Holmgren (drawn by J. Duren),60-76, ,,3,60,76,-16,1775.0
6:18.0,Turnover by C. Cunningham (bad pass; steal by S. Gilgeous-Alexander),60-76, ,,3,60,76,-16,1782.0
6:13.0, ,60-76,Shooting foul by I. Stewart (drawn by J. Williams),,3,60,76,-16,1787.0
6:13.0, ,60-77,J. Williams makes free throw 1 of 2,,3,60,77,-17,1787.0
6:13.0, ,60-78,J. Williams makes free throw 2 of 2,,3,60,78,-18,1787.0
5:57.0,J. Duren makes 2-pt layup from 1 ft (assist by A. Thompson),62-78, ,,3,62,78,-16,1803.0
5:47.0, ,62-78,L. Dort misses 3-pt jump shot from 23 ft,,3,62,78,-16,1813.0
5:45.0,Defensive rebound by Team,62-78, ,,3,62,78,-16,1815.0
5:45.0, ,62-78,Loose ball foul by C. Holmgren (drawn by I. Stewart),,3,62,78,-16,1815.0
5:45.0, ,62-78,O. Sarr enters the game for C. Holmgren,,3,62,78,-16,1815.0
5:33.0, ,62-78,Instant Replay (Challenge: Ruling Stands),,3,62,78,-16,1827.0
5:33.0,I. Stewart misses 2-pt layup from 1 ft (block by J. Giddey),62-78, ,,3,62,78,-16,1827.0
5:33.0, ,62-78,Defensive rebound by Team,,3,62,78,-16,1827.0
5:23.0, ,62-78,S. Gilgeous-Alexander misses 2-pt layup from 8 ft (block by A. Thompson),,3,62,78,-16,1837.0
5:20.0,Defensive rebound by A. Thompson,62-78, ,,3,62,78,-16,1840.0
5:17.0,A. Thompson makes 2-pt layup at rim,64-78, ,,3,64,78,-14,1843.0
5:09.0, ,64-78,Shooting foul by J. Duren (drawn by O. Sarr),,3,64,78,-14,1851.0
5:09.0, ,64-78,O. Sarr misses free throw 1 of 2,,3,64,78,-14,1851.0
5:09.0, ,64-78,Offensive rebound by Team,,3,64,78,-14,1851.0
5:09.0, ,64-79,O. Sarr makes free throw 2 of 2,,3,64,79,-15,1851.0
5:00.0,Personal foul by L. Dort (drawn by C. Cunningham),64-79, ,,3,64,79,-15,1860.0
4:56.0,C. Cunningham misses 3-pt jump shot from 26 ft,64-79, ,,3,64,79,-15,1864.0
4:52.0, ,64-79,Defensive rebound by L. Dort,,3,64,79,-15,1868.0
4:43.0, ,64-79,J. Giddey misses 3-pt jump shot from 25 ft,,3,64,79,-15,1877.0
4:42.0, ,64-79,Offensive rebound by Team,,3,64,79,-15,1878.0
4:42.0,Loose ball foul by J. Duren (drawn by O. Sarr),64-79, ,,3,64,79,-15,1878.0
4:42.0, ,64-79,O. Sarr misses free throw 1 of 2,,3,64,79,-15,1878.0
4:42.0,M. Bagley enters the game for C. Cunningham,64-79, ,,3,64,79,-15,1878.0
4:42.0,A. Burks enters the game for J. Duren,64-79, ,,3,64,79,-15,1878.0
4:42.0,J. Ivey enters the game for K. Hayes,64-79, ,,3,64,79,-15,1878.0
4:42.0, ,64-79,D. Bertāns enters the game for J. Giddey,,3,64,79,-15,1878.0
4:42.0, ,64-79,I. Joe enters the game for J. Williams,,3,64,79,-15,1878.0
4:42.0, ,64-80,O. Sarr makes free throw 2 of 2,,3,64,80,-16,1878.0
4:26.0,Shooting foul by O. Sarr (drawn by I. Stewart),64-80, ,,3,64,80,-16,1894.0
4:26.0,I. Stewart makes free throw 1 of 2,65-80, ,,3,65,80,-15,1894.0
4:26.0,I. Stewart makes free throw 2 of 2,66-80, ,,3,66,80,-14,1894.0
4:16.0, ,66-80,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,,3,66,80,-14,1904.0
4:13.0,Defensive rebound by Team,66-80, ,,3,66,80,-14,1907.0
4:13.0,M. Sasser enters the game for I. Stewart,66-80, ,,3,66,80,-14,1907.0
3:57.0,A. Burks misses 2-pt jump shot from 5 ft,66-80, ,,3,66,80,-14,1923.0
3:51.0,Offensive rebound by A. Thompson,66-80, ,,3,66,80,-14,1929.0
3:46.0,A. Thompson misses 2-pt jump shot from 3 ft (block by L. Dort),66-80, ,,3,66,80,-14,1934.0
3:46.0, ,66-80,Defensive rebound by O. Sarr,,3,66,80,-14,1934.0
3:40.0, ,66-80,Turnover by S. Gilgeous-Alexander (lost ball; steal by M. Sasser),,3,66,80,-14,1940.0
3:34.0,Detroit full timeout,66-80, ,,3,66,80,-14,1946.0
3:34.0,J. Harris enters the game for A. Thompson,66-80, ,,3,66,80,-14,1946.0
3:34.0, ,66-80,C. Wallace enters the game for L. Dort,,3,66,80,-14,1946.0
3:27.0,J. Harris misses 2-pt jump shot from 4 ft (block by O. Sarr),66-80, ,,3,66,80,-14,1953.0
3:25.0, ,66-80,Defensive rebound by S. Gilgeous-Alexander,,3,66,80,-14,1955.0
3:20.0, ,66-80,Turnover by S. Gilgeous-Alexander (traveling),,3,66,80,-14,1960.0
3:11.0,J. Ivey makes 3-pt jump shot from 27 ft (assist by M. Sasser),69-80, ,,3,69,80,-11,1969.0
2:58.0, ,69-82,S. Gilgeous-Alexander makes 2-pt layup from 5 ft,,3,69,82,-13,1982.0
2:40.0,A. Burks makes 3-pt jump shot from 24 ft (assist by J. Ivey),72-82, ,,3,72,82,-10,2000.0
2:24.0, ,72-82,Turnover by I. Joe (traveling),,3,72,82,-10,2016.0
2:11.0,J. Ivey makes 3-pt jump shot from 26 ft,75-82, ,,3,75,82,-7,2029.0
1:55.0, ,75-85,I. Joe makes 3-pt jump shot from 23 ft (assist by O. Sarr),,3,75,85,-10,2045.0
1:37.0,M. Sasser misses 2-pt jump shot from 9 ft,75-85, ,,3,75,85,-10,2063.0
1:32.0,Offensive rebound by J. Ivey,75-85, ,,3,75,85,-10,2068.0
1:31.0,J. Ivey misses 2-pt jump shot from 14 ft,75-85, ,,3,75,85,-10,2069.0
1:31.0, ,75-85,Defensive rebound by Team,,3,75,85,-10,2069.0
1:31.0, ,75-85,C. Holmgren enters the game for O. Sarr,,3,75,85,-10,2069.0
1:21.0, ,75-85,Personal foul by J. Ivey (drawn by S. Gilgeous-Alexander),,3,75,85,-10,2079.0
1:21.0, ,75-86,S. Gilgeous-Alexander makes free throw 1 of 2,,3,75,86,-11,2079.0
1:21.0, ,75-87,S. Gilgeous-Alexander makes free throw 2 of 2,,3,75,87,-12,2079.0
0:59.0,M. Bagley makes 2-pt jump shot from 5 ft,77-87, ,,3,77,87,-10,2101.0
0:59.0,Shooting foul by C. Holmgren (drawn by M. Bagley),77-87, ,,3,77,87,-10,2101.0
0:59.0, ,77-87,J. Williams enters the game for C. Holmgren,,3,77,87,-10,2101.0
0:59.0,M. Bagley misses free throw 1 of 1,77-87, ,,3,77,87,-10,2101.0
0:58.0, ,77-87,Defensive rebound by J. Williams,,3,77,87,-10,2102.0
0:53.0, ,77-89,J. Williams makes 2-pt layup from 1 ft,,3,77,89,-12,2107.0
0:33.0,Personal foul by J. Williams (drawn by J. Ivey),77-89, ,,3,77,89,-12,2127.0
0:33.0,J. Ivey makes free throw 1 of 2,78-89, ,,3,78,89,-11,2127.0
0:33.0,I. Stewart enters the game for M. Bagley,78-89, ,,3,78,89,-11,2127.0
0:33.0,J. Ivey makes free throw 2 of 2,79-89, ,,3,79,89,-10,2127.0
0:26.0, ,79-91,S. Gilgeous-Alexander makes 2-pt dunk from 1 ft,,3,79,91,-12,2134.0
0:04.0,A. Burks misses 2-pt layup from 3 ft,79-91, ,,3,79,91,-12,2156.0
0:01.0, ,79-91,Defensive rebound by C. Wallace,,3,79,91,-12,2159.0
0:00.0,End of 3rd quarter,79-91,,,3,79,91,-12,2160.0
12:00.0,Start of 4th quarter,79-91,,,4,79,91,-12,2160.0
11:49.0,Offensive foul by J. Harris (drawn by O. Dieng),79-91, ,,4,79,91,-12,2171.0
11:49.0,Turnover by J. Harris (offensive foul),79-91, ,,4,79,91,-12,2171.0
11:40.0, ,79-91,Personal foul by A. Burks (drawn by J. Giddey),,4,79,91,-12,2180.0
11:40.0,C. Cunningham enters the game for J. Harris,79-91, ,,4,79,91,-12,2180.0
11:34.0, ,79-94,O. Dieng makes 3-pt jump shot from 25 ft (assist by J. Williams),,4,79,94,-15,2186.0
11:19.0,J. Ivey makes 3-pt jump shot from 27 ft (assist by A. Burks),82-94, ,,4,82,94,-12,2201.0
11:08.0, ,82-94,J. Williams misses 2-pt jump shot from 18 ft,,4,82,94,-12,2212.0
11:05.0,Defensive rebound by M. Sasser,82-94, ,,4,82,94,-12,2215.0
10:56.0,J. Ivey misses 2-pt jump shot from 3 ft,82-94, ,,4,82,94,-12,2224.0
10:54.0, ,82-94,Defensive rebound by C. Wallace,,4,82,94,-12,2226.0
10:50.0, ,82-96,J. Giddey makes 2-pt layup from 2 ft (assist by C. Wallace),,4,82,96,-14,2230.0
10:31.0,C. Cunningham misses 2-pt jump shot from 16 ft,82-96, ,,4,82,96,-14,2249.0
10:28.0, ,82-96,Defensive rebound by J. Giddey,,4,82,96,-14,2252.0
10:14.0, ,82-96,J. Giddey misses 2-pt layup from 3 ft,,4,82,96,-14,2266.0
10:13.0, ,82-96,Offensive rebound by O. Dieng,,4,82,96,-14,2267.0
10:11.0, ,82-99,J. Williams makes 3-pt jump shot from 25 ft (assist by O. Dieng),,4,82,99,-17,2269.0
10:09.0,Detroit full timeout,82-99, ,,4,82,99,-17,2271.0
10:09.0,J. Duren enters the game for M. Bagley,82-99, ,,4,82,99,-17,2271.0
9:53.0,C. Cunningham misses 2-pt layup from 2 ft,82-99, ,,4,82,99,-17,2287.0
9:52.0, ,82-99,Defensive rebound by J. Giddey,,4,82,99,-17,2288.0
9:48.0, ,82-99,Shooting foul by M. Sasser (drawn by C. Wallace),,4,82,99,-17,2292.0
9:48.0, ,82-100,C. Wallace makes free throw 1 of 2,,4,82,100,-18,2292.0
9:48.0, ,82-101,C. Wallace makes free throw 2 of 2,,4,82,101,-19,2292.0
9:33.0,J. Ivey makes 2-pt jump shot from 12 ft (assist by A. Burks),84-101, ,,4,84,101,-17,2307.0
9:13.0, ,84-103,J. Giddey makes 2-pt jump shot from 8 ft (assist by O. Dieng),,4,84,103,-19,2327.0
9:02.0,M. Sasser misses 2-pt jump shot from 17 ft,84-103, ,,4,84,103,-19,2338.0
8:58.0, ,84-103,Defensive rebound by O. Sarr,,4,84,103,-19,2342.0
8:49.0, ,84-103,J. Giddey misses 2-pt jump shot at rim,,4,84,103,-19,2351.0
8:46.0, ,84-103,Offensive rebound by J. Giddey,,4,84,103,-19,2354.0
8:46.0, ,84-105,J. Giddey makes 2-pt layup at rim,,4,84,105,-21,2354.0
8:32.0,M. Sasser makes 3-pt jump shot from 26 ft (assist by J. Ivey),87-105, ,,4,87,105,-18,2368.0
8:15.0, ,87-105,J. Williams misses 2-pt layup from 1 ft,,4,87,105,-18,2385.0
8:13.0,Defensive rebound by C. Cunningham,87-105, ,,4,87,105,-18,2387.0
8:08.0,J. Duren misses 2-pt layup from 2 ft,87-105, ,,4,87,105,-18,2392.0
8:06.0, ,87-105,Defensive rebound by O. Sarr,,4,87,105,-18,2394.0
7:56.0, ,87-107,J. Giddey makes 2-pt layup from 2 ft,,4,87,107,-20,2404.0
7:41.0,J. Ivey misses 3-pt jump shot from 27 ft,87-107, ,,4,87,107,-20,2419.0
7:38.0, ,87-107,Defensive rebound by O. Sarr,,4,87,107,-20,2422.0
7:25.0, ,87-107,Turnover by J. Williams (bad pass),,4,87,107,-20,2435.0
7:25.0,M. Bagley enters the game for J. Duren,87-107, ,,4,87,107,-20,2435.0
7:25.0,I. Stewart enters the game for J. Ivey,87-107, ,,4,87,107,-20,2435.0
7:11.0,Shooting foul by C. Wallace (drawn by C. Cunningham),87-107, ,,4,87,107,-20,2449.0
7:11.0,C. Cunningham makes free throw 1 of 2,88-107, ,,4,88,107,-19,2449.0
7:11.0,K. Hayes enters the game for M. Sasser,88-107, ,,4,88,107,-19,2449.0
7:11.0,C. Cunningham makes free throw 2 of 2,89-107, ,,4,89,107,-18,2449.0
6:55.0, ,89-109,C. Wallace makes 2-pt jump shot from 5 ft (assist by J. Williams),,4,89,109,-20,2465.0
6:38.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by A. Burks),92-109, ,,4,92,109,-17,2482.0
6:18.0, ,92-111,J. Giddey makes 2-pt layup at rim,,4,92,111,-19,2502.0
6:05.0,A. Burks makes 2-pt layup from 2 ft (assist by K. Hayes),94-111, ,,4,94,111,-17,2515.0
5:57.0, ,94-113,J. Giddey makes 2-pt layup at rim (assist by J. Williams),,4,94,113,-19,2523.0
5:57.0, ,94-113,Shooting foul by M. Bagley (drawn by J. Giddey),,4,94,113,-19,2523.0
5:57.0,A. Thompson enters the game for A. Burks,94-113, ,,4,94,113,-19,2523.0
5:57.0, ,94-114,J. Giddey makes free throw 1 of 1,,4,94,114,-20,2523.0
5:44.0,I. Stewart makes 3-pt jump shot from 23 ft (assist by K. Hayes),97-114, ,,4,97,114,-17,2536.0
5:25.0, ,97-117,O. Dieng makes 3-pt jump shot from 23 ft (assist by C. Wallace),,4,97,117,-20,2555.0
5:07.0,C. Cunningham misses 2-pt layup from 2 ft (block by O. Sarr),97-117, ,,4,97,117,-20,2573.0
5:04.0, ,97-117,Defensive rebound by C. Wallace,,4,97,117,-20,2576.0
5:01.0, ,97-117,Turnover by J. Giddey (bad pass),,4,97,117,-20,2579.0
4:49.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by I. Stewart),100-117, ,,4,100,117,-17,2591.0
4:47.0, ,100-117,Oklahoma City full timeout,,4,100,117,-17,2593.0
4:47.0, ,100-117,L. Dort enters the game for J. Giddey,,4,100,117,-17,2593.0
4:47.0, ,100-117,S. Gilgeous-Alexander enters the game for C. Wallace,,4,100,117,-17,2593.0
4:47.0, ,100-117,I. Joe enters the game for J. Williams,,4,100,117,-17,2593.0
4:31.0, ,100-117,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,,4,100,117,-17,2609.0
4:28.0,Defensive rebound by K. Hayes,100-117, ,,4,100,117,-17,2612.0
4:25.0,K. Hayes misses 2-pt layup from 5 ft,100-117, ,,4,100,117,-17,2615.0
4:23.0, ,100-117,Defensive rebound by S. Gilgeous-Alexander,,4,100,117,-17,2617.0
4:11.0, ,100-117,Personal foul by K. Hayes (drawn by O. Sarr),,4,100,117,-17,2629.0
4:06.0, ,100-117,S. Gilgeous-Alexander misses 2-pt jump shot from 16 ft,,4,100,117,-17,2634.0
4:02.0,Defensive rebound by M. Bagley,100-117, ,,4,100,117,-17,2638.0
3:53.0,K. Hayes misses 3-pt jump shot from 25 ft,100-117, ,,4,100,117,-17,2647.0
3:51.0, ,100-117,Defensive rebound by S. Gilgeous-Alexander,,4,100,117,-17,2649.0
3:36.0, ,100-119,S. Gilgeous-Alexander makes 2-pt jump shot from 12 ft,,4,100,119,-19,2664.0
3:25.0,A. Thompson makes 2-pt jump shot from 23 ft (assist by C. Cunningham),102-119, ,,4,102,119,-17,2675.0
3:11.0, ,102-119,Personal foul by A. Thompson (drawn by S. Gilgeous-Alexander),,4,102,119,-17,2689.0
3:11.0, ,102-120,S. Gilgeous-Alexander makes free throw 1 of 2,,4,102,120,-18,2689.0
3:11.0, ,102-121,S. Gilgeous-Alexander makes free throw 2 of 2,,4,102,121,-19,2689.0
2:47.0,K. Hayes makes 2-pt jump shot from 20 ft (assist by M. Bagley),104-121, ,,4,104,121,-17,2713.0
2:20.0, ,104-121,I. Joe misses 3-pt jump shot from 23 ft,,4,104,121,-17,2740.0
2:17.0,Defensive rebound by Team,104-121, ,,4,104,121,-17,2743.0
1:56.0,A. Thompson misses 3-pt jump shot from 23 ft,104-121, ,,4,104,121,-17,2764.0
1:53.0, ,104-121,Defensive rebound by O. Sarr,,4,104,121,-17,2767.0
1:49.0, ,104-124,I. Joe makes 3-pt jump shot from 25 ft,,4,104,124,-20,2771.0
1:49.0,Detroit full timeout,104-124, ,,4,104,124,-20,2771.0
1:49.0,J. Ivey enters the game for C. Cunningham,104-124, ,,4,104,124,-20,2771.0
1:49.0,J. Rhoden enters the game for K. Hayes,104-124, ,,4,104,124,-20,2771.0
1:49.0,M. Sasser enters the game for I. Stewart,104-124, ,,4,104,124,-20,2771.0
1:49.0,S. Umude enters the game for A. Thompson,104-124, ,,4,104,124,-20,2771.0
1:49.0, ,104-124,T. Mann enters the game for L. Dort,,4,104,124,-20,2771.0
1:49.0, ,104-124,A. Pokusevski enters the game for S. Gilgeous-Alexander,,4,104,124,-20,2771.0
1:49.0, ,104-124,C. Wallace enters the game for O. Sarr,,4,104,124,-20,2771.0
1:34.0,M. Sasser makes 3-pt jump shot from 25 ft (assist by J. Ivey),107-124, ,,4,107,124,-17,2786.0
1:15.0, ,107-124,Turnover by A. Pokusevski (bad pass; steal by S. Umude),,4,107,124,-17,2805.0
1:11.0,M. Bagley makes 2-pt layup from 2 ft,109-124, ,,4,109,124,-15,2809.0
1:11.0,Shooting foul by A. Pokusevski (drawn by M. Bagley),109-124, ,,4,109,124,-15,2809.0
1:11.0,M. Bagley makes free throw 1 of 1,110-124, ,,4,110,124,-14,2809.0
0:54.0, ,110-124,A. Pokusevski misses 3-pt jump shot from 26 ft,,4,110,124,-14,2826.0
0:51.0,Defensive rebound by M. Sasser,110-124, ,,4,110,124,-14,2829.0
0:47.0,Personal foul by A. Pokusevski (drawn by M. Bagley),110-124, ,,4,110,124,-14,2833.0
0:47.0,M. Bagley makes free throw 1 of 2,111-124, ,,4,111,124,-13,2833.0
0:47.0,M. Bagley makes free throw 2 of 2,112-124, ,,4,112,124,-12,2833.0
0:27.0, ,112-124,A. Pokusevski misses 3-pt jump shot from 27 ft,,4,112,124,-12,2853.0
0:23.0,Defensive rebound by J. Rhoden,112-124, ,,4,112,124,-12,2857.0
0:20.0,Offensive foul by J. Ivey (drawn by I. Joe),112-124, ,,4,112,124,-12,2860.0
0:20.0,Turnover by J. Ivey (offensive foul),112-124, ,,4,112,124,-12,2860.0
0:00.0,End of 4th quarter,112-124,,,4,112,124,-12,2880.0
