Time,Charlotte,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:39.0, ,92-95,Defensive rebound by M. Sasser,,4,95,92,3,2361.0
8:25.0, ,92-95,B. Bogdanović misses 3-pt jump shot from 27 ft,,4,95,92,3,2375.0
8:21.0, ,92-95,Offensive rebound by I. Stewart,,4,95,92,3,2379.0
8:18.0, ,92-95,Shooting foul by N. Mensah (drawn by B. Bogdanović),,4,95,92,3,2382.0
8:18.0, ,92-96,B. Bogdanović makes free throw 1 of 2,,4,96,92,4,2382.0
8:18.0,M. Bridges enters the game for L. Ball,92-96, ,,4,96,92,4,2382.0
8:18.0,C. Martin enters the game for N. Mensah,92-96, ,,4,96,92,4,2382.0
8:18.0, ,92-97,B. Bogdanović makes free throw 2 of 2,,4,97,92,5,2382.0
7:51.0,M. Bridges makes 2-pt jump shot from 19 ft,94-97, ,,4,97,94,3,2409.0
7:33.0, ,94-100,A. Burks makes 3-pt jump shot from 24 ft (assist by M. Sasser),,4,100,94,6,2427.0
7:14.0,N. Smith makes 3-pt jump shot from 24 ft (assist by C. Martin),97-100, ,,4,100,97,3,2446.0
6:56.0, ,97-100,Turnover by I. Stewart (3 sec),,4,100,97,3,2464.0
6:56.0, ,97-100,Detroit full timeout,,4,100,97,3,2464.0
6:42.0,Shooting foul by B. Bogdanović (drawn by M. Bridges),97-100, ,,4,100,97,3,2478.0
6:42.0,M. Bridges makes free throw 1 of 2,98-100, ,,4,100,98,2,2478.0
6:42.0,M. Bridges makes free throw 2 of 2,99-100, ,,4,100,99,1,2478.0
6:24.0, ,99-100,B. Bogdanović misses 2-pt jump shot from 6 ft,,4,100,99,1,2496.0
6:23.0,Defensive rebound by M. Bridges,99-100, ,,4,100,99,1,2497.0
6:21.0,Turnover by M. Bridges (bad pass),99-100, ,,4,100,99,1,2499.0
6:07.0, ,99-100,Turnover by A. Thompson (bad pass),,4,100,99,1,2513.0
6:07.0,N. Richards enters the game for B. Miller,99-100, ,,4,100,99,1,2513.0
6:07.0, ,99-100,J. Duren enters the game for A. Burks,,4,100,99,1,2513.0
6:07.0, ,99-100,K. Hayes enters the game for M. Sasser,,4,100,99,1,2513.0
6:07.0, ,99-100,J. Ivey enters the game for I. Stewart,,4,100,99,1,2513.0
5:46.0,M. Bridges misses 2-pt jump shot from 8 ft,99-100, ,,4,100,99,1,2534.0
5:44.0, ,99-100,Defensive rebound by A. Thompson,,4,100,99,1,2536.0
5:33.0, ,99-100,J. Ivey misses 3-pt jump shot from 24 ft,,4,100,99,1,2547.0
5:30.0,Defensive rebound by N. Richards,99-100, ,,4,100,99,1,2550.0
5:08.0,M. Bridges misses 2-pt jump shot from 22 ft,99-100, ,,4,100,99,1,2572.0
5:05.0, ,99-100,Defensive rebound by J. Duren,,4,100,99,1,2575.0
4:50.0, ,99-100,B. Bogdanović misses 2-pt layup from 3 ft,,4,100,99,1,2590.0
4:48.0,Defensive rebound by C. Martin,99-100, ,,4,100,99,1,2592.0
4:39.0,Shooting foul by K. Hayes (drawn by N. Richards),99-100, ,,4,100,99,1,2601.0
4:39.0,N. Richards makes free throw 1 of 2,100-100, ,Tie,4,100,100,0,2601.0
4:39.0,L. Ball enters the game for N. Smith,100-100, ,,4,100,100,0,2601.0
4:39.0, ,100-100,A. Burks enters the game for A. Thompson,,4,100,100,0,2601.0
4:39.0,N. Richards misses free throw 2 of 2,100-100, ,,4,100,100,0,2601.0
4:36.0, ,100-100,Defensive rebound by J. Duren,,4,100,100,0,2604.0
4:20.0, ,100-100,B. Bogdanović misses 2-pt jump shot from 14 ft,,4,100,100,0,2620.0
4:18.0,Defensive rebound by M. Bridges,100-100, ,,4,100,100,0,2622.0
4:08.0,M. Bridges misses 3-pt jump shot from 27 ft,100-100, ,,4,100,100,0,2632.0
4:06.0, ,100-100,Defensive rebound by K. Hayes,,4,100,100,0,2634.0
3:53.0, ,100-100,B. Bogdanović misses 3-pt jump shot from 27 ft,,4,100,100,0,2647.0
3:50.0,Defensive rebound by C. Martin,100-100, ,,4,100,100,0,2650.0
3:43.0,L. Ball misses 3-pt jump shot from 32 ft,100-100, ,,4,100,100,0,2657.0
3:42.0,Offensive rebound by N. Richards,100-100, ,,4,100,100,0,2658.0
3:40.0,N. Richards makes 2-pt dunk from 1 ft,102-100, ,Lead change,4,100,102,-2,2660.0
3:40.0, ,102-100,Detroit full timeout,,4,100,102,-2,2660.0
3:40.0,B. Miller enters the game for P. Washington,102-100, ,,4,100,102,-2,2660.0
3:23.0, ,102-100,A. Burks misses 2-pt jump shot from 20 ft,,4,100,102,-2,2677.0
3:23.0,Defensive rebound by L. Ball,102-100, ,,4,100,102,-2,2677.0
3:22.0,Charlotte full timeout,102-100, ,,4,100,102,-2,2678.0
3:22.0, ,102-100,I. Stewart enters the game for B. Bogdanović,,4,100,102,-2,2678.0
3:22.0, ,102-100,A. Thompson enters the game for J. Ivey,,4,100,102,-2,2678.0
3:03.0,M. Bridges misses 3-pt jump shot from 24 ft,102-100, ,,4,100,102,-2,2697.0
3:00.0, ,102-100,Defensive rebound by K. Hayes,,4,100,102,-2,2700.0
2:48.0, ,102-100,A. Thompson misses 3-pt jump shot from 24 ft,,4,100,102,-2,2712.0
2:48.0,Defensive rebound by Team,102-100, ,,4,100,102,-2,2712.0
2:48.0, ,102-100,Loose ball foul by I. Stewart (drawn by N. Richards),,4,100,102,-2,2712.0
2:34.0,Shooting foul by I. Stewart (drawn by C. Martin),102-100, ,,4,100,102,-2,2726.0
2:34.0,C. Martin makes free throw 1 of 2,103-100, ,,4,100,103,-3,2726.0
2:34.0, ,103-100,B. Bogdanović enters the game for A. Thompson,,4,100,103,-3,2726.0
2:34.0,C. Martin makes free throw 2 of 2,104-100, ,,4,100,104,-4,2726.0
2:17.0, ,104-103,A. Burks makes 3-pt jump shot from 24 ft (assist by K. Hayes),,4,103,104,-1,2743.0
2:02.0,N. Richards makes 2-pt dunk from 3 ft (assist by L. Ball),106-103, ,,4,103,106,-3,2758.0
1:51.0, ,106-103,Personal foul by L. Ball (drawn by K. Hayes),,4,103,106,-3,2769.0
1:46.0, ,106-106,B. Bogdanović makes 3-pt jump shot from 28 ft,Tie,4,106,106,0,2774.0
1:28.0,Turnover by L. Ball (bad pass; steal by I. Stewart),106-106, ,,4,106,106,0,2792.0
1:14.0, ,106-106,B. Bogdanović misses 2-pt layup from 4 ft,,4,106,106,0,2806.0
1:13.0, ,106-106,Offensive rebound by J. Duren,,4,106,106,0,2807.0
1:12.0, ,106-108,J. Duren makes 2-pt layup at rim,Lead change,4,108,106,2,2808.0
1:12.0,Charlotte full timeout,106-108, ,,4,108,106,2,2808.0
1:12.0,P. Washington enters the game for C. Martin,106-108, ,,4,108,106,2,2808.0
1:12.0, ,106-108,A. Thompson enters the game for B. Bogdanović,,4,108,106,2,2808.0
0:58.0,L. Ball misses 2-pt layup from 2 ft,106-108, ,,4,108,106,2,2822.0
0:54.0,Offensive rebound by N. Richards,106-108, ,,4,108,106,2,2826.0
0:54.0,N. Richards misses 2-pt layup at rim,106-108, ,,4,108,106,2,2826.0
0:54.0, ,106-108,Defensive rebound by J. Duren,,4,108,106,2,2826.0
0:37.0, ,106-110,J. Duren makes 2-pt dunk from 5 ft (assist by K. Hayes),,4,110,106,4,2843.0
0:32.0,Turnover by L. Ball (out of bounds lost ball),106-110, ,,4,110,106,4,2848.0
0:32.0, ,106-110,Detroit full timeout,,4,110,106,4,2848.0
0:32.0, ,106-110,Instant Replay (Challenge: Ruling Stands),,4,110,106,4,2848.0
0:32.0, ,106-110,B. Bogdanović enters the game for A. Thompson,,4,110,106,4,2848.0
0:28.0, ,106-110,Personal foul by P. Washington (drawn by B. Bogdanović),,4,110,106,4,2852.0
0:28.0, ,106-111,B. Bogdanović makes free throw 1 of 2,,4,111,106,5,2852.0
0:28.0, ,106-111,B. Bogdanović misses free throw 2 of 2,,4,111,106,5,2852.0
0:27.0,Defensive rebound by P. Washington,106-111, ,,4,111,106,5,2853.0
0:27.0,Charlotte full timeout,106-111, ,,4,111,106,5,2853.0
0:27.0, ,106-111,A. Thompson enters the game for B. Bogdanović,,4,111,106,5,2853.0
0:23.0,Offensive foul by L. Ball (drawn by A. Thompson),106-111, ,,4,111,106,5,2857.0
0:23.0,Turnover by L. Ball (offensive foul),106-111, ,,4,111,106,5,2857.0
0:23.0, ,106-111,B. Bogdanović enters the game for A. Thompson,,4,111,106,5,2857.0
0:22.0, ,106-111,Personal take foul by B. Miller (drawn by A. Burks),,4,111,106,5,2858.0
0:22.0, ,106-112,A. Burks makes free throw 1 of 2,,4,112,106,6,2858.0
0:22.0, ,106-112,A. Thompson enters the game for B. Bogdanović,,4,112,106,6,2858.0
0:22.0, ,106-112,A. Burks misses free throw 2 of 2,,4,112,106,6,2858.0
0:20.0,Defensive rebound by M. Bridges,106-112, ,,4,112,106,6,2860.0
0:14.0,M. Bridges misses 3-pt jump shot from 29 ft,106-112, ,,4,112,106,6,2866.0
0:11.0, ,106-112,Defensive rebound by K. Hayes,,4,112,106,6,2869.0
0:08.0, ,106-112,Personal foul by L. Ball (drawn by K. Hayes),,4,112,106,6,2872.0
0:08.0,N. Smith enters the game for L. Ball,106-112, ,,4,112,106,6,2872.0
0:08.0, ,106-113,K. Hayes makes free throw 1 of 2,,4,113,106,7,2872.0
0:08.0, ,106-113,K. Hayes misses free throw 2 of 2,,4,113,106,7,2872.0
0:06.0,Defensive rebound by N. Richards,106-113, ,,4,113,106,7,2874.0
0:02.0,M. Bridges misses 3-pt jump shot from 30 ft,106-113, ,,4,113,106,7,2878.0
0:00.0, ,106-113,Defensive rebound by Team,,4,113,106,7,2880.0
0:00.0,End of 4th quarter,106-113,,,4,113,106,7,2880.0
