Time,LA Clippers,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:54.0, ,94-89,B. Bogdanović misses 3-pt jump shot from 23 ft,,3,89,94,-5,2046.0
1:50.0,Defensive rebound by R. Westbrook,94-89, ,,3,89,94,-5,2050.0
1:28.0,Turnover by Team (shot clock),94-89, ,,3,89,94,-5,2072.0
1:16.0, ,94-89,B. Bogdanović misses 2-pt jump shot from 7 ft (block by D. Theis),,3,89,94,-5,2084.0
1:13.0,Defensive rebound by A. Coffey,94-89, ,,3,89,94,-5,2087.0
1:00.0,R. Westbrook makes 2-pt jump shot from 19 ft,96-89, ,,3,89,96,-7,2100.0
0:50.0, ,96-89,Shooting foul by K. Leonard (drawn by D. Gallinari),,3,89,96,-7,2110.0
0:50.0, ,96-90,D. Gallinari makes free throw 1 of 2,,3,90,96,-6,2110.0
0:50.0, ,96-90,M. Sasser enters the game for B. Bogdanović,,3,90,96,-6,2110.0
0:50.0, ,96-90,D. Gallinari misses free throw 2 of 2,,3,90,96,-6,2110.0
0:48.0,Defensive rebound by K. Leonard,96-90, ,,3,90,96,-6,2112.0
0:34.0,R. Westbrook makes 2-pt layup from 1 ft,98-90, ,,3,90,98,-8,2126.0
0:13.0, ,98-90,M. Morris misses 2-pt jump shot from 22 ft,,3,90,98,-8,2147.0
0:10.0,Defensive rebound by N. Powell,98-90, ,,3,90,98,-8,2150.0
0:01.0,N. Powell makes 3-pt jump shot from 24 ft,101-90, ,,3,90,101,-11,2159.0
0:00.0, ,101-90,A. Thompson misses 3-pt jump shot from 62 ft,,3,90,101,-11,2160.0
0:00.0, ,101-90,Offensive rebound by Team,,3,90,101,-11,2160.0
0:00.0,End of 3rd quarter,101-90,,,3,90,101,-11,2160.0
12:00.0,Start of 4th quarter,101-90,,,4,90,101,-11,2160.0
11:48.0,N. Powell makes 3-pt jump shot from 26 ft (assist by D. Theis),104-90, ,,4,90,104,-14,2172.0
11:35.0, ,104-90,Turnover by M. Sasser (bad pass; steal by A. Coffey),,4,90,104,-14,2185.0
11:31.0,A. Coffey makes 2-pt dunk from 1 ft,106-90, ,,4,90,106,-16,2189.0
11:12.0, ,106-90,A. Burks misses 2-pt jump shot from 11 ft,,4,90,106,-16,2208.0
11:11.0,Defensive rebound by J. Harden,106-90, ,,4,90,106,-16,2209.0
11:05.0,R. Westbrook makes 2-pt layup from 1 ft (assist by J. Harden),108-90, ,,4,90,108,-18,2215.0
10:50.0, ,108-92,M. Sasser makes 2-pt jump shot from 5 ft,,4,92,108,-16,2230.0
10:34.0,Shooting foul by M. Sasser (drawn by D. Theis),108-92, ,,4,92,108,-16,2246.0
10:34.0,D. Theis misses free throw 1 of 2,108-92, ,,4,92,108,-16,2246.0
10:34.0,Offensive rebound by Team,108-92, ,,4,92,108,-16,2246.0
10:34.0, ,108-92,J. Ivey enters the game for M. Morris,,4,92,108,-16,2246.0
10:34.0,D. Theis makes free throw 2 of 2,109-92, ,,4,92,109,-17,2246.0
10:21.0, ,109-94,J. Ivey makes 2-pt layup from 2 ft,,4,94,109,-15,2259.0
10:01.0,D. Theis misses 3-pt jump shot from 26 ft,109-94, ,,4,94,109,-15,2279.0
9:59.0, ,109-94,Defensive rebound by A. Thompson,,4,94,109,-15,2281.0
9:49.0, ,109-96,M. Sasser makes 2-pt jump shot from 15 ft (assist by D. Gallinari),,4,96,109,-13,2291.0
9:30.0,A. Coffey makes 2-pt layup from 3 ft (assist by R. Westbrook),111-96, ,,4,96,111,-15,2310.0
9:30.0,Shooting foul by D. Gallinari (drawn by A. Coffey),111-96, ,,4,96,111,-15,2310.0
9:30.0,A. Coffey makes free throw 1 of 1,112-96, ,,4,96,112,-16,2310.0
9:15.0, ,112-99,M. Sasser makes 3-pt jump shot from 25 ft,,4,99,112,-13,2325.0
9:04.0,D. Theis makes 2-pt dunk from 1 ft (assist by R. Westbrook),114-99, ,,4,99,114,-15,2336.0
8:49.0, ,114-99,Shooting foul by D. Theis (drawn by D. Gallinari),,4,99,114,-15,2351.0
8:49.0, ,114-100,D. Gallinari makes free throw 1 of 2,,4,100,114,-14,2351.0
8:49.0, ,114-101,D. Gallinari makes free throw 2 of 2,,4,101,114,-13,2351.0
8:36.0,R. Westbrook makes 2-pt dunk from 1 ft (assist by J. Harden),116-101, ,,4,101,116,-15,2364.0
8:36.0,Technical foul by R. Westbrook,116-101, ,,4,101,116,-15,2364.0
8:36.0, ,116-102,D. Gallinari makes technical free throw,,4,102,116,-14,2364.0
8:18.0, ,116-104,J. Ivey makes 2-pt layup from 3 ft,,4,104,116,-12,2382.0
8:04.0,N. Powell misses 2-pt layup from 3 ft,116-104, ,,4,104,116,-12,2396.0
8:02.0, ,116-104,Defensive rebound by A. Burks,,4,104,116,-12,2398.0
7:59.0, ,116-106,A. Burks makes 2-pt layup from 3 ft,,4,106,116,-10,2401.0
7:59.0, ,116-106,Shooting foul by R. Westbrook (drawn by A. Burks),,4,106,116,-10,2401.0
7:59.0,LA Clippers full timeout,116-106, ,,4,106,116,-10,2401.0
7:59.0,P. George enters the game for A. Coffey,116-106, ,,4,106,116,-10,2401.0
7:59.0, ,116-106,C. Cunningham enters the game for D. Gallinari,,4,106,116,-10,2401.0
7:59.0, ,116-106,J. Duren enters the game for A. Thompson,,4,106,116,-10,2401.0
7:59.0, ,116-107,A. Burks makes free throw 1 of 1,,4,107,116,-9,2401.0
7:45.0,J. Harden misses 2-pt jump shot from 16 ft,116-107, ,,4,107,116,-9,2415.0
7:43.0, ,116-107,Defensive rebound by M. Sasser,,4,107,116,-9,2417.0
7:28.0, ,116-109,J. Duren makes 2-pt dunk from 1 ft (assist by C. Cunningham),,4,109,116,-7,2432.0
7:11.0,P. George makes 2-pt jump shot from 17 ft,118-109, ,,4,109,118,-9,2449.0
6:51.0, ,118-109,Turnover by J. Ivey (bad pass; steal by D. Theis),,4,109,118,-9,2469.0
6:45.0,N. Powell makes 2-pt layup from 1 ft (assist by R. Westbrook),120-109, ,,4,109,120,-11,2475.0
6:28.0, ,120-109,J. Ivey misses 2-pt layup from 3 ft,,4,109,120,-11,2492.0
6:25.0,Defensive rebound by D. Theis,120-109, ,,4,109,120,-11,2495.0
6:20.0,P. George misses 2-pt layup from 2 ft (block by A. Burks),120-109, ,,4,109,120,-11,2500.0
6:19.0,Offensive rebound by R. Westbrook,120-109, ,,4,109,120,-11,2501.0
6:19.0,K. Leonard enters the game for D. Theis,120-109, ,,4,109,120,-11,2501.0
6:19.0,M. Plumlee enters the game for R. Westbrook,120-109, ,,4,109,120,-11,2501.0
6:19.0, ,120-109,B. Bogdanović enters the game for A. Burks,,4,109,120,-11,2501.0
6:15.0,P. George makes 3-pt jump shot from 24 ft (assist by J. Harden),123-109, ,,4,109,123,-14,2505.0
5:59.0, ,123-109,Turnover by B. Bogdanović (bad pass; steal by P. George),,4,109,123,-14,2521.0
5:57.0,K. Leonard makes 2-pt dunk from 2 ft (assist by P. George),125-109, ,,4,109,125,-16,2523.0
5:57.0, ,125-109,Detroit full timeout,,4,109,125,-16,2523.0
5:41.0, ,125-109,M. Sasser misses 2-pt jump shot from 16 ft,,4,109,125,-16,2539.0
5:40.0, ,125-109,Offensive rebound by Team,,4,109,125,-16,2540.0
5:40.0,Loose ball foul by M. Plumlee (drawn by J. Duren),125-109, ,,4,109,125,-16,2540.0
5:30.0, ,125-112,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by J. Duren),,4,112,125,-13,2550.0
5:08.0,Personal foul by C. Cunningham (drawn by P. George),125-112, ,,4,112,125,-13,2572.0
5:03.0,P. George misses 2-pt jump shot from 16 ft,125-112, ,,4,112,125,-13,2577.0
5:01.0, ,125-112,Defensive rebound by B. Bogdanović,,4,112,125,-13,2579.0
4:55.0, ,125-112,B. Bogdanović misses 3-pt jump shot from 29 ft,,4,112,125,-13,2585.0
4:52.0, ,125-112,Offensive rebound by J. Ivey,,4,112,125,-13,2588.0
4:46.0, ,125-112,C. Cunningham misses 2-pt jump shot from 5 ft,,4,112,125,-13,2594.0
4:43.0,Defensive rebound by P. George,125-112, ,,4,112,125,-13,2597.0
4:29.0,M. Plumlee makes 2-pt layup from 1 ft (assist by P. George),127-112, ,,4,112,127,-15,2611.0
4:18.0, ,127-112,Offensive foul by C. Cunningham (drawn by J. Harden),,4,112,127,-15,2622.0
4:18.0, ,127-112,Turnover by C. Cunningham (offensive foul),,4,112,127,-15,2622.0
4:18.0, ,127-112,A. Burks enters the game for M. Sasser,,4,112,127,-15,2622.0
4:07.0,P. George makes 2-pt layup from 1 ft (assist by J. Harden),129-112, ,,4,112,129,-17,2633.0
3:59.0, ,129-112,Personal foul by N. Powell (drawn by C. Cunningham),,4,112,129,-17,2641.0
3:59.0,R. Westbrook enters the game for N. Powell,129-112, ,,4,112,129,-17,2641.0
3:52.0, ,129-112,Turnover by C. Cunningham (lost ball; steal by M. Plumlee),,4,112,129,-17,2648.0
3:42.0,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),132-112, ,,4,112,132,-20,2658.0
3:41.0, ,132-112,Detroit full timeout,,4,112,132,-20,2659.0
3:41.0,A. Coffey enters the game for P. George,132-112, ,,4,112,132,-20,2659.0
3:41.0,T. Mann enters the game for J. Harden,132-112, ,,4,112,132,-20,2659.0
3:41.0,N. Powell enters the game for K. Leonard,132-112, ,,4,112,132,-20,2659.0
3:41.0,Violation by Team (delay of game),132-112, ,,4,112,132,-20,2659.0
3:28.0, ,132-112,A. Burks misses 3-pt jump shot from 26 ft,,4,112,132,-20,2672.0
3:27.0, ,132-112,Offensive rebound by J. Ivey,,4,112,132,-20,2673.0
3:25.0, ,132-115,J. Ivey makes 3-pt jump shot from 26 ft,,4,115,132,-17,2675.0
3:06.0,R. Westbrook misses 2-pt jump shot from 12 ft,132-115, ,,4,115,132,-17,2694.0
3:03.0, ,132-115,Defensive rebound by J. Duren,,4,115,132,-17,2697.0
2:50.0, ,132-115,C. Cunningham misses 2-pt jump shot from 15 ft,,4,115,132,-17,2710.0
2:47.0,Defensive rebound by M. Plumlee,132-115, ,,4,115,132,-17,2713.0
2:44.0,R. Westbrook makes 2-pt layup from 1 ft,134-115, ,,4,115,134,-19,2716.0
2:39.0, ,134-115,Personal foul by R. Westbrook (drawn by C. Cunningham),,4,115,134,-19,2721.0
2:39.0, ,134-116,C. Cunningham makes free throw 1 of 1,,4,116,134,-18,2721.0
2:39.0,B. Boston enters the game for N. Powell,134-116, ,,4,116,134,-18,2721.0
2:39.0,K. Brown enters the game for R. Westbrook,134-116, ,,4,116,134,-18,2721.0
2:39.0, ,134-116,M. Sasser enters the game for B. Bogdanović,,4,116,134,-18,2721.0
2:39.0, ,134-116,A. Thompson enters the game for A. Burks,,4,116,134,-18,2721.0
2:17.0, ,134-116,Turnover by M. Sasser (lost ball; steal by A. Coffey),,4,116,134,-18,2743.0
2:15.0,A. Coffey misses 2-pt layup from 3 ft (block by A. Thompson),134-116, ,,4,116,134,-18,2745.0
2:14.0,Offensive rebound by Team,134-116, ,,4,116,134,-18,2746.0
2:14.0, ,134-116,K. Knox enters the game for C. Cunningham,,4,116,134,-18,2746.0
2:14.0, ,134-116,J. Wiseman enters the game for J. Duren,,4,116,134,-18,2746.0
2:08.0,Turnover by B. Boston (traveling),134-116, ,,4,116,134,-18,2752.0
1:57.0, ,134-116,J. Ivey misses 3-pt jump shot from 26 ft,,4,116,134,-18,2763.0
1:53.0,Defensive rebound by M. Plumlee,134-116, ,,4,116,134,-18,2767.0
1:37.0,T. Mann makes 2-pt jump shot from 8 ft,136-116, ,,4,116,136,-20,2783.0
1:27.0, ,136-118,M. Sasser makes 2-pt jump shot from 9 ft,,4,118,136,-18,2793.0
1:12.0,K. Brown misses 2-pt hook shot from 12 ft,136-118, ,,4,118,136,-18,2808.0
1:10.0, ,136-118,Defensive rebound by J. Wiseman,,4,118,136,-18,2810.0
1:04.0, ,136-120,J. Wiseman makes 2-pt layup from 3 ft (assist by M. Sasser),,4,120,136,-16,2816.0
1:04.0, ,136-120,Shooting foul by B. Boston (drawn by J. Wiseman),,4,120,136,-16,2816.0
1:04.0, ,136-121,J. Wiseman makes free throw 1 of 1,,4,121,136,-15,2816.0
0:50.0,Turnover by M. Plumlee (bad pass),136-121, ,,4,121,136,-15,2830.0
0:41.0, ,136-123,J. Ivey makes 2-pt layup at rim,,4,123,136,-13,2839.0
0:18.0,Turnover by T. Mann (bad pass; steal by K. Knox),136-123, ,,4,123,136,-13,2862.0
0:13.0, ,136-125,A. Thompson makes 2-pt dunk from 1 ft (assist by J. Ivey),,4,125,136,-11,2867.0
0:00.0,End of 4th quarter,136-125,,,4,125,136,-11,2880.0
