Time,Detroit,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. K. Porziņģis (P. Pritchard gains possession),0-0,,,1,0,0,0,0.0
11:57.0, ,0-0,Turnover by P. Pritchard (step out of bounds),,1,0,0,0,3.0
11:48.0,I. Stewart misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,12.0
11:47.0, ,0-0,Defensive rebound by J. Brown,,1,0,0,0,13.0
11:28.0, ,0-3,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by D. White),,1,0,3,-3,32.0
11:16.0,J. Ivey makes 2-pt layup from 2 ft (assist by I. Stewart),2-3, ,,1,2,3,-1,44.0
11:01.0, ,2-3,D. White misses 3-pt jump shot from 25 ft,,1,2,3,-1,59.0
10:59.0,Defensive rebound by M. Sasser,2-3, ,,1,2,3,-1,61.0
10:52.0,S. Umude makes 3-pt jump shot from 23 ft (assist by J. Ivey),5-3, ,Lead change,1,5,3,2,68.0
10:32.0, ,5-3,J. Brown misses 2-pt jump shot from 22 ft,,1,5,3,2,88.0
10:30.0,Defensive rebound by S. Umude,5-3, ,,1,5,3,2,90.0
10:18.0,S. Umude misses 3-pt jump shot from 28 ft,5-3, ,,1,5,3,2,102.0
10:16.0,Offensive rebound by J. Ivey,5-3, ,,1,5,3,2,104.0
10:02.0,J. Ivey misses 2-pt jump shot from 7 ft,5-3, ,,1,5,3,2,118.0
10:01.0, ,5-3,Defensive rebound by K. Porziņģis,,1,5,3,2,119.0
9:54.0, ,5-3,D. White misses 2-pt jump shot from 5 ft,,1,5,3,2,126.0
9:52.0,Defensive rebound by J. Duren,5-3, ,,1,5,3,2,128.0
9:42.0,M. Sasser misses 2-pt jump shot from 19 ft,5-3, ,,1,5,3,2,138.0
9:40.0, ,5-3,Defensive rebound by K. Porziņģis,,1,5,3,2,140.0
9:32.0,Jump ball: J. Brown vs. S. Umude (P. Pritchard gains possession),5-3,,,1,5,3,2,148.0
9:25.0, ,5-5,K. Porziņģis makes 2-pt layup from 5 ft (assist by D. White),Tie,1,5,5,0,155.0
9:15.0,J. Duren misses 2-pt layup from 7 ft (block by L. Kornet),5-5, ,,1,5,5,0,165.0
9:14.0, ,5-5,Defensive rebound by D. White,,1,5,5,0,166.0
9:09.0, ,5-7,P. Pritchard makes 2-pt layup from 2 ft (assist by D. White),Lead change,1,5,7,-2,171.0
8:46.0,J. Ivey makes 2-pt jump shot from 8 ft,7-7, ,Tie,1,7,7,0,194.0
8:33.0, ,7-7,K. Porziņģis misses 3-pt jump shot from 26 ft,,1,7,7,0,207.0
8:31.0,Defensive rebound by J. Duren,7-7, ,,1,7,7,0,209.0
