Time,San Antonio,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:06.0,Loose ball foul by M. Branham (drawn by A. Thompson),89-71, ,,3,71,89,-18,2034.0
1:56.0, ,89-71,A. Thompson misses 3-pt jump shot from 24 ft,,3,71,89,-18,2044.0
1:54.0, ,89-71,Offensive rebound by M. Sasser,,3,71,89,-18,2046.0
1:50.0, ,89-73,A. Burks makes 2-pt jump shot from 9 ft (assist by M. Sasser),,3,73,89,-16,2050.0
1:40.0,Personal foul by A. Thompson (drawn by K. Johnson),89-73, ,,3,73,89,-16,2060.0
1:40.0,K. Johnson makes free throw 1 of 2,90-73, ,,3,73,90,-17,2060.0
1:40.0, ,90-73,Detroit full timeout,,3,73,90,-17,2060.0
1:40.0,K. Johnson makes free throw 2 of 2,91-73, ,,3,73,91,-18,2060.0
1:24.0, ,91-73,M. Sasser misses 2-pt jump shot from 7 ft,,3,73,91,-18,2076.0
1:21.0,Defensive rebound by D. Barlow,91-73, ,,3,73,91,-18,2079.0
1:11.0,Shooting foul by J. Wiseman (drawn by K. Johnson),91-73, ,,3,73,91,-18,2089.0
1:11.0,K. Johnson makes free throw 1 of 2,92-73, ,,3,73,92,-19,2089.0
1:11.0,K. Johnson makes free throw 2 of 2,93-73, ,,3,73,93,-20,2089.0
1:01.0, ,93-73,Personal foul by D. Barlow (drawn by A. Burks),,3,73,93,-20,2099.0
1:01.0, ,93-74,A. Burks makes free throw 1 of 2,,3,74,93,-19,2099.0
1:01.0, ,93-74,K. Hayes enters the game for M. Sasser,,3,74,93,-19,2099.0
1:01.0, ,93-75,A. Burks makes free throw 2 of 2,,3,75,93,-18,2099.0
0:48.0,M. Branham misses 3-pt jump shot from 28 ft,93-75, ,,3,75,93,-18,2112.0
0:45.0, ,93-75,Defensive rebound by A. Thompson,,3,75,93,-18,2115.0
0:42.0, ,93-75,Turnover by A. Thompson (lost ball; steal by C. Osman),,3,75,93,-18,2118.0
0:40.0,B. Wesley makes 2-pt layup from 2 ft,95-75, ,,3,75,95,-20,2120.0
0:28.0, ,95-75,A. Burks misses 2-pt layup from 6 ft (block by D. Barlow),,3,75,95,-20,2132.0
0:28.0, ,95-75,Offensive rebound by Team,,3,75,95,-20,2132.0
0:22.0, ,95-75,A. Burks misses 3-pt jump shot from 26 ft,,3,75,95,-20,2138.0
0:21.0, ,95-75,Offensive rebound by K. Hayes,,3,75,95,-20,2139.0
0:20.0, ,95-77,K. Hayes makes 2-pt jump shot from 13 ft,,3,77,95,-18,2140.0
0:02.0,K. Johnson misses 2-pt layup from 4 ft,95-77, ,,3,77,95,-18,2158.0
0:02.0, ,95-77,Defensive rebound by A. Thompson,,3,77,95,-18,2158.0
0:01.0, ,95-77,A. Thompson misses 3-pt jump shot from 57 ft,,3,77,95,-18,2159.0
0:01.0, ,95-77,Offensive rebound by Team,,3,77,95,-18,2159.0
0:00.0,End of 3rd quarter,95-77,,,3,77,95,-18,2160.0
12:00.0,Start of 4th quarter,95-77,,,4,77,95,-18,2160.0
11:45.0,V. Wembanyama makes 2-pt dunk from 2 ft (assist by C. Osman),97-77, ,,4,77,97,-20,2175.0
11:32.0, ,97-77,Turnover by K. Hayes (bad pass; steal by K. Johnson),,4,77,97,-20,2188.0
11:21.0,D. McDermott makes 3-pt jump shot from 26 ft (assist by M. Branham),100-77, ,,4,77,100,-23,2199.0
11:05.0, ,100-79,K. Knox makes 2-pt dunk from 5 ft (assist by K. Hayes),,4,79,100,-21,2215.0
10:45.0,D. McDermott makes 3-pt jump shot from 26 ft (assist by V. Wembanyama),103-79, ,,4,79,103,-24,2235.0
10:39.0, ,103-79,Personal foul by K. Johnson (drawn by A. Burks),,4,79,103,-24,2241.0
10:39.0, ,103-79,B. Bogdanović enters the game for A. Thompson,,4,79,103,-24,2241.0
10:39.0, ,103-79,J. Duren enters the game for J. Wiseman,,4,79,103,-24,2241.0
10:26.0, ,103-82,A. Burks makes 3-pt jump shot from 25 ft (assist by K. Hayes),,4,82,103,-21,2254.0
10:15.0,V. Wembanyama misses 3-pt jump shot from 26 ft,103-82, ,,4,82,103,-21,2265.0
10:12.0, ,103-82,Defensive rebound by A. Burks,,4,82,103,-21,2268.0
10:08.0, ,103-84,K. Knox makes 2-pt dunk from 4 ft (assist by A. Burks),,4,84,103,-19,2272.0
10:08.0,San Antonio full timeout,103-84, ,,4,84,103,-19,2272.0
9:53.0,Personal foul by J. Duren (drawn by V. Wembanyama),103-84, ,,4,84,103,-19,2287.0
9:53.0,J. Sochan enters the game for K. Johnson,103-84, ,,4,84,103,-19,2287.0
9:38.0,V. Wembanyama misses 3-pt jump shot from 25 ft,103-84, ,,4,84,103,-19,2302.0
9:34.0, ,103-84,Defensive rebound by K. Knox,,4,84,103,-19,2306.0
9:14.0, ,103-84,K. Knox misses 3-pt jump shot from 24 ft,,4,84,103,-19,2326.0
9:11.0,Defensive rebound by C. Osman,103-84, ,,4,84,103,-19,2329.0
9:05.0,C. Osman makes 2-pt layup from 3 ft (assist by V. Wembanyama),105-84, ,,4,84,105,-21,2335.0
9:05.0,Shooting foul by K. Knox (drawn by C. Osman),105-84, ,,4,84,105,-21,2335.0
9:05.0, ,105-84,J. Ivey enters the game for A. Burks,,4,84,105,-21,2335.0
9:05.0, ,105-84,I. Livers enters the game for K. Knox,,4,84,105,-21,2335.0
9:05.0,C. Osman makes free throw 1 of 1,106-84, ,,4,84,106,-22,2335.0
8:52.0, ,106-84,B. Bogdanović misses 3-pt jump shot from 27 ft,,4,84,106,-22,2348.0
8:49.0,Defensive rebound by M. Branham,106-84, ,,4,84,106,-22,2351.0
8:39.0,V. Wembanyama misses 2-pt hook shot from 5 ft,106-84, ,,4,84,106,-22,2361.0
8:37.0, ,106-84,Defensive rebound by J. Duren,,4,84,106,-22,2363.0
8:29.0, ,106-86,J. Ivey makes 2-pt layup from 4 ft,,4,86,106,-20,2371.0
8:16.0,D. McDermott makes 3-pt jump shot from 26 ft (assist by V. Wembanyama),109-86, ,,4,86,109,-23,2384.0
7:58.0, ,109-88,J. Duren makes 2-pt jump shot from 13 ft (assist by B. Bogdanović),,4,88,109,-21,2402.0
7:44.0,C. Osman makes 2-pt layup from 2 ft (assist by M. Branham),111-88, ,,4,88,111,-23,2416.0
7:34.0, ,111-88,J. Duren misses 2-pt jump shot from 19 ft,,4,88,111,-23,2426.0
7:31.0,Defensive rebound by C. Osman,111-88, ,,4,88,111,-23,2429.0
7:26.0,M. Branham misses 3-pt jump shot from 25 ft,111-88, ,,4,88,111,-23,2434.0
7:24.0, ,111-88,Defensive rebound by K. Hayes,,4,88,111,-23,2436.0
7:16.0, ,111-88,J. Ivey misses 3-pt jump shot from 27 ft,,4,88,111,-23,2444.0
7:16.0, ,111-88,Offensive rebound by Team,,4,88,111,-23,2444.0
7:16.0,D. Barlow enters the game for M. Branham,111-88, ,,4,88,111,-23,2444.0
7:16.0,T. Jones enters the game for C. Osman,111-88, ,,4,88,111,-23,2444.0
7:16.0,D. Vassell enters the game for V. Wembanyama,111-88, ,,4,88,111,-23,2444.0
7:08.0, ,111-88,J. Duren misses 2-pt jump shot from 18 ft,,4,88,111,-23,2452.0
7:05.0,Defensive rebound by J. Sochan,111-88, ,,4,88,111,-23,2455.0
7:00.0,D. Barlow makes 2-pt layup from 2 ft (assist by J. Sochan),113-88, ,,4,88,113,-25,2460.0
6:59.0, ,113-88,Detroit full timeout,,4,88,113,-25,2461.0
6:44.0, ,113-91,I. Livers makes 3-pt jump shot from 26 ft (assist by K. Hayes),,4,91,113,-22,2476.0
6:31.0,Shooting foul by I. Livers (drawn by D. Vassell),113-91, ,,4,91,113,-22,2489.0
6:31.0,D. Vassell makes free throw 1 of 2,114-91, ,,4,91,114,-23,2489.0
6:31.0,D. Vassell makes free throw 2 of 2,115-91, ,,4,91,115,-24,2489.0
6:12.0, ,115-91,J. Ivey misses 3-pt jump shot from 27 ft,,4,91,115,-24,2508.0
6:10.0, ,115-91,Offensive rebound by I. Livers,,4,91,115,-24,2510.0
6:06.0, ,115-93,J. Duren makes 2-pt dunk from 4 ft (assist by J. Ivey),,4,93,115,-22,2514.0
5:52.0,D. McDermott makes 2-pt layup from 3 ft (assist by D. Barlow),117-93, ,,4,93,117,-24,2528.0
5:39.0, ,117-95,J. Duren makes 2-pt dunk from 3 ft (assist by B. Bogdanović),,4,95,117,-22,2541.0
5:18.0,J. Sochan misses 2-pt jump shot from 16 ft,117-95, ,,4,95,117,-22,2562.0
5:18.0, ,117-95,Defensive rebound by I. Livers,,4,95,117,-22,2562.0
5:13.0, ,117-97,J. Ivey makes 2-pt layup from 4 ft (assist by I. Livers),,4,97,117,-20,2567.0
5:13.0,Violation by Team (def goaltending),117-97, ,,4,97,117,-20,2567.0
4:51.0,T. Jones misses 2-pt layup from 3 ft,117-97, ,,4,97,117,-20,2589.0
4:49.0,Offensive rebound by D. Barlow,117-97, ,,4,97,117,-20,2591.0
4:47.0,D. McDermott makes 3-pt jump shot from 27 ft (assist by D. Barlow),120-97, ,,4,97,120,-23,2593.0
4:31.0, ,120-99,J. Ivey makes 2-pt jump shot from 6 ft,,4,99,120,-21,2609.0
4:31.0, ,120-99,Shooting foul by T. Jones (drawn by J. Ivey),,4,99,120,-21,2609.0
4:31.0,J. Champagnie enters the game for J. Sochan,120-99, ,,4,99,120,-21,2609.0
4:31.0,C. Osman enters the game for D. Vassell,120-99, ,,4,99,120,-21,2609.0
4:31.0, ,120-100,J. Ivey makes free throw 1 of 1,,4,100,120,-20,2609.0
4:15.0,D. McDermott misses 3-pt jump shot from 26 ft,120-100, ,,4,100,120,-20,2625.0
4:12.0, ,120-100,Defensive rebound by K. Hayes,,4,100,120,-20,2628.0
4:07.0, ,120-103,J. Ivey makes 3-pt jump shot from 28 ft (assist by K. Hayes),,4,103,120,-17,2633.0
3:41.0,T. Jones misses 3-pt jump shot from 29 ft,120-103, ,,4,103,120,-17,2659.0
3:38.0, ,120-103,Defensive rebound by I. Livers,,4,103,120,-17,2662.0
3:29.0, ,120-103,J. Ivey misses 3-pt jump shot from 29 ft,,4,103,120,-17,2671.0
3:26.0,Defensive rebound by D. Barlow,120-103, ,,4,103,120,-17,2674.0
3:15.0,T. Jones makes 2-pt layup from 6 ft,122-103, ,,4,103,122,-19,2685.0
3:15.0, ,122-103,Detroit full timeout,,4,103,122,-19,2685.0
3:15.0,B. Wesley enters the game for D. McDermott,122-103, ,,4,103,122,-19,2685.0
3:15.0, ,122-103,A. Thompson enters the game for I. Livers,,4,103,122,-19,2685.0
2:54.0, ,122-105,J. Duren makes 2-pt dunk from 3 ft (assist by J. Ivey),,4,105,122,-17,2706.0
2:40.0,D. Barlow makes 2-pt dunk from 3 ft (assist by T. Jones),124-105, ,,4,105,124,-19,2720.0
2:20.0, ,124-105,K. Hayes misses 2-pt jump shot from 13 ft,,4,105,124,-19,2740.0
2:20.0,Defensive rebound by C. Osman,124-105, ,,4,105,124,-19,2740.0
2:02.0,C. Osman misses 3-pt jump shot from 24 ft,124-105, ,,4,105,124,-19,2758.0
1:59.0, ,124-105,Defensive rebound by J. Duren,,4,105,124,-19,2761.0
1:53.0, ,124-105,K. Hayes misses 2-pt jump shot from 8 ft (block by T. Jones),,4,105,124,-19,2767.0
1:48.0,Defensive rebound by C. Osman,124-105, ,,4,105,124,-19,2772.0
1:34.0,B. Wesley makes 2-pt layup from 2 ft (assist by T. Jones),126-105, ,,4,105,126,-21,2786.0
1:30.0, ,126-105,Personal take foul by B. Wesley (drawn by J. Ivey),,4,105,126,-21,2790.0
1:30.0,M. Branham enters the game for D. Barlow,126-105, ,,4,105,126,-21,2790.0
1:30.0,M. Diakite enters the game for J. Champagnie,126-105, ,,4,105,126,-21,2790.0
1:30.0,S. Mamukelashvili enters the game for T. Jones,126-105, ,,4,105,126,-21,2790.0
1:30.0, ,126-105,I. Livers enters the game for B. Bogdanović,,4,105,126,-21,2790.0
1:30.0, ,126-105,M. Sasser enters the game for J. Duren,,4,105,126,-21,2790.0
1:30.0, ,126-105,J. Wiseman enters the game for K. Hayes,,4,105,126,-21,2790.0
1:16.0, ,126-108,I. Livers makes 3-pt jump shot from 27 ft (assist by M. Sasser),,4,108,126,-18,2804.0
1:02.0,Shooting foul by A. Thompson (drawn by M. Diakite),126-108, ,,4,108,126,-18,2818.0
1:02.0,M. Diakite makes free throw 1 of 2,127-108, ,,4,108,127,-19,2818.0
1:02.0,M. Diakite misses free throw 2 of 2,127-108, ,,4,108,127,-19,2818.0
1:00.0, ,127-108,Defensive rebound by A. Thompson,,4,108,127,-19,2820.0
0:43.0, ,127-108,A. Thompson misses 3-pt jump shot from 24 ft,,4,108,127,-19,2837.0
0:40.0,Defensive rebound by M. Diakite,127-108, ,,4,108,127,-19,2840.0
0:32.0,B. Wesley makes 2-pt jump shot from 5 ft,129-108, ,,4,108,129,-21,2848.0
0:32.0,Shooting foul by A. Thompson (drawn by B. Wesley),129-108, ,,4,108,129,-21,2848.0
0:32.0,B. Wesley makes free throw 1 of 1,130-108, ,,4,108,130,-22,2848.0
0:21.0, ,130-108,M. Sasser misses 2-pt jump shot from 22 ft,,4,108,130,-22,2859.0
0:18.0,Defensive rebound by B. Wesley,130-108, ,,4,108,130,-22,2862.0
0:00.0,End of 4th quarter,130-108,,,4,108,130,-22,2880.0
