Time,Milwaukee,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Lopez vs. J. Duren (B. Bogdanović gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-0,K. Hayes misses 2-pt jump shot from 16 ft,,1,0,0,0,16.0
11:43.0,Defensive rebound by G. Antetokounmpo,0-0, ,,1,0,0,0,17.0
11:35.0,M. Beasley makes 3-pt jump shot from 24 ft (assist by D. Lillard),3-0, ,,1,0,3,-3,25.0
11:22.0, ,3-0,J. Ivey misses 2-pt jump shot from 15 ft,,1,0,3,-3,38.0
11:20.0,Defensive rebound by G. Antetokounmpo,3-0, ,,1,0,3,-3,40.0
11:06.0,Turnover by G. Antetokounmpo (out of bounds lost ball),3-0, ,,1,0,3,-3,54.0
10:49.0, ,3-0,Turnover by J. Duren (bad pass; steal by K. Middleton),,1,0,3,-3,71.0
10:45.0,G. Antetokounmpo misses 2-pt layup from 3 ft,3-0, ,,1,0,3,-3,75.0
10:43.0, ,3-0,Defensive rebound by J. Duren,,1,0,3,-3,77.0
10:35.0, ,3-2,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by K. Hayes),,1,2,3,-1,85.0
10:18.0,Turnover by K. Middleton (bad pass; steal by K. Hayes),3-2, ,,1,2,3,-1,102.0
10:16.0, ,3-4,K. Hayes makes 2-pt dunk from 2 ft,Lead change,1,4,3,1,104.0
9:59.0,B. Lopez makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),5-4, ,Lead change,1,4,5,-1,121.0
9:44.0, ,5-6,K. Knox makes 2-pt jump shot from 13 ft (assist by K. Hayes),Lead change,1,6,5,1,136.0
9:35.0,Shooting foul by K. Knox (drawn by D. Lillard),5-6, ,,1,6,5,1,145.0
9:35.0,D. Lillard makes free throw 1 of 2,6-6, ,Tie,1,6,6,0,145.0
9:35.0,D. Lillard makes free throw 2 of 2,7-6, ,Lead change,1,6,7,-1,145.0
9:13.0, ,7-6,B. Bogdanović misses 3-pt jump shot from 24 ft,,1,6,7,-1,167.0
9:08.0,Defensive rebound by G. Antetokounmpo,7-6, ,,1,6,7,-1,172.0
9:03.0,G. Antetokounmpo makes 2-pt layup from 3 ft,9-6, ,,1,6,9,-3,177.0
9:03.0,Shooting foul by J. Duren (drawn by G. Antetokounmpo),9-6, ,,1,6,9,-3,177.0
9:03.0,G. Antetokounmpo makes free throw 1 of 1,10-6, ,,1,6,10,-4,177.0
8:53.0, ,10-6,Shooting foul by K. Middleton (drawn by B. Bogdanović),,1,6,10,-4,187.0
8:53.0, ,10-6,B. Bogdanović misses free throw 1 of 2,,1,6,10,-4,187.0
8:53.0, ,10-6,Offensive rebound by Team,,1,6,10,-4,187.0
8:53.0, ,10-7,B. Bogdanović makes free throw 2 of 2,,1,7,10,-3,187.0
8:43.0,Offensive foul by G. Antetokounmpo (drawn by J. Ivey),10-7, ,,1,7,10,-3,197.0
8:43.0,Turnover by G. Antetokounmpo (offensive foul),10-7, ,,1,7,10,-3,197.0
8:43.0, ,10-7,I. Stewart enters the game for K. Knox,,1,7,10,-3,197.0
8:24.0, ,10-7,J. Duren misses 2-pt jump shot from 4 ft,,1,7,10,-3,216.0
8:22.0,Defensive rebound by D. Lillard,10-7, ,,1,7,10,-3,218.0
8:18.0,M. Beasley makes 2-pt layup from 4 ft (assist by D. Lillard),12-7, ,,1,7,12,-5,222.0
8:12.0, ,12-9,B. Bogdanović makes 2-pt jump shot from 13 ft (assist by K. Hayes),,1,9,12,-3,228.0
7:54.0,K. Middleton makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),15-9, ,,1,9,15,-6,246.0
7:43.0, ,15-9,B. Bogdanović misses 3-pt jump shot from 25 ft,,1,9,15,-6,257.0
7:40.0,Defensive rebound by G. Antetokounmpo,15-9, ,,1,9,15,-6,260.0
7:35.0,G. Antetokounmpo makes 3-pt jump shot from 26 ft,18-9, ,,1,9,18,-9,265.0
7:17.0, ,18-11,J. Duren makes 2-pt jump shot from 4 ft (assist by J. Ivey),,1,11,18,-7,283.0
7:04.0,D. Lillard misses 2-pt jump shot from 19 ft (block by K. Hayes),18-11, ,,1,11,18,-7,296.0
7:00.0, ,18-11,Defensive rebound by J. Duren,,1,11,18,-7,300.0
