Time,Golden State,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:26.0,M. Moody misses 2-pt layup from 4 ft,74-71, ,,3,71,74,-3,1954.0
3:24.0, ,74-71,Defensive rebound by I. Stewart,,3,71,74,-3,1956.0
3:24.0, ,74-71,S. Umude enters the game for M. Bagley,,3,71,74,-3,1956.0
3:20.0, ,74-71,Detroit full timeout,,3,71,74,-3,1960.0
3:20.0, ,74-71,M. Bagley enters the game for S. Umude,,3,71,74,-3,1960.0
3:20.0, ,74-71,Instant Replay (Challenge: Ruling Stands),,3,71,74,-3,1960.0
3:20.0, ,74-71,S. Umude enters the game for M. Bagley,,3,71,74,-3,1960.0
3:20.0, ,74-73,A. Thompson makes 2-pt layup from 5 ft (assist by I. Stewart),,3,73,74,-1,1960.0
3:20.0, ,74-73,Shooting foul by D. Šarić (drawn by A. Thompson),,3,73,74,-1,1960.0
3:20.0,J. Kuminga enters the game for S. Curry,74-73, ,,3,73,74,-1,1960.0
3:20.0,C. Paul enters the game for D. Green,74-73, ,,3,73,74,-1,1960.0
3:20.0, ,74-74,A. Thompson makes free throw 1 of 1,Tie,3,74,74,0,1960.0
3:02.0,D. Šarić misses 2-pt hook shot from 11 ft,74-74, ,,3,74,74,0,1978.0
2:55.0,Offensive rebound by G. Payton,74-74, ,,3,74,74,0,1985.0
2:55.0,G. Payton misses 2-pt layup at rim,74-74, ,,3,74,74,0,1985.0
2:54.0, ,74-74,Defensive rebound by A. Thompson,,3,74,74,0,1986.0
2:53.0, ,74-77,S. Umude makes 3-pt jump shot from 27 ft (assist by C. Cunningham),Lead change,3,77,74,3,1987.0
2:36.0,M. Moody misses 3-pt jump shot from 25 ft,74-77, ,,3,77,74,3,2004.0
2:33.0,Offensive rebound by G. Payton,74-77, ,,3,77,74,3,2007.0
2:28.0,M. Moody misses 3-pt jump shot from 24 ft,74-77, ,,3,77,74,3,2012.0
2:22.0, ,74-77,Defensive rebound by A. Thompson,,3,77,74,3,2018.0
2:09.0, ,74-80,S. Umude makes 3-pt jump shot from 23 ft (assist by M. Sasser),,3,80,74,6,2031.0
1:48.0,D. Šarić makes 2-pt layup from 7 ft,76-80, ,,3,80,76,4,2052.0
1:48.0,Shooting foul by S. Umude (drawn by D. Šarić),76-80, ,,3,80,76,4,2052.0
1:48.0, ,76-80,K. Hayes enters the game for C. Cunningham,,3,80,76,4,2052.0
1:48.0, ,76-80,Detroit full timeout,,3,80,76,4,2052.0
1:48.0, ,76-80,C. Cunningham enters the game for K. Hayes,,3,80,76,4,2052.0
1:48.0, ,76-80,Instant Replay (Challenge: Stands),,3,80,76,4,2052.0
1:48.0,D. Šarić makes free throw 1 of 1,77-80, ,,3,80,77,3,2052.0
1:30.0, ,77-80,M. Sasser misses 3-pt jump shot from 29 ft,,3,80,77,3,2070.0
1:26.0,Defensive rebound by C. Paul,77-80, ,,3,80,77,3,2074.0
1:09.0,C. Paul misses 3-pt jump shot from 25 ft,77-80, ,,3,80,77,3,2091.0
1:05.0,Offensive rebound by D. Šarić,77-80, ,,3,80,77,3,2095.0
1:02.0,J. Kuminga misses 3-pt jump shot from 24 ft,77-80, ,,3,80,77,3,2098.0
1:00.0,Offensive rebound by Team,77-80, ,,3,80,77,3,2100.0
1:00.0, ,77-80,J. Rhoden enters the game for A. Thompson,,3,80,77,3,2100.0
0:57.0,Personal foul by J. Rhoden (drawn by J. Kuminga),77-80, ,,3,80,77,3,2103.0
0:57.0,J. Kuminga makes free throw 1 of 2,78-80, ,,3,80,78,2,2103.0
0:57.0,J. Kuminga misses free throw 2 of 2,78-80, ,,3,80,78,2,2103.0
0:53.0, ,78-80,Defensive rebound by J. Rhoden,,3,80,78,2,2107.0
0:37.0, ,78-80,Turnover by J. Rhoden (bad pass; steal by M. Moody),,3,80,78,2,2123.0
0:35.0,G. Payton makes 2-pt dunk from 3 ft (assist by M. Moody),80-80, ,Tie,3,80,80,0,2125.0
0:21.0, ,80-82,K. Hayes makes 2-pt jump shot from 10 ft (assist by M. Sasser),,3,82,80,2,2139.0
0:00.0,D. Šarić makes 2-pt layup from 2 ft (assist by C. Paul),82-82, ,Tie,3,82,82,0,2160.0
0:00.0,Shooting foul by M. Sasser (drawn by D. Šarić),82-82, ,,3,82,82,0,2160.0
0:00.0,D. Šarić makes free throw 1 of 1,83-82, ,Lead change,3,82,83,-1,2160.0
0:00.0,End of 3rd quarter,83-82,,,3,82,83,-1,2160.0
12:00.0,Start of 4th quarter,83-82,,,4,82,83,-1,2160.0
11:37.0, ,83-85,K. Hayes makes 3-pt jump shot from 24 ft (assist by C. Cunningham),Lead change,4,85,83,2,2183.0
11:13.0,Shooting foul by S. Umude (drawn by J. Kuminga),83-85, ,,4,85,83,2,2207.0
11:13.0,J. Kuminga makes free throw 1 of 2,84-85, ,,4,85,84,1,2207.0
11:13.0,J. Kuminga makes free throw 2 of 2,85-85, ,Tie,4,85,85,0,2207.0
10:48.0, ,85-88,S. Umude makes 3-pt jump shot from 26 ft (assist by M. Sasser),,4,88,85,3,2232.0
10:30.0,C. Paul makes 3-pt jump shot from 25 ft (assist by D. Šarić),88-88, ,Tie,4,88,88,0,2250.0
10:21.0,Violation by Team (kicked ball),88-88, ,,4,88,88,0,2259.0
10:12.0, ,88-90,C. Cunningham makes 2-pt jump shot from 16 ft,,4,90,88,2,2268.0
9:47.0,C. Paul misses 2-pt jump shot from 18 ft,88-90, ,,4,90,88,2,2293.0
9:43.0, ,88-90,Defensive rebound by K. Hayes,,4,90,88,2,2297.0
9:42.0, ,88-92,S. Umude makes 2-pt layup from 5 ft,,4,92,88,4,2298.0
9:42.0, ,88-92,Shooting foul by G. Payton (drawn by S. Umude),,4,92,88,4,2298.0
9:42.0, ,88-93,S. Umude makes free throw 1 of 1,,4,93,88,5,2298.0
9:24.0,Shooting foul by C. Cunningham (drawn by J. Kuminga),88-93, ,,4,93,88,5,2316.0
9:24.0,J. Kuminga makes free throw 1 of 2,89-93, ,,4,93,89,4,2316.0
9:24.0,J. Kuminga makes free throw 2 of 2,90-93, ,,4,93,90,3,2316.0
9:11.0, ,90-95,M. Bagley makes 2-pt jump shot from 8 ft (assist by K. Hayes),,4,95,90,5,2329.0
9:04.0,C. Paul makes 2-pt layup from 9 ft,92-95, ,,4,95,92,3,2336.0
9:04.0,Shooting foul by M. Sasser (drawn by C. Paul),92-95, ,,4,95,92,3,2336.0
9:04.0,C. Paul makes free throw 1 of 1,93-95, ,,4,95,93,2,2336.0
8:44.0, ,93-95,Shooting foul by J. Kuminga (drawn by C. Cunningham),,4,95,93,2,2356.0
8:44.0, ,93-96,C. Cunningham makes free throw 1 of 2,,4,96,93,3,2356.0
8:44.0,Golden State full timeout,93-96, ,,4,96,93,3,2356.0
8:44.0,S. Curry enters the game for M. Moody,93-96, ,,4,96,93,3,2356.0
8:44.0,K. Looney enters the game for G. Payton,93-96, ,,4,96,93,3,2356.0
8:44.0,K. Thompson enters the game for D. Šarić,93-96, ,,4,96,93,3,2356.0
8:44.0, ,93-97,C. Cunningham makes free throw 2 of 2,,4,97,93,4,2356.0
8:21.0,J. Kuminga makes 2-pt jump shot from 11 ft (assist by S. Curry),95-97, ,,4,97,95,2,2379.0
7:57.0, ,95-97,K. Hayes misses 2-pt jump shot from 19 ft,,4,97,95,2,2403.0
7:53.0,Defensive rebound by K. Looney,95-97, ,,4,97,95,2,2407.0
7:46.0,K. Thompson makes 3-pt jump shot from 28 ft (assist by C. Paul),98-97, ,Lead change,4,97,98,-1,2414.0
7:32.0, ,98-97,C. Cunningham misses 2-pt jump shot from 19 ft,,4,97,98,-1,2428.0
7:28.0,Defensive rebound by S. Curry,98-97, ,,4,97,98,-1,2432.0
7:24.0,J. Kuminga makes 2-pt layup from 3 ft (assist by S. Curry),100-97, ,,4,97,100,-3,2436.0
7:04.0, ,100-97,S. Umude misses 2-pt jump shot from 8 ft,,4,97,100,-3,2456.0
7:01.0,Defensive rebound by K. Looney,100-97, ,,4,97,100,-3,2459.0
6:54.0,S. Curry makes 3-pt jump shot from 24 ft (assist by C. Paul),103-97, ,,4,97,103,-6,2466.0
6:54.0, ,103-97,Detroit full timeout,,4,97,103,-6,2466.0
6:54.0, ,103-97,I. Stewart enters the game for M. Bagley,,4,97,103,-6,2466.0
6:54.0, ,103-97,A. Thompson enters the game for K. Hayes,,4,97,103,-6,2466.0
6:41.0, ,103-97,C. Cunningham misses 2-pt jump shot from 16 ft,,4,97,103,-6,2479.0
6:37.0,Defensive rebound by S. Curry,103-97, ,,4,97,103,-6,2483.0
6:36.0,Turnover by S. Curry (lost ball; steal by M. Sasser),103-97, ,,4,97,103,-6,2484.0
6:31.0, ,103-97,C. Cunningham misses 3-pt jump shot from 28 ft,,4,97,103,-6,2489.0
6:29.0, ,103-97,Offensive rebound by A. Thompson,,4,97,103,-6,2491.0
6:24.0, ,103-97,A. Thompson misses 3-pt jump shot from 24 ft,,4,97,103,-6,2496.0
6:21.0, ,103-97,Offensive rebound by Team,,4,97,103,-6,2499.0
6:21.0,Loose ball foul by K. Looney (drawn by M. Sasser),103-97, ,,4,97,103,-6,2499.0
6:09.0, ,103-99,I. Stewart makes 2-pt layup from 4 ft (assist by C. Cunningham),,4,99,103,-4,2511.0
5:53.0,K. Thompson misses 3-pt jump shot from 25 ft,103-99, ,,4,99,103,-4,2527.0
5:50.0, ,103-99,Defensive rebound by S. Umude,,4,99,103,-4,2530.0
5:35.0, ,103-99,C. Cunningham misses 2-pt jump shot from 8 ft,,4,99,103,-4,2545.0
5:31.0, ,103-99,Offensive rebound by I. Stewart,,4,99,103,-4,2549.0
5:26.0, ,103-101,C. Cunningham makes 2-pt layup from 4 ft,,4,101,103,-2,2554.0
5:25.0,Golden State full timeout,103-101, ,,4,101,103,-2,2555.0
5:25.0,D. Green enters the game for J. Kuminga,103-101, ,,4,101,103,-2,2555.0
5:25.0,G. Payton enters the game for C. Paul,103-101, ,,4,101,103,-2,2555.0
5:10.0,K. Thompson makes 2-pt jump shot from 12 ft,105-101, ,,4,101,105,-4,2570.0
4:44.0, ,105-103,A. Thompson makes 2-pt layup from 2 ft,,4,103,105,-2,2596.0
4:29.0,K. Thompson misses 3-pt jump shot from 25 ft,105-103, ,,4,103,105,-2,2611.0
4:29.0,Offensive rebound by G. Payton,105-103, ,,4,103,105,-2,2611.0
4:29.0,Personal foul by S. Umude (drawn by G. Payton),105-103, ,,4,103,105,-2,2611.0
4:29.0, ,105-103,K. Hayes enters the game for S. Umude,,4,103,105,-2,2611.0
4:19.0,S. Curry makes 2-pt jump shot from 22 ft,107-103, ,,4,103,107,-4,2621.0
4:00.0, ,107-103,Offensive foul by I. Stewart (drawn by S. Curry),,4,103,107,-4,2640.0
4:00.0, ,107-103,Turnover by I. Stewart (offensive foul),,4,103,107,-4,2640.0
3:47.0,Shooting foul by C. Cunningham (drawn by S. Curry),107-103, ,,4,103,107,-4,2653.0
3:47.0,S. Curry makes free throw 1 of 2,108-103, ,,4,103,108,-5,2653.0
3:47.0,S. Curry makes free throw 2 of 2,109-103, ,,4,103,109,-6,2653.0
3:33.0, ,109-103,A. Thompson misses 3-pt jump shot from 25 ft,,4,103,109,-6,2667.0
3:32.0, ,109-103,Offensive rebound by I. Stewart,,4,103,109,-6,2668.0
3:32.0, ,109-103,Shooting foul by K. Thompson (drawn by I. Stewart),,4,103,109,-6,2668.0
3:32.0, ,109-104,I. Stewart makes free throw 1 of 2,,4,104,109,-5,2668.0
3:32.0, ,109-105,I. Stewart makes free throw 2 of 2,,4,105,109,-4,2668.0
3:22.0,S. Curry misses 3-pt jump shot from 30 ft,109-105, ,,4,105,109,-4,2678.0
3:19.0, ,109-105,Defensive rebound by C. Cunningham,,4,105,109,-4,2681.0
3:10.0, ,109-105,K. Hayes misses 2-pt jump shot from 18 ft,,4,105,109,-4,2690.0
3:09.0,Defensive rebound by Team,109-105, ,,4,105,109,-4,2691.0
3:09.0, ,109-105,Loose ball foul by I. Stewart (drawn by D. Green),,4,105,109,-4,2691.0
3:09.0,D. Green makes free throw 1 of 2,110-105, ,,4,105,110,-5,2691.0
3:09.0,D. Green makes free throw 2 of 2,111-105, ,,4,105,111,-6,2691.0
2:57.0, ,111-105,I. Stewart misses 2-pt layup from 6 ft (block by K. Looney),,4,105,111,-6,2703.0
2:57.0, ,111-105,Offensive rebound by Team,,4,105,111,-6,2703.0
2:51.0, ,111-105,Turnover by C. Cunningham (out of bounds lost ball),,4,105,111,-6,2709.0
2:37.0,K. Looney makes 2-pt layup from 3 ft (assist by S. Curry),113-105, ,,4,105,113,-8,2723.0
2:23.0, ,113-107,K. Hayes makes 2-pt jump shot from 8 ft,,4,107,113,-6,2737.0
2:07.0,S. Curry misses 3-pt jump shot from 29 ft,113-107, ,,4,107,113,-6,2753.0
2:02.0, ,113-107,Defensive rebound by I. Stewart,,4,107,113,-6,2758.0
1:57.0, ,113-107,Turnover by  (8 sec),,4,107,113,-6,2763.0
1:57.0,C. Paul enters the game for K. Looney,113-107, ,,4,107,113,-6,2763.0
1:48.0,Turnover by S. Curry (lost ball; steal by C. Cunningham),113-107, ,,4,107,113,-6,2772.0
1:45.0, ,113-107,Shooting foul by D. Green (drawn by I. Stewart),,4,107,113,-6,2775.0
1:45.0, ,113-108,I. Stewart makes free throw 1 of 2,,4,108,113,-5,2775.0
1:45.0, ,113-109,I. Stewart makes free throw 2 of 2,,4,109,113,-4,2775.0
1:26.0,C. Paul makes 2-pt jump shot from 12 ft,115-109, ,,4,109,115,-6,2794.0
1:13.0, ,115-109,I. Stewart misses 2-pt hook shot from 9 ft,,4,109,115,-6,2807.0
1:10.0,Defensive rebound by D. Green,115-109, ,,4,109,115,-6,2810.0
1:04.0,Personal foul by M. Sasser (drawn by C. Paul),115-109, ,,4,109,115,-6,2816.0
1:04.0,C. Paul makes free throw 1 of 2,116-109, ,,4,109,116,-7,2816.0
1:04.0,C. Paul makes free throw 2 of 2,117-109, ,,4,109,117,-8,2816.0
0:52.0, ,117-109,M. Sasser misses 3-pt jump shot from 26 ft,,4,109,117,-8,2828.0
0:48.0,Defensive rebound by C. Paul,117-109, ,,4,109,117,-8,2832.0
0:29.0,S. Curry makes 2-pt layup at rim,119-109, ,,4,109,119,-10,2851.0
0:29.0, ,119-109,Detroit full timeout,,4,109,119,-10,2851.0
0:29.0,T. Jackson-Davis enters the game for S. Curry,119-109, ,,4,109,119,-10,2851.0
0:29.0,J. Kuminga enters the game for D. Green,119-109, ,,4,109,119,-10,2851.0
0:29.0,M. Moody enters the game for C. Paul,119-109, ,,4,109,119,-10,2851.0
0:29.0,B. Podziemski enters the game for K. Thompson,119-109, ,,4,109,119,-10,2851.0
0:23.0, ,119-109,K. Hayes misses 2-pt jump shot from 16 ft,,4,109,119,-10,2857.0
0:21.0, ,119-109,Offensive rebound by A. Thompson,,4,109,119,-10,2859.0
0:16.0, ,119-109,Turnover by C. Cunningham (bad pass; steal by J. Kuminga),,4,109,119,-10,2864.0
0:16.0,Personal take foul by A. Thompson (drawn by J. Kuminga),119-109, ,,4,109,119,-10,2864.0
0:16.0,J. Kuminga misses free throw 1 of 2,119-109, ,,4,109,119,-10,2864.0
0:16.0,Offensive rebound by Team,119-109, ,,4,109,119,-10,2864.0
0:16.0,J. Kuminga makes free throw 2 of 2,120-109, ,,4,109,120,-11,2864.0
0:00.0,End of 4th quarter,120-109,,,4,109,120,-11,2880.0
