Time,Golden State,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:10.0,Defensive rebound by G. Payton,22-19, ,,1,19,22,-3,470.0
3:56.0,S. Curry misses 2-pt jump shot from 17 ft,22-19, ,,1,19,22,-3,484.0
3:53.0,Offensive rebound by M. Moody,22-19, ,,1,19,22,-3,487.0
3:48.0,M. Moody makes 2-pt layup from 2 ft,24-19, ,,1,19,24,-5,492.0
3:41.0, ,24-19,Turnover by C. Cunningham (lost ball; steal by M. Moody),,1,19,24,-5,499.0
3:39.0,G. Payton makes 2-pt layup from 3 ft (assist by C. Paul),26-19, ,,1,19,26,-7,501.0
3:38.0, ,26-19,Detroit full timeout,,1,19,26,-7,502.0
3:38.0,J. Kuminga enters the game for S. Curry,26-19, ,,1,19,26,-7,502.0
3:38.0, ,26-19,K. Hayes enters the game for C. Cunningham,,1,19,26,-7,502.0
3:26.0, ,26-19,J. Wiseman misses 2-pt jump shot from 18 ft,,1,19,26,-7,514.0
3:22.0,Defensive rebound by C. Paul,26-19, ,,1,19,26,-7,518.0
3:15.0,Golden State full timeout,26-19, ,,1,19,26,-7,525.0
3:15.0, ,26-19,M. Bagley enters the game for J. Wiseman,,1,19,26,-7,525.0
3:07.0,D. Šarić misses 3-pt jump shot from 27 ft,26-19, ,,1,19,26,-7,533.0
3:05.0,Offensive rebound by Team,26-19, ,,1,19,26,-7,535.0
3:05.0, ,26-19,Loose ball foul by M. Sasser (drawn by M. Moody),,1,19,26,-7,535.0
3:05.0, ,26-19,J. Wiseman enters the game for M. Bagley,,1,19,26,-7,535.0
2:54.0,M. Moody misses 2-pt jump shot from 12 ft,26-19, ,,1,19,26,-7,546.0
2:50.0, ,26-19,Defensive rebound by S. Umude,,1,19,26,-7,550.0
2:43.0, ,26-19,S. Umude misses 2-pt jump shot from 6 ft,,1,19,26,-7,557.0
2:41.0, ,26-19,Offensive rebound by J. Rhoden,,1,19,26,-7,559.0
2:41.0, ,26-19,Shooting foul by G. Payton (drawn by J. Rhoden),,1,19,26,-7,559.0
2:41.0, ,26-20,J. Rhoden makes free throw 1 of 2,,1,20,26,-6,559.0
2:41.0, ,26-21,J. Rhoden makes free throw 2 of 2,,1,21,26,-5,559.0
2:18.0,J. Kuminga misses 3-pt jump shot from 26 ft,26-21, ,,1,21,26,-5,582.0
2:14.0, ,26-21,Defensive rebound by J. Wiseman,,1,21,26,-5,586.0
2:10.0, ,26-24,S. Umude makes 3-pt jump shot from 23 ft (assist by K. Hayes),,1,24,26,-2,590.0
1:55.0,Turnover by J. Kuminga (traveling),26-24, ,,1,24,26,-2,605.0
1:44.0, ,26-24,M. Sasser misses 2-pt jump shot from 17 ft,,1,24,26,-2,616.0
1:41.0,Defensive rebound by J. Kuminga,26-24, ,,1,24,26,-2,619.0
1:33.0,J. Kuminga misses 2-pt jump shot from 7 ft (block by K. Hayes),26-24, ,,1,24,26,-2,627.0
1:31.0, ,26-24,Defensive rebound by K. Hayes,,1,24,26,-2,629.0
1:31.0, ,26-24,Personal foul by J. Kuminga (drawn by K. Hayes),,1,24,26,-2,629.0
1:23.0, ,26-24,J. Rhoden misses 2-pt jump shot from 13 ft,,1,24,26,-2,637.0
1:19.0,Defensive rebound by G. Payton,26-24, ,,1,24,26,-2,641.0
1:11.0,D. Šarić misses 3-pt jump shot from 25 ft,26-24, ,,1,24,26,-2,649.0
1:06.0, ,26-24,Defensive rebound by S. Umude,,1,24,26,-2,654.0
0:59.0, ,26-24,Turnover by S. Umude (bad pass; steal by G. Payton),,1,24,26,-2,661.0
0:55.0,C. Paul makes 2-pt jump shot from 17 ft,28-24, ,,1,24,28,-4,665.0
0:41.0, ,28-24,Personal foul by J. Kuminga (drawn by K. Hayes),,1,24,28,-4,679.0
0:41.0, ,28-25,K. Hayes makes free throw 1 of 2,,1,25,28,-3,679.0
0:41.0, ,28-25,I. Stewart enters the game for J. Rhoden,,1,25,28,-3,679.0
0:41.0, ,28-25,A. Thompson enters the game for J. Wiseman,,1,25,28,-3,679.0
0:41.0, ,28-26,K. Hayes makes free throw 2 of 2,,1,26,28,-2,679.0
0:30.0,C. Paul makes 3-pt jump shot from 22 ft,31-26, ,,1,26,31,-5,690.0
