Time,Detroit,Score,Brooklyn,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: I. Stewart vs. N. Claxton (J. Ivey gains possession),0-0,,,1,0,0,0,0.0
11:43.0,A. Thompson makes 2-pt dunk from 1 ft (assist by J. Ivey),2-0, ,,1,2,0,2,17.0
11:43.0,Shooting foul by N. Claxton (drawn by A. Thompson),2-0, ,,1,2,0,2,17.0
11:43.0,A. Thompson makes free throw 1 of 1,3-0, ,,1,3,0,3,17.0
11:20.0, ,3-0,C. Johnson misses 3-pt jump shot from 23 ft (block by J. Ivey),,1,3,0,3,40.0
11:14.0,Defensive rebound by I. Stewart,3-0, ,,1,3,0,3,46.0
11:08.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),6-0, ,,1,6,0,6,52.0
10:49.0, ,6-0,Shooting foul by J. Ivey (drawn by S. Dinwiddie),,1,6,0,6,71.0
10:49.0, ,6-0,S. Dinwiddie misses free throw 1 of 2,,1,6,0,6,71.0
10:49.0, ,6-0,Offensive rebound by Team,,1,6,0,6,71.0
10:49.0, ,6-0,S. Dinwiddie misses free throw 2 of 2,,1,6,0,6,71.0
10:46.0,Defensive rebound by I. Stewart,6-0, ,,1,6,0,6,74.0
10:37.0,Turnover by B. Bogdanović (bad pass; steal by C. Thomas),6-0, ,,1,6,0,6,83.0
10:34.0, ,6-2,M. Bridges makes 2-pt layup at rim (assist by C. Thomas),,1,6,2,4,86.0
10:34.0, ,6-2,Shooting foul by C. Cunningham (drawn by M. Bridges),,1,6,2,4,86.0
10:34.0, ,6-3,M. Bridges makes free throw 1 of 1,,1,6,3,3,86.0
10:19.0,A. Thompson misses 3-pt jump shot from 26 ft,6-3, ,,1,6,3,3,101.0
10:16.0, ,6-3,Defensive rebound by Team,,1,6,3,3,104.0
10:05.0, ,6-3,M. Bridges misses 3-pt jump shot from 24 ft,,1,6,3,3,115.0
