Time,Detroit,Score,Indiana,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:43.0, ,107-123,A. Nembhard misses 2-pt jump shot from 21 ft,,4,107,123,-16,2717.0
2:41.0, ,107-123,Offensive rebound by B. Mathurin,,4,107,123,-16,2719.0
2:41.0, ,107-125,B. Mathurin makes 2-pt dunk at rim,,4,107,125,-18,2719.0
2:33.0,C. Cunningham misses 3-pt jump shot from 25 ft,107-125, ,,4,107,125,-18,2727.0
2:28.0, ,107-125,Defensive rebound by P. Siakam,,4,107,125,-18,2732.0
2:19.0, ,107-127,P. Siakam makes 2-pt layup from 4 ft (assist by T. Haliburton),,4,107,127,-20,2741.0
2:06.0,J. Ivey makes 2-pt jump shot from 12 ft,109-127, ,,4,109,127,-18,2754.0
1:44.0, ,109-127,T. Haliburton misses 3-pt jump shot from 28 ft,,4,109,127,-18,2776.0
1:40.0,Defensive rebound by J. Duren,109-127, ,,4,109,127,-18,2780.0
1:37.0,C. Cunningham makes 2-pt dunk from 2 ft,111-127, ,,4,111,127,-16,2783.0
1:22.0, ,111-127,Turnover by T. Haliburton (bad pass; steal by A. Thompson),,4,111,127,-16,2798.0
1:19.0,S. Fontecchio makes 2-pt layup from 2 ft (assist by A. Thompson),113-127, ,,4,113,127,-14,2801.0
1:19.0, ,113-127,Violation by Team (def goaltending),,4,113,127,-14,2801.0
1:19.0, ,113-127,Indiana full timeout,,4,113,127,-14,2801.0
1:00.0, ,113-129,M. Turner makes 2-pt layup from 3 ft (assist by T. Haliburton),,4,113,129,-16,2820.0
0:49.0,Personal foul by P. Siakam (drawn by J. Duren),113-129, ,,4,113,129,-16,2831.0
0:34.0,A. Thompson makes 2-pt jump shot from 14 ft,115-129, ,,4,115,129,-14,2846.0
0:10.0, ,115-129,Turnover by Team (shot clock),,4,115,129,-14,2870.0
0:00.0,End of 4th quarter,115-129,,,4,115,129,-14,2880.0
