Time,Portland,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:04.0, ,12-16,A. Thompson makes 2-pt layup from 3 ft (assist by M. Bagley),,1,16,12,4,296.0
6:55.0,Turnover by J. Grant (lost ball; steal by A. Thompson),12-16, ,,1,16,12,4,305.0
6:51.0, ,12-16,Turnover by A. Thompson (out of bounds lost ball),,1,16,12,4,309.0
6:51.0, ,12-16,Detroit full timeout,,1,16,12,4,309.0
6:51.0,R. Williams enters the game for M. Thybulle,12-16, ,,1,16,12,4,309.0
6:51.0, ,12-16,J. Ivey enters the game for A. Thompson,,1,16,12,4,309.0
6:35.0,D. Ayton makes 2-pt hook shot from 4 ft (assist by S. Sharpe),14-16, ,,1,16,14,2,325.0
6:11.0, ,14-16,M. Bagley misses 2-pt hook shot from 5 ft,,1,16,14,2,349.0
6:09.0,Defensive rebound by D. Ayton,14-16, ,,1,16,14,2,351.0
6:01.0,R. Williams misses 2-pt layup from 4 ft (block by M. Bagley),14-16, ,,1,16,14,2,359.0
5:53.0, ,14-16,Defensive rebound by K. Hayes,,1,16,14,2,367.0
5:52.0, ,14-16,M. Bagley misses 2-pt jump shot from 4 ft,,1,16,14,2,368.0
5:52.0,Defensive rebound by R. Williams,14-16, ,,1,16,14,2,368.0
5:42.0,D. Ayton makes 2-pt jump shot from 16 ft (assist by S. Sharpe),16-16, ,Tie,1,16,16,0,378.0
5:21.0, ,16-16,Turnover by C. Cunningham (lost ball; steal by J. Grant),,1,16,16,0,399.0
5:16.0,Turnover by S. Henderson (lost ball; steal by K. Hayes),16-16, ,,1,16,16,0,404.0
5:09.0, ,16-18,M. Bagley makes 2-pt dunk from 2 ft (assist by I. Stewart),,1,18,16,2,411.0
4:51.0,D. Ayton misses 2-pt jump shot from 9 ft,16-18, ,,1,18,16,2,429.0
4:48.0, ,16-18,Defensive rebound by K. Hayes,,1,18,16,2,432.0
4:43.0, ,16-21,C. Cunningham makes 3-pt jump shot from 29 ft (assist by I. Stewart),,1,21,16,5,437.0
4:41.0,Portland full timeout,16-21, ,,1,21,16,5,439.0
4:41.0,M. Brogdon enters the game for S. Sharpe,16-21, ,,1,21,16,5,439.0
4:41.0, ,16-21,M. Sasser enters the game for M. Bagley,,1,21,16,5,439.0
4:41.0, ,16-21,S. Umude enters the game for K. Hayes,,1,21,16,5,439.0
4:41.0, ,16-21,J. Wiseman enters the game for I. Stewart,,1,21,16,5,439.0
4:27.0,J. Grant makes 2-pt jump shot from 3 ft,18-21, ,,1,21,18,3,453.0
4:18.0, ,18-21,Offensive foul by J. Wiseman (drawn by J. Grant),,1,21,18,3,462.0
4:18.0, ,18-21,Turnover by J. Wiseman (offensive foul),,1,21,18,3,462.0
4:03.0,J. Grant misses 2-pt layup from 3 ft,18-21, ,,1,21,18,3,477.0
4:00.0, ,18-21,Defensive rebound by S. Umude,,1,21,18,3,480.0
3:56.0, ,18-21,Turnover by J. Ivey (bad pass; steal by D. Ayton),,1,21,18,3,484.0
3:55.0,Shooting foul by S. Umude (drawn by J. Grant),18-21, ,,1,21,18,3,485.0
3:55.0,J. Grant misses free throw 1 of 2,18-21, ,,1,21,18,3,485.0
3:55.0,Offensive rebound by Team,18-21, ,,1,21,18,3,485.0
3:55.0,J. Grant makes free throw 2 of 2,19-21, ,,1,21,19,2,485.0
3:43.0, ,19-21,J. Ivey misses 2-pt jump shot from 19 ft,,1,21,19,2,497.0
3:41.0,Defensive rebound by R. Williams,19-21, ,,1,21,19,2,499.0
3:37.0,Shooting foul by J. Wiseman (drawn by S. Henderson),19-21, ,,1,21,19,2,503.0
3:37.0,S. Henderson makes free throw 1 of 2,20-21, ,,1,21,20,1,503.0
3:37.0,T. Camara enters the game for D. Ayton,20-21, ,,1,21,20,1,503.0
3:37.0, ,20-21,K. Hayes enters the game for C. Cunningham,,1,21,20,1,503.0
3:37.0,S. Henderson makes free throw 2 of 2,21-21, ,Tie,1,21,21,0,503.0
3:24.0, ,21-21,S. Umude misses 2-pt jump shot from 11 ft,,1,21,21,0,516.0
3:22.0,Defensive rebound by M. Brogdon,21-21, ,,1,21,21,0,518.0
3:17.0,M. Brogdon misses 2-pt layup from 3 ft,21-21, ,,1,21,21,0,523.0
3:13.0, ,21-21,Defensive rebound by J. Wiseman,,1,21,21,0,527.0
3:08.0, ,21-23,J. Wiseman makes 2-pt layup from 3 ft (assist by M. Sasser),,1,23,21,2,532.0
2:59.0,S. Henderson misses 2-pt layup from 9 ft (block by M. Sasser),21-23, ,,1,23,21,2,541.0
2:59.0,Offensive rebound by Team,21-23, ,,1,23,21,2,541.0
2:57.0,Personal foul by J. Wiseman (drawn by R. Williams),21-23, ,,1,23,21,2,543.0
2:57.0,R. Williams makes free throw 1 of 2,22-23, ,,1,23,22,1,543.0
2:57.0,S. Sharpe enters the game for S. Henderson,22-23, ,,1,23,22,1,543.0
2:57.0, ,22-23,M. Bagley enters the game for J. Wiseman,,1,23,22,1,543.0
2:57.0,R. Williams makes free throw 2 of 2,23-23, ,Tie,1,23,23,0,543.0
2:44.0, ,23-26,J. Ivey makes 3-pt jump shot from 30 ft (assist by M. Sasser),,1,26,23,3,556.0
2:28.0,Turnover by J. Grant (bad pass),23-26, ,,1,26,23,3,572.0
2:20.0, ,23-26,Shooting foul by R. Williams (drawn by M. Bagley),,1,26,23,3,580.0
2:20.0, ,23-27,M. Bagley makes free throw 1 of 2,,1,27,23,4,580.0
2:20.0,J. Walker enters the game for J. Grant,23-27, ,,1,27,23,4,580.0
2:20.0, ,23-27,J. Harris enters the game for S. Umude,,1,27,23,4,580.0
2:20.0, ,23-27,M. Bagley misses free throw 2 of 2,,1,27,23,4,580.0
2:18.0, ,23-27,Offensive rebound by J. Harris,,1,27,23,4,582.0
2:15.0, ,23-27,J. Ivey misses 3-pt jump shot from 28 ft,,1,27,23,4,585.0
2:11.0,Defensive rebound by R. Williams,23-27, ,,1,27,23,4,589.0
2:03.0,S. Sharpe misses 3-pt jump shot from 26 ft,23-27, ,,1,27,23,4,597.0
2:00.0, ,23-27,Defensive rebound by Team,,1,27,23,4,600.0
1:43.0, ,23-30,J. Harris makes 3-pt jump shot from 24 ft (assist by J. Ivey),,1,30,23,7,617.0
1:32.0,M. Brogdon makes 3-pt jump shot from 26 ft,26-30, ,,1,30,26,4,628.0
1:04.0, ,26-30,Turnover by M. Bagley (bad pass; steal by M. Brogdon),,1,30,26,4,656.0
0:57.0,Turnover by M. Brogdon (lost ball; steal by M. Sasser),26-30, ,,1,30,26,4,663.0
0:54.0, ,26-32,M. Sasser makes 2-pt layup from 2 ft,,1,32,26,6,666.0
0:33.0,M. Brogdon misses 3-pt jump shot from 27 ft,26-32, ,,1,32,26,6,687.0
0:30.0, ,26-32,Defensive rebound by J. Harris,,1,32,26,6,690.0
0:12.0, ,26-32,K. Hayes misses 2-pt jump shot from 12 ft,,1,32,26,6,708.0
0:10.0,Defensive rebound by S. Sharpe,26-32, ,,1,32,26,6,710.0
0:01.0,S. Sharpe misses 3-pt jump shot from 23 ft,26-32, ,,1,32,26,6,719.0
0:00.0, ,26-32,Defensive rebound by J. Ivey,,1,32,26,6,720.0
0:00.0, ,26-32,J. Ivey misses 3-pt jump shot from 66 ft,,1,32,26,6,720.0
0:00.0, ,26-32,Offensive rebound by Team,,1,32,26,6,720.0
0:00.0,End of 1st quarter,26-32,,,1,32,26,6,720.0
12:00.0,Start of 2nd quarter,26-32,,,2,32,26,6,720.0
11:57.0, ,26-32,Personal foul by S. Sharpe (drawn by K. Hayes),,2,32,26,6,723.0
11:42.0, ,26-32,J. Ivey misses 2-pt layup from 5 ft (block by R. Williams),,2,32,26,6,738.0
11:38.0,Defensive rebound by S. Sharpe,26-32, ,,2,32,26,6,742.0
11:29.0,Shooting foul by M. Sasser (drawn by S. Sharpe),26-32, ,,2,32,26,6,751.0
11:29.0,S. Sharpe misses free throw 1 of 2,26-32, ,,2,32,26,6,751.0
11:29.0,Offensive rebound by Team,26-32, ,,2,32,26,6,751.0
11:29.0,S. Sharpe makes free throw 2 of 2,27-32, ,,2,32,27,5,751.0
11:18.0, ,27-34,M. Sasser makes 2-pt jump shot from 9 ft,,2,34,27,7,762.0
11:01.0,J. Walker misses 2-pt layup from 3 ft,27-34, ,,2,34,27,7,779.0
11:00.0,Offensive rebound by T. Camara,27-34, ,,2,34,27,7,780.0
11:00.0,T. Camara makes 2-pt layup at rim,29-34, ,,2,34,29,5,780.0
10:47.0, ,29-34,M. Bagley misses 2-pt jump shot from 14 ft,,2,34,29,5,793.0
10:45.0,Defensive rebound by R. Williams,29-34, ,,2,34,29,5,795.0
10:29.0,R. Williams makes 2-pt layup from 2 ft (assist by M. Brogdon),31-34, ,,2,34,31,3,811.0
10:21.0, ,31-37,J. Harris makes 3-pt jump shot from 24 ft (assist by M. Sasser),,2,37,31,6,819.0
10:07.0,M. Brogdon misses 3-pt jump shot from 26 ft,31-37, ,,2,37,31,6,833.0
