Time,Portland,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:54.0,S. Sharpe makes 3-pt jump shot from 28 ft (assist by M. Brogdon),69-78, ,,3,78,69,9,1926.0
3:34.0, ,69-78,C. Cunningham misses 2-pt jump shot from 11 ft,,3,78,69,9,1946.0
3:32.0,Defensive rebound by R. Williams,69-78, ,,3,78,69,9,1948.0
3:23.0,S. Sharpe misses 2-pt jump shot from 13 ft (block by J. Ivey),69-78, ,,3,78,69,9,1957.0
3:23.0,Offensive rebound by Team,69-78, ,,3,78,69,9,1957.0
3:23.0, ,69-78,S. Umude enters the game for I. Stewart,,3,78,69,9,1957.0
3:20.0,S. Sharpe misses 2-pt layup from 3 ft,69-78, ,,3,78,69,9,1960.0
3:16.0, ,69-78,Defensive rebound by J. Wiseman,,3,78,69,9,1964.0
3:10.0, ,69-78,A. Thompson misses 2-pt layup from 3 ft,,3,78,69,9,1970.0
3:07.0,Defensive rebound by J. Grant,69-78, ,,3,78,69,9,1973.0
3:03.0,J. Grant makes 2-pt layup from 2 ft,71-78, ,,3,78,71,7,1977.0
2:46.0, ,71-78,Shooting foul by M. Brogdon (drawn by J. Ivey),,3,78,71,7,1994.0
2:46.0, ,71-78,Detroit full timeout,,3,78,71,7,1994.0
2:46.0, ,71-78,M. Sasser enters the game for C. Cunningham,,3,78,71,7,1994.0
2:46.0, ,71-79,J. Ivey makes free throw 1 of 2,,3,79,71,8,1994.0
2:46.0, ,71-80,J. Ivey makes free throw 2 of 2,,3,80,71,9,1994.0
2:33.0,S. Sharpe makes 2-pt dunk from 4 ft (assist by R. Williams),73-80, ,,3,80,73,7,2007.0
2:18.0, ,73-80,M. Sasser misses 3-pt jump shot from 26 ft,,3,80,73,7,2022.0
2:15.0,Defensive rebound by R. Williams,73-80, ,,3,80,73,7,2025.0
2:10.0,S. Sharpe makes 3-pt jump shot from 27 ft,76-80, ,,3,80,76,4,2030.0
1:54.0, ,76-80,A. Thompson misses 3-pt jump shot from 26 ft,,3,80,76,4,2046.0
1:53.0, ,76-80,Offensive rebound by Team,,3,80,76,4,2047.0
1:53.0, ,76-80,J. Harris enters the game for A. Thompson,,3,80,76,4,2047.0
1:49.0, ,76-82,J. Harris makes 2-pt layup from 2 ft (assist by J. Wiseman),,3,82,76,6,2051.0
1:42.0,S. Sharpe makes 3-pt jump shot from 26 ft (assist by M. Brogdon),79-82, ,,3,82,79,3,2058.0
1:29.0, ,79-82,Personal foul by J. Grant (drawn by J. Wiseman),,3,82,79,3,2071.0
1:19.0, ,79-84,J. Wiseman makes 2-pt layup from 3 ft (assist by J. Harris),,3,84,79,5,2081.0
1:04.0,S. Sharpe misses 3-pt jump shot from 29 ft,79-84, ,,3,84,79,5,2096.0
1:01.0, ,79-84,Defensive rebound by M. Sasser,,3,84,79,5,2099.0
0:50.0, ,79-84,J. Wiseman misses 2-pt layup from 3 ft (block by T. Camara),,3,84,79,5,2110.0
0:44.0,Defensive rebound by M. Brogdon,79-84, ,,3,84,79,5,2116.0
0:42.0,T. Camara makes 2-pt layup from 3 ft (assist by M. Brogdon),81-84, ,,3,84,81,3,2118.0
0:42.0,Shooting foul by J. Wiseman (drawn by T. Camara),81-84, ,,3,84,81,3,2118.0
0:42.0,J. Walker enters the game for J. Grant,81-84, ,,3,84,81,3,2118.0
0:42.0,T. Camara makes free throw 1 of 1,82-84, ,,3,84,82,2,2118.0
0:30.0, ,82-84,J. Wiseman misses 2-pt hook shot from 4 ft,,3,84,82,2,2130.0
0:27.0,Defensive rebound by R. Williams,82-84, ,,3,84,82,2,2133.0
0:15.0,Personal foul by J. Harris (drawn by J. Walker),82-84, ,,3,84,82,2,2145.0
0:15.0,J. Walker misses free throw 1 of 2,82-84, ,,3,84,82,2,2145.0
0:15.0,Offensive rebound by Team,82-84, ,,3,84,82,2,2145.0
0:15.0, ,82-84,C. Cunningham enters the game for S. Umude,,3,84,82,2,2145.0
0:15.0,J. Walker makes free throw 2 of 2,83-84, ,,3,84,83,1,2145.0
0:00.0, ,83-84,C. Cunningham misses 3-pt jump shot from 26 ft,,3,84,83,1,2160.0
0:00.0, ,83-84,Offensive rebound by Team,,3,84,83,1,2160.0
0:00.0,End of 3rd quarter,83-84,,,3,84,83,1,2160.0
12:00.0,Start of 4th quarter,83-84,,,4,84,83,1,2160.0
11:57.0,Turnover by T. Camara (bad pass; steal by M. Sasser),83-84, ,,4,84,83,1,2163.0
11:57.0, ,83-86,M. Sasser makes 2-pt layup from 1 ft,,4,86,83,3,2163.0
11:41.0,S. Mays makes 2-pt jump shot from 18 ft,85-86, ,,4,86,85,1,2179.0
11:22.0, ,85-88,C. Cunningham makes 2-pt layup from 2 ft (assist by M. Bagley),,4,88,85,3,2198.0
11:22.0, ,85-88,Shooting foul by R. Williams (drawn by C. Cunningham),,4,88,85,3,2198.0
11:22.0, ,85-89,C. Cunningham makes free throw 1 of 1,,4,89,85,4,2198.0
11:02.0,J. Walker misses 2-pt hook shot from 4 ft,85-89, ,,4,89,85,4,2218.0
10:59.0, ,85-89,Defensive rebound by C. Cunningham,,4,89,85,4,2221.0
10:58.0, ,85-89,Personal foul by R. Williams (drawn by M. Bagley),,4,89,85,4,2222.0
10:45.0, ,85-91,C. Cunningham makes 2-pt jump shot from 7 ft,,4,91,85,6,2235.0
10:31.0,Shooting foul by M. Bagley (drawn by M. Brogdon),85-91, ,,4,91,85,6,2249.0
10:31.0,M. Brogdon makes free throw 1 of 2,86-91, ,,4,91,86,5,2249.0
10:31.0,S. Sharpe enters the game for S. Mays,86-91, ,,4,91,86,5,2249.0
10:31.0,M. Brogdon makes free throw 2 of 2,87-91, ,,4,91,87,4,2249.0
10:15.0, ,87-93,J. Ivey makes 2-pt layup from 2 ft (assist by M. Sasser),,4,93,87,6,2265.0
9:59.0,R. Williams misses 2-pt jump shot from 19 ft,87-93, ,,4,93,87,6,2281.0
9:54.0, ,87-93,Defensive rebound by C. Cunningham,,4,93,87,6,2286.0
9:46.0, ,87-93,C. Cunningham misses 2-pt hook shot from 4 ft (block by R. Williams),,4,93,87,6,2294.0
9:45.0,Defensive rebound by J. Walker,87-93, ,,4,93,87,6,2295.0
9:39.0,Turnover by J. Walker (off goaltending),87-93, ,,4,93,87,6,2301.0
9:39.0,D. Ayton enters the game for T. Camara,87-93, ,,4,93,87,6,2301.0
9:39.0,J. Grant enters the game for J. Walker,87-93, ,,4,93,87,6,2301.0
9:39.0, ,87-93,J. Harris enters the game for M. Sasser,,4,93,87,6,2301.0
9:28.0, ,87-93,Turnover by C. Cunningham (bad pass; steal by D. Ayton),,4,93,87,6,2312.0
9:28.0,Personal foul by C. Cunningham (drawn by R. Williams),87-93, ,,4,93,87,6,2312.0
9:17.0,M. Brogdon misses 3-pt jump shot from 28 ft,87-93, ,,4,93,87,6,2323.0
9:14.0, ,87-93,Defensive rebound by M. Bagley,,4,93,87,6,2326.0
9:04.0, ,87-93,Turnover by C. Cunningham (bad pass; steal by D. Ayton),,4,93,87,6,2336.0
8:56.0,Turnover by J. Grant (bad pass; steal by I. Stewart),87-93, ,,4,93,87,6,2344.0
8:37.0, ,87-93,M. Bagley misses 2-pt layup from 3 ft (block by R. Williams),,4,93,87,6,2363.0
8:37.0,Defensive rebound by S. Sharpe,87-93, ,,4,93,87,6,2363.0
8:37.0,Personal foul by J. Ivey (drawn by S. Sharpe),87-93, ,,4,93,87,6,2363.0
8:27.0,Personal foul by C. Cunningham (drawn by S. Sharpe),87-93, ,,4,93,87,6,2373.0
8:27.0,S. Mays enters the game for M. Brogdon,87-93, ,,4,93,87,6,2373.0
8:21.0,S. Sharpe makes 2-pt layup from 4 ft (assist by S. Mays),89-93, ,,4,93,89,4,2379.0
8:13.0, ,89-93,Turnover by I. Stewart (traveling),,4,93,89,4,2387.0
8:13.0,T. Camara enters the game for R. Williams,89-93, ,,4,93,89,4,2387.0
7:53.0,D. Ayton makes 2-pt jump shot from 20 ft (assist by S. Sharpe),91-93, ,,4,93,91,2,2407.0
7:35.0, ,91-93,Turnover by C. Cunningham (bad pass; steal by S. Sharpe),,4,93,91,2,2425.0
7:23.0,S. Mays misses 2-pt jump shot from 7 ft,91-93, ,,4,93,91,2,2437.0
7:21.0,Offensive rebound by S. Mays,91-93, ,,4,93,91,2,2439.0
7:19.0,J. Grant misses 2-pt dunk from 2 ft (block by M. Bagley),91-93, ,,4,93,91,2,2441.0
7:19.0, ,91-93,Defensive rebound by C. Cunningham,,4,93,91,2,2441.0
7:13.0, ,91-93,Personal foul by J. Grant (drawn by C. Cunningham),,4,93,91,2,2447.0
7:13.0, ,91-93,K. Hayes enters the game for J. Harris,,4,93,91,2,2447.0
7:13.0, ,91-93,A. Thompson enters the game for J. Ivey,,4,93,91,2,2447.0
7:10.0, ,91-93,Turnover by M. Bagley (lost ball; steal by T. Camara),,4,93,91,2,2450.0
6:51.0,J. Grant makes 3-pt jump shot from 25 ft (assist by D. Ayton),94-93, ,Lead change,4,93,94,-1,2469.0
6:51.0, ,94-93,Detroit full timeout,,4,93,94,-1,2469.0
6:35.0, ,94-93,C. Cunningham misses 3-pt jump shot from 29 ft,,4,93,94,-1,2485.0
6:33.0,Defensive rebound by D. Ayton,94-93, ,,4,93,94,-1,2487.0
6:16.0,S. Sharpe makes 2-pt dunk from 3 ft (assist by S. Mays),96-93, ,,4,93,96,-3,2504.0
5:57.0, ,96-93,Turnover by M. Bagley (traveling),,4,93,96,-3,2523.0
5:57.0, ,96-93,J. Harris enters the game for M. Bagley,,4,93,96,-3,2523.0
5:40.0,T. Camara misses 2-pt jump shot from 3 ft,96-93, ,,4,93,96,-3,2540.0
5:33.0, ,96-93,Defensive rebound by A. Thompson,,4,93,96,-3,2547.0
5:29.0, ,96-95,A. Thompson makes 2-pt layup from 2 ft (assist by C. Cunningham),,4,95,96,-1,2551.0
5:11.0,S. Mays misses 2-pt jump shot from 11 ft,96-95, ,,4,95,96,-1,2569.0
5:10.0, ,96-95,Defensive rebound by Team,,4,95,96,-1,2570.0
4:54.0, ,96-95,C. Cunningham misses 2-pt layup from 3 ft,,4,95,96,-1,2586.0
4:52.0,Defensive rebound by T. Camara,96-95, ,,4,95,96,-1,2588.0
4:39.0,J. Grant misses 3-pt jump shot from 23 ft,96-95, ,,4,95,96,-1,2601.0
4:34.0, ,96-95,Defensive rebound by A. Thompson,,4,95,96,-1,2606.0
4:33.0, ,96-95,K. Hayes misses 2-pt layup from 8 ft (block by S. Sharpe),,4,95,96,-1,2607.0
4:33.0,Defensive rebound by Team,96-95, ,,4,95,96,-1,2607.0
4:20.0,Personal foul by K. Hayes (drawn by J. Grant),96-95, ,,4,95,96,-1,2620.0
4:20.0,J. Grant misses free throw 1 of 2,96-95, ,,4,95,96,-1,2620.0
4:20.0,Offensive rebound by Team,96-95, ,,4,95,96,-1,2620.0
4:20.0,M. Brogdon enters the game for S. Mays,96-95, ,,4,95,96,-1,2620.0
4:20.0, ,96-95,M. Sasser enters the game for K. Hayes,,4,95,96,-1,2620.0
4:20.0,J. Grant makes free throw 2 of 2,97-95, ,,4,95,97,-2,2620.0
4:06.0, ,97-97,C. Cunningham makes 2-pt jump shot from 3 ft,Tie,4,97,97,0,2634.0
4:02.0,Personal foul by A. Thompson (drawn by J. Grant),97-97, ,,4,97,97,0,2638.0
4:02.0,J. Grant makes free throw 1 of 2,98-97, ,,4,97,98,-1,2638.0
4:02.0,J. Grant makes free throw 2 of 2,99-97, ,,4,97,99,-2,2638.0
3:43.0, ,99-97,C. Cunningham misses 2-pt jump shot from 7 ft,,4,97,99,-2,2657.0
3:40.0, ,99-97,Offensive rebound by I. Stewart,,4,97,99,-2,2660.0
3:40.0, ,99-99,I. Stewart makes 2-pt layup at rim,Tie,4,99,99,0,2660.0
3:27.0,Portland full timeout,99-99, ,,4,99,99,0,2673.0
3:23.0,Shooting foul by I. Stewart (drawn by S. Sharpe),99-99, ,,4,99,99,0,2677.0
3:23.0,S. Sharpe makes free throw 1 of 2,100-99, ,,4,99,100,-1,2677.0
3:23.0,S. Sharpe makes free throw 2 of 2,101-99, ,,4,99,101,-2,2677.0
3:06.0, ,101-99,Personal foul by T. Camara (drawn by C. Cunningham),,4,99,101,-2,2694.0
2:55.0, ,101-99,C. Cunningham misses 2-pt jump shot from 18 ft,,4,99,101,-2,2705.0
2:52.0,Defensive rebound by M. Brogdon,101-99, ,,4,99,101,-2,2708.0
2:43.0,Shooting foul by I. Stewart (drawn by S. Sharpe),101-99, ,,4,99,101,-2,2717.0
2:43.0,S. Sharpe makes free throw 1 of 2,102-99, ,,4,99,102,-3,2717.0
2:43.0,S. Sharpe makes free throw 2 of 2,103-99, ,,4,99,103,-4,2717.0
2:28.0, ,103-99,C. Cunningham misses 2-pt jump shot from 4 ft,,4,99,103,-4,2732.0
2:26.0,Defensive rebound by D. Ayton,103-99, ,,4,99,103,-4,2734.0
2:11.0,J. Grant misses 2-pt jump shot from 5 ft,103-99, ,,4,99,103,-4,2749.0
2:09.0, ,103-99,Defensive rebound by I. Stewart,,4,99,103,-4,2751.0
2:04.0, ,103-99,I. Stewart misses 2-pt dunk from 2 ft,,4,99,103,-4,2756.0
2:00.0,Defensive rebound by T. Camara,103-99, ,,4,99,103,-4,2760.0
1:58.0,Turnover by S. Sharpe (bad pass; steal by A. Thompson),103-99, ,,4,99,103,-4,2762.0
1:55.0, ,103-99,Shooting foul by T. Camara (drawn by C. Cunningham),,4,99,103,-4,2765.0
1:55.0, ,103-100,C. Cunningham makes free throw 1 of 2,,4,100,103,-3,2765.0
1:55.0, ,103-100,S. Umude enters the game for J. Harris,,4,100,103,-3,2765.0
1:55.0, ,103-101,C. Cunningham makes free throw 2 of 2,,4,101,103,-2,2765.0
1:42.0,Personal foul by S. Umude (drawn by S. Sharpe),103-101, ,,4,101,103,-2,2778.0
1:42.0,S. Sharpe makes free throw 1 of 2,104-101, ,,4,101,104,-3,2778.0
1:42.0, ,104-101,J. Harris enters the game for S. Umude,,4,101,104,-3,2778.0
1:42.0,S. Sharpe misses free throw 2 of 2,104-101, ,,4,101,104,-3,2778.0
1:39.0, ,104-101,Defensive rebound by M. Sasser,,4,101,104,-3,2781.0
1:23.0, ,104-101,C. Cunningham misses 2-pt layup from 3 ft,,4,101,104,-3,2797.0
1:20.0,Defensive rebound by D. Ayton,104-101, ,,4,101,104,-3,2800.0
1:07.0,M. Brogdon misses 2-pt jump shot from 22 ft,104-101, ,,4,101,104,-3,2813.0
1:04.0,Offensive rebound by T. Camara,104-101, ,,4,101,104,-3,2816.0
1:04.0,Personal foul by M. Sasser (drawn by T. Camara),104-101, ,,4,101,104,-3,2816.0
1:04.0,T. Camara makes free throw 1 of 2,105-101, ,,4,101,105,-4,2816.0
1:04.0,T. Camara makes free throw 2 of 2,106-101, ,,4,101,106,-5,2816.0
1:04.0, ,106-101,Detroit full timeout,,4,101,106,-5,2816.0
0:56.0, ,106-101,J. Harris misses 3-pt jump shot from 27 ft,,4,101,106,-5,2824.0
0:54.0,Defensive rebound by T. Camara,106-101, ,,4,101,106,-5,2826.0
0:33.0,M. Brogdon makes 2-pt jump shot from 15 ft,108-101, ,,4,101,108,-7,2847.0
0:27.0, ,108-101,C. Cunningham misses 3-pt jump shot from 28 ft,,4,101,108,-7,2853.0
0:25.0,Defensive rebound by D. Ayton,108-101, ,,4,101,108,-7,2855.0
0:14.0,Personal foul by C. Cunningham (drawn by S. Sharpe),108-101, ,,4,101,108,-7,2866.0
0:14.0,S. Sharpe makes free throw 1 of 2,109-101, ,,4,101,109,-8,2866.0
0:14.0,S. Sharpe makes free throw 2 of 2,110-101, ,,4,101,110,-9,2866.0
0:09.0, ,110-101,A. Thompson misses 3-pt jump shot from 27 ft,,4,101,110,-9,2871.0
0:07.0,Defensive rebound by T. Camara,110-101, ,,4,101,110,-9,2873.0
0:00.0,End of 4th quarter,110-101,,,4,101,110,-9,2880.0
