Time,Utah,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:26.0, ,90-85,Turnover by A. Thompson (bad pass; steal by C. Sexton),,3,85,90,-5,2134.0
0:23.0,Turnover by C. Sexton (lost ball; steal by A. Thompson),90-85, ,,3,85,90,-5,2137.0
0:03.0, ,90-85,Shooting foul by O. Agbaji (drawn by A. Burks),,3,85,90,-5,2157.0
0:03.0, ,90-86,A. Burks makes free throw 1 of 3,,3,86,90,-4,2157.0
0:03.0, ,90-87,A. Burks makes free throw 2 of 3,,3,87,90,-3,2157.0
0:03.0, ,90-88,A. Burks makes free throw 3 of 3,,3,88,90,-2,2157.0
0:00.0,C. Sexton misses 3-pt jump shot from 27 ft,90-88, ,,3,88,90,-2,2160.0
0:00.0,Offensive rebound by Team,90-88, ,,3,88,90,-2,2160.0
0:00.0,End of 3rd quarter,90-88,,,3,88,90,-2,2160.0
12:00.0,Start of 4th quarter,90-88,,,4,88,90,-2,2160.0
11:48.0, ,90-88,M. Sasser misses 2-pt jump shot from 18 ft,,4,88,90,-2,2172.0
11:45.0, ,90-88,Offensive rebound by J. Wiseman,,4,88,90,-2,2175.0
11:44.0, ,90-88,A. Burks misses 3-pt jump shot from 26 ft,,4,88,90,-2,2176.0
11:40.0,Defensive rebound by L. Šamanić,90-88, ,,4,88,90,-2,2180.0
11:28.0,L. Šamanić misses 2-pt layup from 2 ft,90-88, ,,4,88,90,-2,2192.0
11:26.0, ,90-88,Defensive rebound by J. Wiseman,,4,88,90,-2,2194.0
11:19.0, ,90-90,A. Thompson makes 2-pt layup from 3 ft,Tie,4,90,90,0,2201.0
11:04.0,T. Hendricks makes 2-pt jump shot from 4 ft,92-90, ,,4,90,92,-2,2216.0
10:48.0, ,92-90,Turnover by J. Wiseman (3 sec),,4,90,92,-2,2232.0
10:33.0,L. Šamanić misses 2-pt jump shot from 5 ft,92-90, ,,4,90,92,-2,2247.0
10:31.0,Offensive rebound by W. Kessler,92-90, ,,4,90,92,-2,2249.0
10:31.0,W. Kessler makes 2-pt layup from 1 ft,94-90, ,,4,90,94,-4,2249.0
10:31.0,Shooting foul by J. Wiseman (drawn by W. Kessler),94-90, ,,4,90,94,-4,2249.0
10:31.0,W. Kessler misses free throw 1 of 1,94-90, ,,4,90,94,-4,2249.0
10:27.0,Offensive rebound by W. Kessler,94-90, ,,4,90,94,-4,2253.0
10:15.0,K. Dunn misses 2-pt jump shot from 5 ft,94-90, ,,4,90,94,-4,2265.0
10:14.0,Offensive rebound by W. Kessler,94-90, ,,4,90,94,-4,2266.0
10:14.0,W. Kessler misses 2-pt layup at rim,94-90, ,,4,90,94,-4,2266.0
10:14.0, ,94-90,Defensive rebound by Team,,4,90,94,-4,2266.0
10:14.0, ,94-90,C. Cunningham enters the game for A. Burks,,4,90,94,-4,2266.0
10:14.0, ,94-90,J. Ivey enters the game for M. Sasser,,4,90,94,-4,2266.0
10:06.0, ,94-90,B. Bogdanović misses 3-pt jump shot from 26 ft,,4,90,94,-4,2274.0
10:02.0,Defensive rebound by T. Hendricks,94-90, ,,4,90,94,-4,2278.0
9:50.0,K. Dunn makes 2-pt jump shot from 9 ft,96-90, ,,4,90,96,-6,2290.0
9:38.0, ,96-90,C. Cunningham misses 2-pt layup from 3 ft (block by W. Kessler),,4,90,96,-6,2302.0
9:33.0, ,96-90,Offensive rebound by J. Wiseman,,4,90,96,-6,2307.0
9:28.0, ,96-92,A. Thompson makes 2-pt jump shot from 11 ft,,4,92,96,-4,2312.0
9:11.0,Personal foul by C. Cunningham (drawn by O. Agbaji),96-92, ,,4,92,96,-4,2329.0
8:59.0,T. Hendricks misses 2-pt layup from 5 ft,96-92, ,,4,92,96,-4,2341.0
8:57.0, ,96-92,Defensive rebound by J. Wiseman,,4,92,96,-4,2343.0
8:50.0,Technical foul by W. Hardy,96-92, ,,4,92,96,-4,2350.0
8:50.0, ,96-93,C. Cunningham makes technical free throw,,4,93,96,-3,2350.0
8:40.0, ,96-93,B. Bogdanović misses 3-pt jump shot from 26 ft,,4,93,96,-3,2360.0
8:38.0,Defensive rebound by L. Šamanić,96-93, ,,4,93,96,-3,2362.0
8:26.0,K. Dunn makes 2-pt jump shot from 8 ft,98-93, ,,4,93,98,-5,2374.0
8:15.0, ,98-93,C. Cunningham misses 2-pt jump shot from 14 ft,,4,93,98,-5,2385.0
8:13.0,Defensive rebound by O. Agbaji,98-93, ,,4,93,98,-5,2387.0
8:02.0,L. Šamanić misses 2-pt layup from 2 ft,98-93, ,,4,93,98,-5,2398.0
7:59.0, ,98-93,Defensive rebound by B. Bogdanović,,4,93,98,-5,2401.0
7:56.0, ,98-93,C. Cunningham misses 3-pt jump shot from 27 ft,,4,93,98,-5,2404.0
7:52.0,Defensive rebound by L. Šamanić,98-93, ,,4,93,98,-5,2408.0
7:40.0,Shooting foul by B. Bogdanović (drawn by K. Dunn),98-93, ,,4,93,98,-5,2420.0
7:40.0,K. Dunn makes free throw 1 of 2,99-93, ,,4,93,99,-6,2420.0
7:40.0, ,99-93,M. Bagley enters the game for A. Thompson,,4,93,99,-6,2420.0
7:40.0, ,99-93,I. Stewart enters the game for J. Wiseman,,4,93,99,-6,2420.0
7:40.0,K. Dunn makes free throw 2 of 2,100-93, ,,4,93,100,-7,2420.0
7:28.0, ,100-95,C. Cunningham makes 2-pt jump shot from 16 ft,,4,95,100,-5,2432.0
7:08.0,L. Šamanić misses 3-pt jump shot from 25 ft,100-95, ,,4,95,100,-5,2452.0
7:05.0,Offensive rebound by T. Hendricks,100-95, ,,4,95,100,-5,2455.0
7:03.0,Shooting foul by M. Bagley (drawn by O. Agbaji),100-95, ,,4,95,100,-5,2457.0
7:03.0,O. Agbaji makes free throw 1 of 2,101-95, ,,4,95,101,-6,2457.0
7:03.0,J. Collins enters the game for T. Hendricks,101-95, ,,4,95,101,-6,2457.0
7:03.0,O. Agbaji makes free throw 2 of 2,102-95, ,,4,95,102,-7,2457.0
6:55.0, ,102-95,Personal foul by L. Šamanić (drawn by B. Bogdanović),,4,95,102,-7,2465.0
6:55.0, ,102-95,Detroit full timeout,,4,95,102,-7,2465.0
6:55.0,K. Olynyk enters the game for W. Kessler,102-95, ,,4,95,102,-7,2465.0
6:41.0, ,102-97,J. Ivey makes 2-pt jump shot from 15 ft,,4,97,102,-5,2479.0
6:26.0,Personal foul by B. Bogdanović (drawn by L. Šamanić),102-97, ,,4,97,102,-5,2494.0
6:26.0,L. Šamanić makes free throw 1 of 2,103-97, ,,4,97,103,-6,2494.0
6:26.0,L. Šamanić makes free throw 2 of 2,104-97, ,,4,97,104,-7,2494.0
6:06.0, ,104-97,C. Cunningham misses 3-pt jump shot from 26 ft,,4,97,104,-7,2514.0
6:00.0,Defensive rebound by L. Šamanić,104-97, ,,4,97,104,-7,2520.0
5:52.0,Offensive foul by K. Olynyk (drawn by J. Ivey),104-97, ,,4,97,104,-7,2528.0
5:52.0,Turnover by K. Olynyk (offensive foul),104-97, ,,4,97,104,-7,2528.0
5:39.0, ,104-97,Turnover by C. Cunningham (bad pass; steal by O. Agbaji),,4,97,104,-7,2541.0
5:27.0,Turnover by K. Dunn (lost ball; steal by C. Cunningham),104-97, ,,4,97,104,-7,2553.0
5:20.0, ,104-97,J. Ivey misses 3-pt jump shot from 23 ft,,4,97,104,-7,2560.0
5:16.0,Defensive rebound by K. Dunn,104-97, ,,4,97,104,-7,2564.0
5:13.0,Offensive foul by J. Collins (drawn by C. Cunningham),104-97, ,,4,97,104,-7,2567.0
5:13.0,Turnover by J. Collins (offensive foul),104-97, ,,4,97,104,-7,2567.0
5:00.0, ,104-97,C. Cunningham misses 2-pt jump shot from 13 ft (block by K. Dunn),,4,97,104,-7,2580.0
4:54.0,Defensive rebound by J. Collins,104-97, ,,4,97,104,-7,2586.0
4:46.0,K. Olynyk misses 2-pt jump shot from 20 ft,104-97, ,,4,97,104,-7,2594.0
4:45.0, ,104-97,Defensive rebound by C. Cunningham,,4,97,104,-7,2595.0
4:40.0, ,104-100,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by C. Cunningham),,4,100,104,-4,2600.0
4:24.0,Shooting foul by B. Bogdanović (drawn by J. Collins),104-100, ,,4,100,104,-4,2616.0
4:24.0,J. Collins makes free throw 1 of 2,105-100, ,,4,100,105,-5,2616.0
4:24.0,C. Sexton enters the game for K. Dunn,105-100, ,,4,100,105,-5,2616.0
4:24.0, ,105-100,Detroit full timeout,,4,100,105,-5,2616.0
4:24.0,S. Fontecchio enters the game for L. Šamanić,105-100, ,,4,100,105,-5,2616.0
4:24.0,J. Collins makes free throw 2 of 2,106-100, ,,4,100,106,-6,2616.0
4:11.0, ,106-100,Shooting foul by J. Collins (drawn by M. Bagley),,4,100,106,-6,2629.0
4:11.0, ,106-101,M. Bagley makes free throw 1 of 2,,4,101,106,-5,2629.0
4:11.0, ,106-102,M. Bagley makes free throw 2 of 2,,4,102,106,-4,2629.0
3:52.0,S. Fontecchio misses 3-pt jump shot from 23 ft,106-102, ,,4,102,106,-4,2648.0
3:49.0, ,106-102,Defensive rebound by M. Bagley,,4,102,106,-4,2651.0
3:40.0, ,106-102,Shooting foul by O. Agbaji (drawn by C. Cunningham),,4,102,106,-4,2660.0
3:40.0, ,106-103,C. Cunningham makes free throw 1 of 2,,4,103,106,-3,2660.0
3:40.0, ,106-104,C. Cunningham makes free throw 2 of 2,,4,104,106,-2,2660.0
3:37.0,Utah full timeout,106-104, ,,4,104,106,-2,2663.0
3:37.0,K. Dunn enters the game for O. Agbaji,106-104, ,,4,104,106,-2,2663.0
3:27.0,Shooting foul by J. Ivey (drawn by J. Collins),106-104, ,,4,104,106,-2,2673.0
3:27.0,J. Collins makes free throw 1 of 2,107-104, ,,4,104,107,-3,2673.0
3:27.0,J. Collins makes free throw 2 of 2,108-104, ,,4,104,108,-4,2673.0
3:16.0, ,108-104,Turnover by J. Ivey (lost ball; steal by C. Sexton),,4,104,108,-4,2684.0
3:10.0,J. Collins makes 2-pt dunk from 2 ft (assist by K. Olynyk),110-104, ,,4,104,110,-6,2690.0
2:49.0, ,110-104,Shooting foul by K. Dunn (drawn by J. Ivey),,4,104,110,-6,2711.0
2:49.0, ,110-105,J. Ivey makes free throw 1 of 2,,4,105,110,-5,2711.0
2:49.0, ,110-106,J. Ivey makes free throw 2 of 2,,4,106,110,-4,2711.0
2:29.0,C. Sexton misses 2-pt jump shot from 20 ft,110-106, ,,4,106,110,-4,2731.0
2:25.0,Offensive rebound by K. Dunn,110-106, ,,4,106,110,-4,2735.0
2:23.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by K. Dunn),113-106, ,,4,106,113,-7,2737.0
2:07.0, ,113-106,C. Cunningham misses 3-pt jump shot from 26 ft,,4,106,113,-7,2753.0
2:04.0, ,113-106,Offensive rebound by J. Ivey,,4,106,113,-7,2756.0
2:02.0, ,113-106,J. Ivey misses 3-pt jump shot from 26 ft,,4,106,113,-7,2758.0
2:00.0,Defensive rebound by J. Collins,113-106, ,,4,106,113,-7,2760.0
1:39.0,J. Collins misses 2-pt layup from 3 ft,113-106, ,,4,106,113,-7,2781.0
1:38.0,Offensive rebound by C. Sexton,113-106, ,,4,106,113,-7,2782.0
1:37.0,C. Sexton makes 2-pt layup at rim,115-106, ,,4,106,115,-9,2783.0
1:37.0, ,115-106,Detroit full timeout,,4,106,115,-9,2783.0
1:30.0, ,115-106,B. Bogdanović misses 3-pt jump shot from 26 ft,,4,106,115,-9,2790.0
1:26.0,Defensive rebound by J. Collins,115-106, ,,4,106,115,-9,2794.0
1:13.0,Shooting foul by J. Ivey (drawn by C. Sexton),115-106, ,,4,106,115,-9,2807.0
1:13.0,C. Sexton makes free throw 1 of 2,116-106, ,,4,106,116,-10,2807.0
1:13.0,C. Sexton makes free throw 2 of 2,117-106, ,,4,106,117,-11,2807.0
0:56.0, ,117-108,C. Cunningham makes 2-pt jump shot from 15 ft (assist by B. Bogdanović),,4,108,117,-9,2824.0
0:43.0,Personal foul by C. Cunningham (drawn by K. Olynyk),117-108, ,,4,108,117,-9,2837.0
0:43.0,K. Olynyk makes free throw 1 of 2,118-108, ,,4,108,118,-10,2837.0
0:43.0,K. Olynyk makes free throw 2 of 2,119-108, ,,4,108,119,-11,2837.0
0:35.0, ,119-108,C. Cunningham misses 2-pt layup from 2 ft,,4,108,119,-11,2845.0
0:31.0,Defensive rebound by J. Collins,119-108, ,,4,108,119,-11,2849.0
0:10.0,Turnover by Team (shot clock),119-108, ,,4,108,119,-11,2870.0
0:06.0, ,119-110,J. Ivey makes 2-pt layup from 2 ft (assist by C. Cunningham),,4,110,119,-9,2874.0
0:06.0, ,119-110,Shooting foul by J. Collins (drawn by J. Ivey),,4,110,119,-9,2874.0
0:06.0, ,119-111,J. Ivey makes free throw 1 of 1,,4,111,119,-8,2874.0
0:00.0,End of 4th quarter,119-111,,,4,111,119,-8,2880.0
