Time,Detroit,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. J. Embiid (N. Batum gains possession),0-0,,,1,0,0,0,0.0
11:36.0, ,0-0,J. Embiid misses 3-pt jump shot from 28 ft,,1,0,0,0,24.0
11:34.0,Defensive rebound by M. Sasser,0-0, ,,1,0,0,0,26.0
11:14.0,J. Ivey makes 2-pt jump shot from 6 ft (assist by J. Duren),2-0, ,,1,2,0,2,46.0
10:54.0, ,2-2,T. Harris makes 2-pt layup from 2 ft (assist by N. Batum),Tie,1,2,2,0,66.0
10:35.0,Turnover by J. Ivey (bad pass; steal by J. Embiid),2-2, ,,1,2,2,0,85.0
10:23.0, ,2-2,K. Oubre misses 2-pt jump shot from 13 ft,,1,2,2,0,97.0
10:19.0,Defensive rebound by T. Brown,2-2, ,,1,2,2,0,101.0
10:10.0,J. Ivey misses 2-pt jump shot from 14 ft,2-2, ,,1,2,2,0,110.0
10:08.0, ,2-2,Defensive rebound by T. Harris,,1,2,2,0,112.0
10:00.0, ,2-2,T. Harris misses 2-pt layup from 3 ft,,1,2,2,0,120.0
9:57.0, ,2-2,Offensive rebound by T. Harris,,1,2,2,0,123.0
9:57.0, ,2-2,T. Harris misses 2-pt layup at rim,,1,2,2,0,123.0
9:57.0, ,2-2,Offensive rebound by N. Batum,,1,2,2,0,123.0
9:54.0, ,2-2,J. Embiid misses 3-pt jump shot from 27 ft,,1,2,2,0,126.0
9:51.0,Defensive rebound by J. Duren,2-2, ,,1,2,2,0,129.0
9:46.0,J. Duren misses 2-pt layup from 4 ft,2-2, ,,1,2,2,0,134.0
9:44.0, ,2-2,Defensive rebound by T. Harris,,1,2,2,0,136.0
9:41.0, ,2-4,C. Payne makes 2-pt layup from 1 ft (assist by T. Harris),Lead change,1,2,4,-2,139.0
9:25.0,Turnover by J. Ivey (bad pass; steal by J. Embiid),2-4, ,,1,2,4,-2,155.0
9:18.0, ,2-4,Personal foul by J. Duren (drawn by J. Embiid),,1,2,4,-2,162.0
9:11.0, ,2-4,T. Harris misses 2-pt jump shot from 11 ft,,1,2,4,-2,169.0
9:07.0,Defensive rebound by J. Duren,2-4, ,,1,2,4,-2,173.0
8:54.0,C. Metu misses 2-pt jump shot from 10 ft,2-4, ,,1,2,4,-2,186.0
