Time,Toronto,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:44.0, ,112-121,J. Duren makes free throw 1 of 2,,4,121,112,9,2836.0
0:44.0, ,112-122,J. Duren makes free throw 2 of 2,,4,122,112,10,2836.0
0:38.0,D. Schröder makes 2-pt jump shot from 5 ft,114-122, ,,4,122,114,8,2842.0
0:38.0,Shooting foul by B. Bogdanović (drawn by D. Schröder),114-122, ,,4,122,114,8,2842.0
0:38.0,D. Schröder makes free throw 1 of 1,115-122, ,,4,122,115,7,2842.0
0:33.0, ,115-122,Turnover by B. Bogdanović (bad pass; steal by S. Barnes),,4,122,115,7,2847.0
0:33.0,S. Barnes makes 2-pt dunk from 2 ft (assist by D. Schröder),117-122, ,,4,122,117,5,2847.0
0:32.0, ,117-122,Personal take foul by O. Porter (drawn by J. Duren),,4,122,117,5,2848.0
0:32.0, ,117-123,J. Duren makes free throw 1 of 2,,4,123,117,6,2848.0
0:32.0, ,117-124,J. Duren makes free throw 2 of 2,,4,124,117,7,2848.0
0:25.0,Shooting foul by I. Livers (drawn by S. Barnes),117-124, ,,4,124,117,7,2855.0
0:25.0,S. Barnes makes free throw 1 of 2,118-124, ,,4,124,118,6,2855.0
0:25.0,S. Barnes makes free throw 2 of 2,119-124, ,,4,124,119,5,2855.0
0:25.0, ,119-124,Detroit full timeout,,4,124,119,5,2855.0
0:25.0,J. McDaniels enters the game for O. Porter,119-124, ,,4,124,119,5,2855.0
0:25.0, ,119-124,A. Burks enters the game for J. Duren,,4,124,119,5,2855.0
0:25.0, ,119-124,J. Ivey enters the game for K. Knox,,4,124,119,5,2855.0
0:24.0, ,119-124,Personal take foul by P. Siakam (drawn by J. Ivey),,4,124,119,5,2856.0
0:24.0, ,119-125,J. Ivey makes free throw 1 of 2,,4,125,119,6,2856.0
0:24.0, ,119-125,J. Duren enters the game for A. Burks,,4,125,119,6,2856.0
0:24.0, ,119-126,J. Ivey makes free throw 2 of 2,,4,126,119,7,2856.0
0:17.0,P. Siakam makes 3-pt jump shot from 24 ft (assist by D. Schröder),122-126, ,,4,126,122,4,2863.0
0:17.0, ,122-126,Detroit full timeout,,4,126,122,4,2863.0
0:17.0, ,122-126,A. Burks enters the game for J. Duren,,4,126,122,4,2863.0
0:17.0, ,122-126,Away from play foul by S. Barnes (drawn by B. Bogdanović),,4,126,122,4,2863.0
0:17.0, ,122-126,Instant Replay (Request: Ruling Stands),,4,126,122,4,2863.0
0:17.0, ,122-126,B. Bogdanović misses free throw 1 of 1,,4,126,122,4,2863.0
0:17.0, ,122-126,Offensive rebound by Team,,4,126,122,4,2863.0
0:16.0, ,122-126,Personal take foul by P. Siakam (drawn by J. Ivey),,4,126,122,4,2864.0
0:16.0, ,122-127,J. Ivey makes free throw 1 of 2,,4,127,122,5,2864.0
0:16.0, ,122-127,J. Duren enters the game for A. Burks,,4,127,122,5,2864.0
0:16.0, ,122-128,J. Ivey makes free throw 2 of 2,,4,128,122,6,2864.0
0:13.0,Shooting foul by I. Livers (drawn by D. Schröder),122-128, ,,4,128,122,6,2867.0
0:13.0,D. Schröder makes free throw 1 of 2,123-128, ,,4,128,123,5,2867.0
0:13.0,D. Schröder makes free throw 2 of 2,124-128, ,,4,128,124,4,2867.0
0:06.0, ,124-128,Personal take foul by S. Barnes (drawn by B. Bogdanović),,4,128,124,4,2874.0
0:06.0, ,124-129,B. Bogdanović makes free throw 1 of 2,,4,129,124,5,2874.0
0:06.0, ,124-129,B. Bogdanović misses free throw 2 of 2,,4,129,124,5,2874.0
0:04.0,Defensive rebound by S. Barnes,124-129, ,,4,129,124,5,2876.0
0:02.0,G. Trent makes 3-pt jump shot from 26 ft (assist by S. Barnes),127-129, ,,4,129,127,2,2878.0
0:00.0,End of 4th quarter,127-129,,,4,129,127,2,2880.0
