Time,Detroit,Score,New Orleans,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:20.0,J. Duren misses 2-pt layup from 3 ft,60-81, ,,3,60,81,-21,1720.0
7:17.0, ,60-81,Defensive rebound by H. Jones,,3,60,81,-21,1723.0
7:14.0, ,60-81,J. Hawkins misses 3-pt jump shot from 25 ft,,3,60,81,-21,1726.0
7:14.0,Defensive rebound by I. Stewart,60-81, ,,3,60,81,-21,1726.0
6:59.0,J. Duren misses 2-pt jump shot from 12 ft,60-81, ,,3,60,81,-21,1741.0
6:58.0,Offensive rebound by A. Thompson,60-81, ,,3,60,81,-21,1742.0
6:49.0,C. Cunningham misses 3-pt jump shot from 26 ft,60-81, ,,3,60,81,-21,1751.0
6:47.0, ,60-81,Defensive rebound by J. Valančiūnas,,3,60,81,-21,1753.0
6:38.0, ,60-81,J. Hawkins misses 3-pt jump shot from 24 ft,,3,60,81,-21,1762.0
6:36.0,Defensive rebound by A. Thompson,60-81, ,,3,60,81,-21,1764.0
6:33.0,Shooting foul by J. Valančiūnas (drawn by A. Thompson),60-81, ,,3,60,81,-21,1767.0
6:33.0,A. Thompson makes free throw 1 of 2,61-81, ,,3,61,81,-20,1767.0
6:33.0,J. Harris enters the game for J. Duren,61-81, ,,3,61,81,-20,1767.0
6:33.0, ,61-81,D. Daniels enters the game for J. Hawkins,,3,61,81,-20,1767.0
6:33.0, ,61-81,K. Lewis enters the game for C. McCollum,,3,61,81,-20,1767.0
6:33.0, ,61-81,L. Nance enters the game for J. Valančiūnas,,3,61,81,-20,1767.0
6:33.0,A. Thompson makes free throw 2 of 2,62-81, ,,3,62,81,-19,1767.0
6:17.0, ,62-81,Personal foul by A. Thompson (drawn by K. Lewis),,3,62,81,-19,1783.0
6:11.0, ,62-81,Offensive foul by K. Lewis (drawn by A. Thompson),,3,62,81,-19,1789.0
6:11.0, ,62-81,Turnover by K. Lewis (offensive foul),,3,62,81,-19,1789.0
5:49.0,I. Stewart makes 2-pt jump shot from 8 ft (assist by A. Thompson),64-81, ,,3,64,81,-17,1811.0
5:35.0, ,64-83,K. Lewis makes 2-pt layup from 2 ft (assist by D. Daniels),,3,64,83,-19,1825.0
5:23.0,Offensive foul by A. Thompson (drawn by H. Jones),64-83, ,,3,64,83,-19,1837.0
5:23.0,Turnover by A. Thompson (offensive foul),64-83, ,,3,64,83,-19,1837.0
5:23.0,M. Sasser enters the game for A. Thompson,64-83, ,,3,64,83,-19,1837.0
5:03.0, ,64-83,K. Lewis misses 2-pt jump shot from 19 ft,,3,64,83,-19,1857.0
4:59.0,Defensive rebound by M. Sasser,64-83, ,,3,64,83,-19,1861.0
4:55.0,J. Harris misses 3-pt jump shot from 26 ft,64-83, ,,3,64,83,-19,1865.0
4:53.0,Offensive rebound by Team,64-83, ,,3,64,83,-19,1867.0
4:53.0, ,64-83,Loose ball foul by L. Nance (drawn by I. Stewart),,3,64,83,-19,1867.0
4:53.0,I. Stewart makes free throw 1 of 2,65-83, ,,3,65,83,-18,1867.0
4:53.0,J. Ivey enters the game for K. Hayes,65-83, ,,3,65,83,-18,1867.0
4:53.0,I. Stewart makes free throw 2 of 2,66-83, ,,3,66,83,-17,1867.0
4:48.0, ,66-83,Shooting foul by J. Ivey (drawn by K. Lewis),,3,66,83,-17,1872.0
4:48.0, ,66-84,K. Lewis makes free throw 1 of 2,,3,66,84,-18,1872.0
4:48.0, ,66-85,K. Lewis makes free throw 2 of 2,,3,66,85,-19,1872.0
4:44.0,Turnover by J. Ivey (traveling),66-85, ,,3,66,85,-19,1876.0
4:29.0, ,66-85,M. Ryan misses 3-pt jump shot from 31 ft,,3,66,85,-19,1891.0
4:24.0, ,66-85,Offensive rebound by L. Nance,,3,66,85,-19,1896.0
4:23.0, ,66-87,L. Nance makes 2-pt layup from 3 ft,,3,66,87,-21,1897.0
4:10.0,I. Stewart misses 2-pt hook shot from 8 ft,66-87, ,,3,66,87,-21,1910.0
4:10.0,Offensive rebound by I. Stewart,66-87, ,,3,66,87,-21,1910.0
4:09.0,Shooting foul by L. Nance (drawn by I. Stewart),66-87, ,,3,66,87,-21,1911.0
4:09.0,I. Stewart makes free throw 1 of 2,67-87, ,,3,67,87,-20,1911.0
4:09.0, ,67-87,C. McCollum enters the game for M. Ryan,,3,67,87,-20,1911.0
4:09.0,I. Stewart makes free throw 2 of 2,68-87, ,,3,68,87,-19,1911.0
3:50.0, ,68-87,Shooting foul by J. Ivey (drawn by C. McCollum),,3,68,87,-19,1930.0
3:50.0, ,68-88,C. McCollum makes free throw 1 of 2,,3,68,88,-20,1930.0
3:50.0,M. Bagley enters the game for I. Stewart,68-88, ,,3,68,88,-20,1930.0
3:50.0, ,68-88,J. Hawkins enters the game for H. Jones,,3,68,88,-20,1930.0
3:50.0, ,68-89,C. McCollum makes free throw 2 of 2,,3,68,89,-21,1930.0
3:42.0,J. Ivey makes 2-pt jump shot from 11 ft (assist by M. Sasser),70-89, ,,3,70,89,-19,1938.0
3:30.0, ,70-92,D. Daniels makes 3-pt jump shot from 23 ft (assist by K. Lewis),,3,70,92,-22,1950.0
3:21.0,Turnover by J. Ivey (bad pass),70-92, ,,3,70,92,-22,1959.0
3:10.0, ,70-92,L. Nance misses 2-pt jump shot from 7 ft,,3,70,92,-22,1970.0
3:08.0,Defensive rebound by M. Bagley,70-92, ,,3,70,92,-22,1972.0
2:58.0,C. Cunningham makes 2-pt jump shot from 15 ft (assist by M. Sasser),72-92, ,,3,72,92,-20,1982.0
2:42.0, ,72-92,L. Nance misses 3-pt jump shot from 26 ft,,3,72,92,-20,1998.0
2:40.0,Defensive rebound by J. Ivey,72-92, ,,3,72,92,-20,2000.0
2:34.0,M. Sasser makes 3-pt jump shot from 24 ft (assist by C. Cunningham),75-92, ,,3,75,92,-17,2006.0
2:06.0, ,75-92,C. McCollum misses 3-pt jump shot from 30 ft,,3,75,92,-17,2034.0
2:04.0,Defensive rebound by C. Cunningham,75-92, ,,3,75,92,-17,2036.0
1:55.0,M. Bagley makes 2-pt dunk from 3 ft (assist by C. Cunningham),77-92, ,,3,77,92,-15,2045.0
1:36.0, ,77-94,D. Daniels makes 2-pt jump shot from 11 ft,,3,77,94,-17,2064.0
1:28.0,M. Sasser makes 3-pt jump shot from 25 ft (assist by C. Cunningham),80-94, ,,3,80,94,-14,2072.0
1:00.0, ,80-94,J. Hawkins misses 3-pt jump shot from 25 ft (block by J. Ivey),,3,80,94,-14,2100.0
0:58.0,Defensive rebound by J. Ivey,80-94, ,,3,80,94,-14,2102.0
0:58.0,Shooting foul by C. McCollum (drawn by J. Ivey),80-94, ,,3,80,94,-14,2102.0
0:58.0,Detroit full timeout,80-94, ,,3,80,94,-14,2102.0
0:58.0,K. Hayes enters the game for C. Cunningham,80-94, ,,3,80,94,-14,2102.0
0:58.0,J. Ivey misses free throw 1 of 2,80-94, ,,3,80,94,-14,2102.0
0:58.0,Offensive rebound by Team,80-94, ,,3,80,94,-14,2102.0
0:58.0,J. Ivey makes free throw 2 of 2,81-94, ,,3,81,94,-13,2102.0
0:44.0, ,81-94,L. Nance misses 2-pt layup from 4 ft (block by M. Bagley),,3,81,94,-13,2116.0
0:41.0,Defensive rebound by K. Hayes,81-94, ,,3,81,94,-13,2119.0
0:41.0,J. Ivey makes 2-pt dunk from 2 ft (assist by K. Hayes),83-94, ,,3,83,94,-11,2119.0
0:36.0, ,83-94,C. McCollum misses 3-pt jump shot from 25 ft,,3,83,94,-11,2124.0
0:29.0,Defensive rebound by M. Bagley,83-94, ,,3,83,94,-11,2131.0
0:16.0,M. Sasser misses 3-pt jump shot from 26 ft,83-94, ,,3,83,94,-11,2144.0
0:13.0, ,83-94,Defensive rebound by Team,,3,83,94,-11,2147.0
0:13.0,C. Cunningham enters the game for M. Bagley,83-94, ,,3,83,94,-11,2147.0
0:13.0,I. Stewart enters the game for J. Harris,83-94, ,,3,83,94,-11,2147.0
0:13.0,S. Umude enters the game for M. Sasser,83-94, ,,3,83,94,-11,2147.0
0:13.0, ,83-94,M. Ryan enters the game for D. Daniels,,3,83,94,-11,2147.0
0:00.0, ,83-94,C. McCollum misses 2-pt jump shot from 14 ft,,3,83,94,-11,2160.0
0:00.0,Defensive rebound by J. Ivey,83-94, ,,3,83,94,-11,2160.0
0:00.0,End of 3rd quarter,83-94,,,3,83,94,-11,2160.0
12:00.0,Start of 4th quarter,83-94,,,4,83,94,-11,2160.0
11:43.0, ,83-94,J. Valančiūnas misses 2-pt jump shot from 12 ft,,4,83,94,-11,2177.0
11:39.0, ,83-94,Offensive rebound by J. Valančiūnas,,4,83,94,-11,2181.0
11:39.0, ,83-96,J. Valančiūnas makes 2-pt layup at rim,,4,83,96,-13,2181.0
11:19.0,C. Cunningham makes 2-pt jump shot from 15 ft,85-96, ,,4,85,96,-11,2201.0
10:51.0, ,85-96,D. Seabron misses 2-pt jump shot from 13 ft,,4,85,96,-11,2229.0
10:49.0,Defensive rebound by J. Harris,85-96, ,,4,85,96,-11,2231.0
10:45.0,Shooting foul by C. McCollum (drawn by C. Cunningham),85-96, ,,4,85,96,-11,2235.0
10:45.0,C. Cunningham misses free throw 1 of 2,85-96, ,,4,85,96,-11,2235.0
10:45.0,Offensive rebound by Team,85-96, ,,4,85,96,-11,2235.0
10:45.0,C. Cunningham makes free throw 2 of 2,86-96, ,,4,86,96,-10,2235.0
10:29.0, ,86-98,H. Jones makes 2-pt layup from 3 ft,,4,86,98,-12,2251.0
10:16.0,I. Stewart misses 3-pt jump shot from 27 ft,86-98, ,,4,86,98,-12,2264.0
10:13.0,Offensive rebound by J. Harris,86-98, ,,4,86,98,-12,2267.0
10:12.0,J. Harris misses 2-pt layup from 3 ft (block by J. Valančiūnas),86-98, ,,4,86,98,-12,2268.0
10:12.0,Offensive rebound by Team,86-98, ,,4,86,98,-12,2268.0
10:07.0,Turnover by I. Stewart (lost ball; steal by H. Jones),86-98, ,,4,86,98,-12,2273.0
10:00.0, ,86-101,M. Ryan makes 3-pt jump shot from 24 ft (assist by C. McCollum),,4,86,101,-15,2280.0
9:47.0,K. Hayes makes 3-pt jump shot from 25 ft (assist by C. Cunningham),89-101, ,,4,89,101,-12,2293.0
9:30.0, ,89-101,J. Valančiūnas misses 2-pt hook shot from 4 ft,,4,89,101,-12,2310.0
9:29.0, ,89-101,Offensive rebound by Team,,4,89,101,-12,2311.0
9:29.0,J. Duren enters the game for J. Ivey,89-101, ,,4,89,101,-12,2311.0
9:27.0, ,89-101,C. McCollum misses 3-pt jump shot from 23 ft,,4,89,101,-12,2313.0
9:24.0,Defensive rebound by J. Harris,89-101, ,,4,89,101,-12,2316.0
9:09.0,C. Cunningham misses 2-pt jump shot from 8 ft,89-101, ,,4,89,101,-12,2331.0
9:07.0, ,89-101,Defensive rebound by J. Valančiūnas,,4,89,101,-12,2333.0
8:46.0, ,89-101,Turnover by C. McCollum (bad pass; steal by J. Harris),,4,89,101,-12,2354.0
8:40.0,C. Cunningham misses 2-pt layup from 7 ft (block by H. Jones),89-101, ,,4,89,101,-12,2360.0
8:29.0,Offensive rebound by I. Stewart,89-101, ,,4,89,101,-12,2371.0
8:29.0,I. Stewart makes 2-pt dunk at rim,91-101, ,,4,91,101,-10,2371.0
8:22.0, ,91-101,M. Ryan misses 2-pt jump shot from 8 ft,,4,91,101,-10,2378.0
8:21.0, ,91-101,Offensive rebound by J. Valančiūnas,,4,91,101,-10,2379.0
8:19.0, ,91-104,M. Ryan makes 3-pt jump shot from 23 ft (assist by J. Valančiūnas),,4,91,104,-13,2381.0
8:01.0,Personal foul by H. Jones (drawn by K. Hayes),91-104, ,,4,91,104,-13,2399.0
8:01.0,M. Sasser enters the game for J. Harris,91-104, ,,4,91,104,-13,2399.0
8:01.0, ,91-104,J. Hawkins enters the game for C. McCollum,,4,91,104,-13,2399.0
8:01.0, ,91-104,K. Lewis enters the game for M. Ryan,,4,91,104,-13,2399.0
7:55.0,C. Cunningham misses 3-pt jump shot from 25 ft,91-104, ,,4,91,104,-13,2405.0
7:53.0, ,91-104,Defensive rebound by K. Lewis,,4,91,104,-13,2407.0
7:37.0, ,91-104,Shooting foul by K. Hayes (drawn by K. Lewis),,4,91,104,-13,2423.0
7:37.0, ,91-104,Technical foul by J. Valančiūnas,,4,91,104,-13,2423.0
7:37.0,C. Cunningham makes technical free throw,92-104, ,,4,92,104,-12,2423.0
7:37.0, ,92-105,K. Lewis makes free throw 1 of 2,,4,92,105,-13,2423.0
7:37.0, ,92-105,D. Daniels enters the game for D. Seabron,,4,92,105,-13,2423.0
7:37.0,Detroit full timeout,92-105, ,,4,92,105,-13,2423.0
7:37.0, ,92-106,K. Lewis makes free throw 2 of 2,,4,92,106,-14,2423.0
7:15.0,C. Cunningham misses 2-pt jump shot from 19 ft,92-106, ,,4,92,106,-14,2445.0
7:13.0, ,92-106,Defensive rebound by H. Jones,,4,92,106,-14,2447.0
7:01.0, ,92-106,Personal foul by J. Duren (drawn by J. Valančiūnas),,4,92,106,-14,2459.0
7:01.0,J. Harris enters the game for J. Duren,92-106, ,,4,92,106,-14,2459.0
7:01.0, ,92-106,M. Ryan enters the game for H. Jones,,4,92,106,-14,2459.0
6:54.0, ,92-108,J. Valančiūnas makes 2-pt jump shot from 17 ft (assist by D. Daniels),,4,92,108,-16,2466.0
6:41.0,J. Harris makes 3-pt jump shot from 24 ft (assist by C. Cunningham),95-108, ,,4,95,108,-13,2479.0
6:27.0, ,95-111,J. Valančiūnas makes 3-pt jump shot from 26 ft (assist by K. Lewis),,4,95,111,-16,2493.0
6:14.0,C. Cunningham misses 3-pt jump shot from 26 ft,95-111, ,,4,95,111,-16,2506.0
6:10.0,Offensive rebound by K. Hayes,95-111, ,,4,95,111,-16,2510.0
5:58.0,K. Hayes misses 2-pt jump shot from 11 ft,95-111, ,,4,95,111,-16,2522.0
5:56.0,Offensive rebound by K. Hayes,95-111, ,,4,95,111,-16,2524.0
5:49.0,C. Cunningham misses 2-pt layup from 2 ft,95-111, ,,4,95,111,-16,2531.0
5:47.0, ,95-111,Defensive rebound by J. Valančiūnas,,4,95,111,-16,2533.0
5:35.0, ,95-111,M. Ryan misses 3-pt jump shot from 26 ft,,4,95,111,-16,2545.0
5:35.0,Defensive rebound by Team,95-111, ,,4,95,111,-16,2545.0
5:23.0,M. Sasser makes 3-pt jump shot from 25 ft (assist by C. Cunningham),98-111, ,,4,98,111,-13,2557.0
5:11.0, ,98-111,New Orleans full timeout,,4,98,111,-13,2569.0
5:11.0, ,98-111,H. Jones enters the game for D. Daniels,,4,98,111,-13,2569.0
5:11.0, ,98-111,C. McCollum enters the game for K. Lewis,,4,98,111,-13,2569.0
5:09.0, ,98-111,Turnover by C. McCollum (lost ball; steal by K. Hayes),,4,98,111,-13,2571.0
5:05.0,J. Harris makes 2-pt layup from 4 ft (assist by K. Hayes),100-111, ,,4,100,111,-11,2575.0
4:49.0, ,100-111,J. Valančiūnas misses 2-pt jump shot from 11 ft,,4,100,111,-11,2591.0
4:47.0,Defensive rebound by I. Stewart,100-111, ,,4,100,111,-11,2593.0
4:33.0,J. Harris misses 3-pt jump shot from 23 ft,100-111, ,,4,100,111,-11,2607.0
4:30.0, ,100-111,Defensive rebound by C. McCollum,,4,100,111,-11,2610.0
4:16.0, ,100-111,C. McCollum misses 2-pt jump shot from 12 ft,,4,100,111,-11,2624.0
4:10.0, ,100-111,Offensive rebound by J. Valančiūnas,,4,100,111,-11,2630.0
4:10.0, ,100-111,J. Valančiūnas misses 2-pt layup at rim,,4,100,111,-11,2630.0
4:10.0,Defensive rebound by I. Stewart,100-111, ,,4,100,111,-11,2630.0
4:03.0,M. Sasser makes 3-pt jump shot from 22 ft (assist by J. Harris),103-111, ,,4,103,111,-8,2637.0
3:48.0, ,103-113,H. Jones makes 2-pt layup from 3 ft,,4,103,113,-10,2652.0
3:48.0, ,103-113,Shooting foul by J. Harris (drawn by H. Jones),,4,103,113,-10,2652.0
3:48.0, ,103-113,D. Daniels enters the game for J. Hawkins,,4,103,113,-10,2652.0
3:48.0,Detroit full timeout,103-113, ,,4,103,113,-10,2652.0
3:48.0, ,103-114,H. Jones makes free throw 1 of 1,,4,103,114,-11,2652.0
3:36.0,Turnover by C. Cunningham (bad pass),103-114, ,,4,103,114,-11,2664.0
3:24.0, ,103-114,Personal foul by K. Hayes (drawn by C. McCollum),,4,103,114,-11,2676.0
3:20.0, ,103-114,Personal foul by J. Harris (drawn by C. McCollum),,4,103,114,-11,2680.0
3:20.0, ,103-115,C. McCollum makes free throw 1 of 2,,4,103,115,-12,2680.0
3:20.0, ,103-116,C. McCollum makes free throw 2 of 2,,4,103,116,-13,2680.0
3:05.0,C. Cunningham misses 2-pt layup from 6 ft (block by J. Valančiūnas),103-116, ,,4,103,116,-13,2695.0
3:04.0, ,103-116,Defensive rebound by D. Daniels,,4,103,116,-13,2696.0
3:02.0, ,103-116,Turnover by D. Daniels (bad pass),,4,103,116,-13,2698.0
3:02.0, ,103-116,Loose ball foul by D. Daniels (drawn by C. Cunningham),,4,103,116,-13,2698.0
3:02.0,J. Duren enters the game for J. Harris,103-116, ,,4,103,116,-13,2698.0
2:48.0,K. Hayes makes 2-pt jump shot from 16 ft,105-116, ,,4,105,116,-11,2712.0
2:39.0, ,105-116,Turnover by C. McCollum (lost ball; steal by M. Sasser),,4,105,116,-11,2721.0
2:35.0,M. Sasser makes 2-pt dunk from 3 ft,107-116, ,,4,107,116,-9,2725.0
2:09.0, ,107-119,D. Daniels makes 3-pt jump shot from 27 ft (assist by H. Jones),,4,107,119,-12,2751.0
1:56.0,J. Duren makes 2-pt layup from 4 ft (assist by C. Cunningham),109-119, ,,4,109,119,-10,2764.0
1:38.0, ,109-119,C. McCollum misses 3-pt jump shot from 26 ft,,4,109,119,-10,2782.0
1:38.0,Defensive rebound by Team,109-119, ,,4,109,119,-10,2782.0
1:24.0,C. Cunningham makes 2-pt layup from 3 ft (assist by J. Duren),111-119, ,,4,111,119,-8,2796.0
1:10.0, ,111-119,Personal foul by C. Cunningham (drawn by H. Jones),,4,111,119,-8,2810.0
1:10.0, ,111-120,H. Jones makes free throw 1 of 2,,4,111,120,-9,2810.0
1:10.0,Detroit full timeout,111-120, ,,4,111,120,-9,2810.0
1:10.0, ,111-121,H. Jones makes free throw 2 of 2,,4,111,121,-10,2810.0
0:58.0,M. Sasser makes 3-pt jump shot from 27 ft,114-121, ,,4,114,121,-7,2822.0
0:44.0, ,114-121,Turnover by C. McCollum (out of bounds lost ball),,4,114,121,-7,2836.0
0:35.0,C. Cunningham misses 2-pt layup from 7 ft (block by H. Jones),114-121, ,,4,114,121,-7,2845.0
0:35.0,Offensive rebound by Team,114-121, ,,4,114,121,-7,2845.0
0:35.0, ,114-121,J. Hawkins enters the game for M. Ryan,,4,114,121,-7,2845.0
0:30.0,C. Cunningham misses 2-pt jump shot from 15 ft,114-121, ,,4,114,121,-7,2850.0
0:26.0, ,114-121,Defensive rebound by D. Daniels,,4,114,121,-7,2854.0
0:15.0, ,114-121,Personal take foul by K. Hayes (drawn by H. Jones),,4,114,121,-7,2865.0
0:15.0, ,114-122,H. Jones makes free throw 1 of 2,,4,114,122,-8,2865.0
0:15.0, ,114-123,H. Jones makes free throw 2 of 2,,4,114,123,-9,2865.0
0:08.0,Shooting foul by J. Valančiūnas (drawn by M. Sasser),114-123, ,,4,114,123,-9,2872.0
0:08.0,M. Sasser makes free throw 1 of 2,115-123, ,,4,115,123,-8,2872.0
0:08.0,M. Sasser makes free throw 2 of 2,116-123, ,,4,116,123,-7,2872.0
0:08.0,Technical foul by J. Duren,116-123, ,,4,116,123,-7,2872.0
0:08.0, ,116-124,J. Hawkins makes technical free throw,,4,116,124,-8,2872.0
0:08.0,Technical foul by J. Duren,116-124, ,,4,116,124,-8,2872.0
0:08.0,J. Duren ejected from game,116-124, ,,4,116,124,-8,2872.0
0:08.0, ,116-125,C. McCollum makes technical free throw,,4,116,125,-9,2872.0
0:00.0,End of 4th quarter,116-125,,,4,116,125,-9,2880.0
