Time,Detroit,Score,New Orleans,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:14.0, ,14-15,C. McCollum makes 3-pt jump shot from 27 ft (assist by H. Jones),Lead change,1,14,15,-1,226.0
7:49.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by K. Hayes),17-15, ,Lead change,1,17,15,2,251.0
7:38.0, ,17-15,Offensive foul by J. Valančiūnas (drawn by J. Duren),,1,17,15,2,262.0
7:38.0, ,17-15,Turnover by J. Valančiūnas (offensive foul),,1,17,15,2,262.0
7:38.0,M. Sasser enters the game for K. Hayes,17-15, ,,1,17,15,2,262.0
7:21.0,A. Thompson misses 2-pt jump shot from 18 ft,17-15, ,,1,17,15,2,279.0
7:18.0, ,17-15,Defensive rebound by J. Valančiūnas,,1,17,15,2,282.0
7:07.0, ,17-15,C. McCollum misses 2-pt jump shot from 8 ft,,1,17,15,2,293.0
7:05.0, ,17-15,Offensive rebound by C. McCollum,,1,17,15,2,295.0
7:03.0, ,17-18,M. Ryan makes 3-pt jump shot from 26 ft (assist by C. McCollum),Lead change,1,17,18,-1,297.0
7:02.0,Detroit full timeout,17-18, ,,1,17,18,-1,298.0
7:02.0, ,17-18,D. Daniels enters the game for J. Hawkins,,1,17,18,-1,298.0
7:02.0, ,17-18,K. Lewis enters the game for C. McCollum,,1,17,18,-1,298.0
6:50.0,A. Thompson misses 3-pt jump shot from 23 ft,17-18, ,,1,17,18,-1,310.0
6:48.0, ,17-18,Defensive rebound by H. Jones,,1,17,18,-1,312.0
6:46.0, ,17-18,Shooting foul by M. Sasser (drawn by H. Jones),,1,17,18,-1,314.0
6:46.0, ,17-19,H. Jones makes free throw 1 of 2,,1,17,19,-2,314.0
6:46.0, ,17-20,H. Jones makes free throw 2 of 2,,1,17,20,-3,314.0
6:35.0,A. Thompson misses 3-pt jump shot from 25 ft,17-20, ,,1,17,20,-3,325.0
6:31.0,Offensive rebound by M. Sasser,17-20, ,,1,17,20,-3,329.0
6:30.0,C. Cunningham misses 3-pt jump shot from 26 ft,17-20, ,,1,17,20,-3,330.0
6:26.0, ,17-20,Defensive rebound by M. Ryan,,1,17,20,-3,334.0
6:18.0, ,17-20,K. Lewis misses 3-pt jump shot from 27 ft,,1,17,20,-3,342.0
6:15.0,Defensive rebound by J. Duren,17-20, ,,1,17,20,-3,345.0
6:07.0,Turnover by C. Cunningham (bad pass; steal by K. Lewis),17-20, ,,1,17,20,-3,353.0
6:02.0, ,17-22,H. Jones makes 2-pt dunk from 3 ft (assist by K. Lewis),,1,17,22,-5,358.0
5:47.0,A. Thompson misses 3-pt jump shot from 23 ft,17-22, ,,1,17,22,-5,373.0
5:43.0, ,17-22,Defensive rebound by D. Daniels,,1,17,22,-5,377.0
5:34.0, ,17-24,H. Jones makes 2-pt layup from 6 ft (assist by D. Daniels),,1,17,24,-7,386.0
5:14.0,A. Thompson misses 3-pt jump shot from 25 ft,17-24, ,,1,17,24,-7,406.0
5:11.0, ,17-24,Defensive rebound by J. Valančiūnas,,1,17,24,-7,409.0
5:06.0, ,17-24,Personal foul by I. Stewart (drawn by J. Valančiūnas),,1,17,24,-7,414.0
5:06.0,M. Bagley enters the game for J. Duren,17-24, ,,1,17,24,-7,414.0
5:06.0,J. Ivey enters the game for A. Thompson,17-24, ,,1,17,24,-7,414.0
4:55.0, ,17-26,M. Ryan makes 2-pt jump shot from 15 ft (assist by D. Daniels),,1,17,26,-9,425.0
4:44.0,C. Cunningham misses 2-pt layup from 5 ft (block by H. Jones),17-26, ,,1,17,26,-9,436.0
4:41.0, ,17-26,Defensive rebound by D. Daniels,,1,17,26,-9,439.0
4:36.0, ,17-26,Shooting foul by C. Cunningham (drawn by D. Daniels),,1,17,26,-9,444.0
4:36.0, ,17-27,D. Daniels makes free throw 1 of 2,,1,17,27,-10,444.0
4:36.0, ,17-27,L. Nance enters the game for J. Valančiūnas,,1,17,27,-10,444.0
4:36.0, ,17-28,D. Daniels makes free throw 2 of 2,,1,17,28,-11,444.0
4:23.0,Offensive foul by C. Cunningham (drawn by L. Nance),17-28, ,,1,17,28,-11,457.0
4:23.0,Turnover by C. Cunningham (offensive foul),17-28, ,,1,17,28,-11,457.0
4:23.0,K. Hayes enters the game for C. Cunningham,17-28, ,,1,17,28,-11,457.0
4:23.0, ,17-28,J. Hawkins enters the game for M. Ryan,,1,17,28,-11,457.0
4:10.0, ,17-28,H. Jones misses 3-pt jump shot from 26 ft,,1,17,28,-11,470.0
4:09.0,Defensive rebound by Team,17-28, ,,1,17,28,-11,471.0
3:56.0,M. Sasser misses 2-pt jump shot from 13 ft,17-28, ,,1,17,28,-11,484.0
3:51.0, ,17-28,Defensive rebound by J. Hawkins,,1,17,28,-11,489.0
3:42.0, ,17-28,K. Lewis misses 2-pt layup from 4 ft (block by I. Stewart),,1,17,28,-11,498.0
