Time,Washington,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Gafford vs. J. Duren (C. Cunningham gains possession),0-0,,,1,0,0,0,0.0
11:46.0, ,0-2,J. Duren makes 2-pt dunk from 1 ft (assist by C. Cunningham),,1,2,0,2,14.0
11:22.0,K. Kuzma misses 3-pt jump shot from 28 ft,0-2, ,,1,2,0,2,38.0
11:19.0, ,0-2,Defensive rebound by J. Duren,,1,2,0,2,41.0
11:13.0, ,0-2,B. Bogdanović misses 2-pt layup from 4 ft (block by K. Kuzma),,1,2,0,2,47.0
11:11.0, ,0-2,Offensive rebound by J. Duren,,1,2,0,2,49.0
11:08.0, ,0-2,Offensive foul by C. Cunningham (drawn by D. Gafford),,1,2,0,2,52.0
11:08.0, ,0-2,Turnover by C. Cunningham (offensive foul),,1,2,0,2,52.0
10:57.0,J. Poole misses 2-pt jump shot from 8 ft,0-2, ,,1,2,0,2,63.0
10:56.0,Offensive rebound by J. Poole,0-2, ,,1,2,0,2,64.0
10:54.0,T. Jones misses 3-pt jump shot from 25 ft,0-2, ,,1,2,0,2,66.0
10:51.0, ,0-2,Defensive rebound by J. Duren,,1,2,0,2,69.0
10:38.0, ,0-2,Turnover by C. Cunningham (bad pass),,1,2,0,2,82.0
10:23.0,T. Jones misses 3-pt jump shot from 23 ft,0-2, ,,1,2,0,2,97.0
10:20.0, ,0-2,Defensive rebound by I. Stewart,,1,2,0,2,100.0
10:15.0, ,0-2,Offensive foul by J. Ivey (drawn by D. Gafford),,1,2,0,2,105.0
10:15.0, ,0-2,Turnover by J. Ivey (offensive foul),,1,2,0,2,105.0
10:04.0,K. Kuzma makes 3-pt jump shot from 25 ft,3-2, ,Lead change,1,2,3,-1,116.0
9:51.0, ,3-5,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by C. Cunningham),Lead change,1,5,3,2,129.0
9:44.0,D. Avdija misses 2-pt jump shot from 8 ft,3-5, ,,1,5,3,2,136.0
9:44.0, ,3-5,Defensive rebound by J. Duren,,1,5,3,2,136.0
9:38.0, ,3-7,B. Bogdanović makes 2-pt layup from 2 ft,,1,7,3,4,142.0
9:28.0,D. Gafford makes 2-pt layup from 1 ft (assist by T. Jones),5-7, ,,1,7,5,2,152.0
9:10.0, ,5-9,C. Cunningham makes 2-pt dunk from 2 ft (assist by J. Duren),,1,9,5,4,170.0
8:57.0,K. Kuzma makes 2-pt layup from 1 ft (assist by T. Jones),7-9, ,,1,9,7,2,183.0
8:42.0, ,7-12,C. Cunningham makes 3-pt jump shot from 25 ft (assist by J. Duren),,1,12,7,5,198.0
8:24.0,K. Kuzma misses 2-pt hook shot from 6 ft,7-12, ,,1,12,7,5,216.0
8:22.0, ,7-12,Defensive rebound by J. Duren,,1,12,7,5,218.0
8:16.0, ,7-15,J. Ivey makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,1,15,7,8,224.0
7:57.0,D. Avdija makes 2-pt jump shot from 5 ft (assist by T. Jones),9-15, ,,1,15,9,6,243.0
7:39.0, ,9-17,J. Duren makes 2-pt dunk from 3 ft (assist by B. Bogdanović),,1,17,9,8,261.0
7:39.0,Washington full timeout,9-17, ,,1,17,9,8,261.0
7:26.0,K. Kuzma misses 3-pt jump shot from 24 ft,9-17, ,,1,17,9,8,274.0
7:25.0,Offensive rebound by Team,9-17, ,,1,17,9,8,275.0
7:25.0, ,9-17,Loose ball foul by I. Stewart (drawn by D. Gafford),,1,17,9,8,275.0
7:22.0,D. Avdija makes 2-pt layup from 3 ft (assist by J. Poole),11-17, ,,1,17,11,6,278.0
