Time,Detroit,Score,New York,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Wiseman vs. I. Hartenstein (M. Sasser gains possession),0-0,,,1,0,0,0,0.0
11:49.0,Offensive foul by M. Sasser (drawn by I. Hartenstein),0-0, ,,1,0,0,0,11.0
11:49.0,Turnover by M. Sasser (offensive foul),0-0, ,,1,0,0,0,11.0
11:29.0, ,0-2,I. Hartenstein makes 2-pt jump shot from 10 ft (assist by J. Hart),,1,0,2,-2,31.0
11:09.0,J. Ivey misses 2-pt jump shot from 14 ft,0-2, ,,1,0,2,-2,51.0
11:07.0, ,0-2,Defensive rebound by J. Hart,,1,0,2,-2,53.0
11:00.0, ,0-4,J. Hart makes 2-pt layup from 1 ft (assist by I. Hartenstein),,1,0,4,-4,60.0
10:33.0,M. Sasser makes 3-pt jump shot from 25 ft,3-4, ,,1,3,4,-1,87.0
10:13.0, ,3-6,D. DiVincenzo makes 2-pt layup from 1 ft (assist by I. Hartenstein),,1,3,6,-3,107.0
10:01.0,J. Wiseman misses 2-pt layup from 2 ft (block by I. Hartenstein),3-6, ,,1,3,6,-3,119.0
10:01.0, ,3-6,Defensive rebound by I. Hartenstein,,1,3,6,-3,119.0
9:47.0, ,3-9,D. DiVincenzo makes 3-pt jump shot from 25 ft (assist by J. Brunson),,1,3,9,-6,133.0
9:46.0,Detroit full timeout,3-9, ,,1,3,9,-6,134.0
9:32.0,T. Evbuomwan makes 3-pt jump shot from 23 ft (assist by M. Sasser),6-9, ,,1,6,9,-3,148.0
9:06.0, ,6-9,D. DiVincenzo misses 3-pt jump shot from 24 ft,,1,6,9,-3,174.0
9:03.0,Defensive rebound by T. Brown,6-9, ,,1,6,9,-3,177.0
8:56.0,T. Brown misses 3-pt jump shot from 25 ft,6-9, ,,1,6,9,-3,184.0
8:51.0,Offensive rebound by J. Ivey,6-9, ,,1,6,9,-3,189.0
8:48.0,J. Ivey misses 3-pt jump shot from 25 ft,6-9, ,,1,6,9,-3,192.0
8:45.0,Offensive rebound by T. Brown,6-9, ,,1,6,9,-3,195.0
8:45.0,Shooting foul by J. Brunson (drawn by T. Brown),6-9, ,,1,6,9,-3,195.0
8:45.0,T. Brown makes free throw 1 of 2,7-9, ,,1,7,9,-2,195.0
8:45.0,T. Brown makes free throw 2 of 2,8-9, ,,1,8,9,-1,195.0
8:35.0, ,8-12,M. McBride makes 3-pt jump shot from 24 ft (assist by J. Brunson),,1,8,12,-4,205.0
8:22.0,Turnover by J. Ivey (lost ball; steal by D. DiVincenzo),8-12, ,,1,8,12,-4,218.0
8:19.0, ,8-14,D. DiVincenzo makes 2-pt layup from 1 ft (assist by I. Hartenstein),,1,8,14,-6,221.0
8:19.0, ,8-14,Shooting foul by T. Evbuomwan (drawn by D. DiVincenzo),,1,8,14,-6,221.0
8:19.0, ,8-14,D. DiVincenzo misses free throw 1 of 1,,1,8,14,-6,221.0
8:17.0,Defensive rebound by J. Wiseman,8-14, ,,1,8,14,-6,223.0
7:54.0,Turnover by T. Brown (lost ball; steal by I. Hartenstein),8-14, ,,1,8,14,-6,246.0
7:47.0, ,8-17,J. Hart makes 3-pt jump shot from 26 ft (assist by M. McBride),,1,8,17,-9,253.0
7:31.0,J. Wiseman misses 2-pt jump shot from 22 ft,8-17, ,,1,8,17,-9,269.0
7:28.0, ,8-17,Defensive rebound by J. Brunson,,1,8,17,-9,272.0
7:17.0, ,8-20,J. Brunson makes 3-pt jump shot from 23 ft (assist by J. Hart),,1,8,20,-12,283.0
6:52.0,M. Sasser misses 2-pt jump shot from 13 ft,8-20, ,,1,8,20,-12,308.0
6:50.0, ,8-20,Defensive rebound by I. Hartenstein,,1,8,20,-12,310.0
6:45.0, ,8-20,J. Brunson misses 3-pt jump shot from 25 ft,,1,8,20,-12,315.0
6:43.0,Defensive rebound by T. Evbuomwan,8-20, ,,1,8,20,-12,317.0
6:38.0,J. Ivey misses 3-pt jump shot from 26 ft,8-20, ,,1,8,20,-12,322.0
6:34.0, ,8-20,Defensive rebound by D. DiVincenzo,,1,8,20,-12,326.0
6:24.0, ,8-20,I. Hartenstein misses 2-pt jump shot from 11 ft,,1,8,20,-12,336.0
6:22.0, ,8-20,Offensive rebound by I. Hartenstein,,1,8,20,-12,338.0
6:21.0, ,8-22,I. Hartenstein makes 2-pt layup at rim,,1,8,22,-14,339.0
6:14.0,Personal foul by J. Brunson (drawn by J. Ivey),8-22, ,,1,8,22,-14,346.0
6:14.0,M. Flynn enters the game for T. Brown,8-22, ,,1,8,22,-14,346.0
6:04.0,M. Sasser misses 3-pt jump shot from 24 ft,8-22, ,,1,8,22,-14,356.0
6:01.0, ,8-22,Defensive rebound by M. McBride,,1,8,22,-14,359.0
5:48.0, ,8-22,Personal foul by J. Wiseman (drawn by I. Hartenstein),,1,8,22,-14,372.0
5:45.0, ,8-22,M. McBride misses 2-pt layup from 1 ft,,1,8,22,-14,375.0
5:43.0,Defensive rebound by J. Wiseman,8-22, ,,1,8,22,-14,377.0
5:33.0,J. Ivey misses 3-pt jump shot from 26 ft,8-22, ,,1,8,22,-14,387.0
5:31.0, ,8-22,Defensive rebound by J. Hart,,1,8,22,-14,389.0
5:30.0, ,8-22,Personal foul by J. Ivey (drawn by D. DiVincenzo),,1,8,22,-14,390.0
5:21.0, ,8-24,I. Hartenstein makes 2-pt layup from 3 ft,,1,8,24,-16,399.0
5:14.0,J. Ivey misses 2-pt layup from 2 ft,8-24, ,,1,8,24,-16,406.0
5:14.0, ,8-24,Defensive rebound by I. Hartenstein,,1,8,24,-16,406.0
5:09.0, ,8-24,J. Hart misses 2-pt layup from 1 ft (block by M. Flynn),,1,8,24,-16,411.0
5:08.0,Defensive rebound by Team,8-24, ,,1,8,24,-16,412.0
4:48.0,T. Evbuomwan misses 2-pt layup from 2 ft (block by I. Hartenstein),8-24, ,,1,8,24,-16,432.0
4:47.0, ,8-24,Defensive rebound by Team,,1,8,24,-16,433.0
4:47.0, ,8-24,P. Achiuwa enters the game for I. Hartenstein,,1,8,24,-16,433.0
4:36.0, ,8-24,Shooting foul by T. Evbuomwan (drawn by J. Brunson),,1,8,24,-16,444.0
4:36.0,E. Fournier enters the game for T. Evbuomwan,8-24, ,,1,8,24,-16,444.0
4:36.0,C. Metu enters the game for J. Ivey,8-24, ,,1,8,24,-16,444.0
4:36.0,J. Rhoden enters the game for J. Wiseman,8-24, ,,1,8,24,-16,444.0
4:36.0, ,8-25,J. Brunson makes free throw 1 of 2,,1,8,25,-17,444.0
4:36.0, ,8-26,J. Brunson makes free throw 2 of 2,,1,8,26,-18,444.0
4:22.0,C. Metu misses 2-pt hook shot from 4 ft,8-26, ,,1,8,26,-18,458.0
4:20.0, ,8-26,Defensive rebound by P. Achiuwa,,1,8,26,-18,460.0
4:08.0, ,8-29,D. DiVincenzo makes 3-pt jump shot from 25 ft (assist by P. Achiuwa),,1,8,29,-21,472.0
3:49.0,J. Rhoden misses 3-pt jump shot from 25 ft,8-29, ,,1,8,29,-21,491.0
3:46.0, ,8-29,Defensive rebound by P. Achiuwa,,1,8,29,-21,494.0
3:36.0, ,8-29,J. Brunson misses 2-pt layup from 2 ft,,1,8,29,-21,504.0
3:34.0,Defensive rebound by E. Fournier,8-29, ,,1,8,29,-21,506.0
3:27.0,M. Flynn misses 2-pt layup from 2 ft (block by P. Achiuwa),8-29, ,,1,8,29,-21,513.0
3:26.0,Offensive rebound by Team,8-29, ,,1,8,29,-21,514.0
3:26.0, ,8-29,New York full timeout,,1,8,29,-21,514.0
3:26.0, ,8-29,Instant Replay (Challenge: Ruling Stands),,1,8,29,-21,514.0
3:26.0,T. Brown enters the game for M. Sasser,8-29, ,,1,8,29,-21,514.0
3:26.0, ,8-29,B. Bogdanović enters the game for J. Brunson,,1,8,29,-21,514.0
3:11.0,C. Metu makes 2-pt jump shot from 9 ft (assist by E. Fournier),10-29, ,,1,10,29,-19,529.0
2:55.0, ,10-31,M. McBride makes 2-pt dunk from 1 ft,,1,10,31,-21,545.0
2:35.0,E. Fournier makes 3-pt jump shot from 25 ft,13-31, ,,1,13,31,-18,565.0
2:19.0, ,13-34,D. DiVincenzo makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,1,13,34,-21,581.0
2:01.0,E. Fournier misses 2-pt jump shot from 11 ft,13-34, ,,1,13,34,-21,599.0
1:57.0, ,13-34,Defensive rebound by D. DiVincenzo,,1,13,34,-21,603.0
1:46.0, ,13-34,M. McBride misses 3-pt jump shot from 25 ft,,1,13,34,-21,614.0
1:46.0,Defensive rebound by J. Rhoden,13-34, ,,1,13,34,-21,614.0
1:26.0,Personal foul by B. Bogdanović (drawn by C. Metu),13-34, ,,1,13,34,-21,634.0
1:20.0,M. Flynn makes 2-pt jump shot from 17 ft,15-34, ,,1,15,34,-19,640.0
0:57.0, ,15-34,Turnover by D. DiVincenzo (lost ball; steal by M. Flynn),,1,15,34,-19,663.0
0:54.0,M. Flynn makes 2-pt layup from 2 ft (assist by J. Rhoden),17-34, ,,1,17,34,-17,666.0
0:54.0, ,17-34,Violation by Team (def goaltending),,1,17,34,-17,666.0
0:37.0, ,17-34,Turnover by B. Bogdanović (lost ball; steal by E. Fournier),,1,17,34,-17,683.0
0:37.0,Turnover by E. Fournier (out of bounds lost ball),17-34, ,,1,17,34,-17,683.0
0:36.0, ,17-36,M. McBride makes 2-pt layup from 1 ft,,1,17,36,-19,684.0
0:29.0,M. Flynn misses 2-pt jump shot from 9 ft,17-36, ,,1,17,36,-19,691.0
0:27.0, ,17-36,Defensive rebound by P. Achiuwa,,1,17,36,-19,693.0
0:08.0, ,17-36,M. McBride misses 3-pt jump shot from 26 ft (block by C. Metu),,1,17,36,-19,712.0
0:05.0,Defensive rebound by E. Fournier,17-36, ,,1,17,36,-19,715.0
0:00.0,E. Fournier misses 3-pt jump shot from 24 ft,17-36, ,,1,17,36,-19,720.0
0:00.0,Offensive rebound by Team,17-36, ,,1,17,36,-19,720.0
0:00.0,End of 1st quarter,17-36,,,1,17,36,-19,720.0
12:00.0,Start of 2nd quarter,17-36,,,2,17,36,-19,720.0
11:41.0, ,17-36,J. Hart misses 3-pt jump shot from 23 ft,,2,17,36,-19,739.0
11:35.0,Defensive rebound by M. Flynn,17-36, ,,2,17,36,-19,745.0
11:35.0,Turnover by M. Flynn (lost ball; steal by P. Achiuwa),17-36, ,,2,17,36,-19,745.0
11:32.0, ,17-36,Shooting foul by J. Rhoden (drawn by P. Achiuwa),,2,17,36,-19,748.0
11:32.0, ,17-36,D. DiVincenzo enters the game for J. Hart,,2,17,36,-19,748.0
11:32.0, ,17-37,P. Achiuwa makes free throw 1 of 2,,2,17,37,-20,748.0
11:32.0, ,17-37,P. Achiuwa misses free throw 2 of 2,,2,17,37,-20,748.0
11:29.0,Defensive rebound by C. Metu,17-37, ,,2,17,37,-20,751.0
11:14.0,T. Brown misses 2-pt jump shot from 5 ft,17-37, ,,2,17,37,-20,766.0
11:12.0, ,17-37,Defensive rebound by P. Achiuwa,,2,17,37,-20,768.0
11:04.0, ,17-40,B. Bogdanović makes 3-pt jump shot from 22 ft (assist by M. McBride),,2,17,40,-23,776.0
10:50.0,Personal foul by I. Hartenstein (drawn by C. Metu),17-40, ,,2,17,40,-23,790.0
10:44.0,T. Brown makes 3-pt jump shot from 25 ft (assist by C. Metu),20-40, ,,2,20,40,-20,796.0
10:16.0, ,20-42,D. DiVincenzo makes 2-pt jump shot from 9 ft,,2,20,42,-22,824.0
10:11.0,E. Fournier misses 2-pt layup from 2 ft,20-42, ,,2,20,42,-22,829.0
10:09.0, ,20-42,Defensive rebound by P. Achiuwa,,2,20,42,-22,831.0
9:58.0, ,20-44,B. Bogdanović makes 2-pt jump shot from 17 ft,,2,20,44,-24,842.0
9:33.0,Turnover by J. Rhoden (lost ball; steal by M. McBride),20-44, ,,2,20,44,-24,867.0
9:28.0, ,20-44,B. Bogdanović misses 3-pt jump shot from 23 ft,,2,20,44,-24,872.0
9:24.0, ,20-44,Offensive rebound by P. Achiuwa,,2,20,44,-24,876.0
9:20.0, ,20-44,Turnover by B. Bogdanović (bad pass),,2,20,44,-24,880.0
9:20.0,J. Wiseman enters the game for C. Metu,20-44, ,,2,20,44,-24,880.0
9:06.0,E. Fournier makes 2-pt jump shot from 10 ft (assist by M. Flynn),22-44, ,,2,22,44,-22,894.0
8:48.0, ,22-47,D. DiVincenzo makes 3-pt jump shot from 27 ft (assist by M. McBride),,2,22,47,-25,912.0
8:38.0,Shooting foul by I. Hartenstein (drawn by M. Flynn),22-47, ,,2,22,47,-25,922.0
8:38.0,B. Boeheim enters the game for E. Fournier,22-47, ,,2,22,47,-25,922.0
8:38.0,J. Ivey enters the game for J. Rhoden,22-47, ,,2,22,47,-25,922.0
8:38.0,M. Flynn makes free throw 1 of 2,23-47, ,,2,23,47,-24,922.0
8:38.0,M. Flynn makes free throw 2 of 2,24-47, ,,2,24,47,-23,922.0
8:25.0, ,24-49,B. Bogdanović makes 2-pt layup from 7 ft (assist by I. Hartenstein),,2,24,49,-25,935.0
8:04.0,J. Wiseman makes 2-pt dunk from 1 ft (assist by J. Ivey),26-49, ,,2,26,49,-23,956.0
7:44.0, ,26-49,Turnover by D. DiVincenzo (bad pass; steal by J. Ivey),,2,26,49,-23,976.0
7:37.0,B. Boeheim makes 3-pt jump shot from 25 ft (assist by J. Ivey),29-49, ,,2,29,49,-20,983.0
7:37.0, ,29-49,New York full timeout,,2,29,49,-20,983.0
7:37.0,M. Sasser enters the game for M. Flynn,29-49, ,,2,29,49,-20,983.0
7:37.0, ,29-49,J. Brunson enters the game for P. Achiuwa,,2,29,49,-20,983.0
7:37.0, ,29-49,J. Hart enters the game for D. DiVincenzo,,2,29,49,-20,983.0
7:21.0, ,29-49,J. Brunson misses 2-pt jump shot from 13 ft,,2,29,49,-20,999.0
7:15.0,Defensive rebound by B. Boeheim,29-49, ,,2,29,49,-20,1005.0
7:01.0,T. Brown misses 2-pt jump shot from 20 ft,29-49, ,,2,29,49,-20,1019.0
6:59.0, ,29-49,Defensive rebound by J. Hart,,2,29,49,-20,1021.0
6:46.0, ,29-49,J. Hart misses 2-pt layup from 3 ft (block by J. Wiseman),,2,29,49,-20,1034.0
6:46.0, ,29-49,Offensive rebound by Team,,2,29,49,-20,1034.0
6:46.0,T. Evbuomwan enters the game for T. Brown,29-49, ,,2,29,49,-20,1034.0
6:42.0,Violation by Team (kicked ball),29-49, ,,2,29,49,-20,1038.0
6:31.0, ,29-51,J. Brunson makes 2-pt jump shot from 10 ft,,2,29,51,-22,1049.0
