Time,Philadelphia,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Embiid vs. J. Duren (I. Stewart gains possession),0-0,,,1,0,0,0,0.0
11:42.0, ,0-2,C. Cunningham makes 2-pt jump shot from 16 ft,,1,2,0,2,18.0
11:21.0,K. Oubre misses 2-pt layup from 4 ft,0-2, ,,1,2,0,2,39.0
11:18.0, ,0-2,Defensive rebound by I. Stewart,,1,2,0,2,42.0
11:12.0, ,0-4,K. Hayes makes 2-pt jump shot from 13 ft (assist by J. Duren),,1,4,0,4,48.0
10:53.0,J. Embiid misses 2-pt hook shot from 10 ft,0-4, ,,1,4,0,4,67.0
10:51.0, ,0-4,Defensive rebound by C. Cunningham,,1,4,0,4,69.0
10:46.0, ,0-4,C. Cunningham misses 2-pt layup from 7 ft (block by D. Melton),,1,4,0,4,74.0
10:46.0, ,0-4,Offensive rebound by Team,,1,4,0,4,74.0
10:41.0, ,0-4,K. Hayes misses 2-pt jump shot from 7 ft (block by T. Maxey),,1,4,0,4,79.0
10:38.0,Defensive rebound by T. Maxey,0-4, ,,1,4,0,4,82.0
10:36.0,D. Melton misses 3-pt jump shot from 23 ft,0-4, ,,1,4,0,4,84.0
10:32.0, ,0-4,Defensive rebound by I. Stewart,,1,4,0,4,88.0
10:25.0, ,0-6,C. Cunningham makes 2-pt jump shot from 13 ft,,1,6,0,6,95.0
10:15.0,T. Harris makes 2-pt layup from 5 ft (assist by T. Maxey),2-6, ,,1,6,2,4,105.0
10:15.0,Shooting foul by I. Stewart (drawn by T. Harris),2-6, ,,1,6,2,4,105.0
10:15.0,T. Harris makes free throw 1 of 1,3-6, ,,1,6,3,3,105.0
9:51.0, ,3-9,K. Hayes makes 3-pt jump shot from 25 ft (assist by I. Stewart),,1,9,3,6,129.0
9:31.0,J. Embiid misses 3-pt jump shot from 24 ft,3-9, ,,1,9,3,6,149.0
9:28.0, ,3-9,Defensive rebound by A. Thompson,,1,9,3,6,152.0
9:26.0, ,3-11,J. Duren makes 2-pt dunk from 2 ft (assist by A. Thompson),,1,11,3,8,154.0
9:09.0,T. Maxey misses 3-pt jump shot from 24 ft (block by A. Thompson),3-11, ,,1,11,3,8,171.0
9:09.0,Offensive rebound by Team,3-11, ,,1,11,3,8,171.0
9:02.0,Shooting foul by A. Thompson (drawn by T. Maxey),3-11, ,,1,11,3,8,178.0
9:02.0,T. Maxey makes free throw 1 of 2,4-11, ,,1,11,4,7,178.0
9:02.0,T. Maxey makes free throw 2 of 2,5-11, ,,1,11,5,6,178.0
8:49.0, ,5-11,Turnover by I. Stewart (lost ball; steal by T. Maxey),,1,11,5,6,191.0
8:35.0,K. Oubre misses 3-pt jump shot from 27 ft,5-11, ,,1,11,5,6,205.0
