Time,Detroit,Score,Denver,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:18.0, ,73-90,Defensive rebound by Team,,3,73,90,-17,1902.0
4:05.0, ,73-90,P. Watson misses 2-pt dunk from 1 ft,,3,73,90,-17,1915.0
4:03.0,Defensive rebound by J. Wiseman,73-90, ,,3,73,90,-17,1917.0
3:53.0,Personal foul by R. Jackson (drawn by A. Burks),73-90, ,,3,73,90,-17,1927.0
3:53.0,A. Thompson enters the game for J. Ivey,73-90, ,,3,73,90,-17,1927.0
3:51.0,Personal foul by R. Jackson (drawn by M. Sasser),73-90, ,,3,73,90,-17,1929.0
3:51.0,M. Sasser makes free throw 1 of 2,74-90, ,,3,74,90,-16,1929.0
3:51.0,M. Sasser makes free throw 2 of 2,75-90, ,,3,75,90,-15,1929.0
3:37.0, ,75-92,C. Braun makes 2-pt dunk from 1 ft (assist by R. Jackson),,3,75,92,-17,1943.0
3:19.0,A. Burks misses 2-pt layup from 3 ft,75-92, ,,3,75,92,-17,1961.0
3:14.0, ,75-92,Defensive rebound by N. Jokić,,3,75,92,-17,1966.0
3:07.0, ,75-92,Turnover by K. Caldwell-Pope (bad pass),,3,75,92,-17,1973.0
3:07.0, ,75-92,Technical foul by N. Jokić,,3,75,92,-17,1973.0
3:07.0,A. Burks makes technical free throw,76-92, ,,3,76,92,-16,1973.0
3:07.0, ,76-92,J. Murray enters the game for K. Caldwell-Pope,,3,76,92,-16,1973.0
3:03.0,Personal foul by N. Jokić (drawn by J. Wiseman),76-92, ,,3,76,92,-16,1977.0
3:03.0, ,76-92,D. Jordan enters the game for N. Jokić,,3,76,92,-16,1977.0
3:03.0,J. Wiseman makes free throw 1 of 2,77-92, ,,3,77,92,-15,1977.0
3:03.0,J. Wiseman misses free throw 2 of 2,77-92, ,,3,77,92,-15,1977.0
3:00.0, ,77-92,Defensive rebound by C. Braun,,3,77,92,-15,1980.0
2:44.0, ,77-92,J. Murray misses 2-pt hook shot from 7 ft,,3,77,92,-15,1996.0
2:40.0,Defensive rebound by A. Burks,77-92, ,,3,77,92,-15,2000.0
2:27.0,K. Knox misses 2-pt layup from 3 ft (block by P. Watson),77-92, ,,3,77,92,-15,2013.0
2:25.0, ,77-92,Defensive rebound by P. Watson,,3,77,92,-15,2015.0
2:22.0, ,77-94,C. Braun makes 2-pt layup from 1 ft (assist by P. Watson),,3,77,94,-17,2018.0
2:22.0, ,77-94,Flagrant foul type 1 by A. Thompson (drawn by P. Watson),,3,77,94,-17,2018.0
2:22.0,Turnover by A. Thompson (offensive foul),77-94, ,,3,77,94,-17,2018.0
2:22.0,Instant Replay (Request: Ruling Stands),77-94, ,,3,77,94,-17,2018.0
2:22.0, ,77-95,P. Watson makes flagrant free throw 1 of 1,,3,77,95,-18,2018.0
2:21.0, ,77-95,Offensive foul by D. Jordan (drawn by A. Thompson),,3,77,95,-18,2019.0
2:21.0, ,77-95,Turnover by D. Jordan (offensive foul),,3,77,95,-18,2019.0
2:08.0,A. Burks makes 2-pt jump shot from 9 ft (assist by M. Sasser),79-95, ,,3,79,95,-16,2032.0
1:53.0, ,79-98,P. Watson makes 3-pt jump shot from 25 ft (assist by J. Murray),,3,79,98,-19,2047.0
1:36.0,Shooting foul by J. Murray (drawn by A. Burks),79-98, ,,3,79,98,-19,2064.0
1:36.0,A. Burks makes free throw 1 of 2,80-98, ,,3,80,98,-18,2064.0
1:36.0,A. Burks makes free throw 2 of 2,81-98, ,,3,81,98,-17,2064.0
1:13.0, ,81-98,J. Murray misses 3-pt jump shot from 23 ft,,3,81,98,-17,2087.0
1:11.0, ,81-98,Offensive rebound by R. Jackson,,3,81,98,-17,2089.0
1:01.0, ,81-100,J. Murray makes 2-pt jump shot from 14 ft,,3,81,100,-19,2099.0
0:53.0,Turnover by A. Burks (bad pass; steal by R. Jackson),81-100, ,,3,81,100,-19,2107.0
0:51.0, ,81-102,P. Watson makes 2-pt dunk from 1 ft (assist by R. Jackson),,3,81,102,-21,2109.0
0:45.0,J. Wiseman makes 2-pt layup at rim (assist by A. Thompson),83-102, ,,3,83,102,-19,2115.0
0:45.0,Shooting foul by J. Murray (drawn by J. Wiseman),83-102, ,,3,83,102,-19,2115.0
0:45.0,J. Wiseman misses free throw 1 of 1,83-102, ,,3,83,102,-19,2115.0
0:44.0,Offensive rebound by K. Knox,83-102, ,,3,83,102,-19,2116.0
0:43.0,Shooting foul by D. Jordan (drawn by K. Knox),83-102, ,,3,83,102,-19,2117.0
0:43.0,K. Knox makes free throw 1 of 2,84-102, ,,3,84,102,-18,2117.0
0:43.0,K. Knox makes free throw 2 of 2,85-102, ,,3,85,102,-17,2117.0
0:35.0, ,85-104,D. Jordan makes 2-pt dunk from 1 ft (assist by J. Murray),,3,85,104,-19,2125.0
0:35.0, ,85-104,Shooting foul by J. Wiseman (drawn by D. Jordan),,3,85,104,-19,2125.0
0:35.0, ,85-104,K. Caldwell-Pope enters the game for R. Jackson,,3,85,104,-19,2125.0
0:35.0, ,85-105,D. Jordan makes free throw 1 of 1,,3,85,105,-20,2125.0
0:20.0,M. Sasser misses 2-pt jump shot from 13 ft,85-105, ,,3,85,105,-20,2140.0
0:16.0, ,85-105,Defensive rebound by D. Jordan,,3,85,105,-20,2144.0
0:03.0, ,85-108,P. Watson makes 3-pt jump shot from 23 ft (assist by J. Murray),,3,85,108,-23,2157.0
0:00.0,M. Sasser misses 3-pt jump shot from 38 ft,85-108, ,,3,85,108,-23,2160.0
0:00.0,Offensive rebound by Team,85-108, ,,3,85,108,-23,2160.0
0:00.0,End of 3rd quarter,85-108,,,3,85,108,-23,2160.0
12:00.0,Start of 4th quarter,85-108,,,4,85,108,-23,2160.0
11:41.0,J. Duren makes 2-pt jump shot from 10 ft (assist by J. Ivey),87-108, ,,4,87,108,-21,2179.0
11:17.0, ,87-108,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,4,87,108,-21,2203.0
11:13.0, ,87-108,Offensive rebound by Team,,4,87,108,-21,2207.0
11:13.0, ,87-108,Turnover by Team (shot clock),,4,87,108,-21,2207.0
11:07.0,Shooting foul by J. Murray (drawn by J. Ivey),87-108, ,,4,87,108,-21,2213.0
11:07.0,J. Ivey misses free throw 1 of 2,87-108, ,,4,87,108,-21,2213.0
11:07.0,Offensive rebound by Team,87-108, ,,4,87,108,-21,2213.0
11:07.0,J. Ivey makes free throw 2 of 2,88-108, ,,4,88,108,-20,2213.0
10:49.0, ,88-110,J. Murray makes 2-pt jump shot from 10 ft,,4,88,110,-22,2231.0
10:35.0,Turnover by J. Ivey (bad pass; steal by P. Watson),88-110, ,,4,88,110,-22,2245.0
10:33.0, ,88-110,Shooting foul by J. Ivey (drawn by P. Watson),,4,88,110,-22,2247.0
10:33.0, ,88-111,P. Watson makes free throw 1 of 2,,4,88,111,-23,2247.0
10:33.0, ,88-112,P. Watson makes free throw 2 of 2,,4,88,112,-24,2247.0
10:18.0,K. Knox makes 2-pt dunk from 1 ft (assist by J. Ivey),90-112, ,,4,90,112,-22,2262.0
9:55.0, ,90-112,C. Braun misses 2-pt layup from 2 ft,,4,90,112,-22,2285.0
9:55.0, ,90-112,Offensive rebound by Team,,4,90,112,-22,2285.0
9:44.0, ,90-112,P. Watson misses 3-pt jump shot from 24 ft,,4,90,112,-22,2296.0
9:41.0,Defensive rebound by J. Ivey,90-112, ,,4,90,112,-22,2299.0
9:34.0,K. Knox misses 3-pt jump shot from 24 ft,90-112, ,,4,90,112,-22,2306.0
9:34.0,Offensive rebound by Team,90-112, ,,4,90,112,-22,2306.0
9:29.0,B. Bogdanović misses 3-pt jump shot from 26 ft,90-112, ,,4,90,112,-22,2311.0
9:24.0,Offensive rebound by J. Ivey,90-112, ,,4,90,112,-22,2316.0
9:24.0,J. Ivey makes 2-pt layup at rim,92-112, ,,4,92,112,-20,2316.0
9:09.0, ,92-114,J. Murray makes 2-pt jump shot at rim,,4,92,114,-22,2331.0
8:57.0,Shooting foul by D. Jordan (drawn by J. Duren),92-114, ,,4,92,114,-22,2343.0
8:57.0,J. Duren makes free throw 1 of 2,93-114, ,,4,93,114,-21,2343.0
8:57.0,A. Thompson enters the game for K. Knox,93-114, ,,4,93,114,-21,2343.0
8:57.0,J. Duren makes free throw 2 of 2,94-114, ,,4,94,114,-20,2343.0
8:40.0, ,94-117,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by C. Braun),,4,94,117,-23,2360.0
8:18.0,B. Bogdanović misses 2-pt jump shot from 12 ft,94-117, ,,4,94,117,-23,2382.0
8:15.0, ,94-117,Defensive rebound by J. Murray,,4,94,117,-23,2385.0
8:00.0, ,94-117,J. Murray misses 2-pt layup from 1 ft,,4,94,117,-23,2400.0
7:58.0, ,94-117,Offensive rebound by J. Murray,,4,94,117,-23,2402.0
7:58.0, ,94-117,J. Murray misses 2-pt layup at rim,,4,94,117,-23,2402.0
7:57.0,Defensive rebound by A. Thompson,94-117, ,,4,94,117,-23,2403.0
7:55.0,Shooting foul by K. Caldwell-Pope (drawn by J. Ivey),94-117, ,,4,94,117,-23,2405.0
7:55.0,J. Ivey makes free throw 1 of 2,95-117, ,,4,95,117,-22,2405.0
7:55.0,J. Ivey makes free throw 2 of 2,96-117, ,,4,96,117,-21,2405.0
7:55.0, ,96-117,R. Jackson enters the game for J. Murray,,4,96,117,-21,2405.0
7:41.0, ,96-117,Turnover by K. Caldwell-Pope (bad pass; steal by B. Bogdanović),,4,96,117,-21,2419.0
7:36.0,J. Ivey misses 3-pt jump shot from 24 ft,96-117, ,,4,96,117,-21,2424.0
7:31.0,Offensive rebound by I. Livers,96-117, ,,4,96,117,-21,2429.0
7:31.0,I. Livers misses 2-pt layup at rim,96-117, ,,4,96,117,-21,2429.0
7:30.0,Offensive rebound by J. Duren,96-117, ,,4,96,117,-21,2430.0
7:28.0,J. Duren makes 2-pt jump shot from 10 ft,98-117, ,,4,98,117,-19,2432.0
7:05.0, ,98-117,Turnover by R. Jackson (bad pass; steal by J. Ivey),,4,98,117,-19,2455.0
7:02.0,J. Ivey makes 2-pt layup from 2 ft,100-117, ,,4,100,117,-17,2458.0
7:01.0, ,100-117,Denver full timeout,,4,100,117,-17,2459.0
7:01.0, ,100-117,M. Porter enters the game for C. Braun,,4,100,117,-17,2459.0
6:45.0, ,100-117,R. Jackson misses 2-pt jump shot from 8 ft,,4,100,117,-17,2475.0
6:45.0, ,100-117,Offensive rebound by P. Watson,,4,100,117,-17,2475.0
6:41.0, ,100-117,P. Watson misses 2-pt jump shot from 12 ft,,4,100,117,-17,2479.0
6:40.0,Defensive rebound by Team,100-117, ,,4,100,117,-17,2480.0
6:40.0, ,100-117,Loose ball foul by R. Jackson (drawn by I. Livers),,4,100,117,-17,2480.0
6:27.0,B. Bogdanović misses 2-pt layup from 3 ft (block by K. Caldwell-Pope),100-117, ,,4,100,117,-17,2493.0
6:27.0, ,100-117,Defensive rebound by Team,,4,100,117,-17,2493.0
6:27.0,Technical foul by B. Bogdanović,100-117, ,,4,100,117,-17,2493.0
6:27.0, ,100-118,K. Caldwell-Pope makes technical free throw,,4,100,118,-18,2493.0
6:27.0,K. Hayes enters the game for B. Bogdanović,100-118, ,,4,100,118,-18,2493.0
6:12.0, ,100-118,Offensive foul by D. Jordan (drawn by A. Thompson),,4,100,118,-18,2508.0
6:12.0, ,100-118,Turnover by D. Jordan (offensive foul),,4,100,118,-18,2508.0
5:51.0,J. Duren misses 2-pt jump shot from 8 ft,100-118, ,,4,100,118,-18,2529.0
5:44.0,Offensive rebound by A. Thompson,100-118, ,,4,100,118,-18,2536.0
5:44.0,A. Thompson makes 2-pt dunk at rim,102-118, ,,4,102,118,-16,2536.0
5:37.0, ,102-120,R. Jackson makes 2-pt layup from 2 ft,,4,102,120,-18,2543.0
5:27.0, ,102-120,Violation by Team (kicked ball),,4,102,120,-18,2553.0
5:15.0,I. Livers makes 3-pt jump shot from 23 ft (assist by J. Duren),105-120, ,,4,105,120,-15,2565.0
4:57.0, ,105-123,M. Porter makes 3-pt jump shot from 26 ft (assist by R. Jackson),,4,105,123,-18,2583.0
4:42.0,Personal foul by D. Jordan (drawn by J. Duren),105-123, ,,4,105,123,-18,2598.0
4:42.0,J. Duren makes free throw 1 of 2,106-123, ,,4,106,123,-17,2598.0
4:42.0,J. Duren misses free throw 2 of 2,106-123, ,,4,106,123,-17,2598.0
4:40.0, ,106-123,Defensive rebound by D. Jordan,,4,106,123,-17,2600.0
4:28.0, ,106-126,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by R. Jackson),,4,106,126,-20,2612.0
4:25.0,Detroit full timeout,106-126, ,,4,106,126,-20,2615.0
4:25.0, ,106-126,C. Braun enters the game for K. Caldwell-Pope,,4,106,126,-20,2615.0
4:25.0, ,106-126,J. Holiday enters the game for M. Porter,,4,106,126,-20,2615.0
4:14.0,Turnover by J. Ivey (traveling),106-126, ,,4,106,126,-20,2626.0
4:03.0, ,106-126,Shooting foul by I. Livers (drawn by C. Braun),,4,106,126,-20,2637.0
4:03.0, ,106-127,C. Braun makes free throw 1 of 2,,4,106,127,-21,2637.0
4:03.0,M. Sasser enters the game for J. Duren,106-127, ,,4,106,127,-21,2637.0
4:03.0,J. Wiseman enters the game for J. Ivey,106-127, ,,4,106,127,-21,2637.0
4:03.0, ,106-127,C. Braun misses free throw 2 of 2,,4,106,127,-21,2637.0
4:01.0,Defensive rebound by I. Livers,106-127, ,,4,106,127,-21,2639.0
3:44.0,A. Thompson misses 2-pt jump shot from 8 ft,106-127, ,,4,106,127,-21,2656.0
3:39.0, ,106-127,Defensive rebound by D. Jordan,,4,106,127,-21,2661.0
3:34.0, ,106-127,P. Watson misses 2-pt layup from 2 ft,,4,106,127,-21,2666.0
3:31.0, ,106-127,Offensive rebound by R. Jackson,,4,106,127,-21,2669.0
3:31.0, ,106-129,R. Jackson makes 2-pt dunk at rim,,4,106,129,-23,2669.0
3:21.0,K. Hayes misses 2-pt jump shot from 15 ft,106-129, ,,4,106,129,-23,2679.0
3:16.0, ,106-129,Defensive rebound by P. Watson,,4,106,129,-23,2684.0
3:04.0, ,106-129,C. Braun misses 3-pt jump shot from 26 ft,,4,106,129,-23,2696.0
3:01.0,Defensive rebound by K. Hayes,106-129, ,,4,106,129,-23,2699.0
2:54.0,A. Thompson misses 3-pt jump shot from 24 ft,106-129, ,,4,106,129,-23,2706.0
2:51.0, ,106-129,Defensive rebound by C. Braun,,4,106,129,-23,2709.0
2:29.0, ,106-129,Turnover by Team (shot clock),,4,106,129,-23,2731.0
2:29.0, ,106-129,C. Gillespie enters the game for C. Braun,,4,106,129,-23,2731.0
2:29.0, ,106-129,J. Huff enters the game for R. Jackson,,4,106,129,-23,2731.0
2:29.0, ,106-129,B. Key enters the game for D. Jordan,,4,106,129,-23,2731.0
2:29.0, ,106-129,Z. Nnaji enters the game for P. Watson,,4,106,129,-23,2731.0
2:15.0,M. Sasser makes 3-pt jump shot from 25 ft (assist by K. Hayes),109-129, ,,4,109,129,-20,2745.0
1:56.0, ,109-129,Z. Nnaji misses 3-pt jump shot from 22 ft,,4,109,129,-20,2764.0
1:56.0,Defensive rebound by M. Sasser,109-129, ,,4,109,129,-20,2764.0
1:39.0,M. Sasser makes 2-pt jump shot from 10 ft,111-129, ,,4,111,129,-18,2781.0
1:28.0, ,111-129,Shooting foul by K. Hayes (drawn by B. Key),,4,111,129,-18,2792.0
1:28.0, ,111-130,B. Key makes free throw 1 of 2,,4,111,130,-19,2792.0
1:28.0, ,111-131,B. Key makes free throw 2 of 2,,4,111,131,-20,2792.0
1:08.0,I. Livers makes 2-pt layup from 2 ft (assist by A. Thompson),113-131, ,,4,113,131,-18,2812.0
0:53.0, ,113-131,J. Huff misses 3-pt jump shot from 27 ft,,4,113,131,-18,2827.0
0:50.0,Defensive rebound by M. Sasser,113-131, ,,4,113,131,-18,2830.0
0:45.0,Shooting foul by J. Huff (drawn by A. Thompson),113-131, ,,4,113,131,-18,2835.0
0:45.0,A. Thompson makes free throw 1 of 2,114-131, ,,4,114,131,-17,2835.0
0:45.0,A. Thompson misses free throw 2 of 2,114-131, ,,4,114,131,-17,2835.0
0:44.0, ,114-131,Defensive rebound by Team,,4,114,131,-17,2836.0
0:30.0, ,114-131,Offensive foul by C. Gillespie (drawn by M. Sasser),,4,114,131,-17,2850.0
0:30.0, ,114-131,Turnover by C. Gillespie (offensive foul),,4,114,131,-17,2850.0
0:20.0,I. Livers misses 3-pt jump shot from 25 ft,114-131, ,,4,114,131,-17,2860.0
0:16.0, ,114-131,Defensive rebound by B. Key,,4,114,131,-17,2864.0
0:00.0,End of 4th quarter,114-131,,,4,114,131,-17,2880.0
