Time,Detroit,Score,Denver,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:06.0, ,7-9,M. Porter makes free throw 2 of 3,,1,7,9,-2,234.0
8:06.0, ,7-10,M. Porter makes free throw 3 of 3,,1,7,10,-3,234.0
8:01.0,C. Cunningham misses 2-pt layup from 2 ft (block by N. Jokić),7-10, ,,1,7,10,-3,239.0
8:01.0,Offensive rebound by Team,7-10, ,,1,7,10,-3,239.0
7:54.0,C. Cunningham misses 2-pt jump shot from 11 ft (block by J. Murray),7-10, ,,1,7,10,-3,246.0
7:54.0,Offensive rebound by Team,7-10, ,,1,7,10,-3,246.0
7:45.0,I. Livers makes 2-pt layup from 2 ft (assist by J. Ivey),9-10, ,,1,9,10,-1,255.0
7:27.0, ,9-13,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by M. Porter),,1,9,13,-4,273.0
7:13.0,B. Bogdanović makes 2-pt jump shot from 8 ft (assist by C. Cunningham),11-13, ,,1,11,13,-2,287.0
6:55.0, ,11-13,Personal foul by B. Bogdanović (drawn by N. Jokić),,1,11,13,-2,305.0
6:55.0, ,11-13,Denver full timeout,,1,11,13,-2,305.0
6:55.0,A. Burks enters the game for C. Cunningham,11-13, ,,1,11,13,-2,305.0
6:55.0,K. Hayes enters the game for J. Ivey,11-13, ,,1,11,13,-2,305.0
6:47.0, ,11-13,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,1,11,13,-2,313.0
6:43.0,Defensive rebound by K. Hayes,11-13, ,,1,11,13,-2,317.0
6:31.0,J. Duren makes 2-pt dunk from 1 ft (assist by K. Hayes),13-13, ,Tie,1,13,13,0,329.0
6:08.0, ,13-15,M. Porter makes 2-pt jump shot from 17 ft (assist by N. Jokić),,1,13,15,-2,352.0
5:52.0,I. Livers misses 2-pt layup from 2 ft (block by N. Jokić),13-15, ,,1,13,15,-2,368.0
5:50.0, ,13-15,Defensive rebound by N. Jokić,,1,13,15,-2,370.0
5:28.0, ,13-17,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),,1,13,17,-4,392.0
5:05.0,Shooting foul by M. Porter (drawn by I. Livers),13-17, ,,1,13,17,-4,415.0
5:05.0,I. Livers makes free throw 1 of 2,14-17, ,,1,14,17,-3,415.0
5:05.0, ,14-17,R. Jackson enters the game for J. Murray,,1,14,17,-3,415.0
5:05.0,I. Livers makes free throw 2 of 2,15-17, ,,1,15,17,-2,415.0
4:48.0, ,15-17,M. Porter misses 3-pt jump shot from 26 ft,,1,15,17,-2,432.0
4:46.0,Defensive rebound by J. Duren,15-17, ,,1,15,17,-2,434.0
4:35.0,Turnover by B. Bogdanović (bad pass; steal by A. Gordon),15-17, ,,1,15,17,-2,445.0
4:23.0, ,15-17,A. Gordon misses 2-pt layup from 3 ft,,1,15,17,-2,457.0
4:20.0, ,15-17,Offensive rebound by A. Gordon,,1,15,17,-2,460.0
4:20.0, ,15-19,A. Gordon makes 2-pt layup at rim,,1,15,19,-4,460.0
4:06.0,K. Hayes makes 2-pt jump shot from 17 ft,17-19, ,,1,17,19,-2,474.0
3:47.0, ,17-19,M. Porter misses 3-pt jump shot from 26 ft,,1,17,19,-2,493.0
3:43.0,Defensive rebound by A. Burks,17-19, ,,1,17,19,-2,497.0
3:34.0,A. Burks makes 3-pt jump shot from 25 ft,20-19, ,Lead change,1,20,19,1,506.0
3:33.0, ,20-19,Denver full timeout,,1,20,19,1,507.0
3:33.0,K. Knox enters the game for B. Bogdanović,20-19, ,,1,20,19,1,507.0
3:33.0,A. Thompson enters the game for J. Duren,20-19, ,,1,20,19,1,507.0
3:33.0,J. Wiseman enters the game for I. Livers,20-19, ,,1,20,19,1,507.0
3:33.0, ,20-19,C. Braun enters the game for K. Caldwell-Pope,,1,20,19,1,507.0
3:33.0, ,20-19,P. Watson enters the game for A. Gordon,,1,20,19,1,507.0
3:17.0, ,20-21,M. Porter makes 2-pt layup from 1 ft (assist by N. Jokić),Lead change,1,20,21,-1,523.0
2:58.0,K. Hayes misses 3-pt jump shot from 25 ft,20-21, ,,1,20,21,-1,542.0
2:55.0, ,20-21,Defensive rebound by P. Watson,,1,20,21,-1,545.0
