Time,Detroit,Score,Sacramento,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:38.0, ,118-111,Personal foul by A. Burks (drawn by D. Fox),,4,118,111,7,2662.0
3:31.0, ,118-113,D. Sabonis makes 2-pt dunk from 1 ft (assist by M. Monk),,4,118,113,5,2669.0
3:29.0,Detroit full timeout,118-113, ,,4,118,113,5,2671.0
3:29.0,A. Thompson enters the game for M. Muscala,118-113, ,,4,118,113,5,2671.0
3:14.0,J. Ivey makes 3-pt jump shot from 26 ft (assist by A. Burks),121-113, ,,4,121,113,8,2686.0
2:59.0, ,121-116,M. Monk makes 3-pt jump shot from 25 ft,,4,121,116,5,2701.0
2:36.0,M. Sasser makes 3-pt jump shot from 26 ft (assist by J. Ivey),124-116, ,,4,124,116,8,2724.0
2:20.0, ,124-118,M. Monk makes 2-pt layup from 2 ft,,4,124,118,6,2740.0
1:58.0,A. Burks makes 3-pt jump shot from 27 ft (assist by J. Ivey),127-118, ,,4,127,118,9,2762.0
1:49.0, ,127-118,M. Monk misses 3-pt jump shot from 25 ft,,4,127,118,9,2771.0
1:45.0,Defensive rebound by J. Duren,127-118, ,,4,127,118,9,2775.0
1:40.0, ,127-118,Technical foul by K. Huerter,,4,127,118,9,2780.0
1:40.0, ,127-118,T. Lyles enters the game for K. Huerter,,4,127,118,9,2780.0
1:40.0,A. Burks makes technical free throw,128-118, ,,4,128,118,10,2780.0
1:40.0, ,128-118,K. Huerter ejected from game,,4,128,118,10,2780.0
1:40.0,A. Burks makes technical free throw,129-118, ,,4,129,118,11,2780.0
1:29.0,A. Burks misses 3-pt jump shot from 26 ft,129-118, ,,4,129,118,11,2791.0
1:26.0, ,129-118,Defensive rebound by M. Monk,,4,129,118,11,2794.0
1:23.0, ,129-118,Turnover by M. Monk (bad pass),,4,129,118,11,2797.0
1:13.0, ,129-118,Violation by Team (kicked ball),,4,129,118,11,2807.0
1:03.0,Shooting foul by D. Sabonis (drawn by A. Burks),129-118, ,,4,129,118,11,2817.0
1:03.0,A. Burks makes free throw 1 of 2,130-118, ,,4,130,118,12,2817.0
1:03.0,A. Burks makes free throw 2 of 2,131-118, ,,4,131,118,13,2817.0
0:53.0, ,131-118,D. Fox misses 3-pt jump shot from 25 ft,,4,131,118,13,2827.0
0:49.0, ,131-118,Offensive rebound by D. Fox,,4,131,118,13,2831.0
0:49.0, ,131-120,D. Fox makes 2-pt jump shot from 12 ft,,4,131,120,11,2831.0
0:42.0,A. Thompson makes 2-pt dunk from 1 ft (assist by J. Ivey),133-120, ,,4,133,120,13,2838.0
0:31.0, ,133-120,D. Mitchell misses 2-pt hook shot from 7 ft (block by A. Thompson),,4,133,120,13,2849.0
0:29.0,Defensive rebound by A. Thompson,133-120, ,,4,133,120,13,2851.0
0:05.0,Turnover by Team (shot clock),133-120, ,,4,133,120,13,2875.0
0:00.0,End of 4th quarter,133-120,,,4,133,120,13,2880.0
