Time,Detroit,Score,LA Clippers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:47.0,T. Brown misses 3-pt jump shot from 24 ft,96-107, ,,4,96,107,-11,2713.0
2:45.0, ,96-107,Defensive rebound by P. George,,4,96,107,-11,2715.0
2:27.0, ,96-107,A. Coffey misses 3-pt jump shot from 23 ft,,4,96,107,-11,2733.0
2:24.0,Defensive rebound by J. Duren,96-107, ,,4,96,107,-11,2736.0
2:18.0,S. Fontecchio makes 2-pt layup from 3 ft (assist by C. Cunningham),98-107, ,,4,98,107,-9,2742.0
2:02.0, ,98-107,P. George misses 3-pt jump shot from 26 ft,,4,98,107,-9,2758.0
1:59.0,Defensive rebound by J. Duren,98-107, ,,4,98,107,-9,2761.0
1:56.0,C. Cunningham makes 2-pt dunk from 2 ft,100-107, ,,4,100,107,-7,2764.0
1:56.0, ,100-107,LA Clippers full timeout,,4,100,107,-7,2764.0
1:41.0, ,100-107,K. Leonard misses 3-pt jump shot from 27 ft,,4,100,107,-7,2779.0
1:37.0,Defensive rebound by J. Duren,100-107, ,,4,100,107,-7,2783.0
1:33.0,C. Cunningham makes 2-pt layup from 1 ft,102-107, ,,4,102,107,-5,2787.0
1:09.0, ,102-109,P. George makes 2-pt layup from 2 ft (assist by J. Harden),,4,102,109,-7,2811.0
1:02.0,C. Cunningham makes 2-pt jump shot from 2 ft,104-109, ,,4,104,109,-5,2818.0
0:38.0, ,104-109,R. Westbrook misses 3-pt jump shot from 23 ft,,4,104,109,-5,2842.0
0:35.0,Defensive rebound by S. Fontecchio,104-109, ,,4,104,109,-5,2845.0
0:32.0,J. Ivey misses 3-pt jump shot from 26 ft,104-109, ,,4,104,109,-5,2848.0
0:28.0, ,104-109,Defensive rebound by K. Leonard,,4,104,109,-5,2852.0
0:26.0, ,104-109,Personal take foul by J. Ivey (drawn by K. Leonard),,4,104,109,-5,2854.0
0:26.0, ,104-110,K. Leonard makes free throw 1 of 2,,4,104,110,-6,2854.0
0:26.0,Detroit full timeout,104-110, ,,4,104,110,-6,2854.0
0:26.0, ,104-111,K. Leonard makes free throw 2 of 2,,4,104,111,-7,2854.0
0:19.0,C. Cunningham makes 2-pt layup from 4 ft,106-111, ,,4,106,111,-5,2861.0
0:18.0, ,106-111,Personal take foul by J. Ivey (drawn by R. Westbrook),,4,106,111,-5,2862.0
0:18.0, ,106-111,R. Westbrook misses free throw 1 of 2,,4,106,111,-5,2862.0
0:18.0, ,106-111,Offensive rebound by Team,,4,106,111,-5,2862.0
0:18.0, ,106-112,R. Westbrook makes free throw 2 of 2,,4,106,112,-6,2862.0
0:18.0,Detroit full timeout,106-112, ,,4,106,112,-6,2862.0
0:16.0,Turnover by J. Duren (bad pass; steal by P. George),106-112, ,,4,106,112,-6,2864.0
0:00.0,End of 4th quarter,106-112,,,4,106,112,-6,2880.0
