Time,Detroit,Score,Indiana,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Bagley vs. M. Turner (T. Haliburton gains possession),0-0,,,1,0,0,0,0.0
11:39.0, ,0-2,M. Turner makes 2-pt hook shot from 9 ft,,1,0,2,-2,21.0
11:18.0,C. Cunningham misses 2-pt jump shot from 6 ft,0-2, ,,1,0,2,-2,42.0
11:16.0, ,0-2,Defensive rebound by Team,,1,0,2,-2,44.0
11:09.0, ,0-2,M. Turner misses 3-pt jump shot from 25 ft,,1,0,2,-2,51.0
11:04.0,Defensive rebound by A. Thompson,0-2, ,,1,0,2,-2,56.0
10:44.0,A. Thompson misses 2-pt jump shot from 17 ft,0-2, ,,1,0,2,-2,76.0
10:41.0, ,0-2,Defensive rebound by B. Hield,,1,0,2,-2,79.0
10:22.0, ,0-5,M. Turner makes 3-pt jump shot from 25 ft (assist by T. Haliburton),,1,0,5,-5,98.0
10:03.0,A. Thompson makes 2-pt dunk from 2 ft (assist by J. Ivey),2-5, ,,1,2,5,-3,117.0
9:52.0, ,2-5,B. Brown misses 2-pt jump shot from 8 ft,,1,2,5,-3,128.0
9:50.0,Defensive rebound by A. Thompson,2-5, ,,1,2,5,-3,130.0
9:45.0,I. Stewart makes 2-pt layup from 3 ft (assist by A. Thompson),4-5, ,,1,4,5,-1,135.0
9:34.0, ,4-5,Shooting foul by A. Thompson (drawn by M. Turner),,1,4,5,-1,146.0
9:34.0, ,4-6,M. Turner makes free throw 1 of 2,,1,4,6,-2,146.0
9:34.0, ,4-7,M. Turner makes free throw 2 of 2,,1,4,7,-3,146.0
9:21.0,J. Ivey misses 3-pt jump shot from 27 ft,4-7, ,,1,4,7,-3,159.0
9:17.0, ,4-7,Defensive rebound by O. Toppin,,1,4,7,-3,163.0
8:56.0, ,4-7,Shooting foul by I. Stewart (drawn by M. Turner),,1,4,7,-3,184.0
8:56.0, ,4-8,M. Turner makes free throw 1 of 2,,1,4,8,-4,184.0
8:56.0, ,4-9,M. Turner makes free throw 2 of 2,,1,4,9,-5,184.0
8:47.0,C. Cunningham makes 2-pt jump shot from 13 ft,6-9, ,,1,6,9,-3,193.0
8:34.0, ,6-11,B. Brown makes 2-pt layup from 1 ft,,1,6,11,-5,206.0
8:25.0,I. Stewart makes 2-pt dunk from 1 ft (assist by J. Ivey),8-11, ,,1,8,11,-3,215.0
8:18.0, ,8-11,O. Toppin misses 3-pt jump shot from 27 ft,,1,8,11,-3,222.0
8:16.0,Defensive rebound by Team,8-11, ,,1,8,11,-3,224.0
8:04.0,C. Cunningham misses 2-pt jump shot from 18 ft,8-11, ,,1,8,11,-3,236.0
7:59.0,Offensive rebound by A. Thompson,8-11, ,,1,8,11,-3,241.0
7:47.0,I. Stewart misses 2-pt layup from 2 ft,8-11, ,,1,8,11,-3,253.0
7:45.0, ,8-11,Defensive rebound by B. Brown,,1,8,11,-3,255.0
7:30.0, ,8-11,T. Haliburton misses 2-pt layup from 4 ft,,1,8,11,-3,270.0
7:27.0,Defensive rebound by I. Stewart,8-11, ,,1,8,11,-3,273.0
7:20.0,M. Bagley makes 2-pt dunk from 1 ft (assist by J. Ivey),10-11, ,,1,10,11,-1,280.0
7:20.0, ,10-11,Indiana full timeout,,1,10,11,-1,280.0
7:20.0,J. Duren enters the game for M. Bagley,10-11, ,,1,10,11,-1,280.0
7:06.0, ,10-14,O. Toppin makes 3-pt jump shot from 25 ft (assist by T. Haliburton),,1,10,14,-4,294.0
6:47.0,C. Cunningham misses 2-pt layup from 4 ft (block by M. Turner),10-14, ,,1,10,14,-4,313.0
6:43.0,Offensive rebound by J. Duren,10-14, ,,1,10,14,-4,317.0
6:43.0,J. Duren makes 2-pt dunk at rim,12-14, ,,1,12,14,-2,317.0
6:36.0, ,12-14,T. Haliburton misses 3-pt jump shot from 27 ft,,1,12,14,-2,324.0
6:34.0,Defensive rebound by A. Thompson,12-14, ,,1,12,14,-2,326.0
6:29.0,J. Ivey makes 2-pt layup from 4 ft (assist by A. Thompson),14-14, ,Tie,1,14,14,0,331.0
6:16.0, ,14-14,T. Haliburton misses 2-pt jump shot from 14 ft (block by J. Ivey),,1,14,14,0,344.0
6:16.0, ,14-14,Offensive rebound by Team,,1,14,14,0,344.0
6:16.0, ,14-14,B. Mathurin enters the game for B. Brown,,1,14,14,0,344.0
6:14.0, ,14-14,Personal foul by J. Ivey (drawn by B. Mathurin),,1,14,14,0,346.0
6:07.0, ,14-14,M. Turner misses 2-pt dunk from 3 ft (block by I. Stewart),,1,14,14,0,353.0
6:04.0,Defensive rebound by J. Duren,14-14, ,,1,14,14,0,356.0
6:02.0,J. Ivey makes 3-pt jump shot from 23 ft (assist by C. Cunningham),17-14, ,Lead change,1,17,14,3,358.0
5:48.0, ,17-14,T. Haliburton misses 3-pt jump shot from 26 ft,,1,17,14,3,372.0
5:44.0,Defensive rebound by I. Stewart,17-14, ,,1,17,14,3,376.0
5:40.0,J. Ivey misses 3-pt jump shot from 26 ft,17-14, ,,1,17,14,3,380.0
5:36.0,Offensive rebound by I. Stewart,17-14, ,,1,17,14,3,384.0
5:36.0,I. Stewart misses 2-pt layup at rim,17-14, ,,1,17,14,3,384.0
5:35.0,Offensive rebound by I. Stewart,17-14, ,,1,17,14,3,385.0
5:35.0,I. Stewart misses 2-pt layup at rim,17-14, ,,1,17,14,3,385.0
5:35.0,Shooting foul by M. Turner (drawn by I. Stewart),17-14, ,,1,17,14,3,385.0
5:35.0,I. Stewart makes free throw 1 of 2,18-14, ,,1,18,14,4,385.0
5:35.0, ,18-14,J. Smith enters the game for O. Toppin,,1,18,14,4,385.0
5:35.0,I. Stewart makes free throw 2 of 2,19-14, ,,1,19,14,5,385.0
5:20.0, ,19-16,T. Haliburton makes 2-pt jump shot from 4 ft,,1,19,16,3,400.0
5:08.0,Shooting foul by M. Turner (drawn by C. Cunningham),19-16, ,,1,19,16,3,412.0
5:08.0,C. Cunningham makes free throw 1 of 2,20-16, ,,1,20,16,4,412.0
5:08.0,I. Livers enters the game for I. Stewart,20-16, ,,1,20,16,4,412.0
5:08.0, ,20-16,I. Jackson enters the game for M. Turner,,1,20,16,4,412.0
5:08.0,C. Cunningham makes free throw 2 of 2,21-16, ,,1,21,16,5,412.0
4:58.0, ,21-16,Shooting foul by J. Duren (drawn by B. Mathurin),,1,21,16,5,422.0
4:58.0, ,21-17,B. Mathurin makes free throw 1 of 2,,1,21,17,4,422.0
4:58.0, ,21-17,B. Brown enters the game for B. Hield,,1,21,17,4,422.0
4:58.0, ,21-18,B. Mathurin makes free throw 2 of 2,,1,21,18,3,422.0
4:54.0,Personal foul by J. Smith (drawn by I. Livers),21-18, ,,1,21,18,3,426.0
4:54.0,A. Burks enters the game for J. Ivey,21-18, ,,1,21,18,3,426.0
4:47.0,I. Livers makes 3-pt jump shot from 26 ft (assist by C. Cunningham),24-18, ,,1,24,18,6,433.0
4:33.0, ,24-20,I. Jackson makes 2-pt layup from 2 ft (assist by T. Haliburton),,1,24,20,4,447.0
4:21.0,J. Duren misses 2-pt hook shot from 6 ft,24-20, ,,1,24,20,4,459.0
4:19.0, ,24-20,Defensive rebound by Team,,1,24,20,4,461.0
