A,B,C,D,E,F,Event
4:21.0,J. Duren misses 2-pt dunk from 3 ft (block by W. Kessler), ,25-19, , ,
4:21.0, , ,25-19, ,Defensive rebound by Team,
4:21.0, , ,25-19, ,Utah full timeout,
4:21.0, , ,25-19, ,Instant Replay (Challenge: Ruling Stands),
4:21.0,A. Burks enters the game for B. Bogdanović, ,25-19, , ,
4:21.0,A. Thompson enters the game for J. Duren, ,25-19, , ,
4:21.0,J. Wiseman enters the game for J. Ivey, ,25-19, , ,
4:10.0, , ,25-19, ,W. Kessler misses 2-pt layup from 4 ft,
4:07.0,Defensive rebound by A. Burks, ,25-19, , ,
3:46.0,C. Cunningham makes 2-pt dunk from 3 ft (assist by A. Thompson),+2,27-19, , ,
3:25.0, , ,27-19, ,Turnover by K. George (bad pass),
3:10.0,J. Wiseman misses 2-pt layup from 7 ft, ,27-19, , ,
3:06.0,Offensive rebound by A. Thompson, ,27-19, , ,
3:05.0,A. Thompson misses 2-pt layup from 9 ft, ,27-19, , ,
3:04.0,Offensive rebound by J. Wiseman, ,27-19, , ,
3:04.0,J. Wiseman misses 2-pt layup from 2 ft, ,27-19, , ,
3:04.0,Offensive rebound by J. Wiseman, ,27-19, , ,
3:03.0,J. Wiseman misses 2-pt layup at rim, ,27-19, , ,
3:00.0,Offensive rebound by K. Knox, ,27-19, , ,
3:00.0,K. Knox makes 2-pt layup at rim,+2,29-19, , ,
2:46.0, , ,29-21,+2,J. Clarkson makes 2-pt jump shot from 17 ft,
2:28.0,Personal foul by K. George (drawn by C. Cunningham), ,29-21, , ,
2:28.0,K. Hayes enters the game for C. Cunningham, ,29-21, , ,
2:28.0, , ,29-21, ,O. Agbaji enters the game for S. Fontecchio,
2:19.0,A. Burks misses 3-pt jump shot from 27 ft, ,29-21, , ,
2:15.0, , ,29-21, ,Defensive rebound by K. George,
2:13.0, , ,29-24,+3,J. Clarkson makes 3-pt jump shot from 25 ft (assist by K. George),
2:10.0,Detroit full timeout, ,29-24, , ,
1:58.0,K. Knox misses 2-pt layup from 3 ft, ,29-24, , ,
1:55.0, , ,29-24, ,Defensive rebound by J. Clarkson,
1:49.0, , ,29-24, ,Turnover by J. Clarkson (out of bounds lost ball),
1:36.0,A. Thompson misses 2-pt layup from 4 ft (block by W. Kessler), ,29-24, , ,
1:33.0,Offensive rebound by A. Thompson, ,29-24, , ,
1:29.0,A. Thompson misses 3-pt jump shot from 23 ft, ,29-24, , ,
1:24.0,Offensive rebound by J. Wiseman, ,29-24, , ,
1:24.0,J. Wiseman makes 2-pt dunk from 1 ft,+2,31-24, , ,
1:00.0, , ,31-24, ,Turnover by K. Olynyk (lost ball; steal by A. Thompson),
0:57.0,A. Thompson makes 2-pt dunk from 4 ft (assist by K. Knox),+2,33-24, , ,
0:40.0, , ,33-24, ,W. Kessler misses 2-pt jump shot from 21 ft,
0:37.0, , ,33-24, ,Offensive rebound by K. Olynyk,
0:33.0, , ,33-24, ,K. George misses 2-pt jump shot from 23 ft,
0:30.0,Defensive rebound by K. Hayes, ,33-24, , ,
0:16.0,Offensive foul by J. Wiseman (drawn by K. George), ,33-24, , ,
0:16.0,Turnover by J. Wiseman (offensive foul), ,33-24, , ,
0:03.0, , ,33-24, ,Personal foul by A. Thompson (drawn by J. Clarkson),
0:03.0, , ,33-25,+1,J. Clarkson makes free throw 1 of 2,
0:03.0, , ,33-26,+1,J. Clarkson makes free throw 2 of 2,
0:01.0,Turnover by J. Wiseman (lost ball; steal by K. Olynyk), ,33-26, , ,
0:01.0, , ,33-26, ,Turnover by K. Olynyk (out of bounds lost ball),
0:00.0,End of 1st quarter,
2nd Q,
Time,Detroit,,Score,,Utah,
12:00.0,Start of 2nd quarter,
11:49.0, , ,33-26, ,Turnover by O. Agbaji (out of bounds lost ball),
11:35.0,A. Burks misses 2-pt jump shot from 12 ft, ,33-26, , ,
11:32.0, , ,33-26, ,Defensive rebound by K. Olynyk,
11:24.0, , ,33-26, ,J. Clarkson misses 2-pt jump shot from 15 ft,
11:21.0,Defensive rebound by J. Wiseman, ,33-26, , ,
11:12.0,B. Bogdanović misses 3-pt jump shot from 25 ft, ,33-26, , ,
11:09.0, , ,33-26, ,Defensive rebound by O. Agbaji,
11:06.0, , ,33-26, ,K. Olynyk misses 3-pt jump shot from 26 ft,
11:03.0,Defensive rebound by A. Burks, ,33-26, , ,
10:58.0,Turnover by A. Burks (lost ball; steal by O. Agbaji), ,33-26, , ,
10:52.0, , ,33-26, ,K. George misses 2-pt jump shot from 9 ft (block by K. Hayes),
10:52.0, , ,33-26, ,Offensive rebound by Team,
10:45.0, , ,33-26, ,J. Clarkson misses 2-pt jump shot from 9 ft,
10:42.0, , ,33-26, ,Offensive rebound by J. Collins,
10:42.0, , ,33-28,+2,J. Collins makes 2-pt layup at rim,
10:25.0,K. Hayes makes 2-pt jump shot from 12 ft,+2,35-28, , ,
10:13.0, , ,35-28, ,J. Collins misses 3-pt jump shot from 25 ft,
10:12.0, , ,35-28, ,Offensive rebound by Team,
10:10.0, , ,35-28, ,J. Collins misses 3-pt jump shot from 25 ft,
10:07.0,Defensive rebound by K. Hayes, ,35-28, , ,
10:03.0,J. Wiseman makes 2-pt dunk from 3 ft (assist by B. Bogdanović),+2,37-28, , ,
9:45.0, , ,37-28, ,K. Olynyk misses 2-pt jump shot from 11 ft,
9:41.0, , ,37-28, ,Offensive rebound by K. Olynyk,
9:41.0, , ,37-30,+2,K. Olynyk makes 2-pt layup at rim,
