A,B,C,D,E,F,Event
3:30.0, , ,14-20,+1,P. Beverley makes free throw 1 of 2,
3:30.0,A. Burks enters the game for B. Bogdanović, ,14-20, , ,
3:30.0,K. Hayes enters the game for C. Cunningham, ,14-20, , ,
3:30.0,J. Wiseman enters the game for I. Stewart, ,14-20, , ,
3:30.0, , ,14-20, ,K. Oubre enters the game for N. Batum,
3:30.0, , ,14-20, ,P. Beverley misses free throw 2 of 2,
3:27.0,Defensive rebound by J. Wiseman, ,14-20, , ,
3:13.0,A. Burks misses 3-pt jump shot from 25 ft, ,14-20, , ,
3:11.0, , ,14-20, ,Defensive rebound by J. Embiid,
3:04.0, , ,14-22,+2,J. Embiid makes 2-pt layup from 3 ft,
2:56.0,J. Ivey misses 2-pt layup from 2 ft (block by J. Embiid), ,14-22, , ,
2:51.0,Offensive rebound by J. Wiseman, ,14-22, , ,
2:51.0,J. Wiseman makes 2-pt dunk at rim,+2,16-22, , ,
2:42.0, , ,16-24,+2,J. Embiid makes 2-pt jump shot from 14 ft,
2:28.0,A. Burks misses 2-pt layup from 7 ft, ,16-24, , ,
2:28.0,Offensive rebound by J. Wiseman, ,16-24, , ,
2:28.0,J. Wiseman makes 2-pt layup at rim,+2,18-24, , ,
2:28.0, , ,18-24, ,Philadelphia full timeout,
2:28.0, , ,18-24, ,T. Maxey enters the game for T. Harris,
2:28.0, , ,18-24, ,M. Morris enters the game for D. Melton,
2:09.0, , ,18-26,+2,J. Embiid makes 2-pt jump shot from 12 ft,
1:51.0,Shooting foul by M. Morris (drawn by J. Wiseman), ,18-26, , ,
1:51.0,J. Wiseman makes free throw 1 of 2,+1,19-26, , ,
1:51.0,J. Wiseman makes free throw 2 of 2,+1,20-26, , ,
1:37.0, , ,20-26, ,J. Embiid misses 3-pt jump shot from 26 ft,
1:32.0,Defensive rebound by I. Livers, ,20-26, , ,
1:28.0,I. Livers misses 3-pt jump shot from 26 ft, ,20-26, , ,
1:24.0,Offensive rebound by K. Hayes, ,20-26, , ,
1:21.0,A. Burks misses 2-pt jump shot from 14 ft, ,20-26, , ,
1:18.0, , ,20-26, ,Defensive rebound by J. Embiid,
1:11.0, , ,20-26, ,T. Maxey misses 2-pt layup from 2 ft (block by K. Hayes),
1:11.0,Defensive rebound by Team, ,20-26, , ,
1:00.0,J. Ivey misses 2-pt jump shot from 13 ft, ,20-26, , ,
0:58.0, , ,20-26, ,Defensive rebound by J. Embiid,
0:46.0, , ,20-26, ,K. Oubre misses 3-pt jump shot from 23 ft,
0:44.0,Defensive rebound by J. Wiseman, ,20-26, , ,
0:41.0,Personal foul by K. Oubre (drawn by K. Hayes), ,20-26, , ,
0:41.0,K. Hayes makes free throw 1 of 2,+1,21-26, , ,
0:41.0,K. Hayes makes free throw 2 of 2,+1,22-26, , ,
0:19.0, , ,22-26, ,J. Embiid misses 2-pt jump shot from 17 ft,
0:16.0,Defensive rebound by K. Hayes, ,22-26, , ,
0:03.0,Turnover by K. Hayes (lost ball; steal by P. Beverley), ,22-26, , ,
0:01.0, , ,22-26, ,T. Maxey misses 3-pt jump shot from 28 ft,
0:00.0, , ,22-26, ,Offensive rebound by Team,
0:00.0,End of 1st quarter,
2nd Q,
Time,Detroit,,Score,,Philadelphia,
12:00.0,Start of 2nd quarter,
11:46.0,K. Hayes misses 2-pt jump shot from 9 ft, ,22-26, , ,
11:43.0, , ,22-26, ,Defensive rebound by M. Morris,
11:39.0, , ,22-26, ,Offensive foul by P. Reed (drawn by A. Burks),
11:39.0, , ,22-26, ,Turnover by P. Reed (offensive foul),
11:24.0, , ,22-26, ,Violation by Team (kicked ball),
11:17.0,B. Bogdanović misses 2-pt jump shot from 11 ft, ,22-26, , ,
11:16.0,Offensive rebound by J. Wiseman, ,22-26, , ,
11:15.0,J. Wiseman misses 2-pt layup at rim, ,22-26, , ,
11:14.0, , ,22-26, ,Defensive rebound by K. Oubre,
11:12.0,Violation by Team (kicked ball), ,22-26, , ,
10:55.0, , ,22-28,+2,K. Oubre makes 2-pt dunk at rim (assist by P. Reed),
10:49.0,J. Ivey misses 2-pt layup from 3 ft, ,22-28, , ,
10:46.0, , ,22-28, ,Defensive rebound by P. Reed,
10:41.0, , ,22-31,+3,M. Morris makes 3-pt jump shot from 26 ft (assist by T. Maxey),
10:26.0,B. Bogdanović misses 2-pt layup from 2 ft, ,22-31, , ,
10:23.0, , ,22-31, ,Defensive rebound by P. Reed,
10:20.0, , ,22-31, ,K. Oubre misses 3-pt jump shot from 27 ft,
10:16.0,Defensive rebound by K. Hayes, ,22-31, , ,
10:06.0,A. Burks makes 2-pt layup at rim,+2,24-31, , ,
9:56.0, , ,24-31, ,T. Maxey misses 2-pt jump shot from 8 ft,
9:54.0,Defensive rebound by J. Wiseman, ,24-31, , ,
9:54.0,Personal foul by K. Oubre (drawn by J. Ivey), ,24-31, , ,
9:46.0,K. Hayes makes 2-pt jump shot from 11 ft,+2,26-31, , ,
9:29.0, , ,26-31, ,Shooting foul by J. Ivey (drawn by K. Oubre),
9:29.0, , ,26-32,+1,K. Oubre makes free throw 1 of 2,
9:29.0, , ,26-33,+1,K. Oubre makes free throw 2 of 2,
9:11.0,A. Burks misses 3-pt jump shot from 24 ft, ,26-33, , ,
9:08.0, , ,26-33, ,Defensive rebound by K. Oubre,
8:53.0, , ,26-33, ,M. Morris misses 2-pt jump shot from 10 ft,
8:51.0,Defensive rebound by J. Wiseman, ,26-33, , ,
8:44.0,A. Burks makes 2-pt layup from 3 ft,+2,28-33, , ,
8:28.0, , ,28-33, ,Shooting foul by K. Hayes (drawn by T. Maxey),
8:28.0, , ,28-34,+1,T. Maxey makes free throw 1 of 2,
8:28.0,C. Cunningham enters the game for A. Burks, ,28-34, , ,
8:28.0,A. Thompson enters the game for K. Hayes, ,28-34, , ,
8:28.0, , ,28-35,+1,T. Maxey makes free throw 2 of 2,
8:17.0,J. Wiseman makes 2-pt jump shot from 8 ft (assist by B. Bogdanović),+2,30-35, , ,
8:01.0, , ,30-35, ,T. Maxey misses 3-pt jump shot from 26 ft,
8:00.0, , ,30-35, ,Offensive rebound by P. Reed,
7:57.0, , ,30-38,+3,M. Morris makes 3-pt jump shot from 24 ft (assist by K. Oubre),
7:38.0,Turnover by B. Bogdanović (bad pass; steal by M. Morris), ,30-38, , ,
7:24.0, , ,30-38, ,K. Oubre misses 3-pt jump shot from 26 ft,
7:20.0,Defensive rebound by B. Bogdanović, ,30-38, , ,
7:15.0,Turnover by J. Ivey (lost ball; steal by R. Covington), ,30-38, , ,
7:11.0, , ,30-40,+2,T. Maxey makes 2-pt layup from 1 ft (assist by M. Morris),
7:11.0,Detroit full timeout, ,30-40, , ,
7:11.0,I. Livers enters the game for J. Ivey, ,30-40, , ,
6:55.0,C. Cunningham makes 2-pt layup from 2 ft (assist by J. Wiseman),+2,32-40, , ,
6:55.0,I. Stewart enters the game for J. Wiseman, ,32-40, , ,
6:40.0, , ,32-40, ,Personal foul by I. Livers (drawn by K. Oubre),
6:30.0, , ,32-40, ,R. Covington misses 2-pt jump shot from 6 ft,
6:30.0, , ,32-40, ,Offensive rebound by R. Covington,
6:29.0, , ,32-43,+3,K. Oubre makes 3-pt jump shot from 26 ft (assist by P. Reed),
6:02.0,A. Thompson makes 2-pt layup from 1 ft (assist by C. Cunningham),+2,34-43, , ,
5:49.0, , ,34-43, ,T. Maxey misses 2-pt jump shot from 5 ft,
5:49.0, , ,34-43, ,Offensive rebound by Team,
5:49.0, , ,34-43, ,N. Batum enters the game for K. Oubre,
5:49.0, , ,34-43, ,J. Embiid enters the game for P. Reed,
5:45.0, , ,34-43, ,J. Embiid misses 2-pt jump shot from 13 ft,
5:43.0,Defensive rebound by A. Thompson, ,34-43, , ,
5:33.0,C. Cunningham misses 3-pt jump shot from 24 ft, ,34-43, , ,
5:30.0,Offensive rebound by I. Stewart, ,34-43, , ,
5:29.0,B. Bogdanović misses 3-pt jump shot from 27 ft, ,34-43, , ,
5:27.0, , ,34-43, ,Defensive rebound by N. Batum,
5:11.0, , ,34-46,+3,M. Morris makes 3-pt jump shot from 24 ft (assist by T. Maxey),
5:01.0,A. Thompson misses 2-pt jump shot from 20 ft, ,34-46, , ,
4:58.0, , ,34-46, ,Defensive rebound by M. Morris,
4:41.0, , ,34-46, ,J. Embiid misses 2-pt jump shot from 10 ft,
4:41.0, , ,34-46, ,Offensive rebound by Team,
4:41.0,Loose ball foul by I. Livers (drawn by N. Batum), ,34-46, , ,
4:41.0,A. Burks enters the game for I. Livers, ,34-46, , ,
4:41.0, , ,34-46, ,T. Harris enters the game for T. Maxey,
4:41.0, , ,34-46, ,D. Melton enters the game for M. Morris,
