A,B,C,D,E,F,Event
2:50.0,M. Bagley misses 2-pt layup from 1 ft, ,20-25, , ,
2:46.0, , ,20-25, ,Defensive rebound by D. Sharpe,
2:35.0, , ,20-25, ,D. Sharpe misses 2-pt layup from 1 ft,
2:34.0, , ,20-25, ,Offensive rebound by Team,
2:34.0,Detroit full timeout, ,20-25, , ,
2:34.0,A. Thompson enters the game for J. Harris, ,20-25, , ,
2:34.0, , ,20-25, ,N. Claxton enters the game for M. Bridges,
2:34.0, , ,20-25, ,C. Thomas enters the game for D. Sharpe,
2:34.0, , ,20-25, ,Personal foul by M. Sasser (drawn by S. Dinwiddie),
2:34.0, , ,20-26,+1,S. Dinwiddie makes free throw 1 of 2,
2:34.0, , ,20-27,+1,S. Dinwiddie makes free throw 2 of 2,
2:21.0,M. Sasser misses 3-pt jump shot from 26 ft, ,20-27, , ,
2:17.0, , ,20-27, ,Defensive rebound by N. Claxton,
2:12.0, , ,20-27, ,S. Dinwiddie misses 3-pt jump shot from 27 ft,
2:08.0,Defensive rebound by M. Bagley, ,20-27, , ,
1:57.0,A. Burks misses 2-pt layup from 3 ft, ,20-27, , ,
1:54.0, , ,20-27, ,Defensive rebound by R. O'Neale,
1:39.0, , ,20-29,+2,C. Thomas makes 2-pt jump shot from 12 ft (assist by S. Dinwiddie),
1:39.0, , ,20-29, ,Shooting foul by M. Sasser (drawn by C. Thomas),
1:39.0, , ,20-29, ,D. Smith enters the game for S. Dinwiddie,
1:39.0, , ,20-30,+1,C. Thomas makes free throw 1 of 1,
1:28.0,Personal foul by D. Smith (drawn by M. Sasser), ,20-30, , ,
1:22.0,Shooting foul by C. Thomas (drawn by A. Thompson), ,20-30, , ,
1:22.0,A. Thompson misses free throw 1 of 2, ,20-30, , ,
1:22.0,Offensive rebound by Team, ,20-30, , ,
1:22.0,A. Thompson makes free throw 2 of 2,+1,21-30, , ,
1:22.0,B. Bogdanović enters the game for A. Burks, ,21-30, , ,
0:57.0, , ,21-30, ,N. Claxton misses 2-pt jump shot from 15 ft,
0:56.0, , ,21-30, ,Offensive rebound by Team,
0:56.0, , ,21-30, ,Turnover by Team (shot clock),
0:48.0,Turnover by M. Sasser (bad pass), ,21-30, , ,
0:36.0, , ,21-30, ,N. Claxton misses 2-pt jump shot from 12 ft,
0:31.0,Defensive rebound by M. Sasser, ,21-30, , ,
0:31.0,Turnover by M. Sasser (bad pass; steal by N. Claxton), ,21-30, , ,
0:31.0, , ,21-30, ,C. Johnson enters the game for N. Claxton,
0:24.0, , ,21-32,+2,C. Thomas makes 2-pt jump shot from 5 ft,
0:03.0,B. Bogdanović misses 2-pt jump shot from 10 ft, ,21-32, , ,
0:03.0, , ,21-32, ,Defensive rebound by R. O'Neale,
0:00.0,End of 1st quarter,
2nd Q,
Time,Detroit,,Score,,Brooklyn,
12:00.0,Start of 2nd quarter,
11:47.0, , ,21-34,+2,C. Thomas makes 2-pt jump shot from 12 ft (assist by D. Smith),
11:23.0,K. Knox makes 3-pt jump shot from 23 ft (assist by C. Cunningham),+3,24-34, , ,
10:55.0, , ,24-34, ,D. Smith misses 2-pt jump shot from 22 ft,
10:52.0,Defensive rebound by C. Cunningham, ,24-34, , ,
10:49.0,K. Knox makes 2-pt dunk from 1 ft (assist by C. Cunningham),+2,26-34, , ,
10:49.0,Shooting foul by D. Smith (drawn by K. Knox), ,26-34, , ,
10:49.0, , ,26-34, ,Brooklyn full timeout,
10:49.0,K. Knox makes free throw 1 of 1,+1,27-34, , ,
10:35.0, , ,27-37,+3,D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by R. O'Neale),
10:16.0,B. Bogdanović makes 2-pt jump shot from 9 ft,+2,29-37, , ,
10:05.0, , ,29-37, ,Offensive foul by C. Thomas (drawn by A. Thompson),
10:05.0, , ,29-37, ,Turnover by C. Thomas (offensive foul),
9:55.0,Turnover by M. Bagley (bad pass; steal by R. O'Neale), ,29-37, , ,
9:46.0, , ,29-37, ,Turnover by D. Smith (bad pass; steal by B. Bogdanović),
9:42.0,Personal foul by D. Sharpe (drawn by K. Knox), ,29-37, , ,
9:42.0,J. Ivey enters the game for A. Thompson, ,29-37, , ,
9:37.0,B. Bogdanović misses 3-pt jump shot from 26 ft, ,29-37, , ,
9:33.0, , ,29-37, ,Defensive rebound by C. Thomas,
9:27.0, , ,29-37, ,C. Thomas misses 3-pt jump shot from 25 ft,
9:24.0,Defensive rebound by M. Bagley, ,29-37, , ,
9:14.0,M. Bagley makes 2-pt layup from 2 ft (assist by J. Ivey),+2,31-37, , ,
9:02.0, , ,31-37, ,D. Finney-Smith misses 3-pt jump shot from 25 ft,
8:57.0,Defensive rebound by B. Bogdanović, ,31-37, , ,
8:49.0,C. Cunningham misses 2-pt hook shot from 10 ft, ,31-37, , ,
8:46.0, , ,31-37, ,Defensive rebound by D. Finney-Smith,
8:40.0, , ,31-37, ,D. Smith misses 3-pt jump shot from 25 ft,
