A,B,C,D,E,F,Event
4:55.0,M. Sasser misses 3-pt jump shot from 26 ft, ,13-12, , ,
4:51.0, , ,13-12, ,Defensive rebound by Team,
4:51.0,M. Bagley enters the game for J. Duren, ,13-12, , ,
4:51.0, , ,13-12, ,P. Connaughton enters the game for J. Crowder,
4:45.0, , ,13-12, ,D. Lillard misses 2-pt layup from 3 ft,
4:45.0,Defensive rebound by Team, ,13-12, , ,
4:31.0,M. Sasser misses 2-pt jump shot from 3 ft, ,13-12, , ,
4:24.0, , ,13-12, ,Defensive rebound by B. Portis,
4:22.0, , ,13-14,+2,D. Lillard makes 2-pt layup from 3 ft,Lead change
4:07.0,Turnover by S. Umude (bad pass; steal by D. Lillard), ,13-14, , ,
4:04.0, , ,13-14, ,Shooting foul by C. Cunningham (drawn by M. Beauchamp),
4:04.0, , ,13-15,+1,M. Beauchamp makes free throw 1 of 2,
4:04.0,J. Rhoden enters the game for A. Thompson, ,13-15, , ,
4:04.0, , ,13-15, ,C. Payne enters the game for D. Lillard,
4:04.0, , ,13-16,+1,M. Beauchamp makes free throw 2 of 2,
4:04.0,I. Stewart enters the game for S. Umude, ,13-16, , ,
4:04.0, , ,13-16, ,G. Antetokounmpo enters the game for B. Lopez,
3:50.0,C. Cunningham makes 2-pt jump shot from 11 ft (assist by J. Rhoden),+2,15-16, , ,
3:34.0, , ,15-18,+2,P. Connaughton makes 2-pt layup from 5 ft,
3:10.0,J. Rhoden makes 2-pt jump shot from 15 ft (assist by I. Stewart),+2,17-18, , ,
2:55.0, , ,17-18, ,Turnover by P. Connaughton (out of bounds lost ball),
2:55.0,Detroit full timeout, ,17-18, , ,
2:55.0,K. Hayes enters the game for C. Cunningham, ,17-18, , ,
2:40.0,K. Hayes misses 2-pt jump shot from 11 ft, ,17-18, , ,
2:37.0, , ,17-18, ,Defensive rebound by G. Antetokounmpo,
2:20.0, , ,17-21,+3,B. Portis makes 3-pt jump shot from 28 ft (assist by C. Payne),
2:04.0,Turnover by M. Sasser (bad pass; steal by C. Payne), ,17-21, , ,
1:56.0, , ,17-21, ,M. Beauchamp misses 3-pt jump shot from 24 ft,
1:52.0,Defensive rebound by K. Hayes, ,17-21, , ,
1:41.0,M. Bagley makes 2-pt jump shot from 7 ft (assist by J. Rhoden),+2,19-21, , ,
1:26.0, , ,19-21, ,B. Portis misses 3-pt jump shot from 29 ft,
1:22.0,Defensive rebound by I. Stewart, ,19-21, , ,
1:14.0,Personal foul by M. Beauchamp (drawn by J. Rhoden), ,19-21, , ,
1:05.0,J. Rhoden makes 2-pt jump shot from 16 ft (assist by M. Bagley),+2,21-21, , ,Tie
0:52.0, , ,21-21, ,G. Antetokounmpo misses 2-pt jump shot from 19 ft,
0:52.0,Defensive rebound by K. Hayes, ,21-21, , ,
0:47.0,J. Rhoden misses 3-pt jump shot from 25 ft, ,21-21, , ,
0:43.0, , ,21-21, ,Defensive rebound by M. Beauchamp,
0:34.0, , ,21-21, ,Shooting foul by M. Bagley (drawn by G. Antetokounmpo),
0:34.0, , ,21-21, ,G. Antetokounmpo misses free throw 1 of 2,
0:34.0, , ,21-21, ,Offensive rebound by Team,
0:34.0, , ,21-22,+1,G. Antetokounmpo makes free throw 2 of 2,
0:18.0,Personal foul by M. Beauchamp (drawn by K. Hayes), ,21-22, , ,
0:18.0,K. Hayes makes free throw 1 of 2,+1,22-22, , ,Tie
0:18.0,A. Thompson enters the game for M. Sasser, ,22-22, , ,
0:18.0,K. Hayes makes free throw 2 of 2,+1,23-22, , ,Lead change
0:06.0, , ,23-24,+2,M. Beauchamp makes 2-pt layup from 3 ft (assist by C. Payne),Lead change
0:00.0,K. Hayes misses 3-pt jump shot from 31 ft, ,23-24, , ,
0:00.0, , ,23-24, ,Defensive rebound by Team,
0:00.0,End of 1st quarter,
2nd Q,
Time,Detroit,,Score,,Milwaukee,
12:00.0,Start of 2nd quarter,
11:49.0, , ,23-24, ,Shooting foul by M. Sasser (drawn by C. Payne),
11:49.0, , ,23-25,+1,C. Payne makes free throw 1 of 2,
11:49.0, , ,23-26,+1,C. Payne makes free throw 2 of 2,
11:34.0,M. Bagley makes 2-pt layup at rim (assist by C. Cunningham),+2,25-26, , ,
11:16.0, , ,25-28,+2,B. Portis makes 2-pt jump shot from 9 ft,
11:16.0, , ,25-28, ,Shooting foul by M. Bagley (drawn by B. Portis),
11:16.0, , ,25-29,+1,B. Portis makes free throw 1 of 1,
10:54.0,C. Cunningham misses 2-pt jump shot from 16 ft, ,25-29, , ,
10:51.0, , ,25-29, ,Defensive rebound by G. Antetokounmpo,
10:47.0, , ,25-29, ,B. Portis misses 3-pt jump shot from 27 ft,
10:44.0, , ,25-29, ,Offensive rebound by B. Portis,
10:43.0, , ,25-29, ,B. Portis misses 2-pt jump shot from 14 ft,
10:39.0, , ,25-29, ,Offensive rebound by B. Portis,
