A,B,C,D,E,F,Event
2:27.0,A. Thompson misses 2-pt jump shot from 6 ft, ,20-23, , ,
2:25.0, , ,20-23, ,Defensive rebound by D. Jordan,
2:08.0, , ,20-23, ,R. Jackson misses 2-pt jump shot from 12 ft,
2:03.0,Defensive rebound by A. Burks, ,20-23, , ,
1:56.0,A. Burks misses 2-pt layup from 1 ft, ,20-23, , ,
1:54.0, , ,20-23, ,Defensive rebound by D. Jordan,
1:47.0, , ,20-23, ,Personal foul by A. Thompson (drawn by D. Jordan),
1:47.0, , ,20-24,+1,D. Jordan makes free throw 1 of 2,
1:47.0, , ,20-24, ,J. Murray enters the game for M. Porter,
1:47.0, , ,20-25,+1,D. Jordan makes free throw 2 of 2,
1:35.0,J. Wiseman misses 2-pt jump shot from 10 ft, ,20-25, , ,
1:32.0,Offensive rebound by A. Thompson, ,20-25, , ,
1:31.0,K. Knox makes 2-pt jump shot from 14 ft (assist by A. Thompson),+2,22-25, , ,
1:28.0,Violation by Team (delay of game), ,22-25, , ,
1:19.0, , ,22-25, ,Turnover by D. Jordan (bad pass),
1:09.0,J. Wiseman makes 2-pt dunk at rim (assist by K. Hayes),+2,24-25, , ,
0:45.0, , ,24-25, ,P. Watson misses 2-pt jump shot from 14 ft,
0:44.0, , ,24-25, ,Offensive rebound by Team,
0:42.0, , ,24-28,+3,J. Murray makes 3-pt jump shot from 26 ft (assist by R. Jackson),
0:27.0,A. Burks misses 2-pt jump shot from 6 ft, ,24-28, , ,
0:26.0,Offensive rebound by A. Burks, ,24-28, , ,
0:26.0,A. Burks makes 2-pt layup from 1 ft,+2,26-28, , ,
0:08.0, , ,26-31,+3,R. Jackson makes 3-pt jump shot from 27 ft (assist by J. Murray),
0:03.0,K. Knox makes 3-pt jump shot from 25 ft (assist by K. Hayes),+3,29-31, , ,
0:00.0, , ,29-31, ,J. Murray misses 3-pt jump shot from 46 ft,
0:00.0, , ,29-31, ,Offensive rebound by Team,
0:00.0,End of 1st quarter,
2nd Q,
Time,Detroit,,Score,,Denver,
12:00.0,Start of 2nd quarter,
11:51.0, , ,29-31, ,Shooting foul by C. Cunningham (drawn by D. Jordan),
11:51.0, , ,29-31, ,D. Jordan misses free throw 1 of 2,
11:51.0, , ,29-31, ,Offensive rebound by Team,
11:51.0, , ,29-31, ,D. Jordan misses free throw 2 of 2,
11:49.0,Defensive rebound by A. Thompson, ,29-31, , ,
11:39.0,C. Cunningham misses 2-pt jump shot from 9 ft (block by D. Jordan), ,29-31, , ,
11:35.0, , ,29-31, ,Defensive rebound by C. Braun,
11:27.0, , ,29-33,+2,J. Murray makes 2-pt jump shot from 17 ft,
11:00.0,A. Thompson makes 2-pt jump shot from 16 ft,+2,31-33, , ,
10:45.0, , ,31-35,+2,J. Murray makes 2-pt dunk from 1 ft (assist by R. Jackson),
10:37.0,Shooting foul by R. Jackson (drawn by K. Knox), ,31-35, , ,
10:37.0, , ,31-35, ,K. Caldwell-Pope enters the game for R. Jackson,
10:37.0,K. Knox makes free throw 1 of 2,+1,32-35, , ,
10:37.0,K. Knox misses free throw 2 of 2, ,32-35, , ,
10:35.0, , ,32-35, ,Defensive rebound by D. Jordan,
10:12.0, , ,32-35, ,J. Murray misses 2-pt jump shot from 19 ft,
10:08.0,Defensive rebound by B. Bogdanović, ,32-35, , ,
10:01.0,B. Bogdanović makes 2-pt layup from 2 ft,+2,34-35, , ,
9:41.0, , ,34-35, ,J. Murray misses 3-pt jump shot from 25 ft,
9:38.0,Defensive rebound by K. Knox, ,34-35, , ,
9:26.0,C. Cunningham misses 3-pt jump shot from 25 ft, ,34-35, , ,
9:26.0,Offensive rebound by A. Thompson, ,34-35, , ,
9:21.0,B. Bogdanović makes 3-pt jump shot from 22 ft (assist by A. Thompson),+3,37-35, , ,Lead change
9:02.0, , ,37-37,+2,K. Caldwell-Pope makes 2-pt jump shot from 14 ft (assist by D. Jordan),Tie
8:42.0,J. Wiseman makes 2-pt dunk at rim (assist by K. Knox),+2,39-37, , ,
8:22.0, , ,39-37, ,P. Watson misses 3-pt jump shot from 26 ft,
8:18.0,Defensive rebound by C. Cunningham, ,39-37, , ,
8:09.0,K. Knox makes 2-pt layup from 1 ft (assist by C. Cunningham),+2,41-37, , ,
8:09.0, , ,41-37, ,Denver full timeout,
8:09.0,J. Duren enters the game for A. Thompson, ,41-37, , ,
8:09.0,J. Ivey enters the game for J. Wiseman, ,41-37, , ,
8:09.0, , ,41-37, ,R. Jackson enters the game for J. Murray,
8:09.0, , ,41-37, ,M. Porter enters the game for P. Watson,
7:58.0, , ,41-39,+2,D. Jordan makes 2-pt dunk at rim (assist by R. Jackson),
7:43.0,Turnover by J. Ivey (step out of bounds), ,41-39, , ,
7:28.0, , ,41-41,+2,C. Braun makes 2-pt layup at rim (assist by R. Jackson),Tie
7:10.0,J. Ivey misses 3-pt jump shot from 23 ft, ,41-41, , ,
7:07.0, , ,41-41, ,Defensive rebound by D. Jordan,
6:56.0, , ,41-41, ,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,
6:53.0,Defensive rebound by J. Duren, ,41-41, , ,
6:33.0,C. Cunningham misses 2-pt jump shot from 14 ft (block by C. Braun), ,41-41, , ,
6:29.0,Offensive rebound by K. Knox, ,41-41, , ,
6:29.0,K. Knox misses 2-pt jump shot from 17 ft, ,41-41, , ,
6:27.0, , ,41-41, ,Defensive rebound by R. Jackson,
6:21.0, , ,41-43,+2,D. Jordan makes 2-pt dunk from 1 ft (assist by R. Jackson),Lead change
6:21.0,Detroit full timeout, ,41-43, , ,
6:21.0,A. Burks enters the game for B. Bogdanović, ,41-43, , ,
6:21.0,K. Hayes enters the game for C. Cunningham, ,41-43, , ,
6:21.0,I. Livers enters the game for K. Knox, ,41-43, , ,
6:21.0, , ,41-43, ,A. Gordon enters the game for C. Braun,
6:21.0, , ,41-43, ,N. Jokić enters the game for D. Jordan,
6:09.0,I. Livers makes 2-pt layup from 1 ft (assist by J. Duren),+2,43-43, , ,Tie
5:55.0, , ,43-45,+2,R. Jackson makes 2-pt layup from 2 ft (assist by N. Jokić),
5:38.0,J. Duren makes 2-pt jump shot from 4 ft (assist by A. Burks),+2,45-45, , ,Tie
5:38.0,Shooting foul by N. Jokić (drawn by J. Duren), ,45-45, , ,
5:38.0,J. Duren misses free throw 1 of 1, ,45-45, , ,
5:37.0, , ,45-45, ,Defensive rebound by M. Porter,
5:16.0, , ,45-45, ,N. Jokić misses 2-pt hook shot from 5 ft,
5:14.0,Defensive rebound by J. Duren, ,45-45, , ,
5:04.0,A. Burks makes 2-pt jump shot from 18 ft (assist by J. Duren),+2,47-45, , ,Lead change
4:51.0, , ,47-47,+2,M. Porter makes 2-pt jump shot from 19 ft (assist by N. Jokić),Tie
4:50.0,Detroit full timeout, ,47-47, , ,
4:50.0, , ,47-47, ,J. Murray enters the game for R. Jackson,
4:41.0,Turnover by J. Ivey (step out of bounds), ,47-47, , ,
4:32.0, , ,47-49,+2,J. Murray makes 2-pt layup from 2 ft,Lead change
4:19.0,A. Burks makes 3-pt jump shot from 26 ft (assist by K. Hayes),+3,50-49, , ,Lead change
3:58.0, , ,50-51,+2,N. Jokić makes 2-pt layup at rim,Lead change
3:42.0,J. Ivey misses 3-pt jump shot from 23 ft, ,50-51, , ,
3:39.0, , ,50-51, ,Defensive rebound by J. Murray,
3:29.0, , ,50-53,+2,J. Murray makes 2-pt jump shot from 14 ft,
3:11.0,Shooting foul by K. Caldwell-Pope (drawn by J. Ivey), ,50-53, , ,
3:11.0,J. Ivey makes free throw 1 of 2,+1,51-53, , ,
3:11.0,J. Ivey misses free throw 2 of 2, ,51-53, , ,
3:09.0,Offensive rebound by I. Livers, ,51-53, , ,
