A,B,C,D,E,F,Event
3:21.0,Offensive rebound by J. Wiseman, ,19-18, , ,
3:20.0,J. Wiseman misses 2-pt layup from 3 ft (block by D. Gafford), ,19-18, , ,
3:18.0, , ,19-18, ,Defensive rebound by K. Kuzma,
3:12.0, , ,19-20,+2,K. Kuzma makes 2-pt jump shot from 2 ft,Lead change
3:11.0,Detroit full timeout, ,19-20, , ,
3:11.0,M. Sasser enters the game for J. Ivey, ,19-20, , ,
3:02.0,Personal foul by D. Wright (drawn by M. Sasser), ,19-20, , ,
2:53.0,Turnover by A. Burks (bad pass; steal by D. Gafford), ,19-20, , ,
2:47.0, , ,19-20, ,C. Kispert misses 2-pt layup from 3 ft (block by M. Sasser),
2:46.0,Defensive rebound by J. Wiseman, ,19-20, , ,
2:38.0,J. Wiseman makes 2-pt layup from 2 ft,+2,21-20, , ,Lead change
2:18.0, , ,21-20, ,K. Kuzma misses 3-pt jump shot from 27 ft,
2:13.0,Defensive rebound by J. Wiseman, ,21-20, , ,
2:08.0,A. Burks makes 3-pt jump shot from 26 ft (assist by M. Sasser),+3,24-20, , ,
1:45.0, , ,24-20, ,K. Kuzma misses 2-pt jump shot from 18 ft,
1:42.0,Defensive rebound by M. Sasser, ,24-20, , ,
1:33.0,A. Thompson makes 2-pt layup from 2 ft (assist by I. Stewart),+2,26-20, , ,
1:33.0,Shooting foul by C. Kispert (drawn by A. Thompson), ,26-20, , ,
1:33.0,J. Harris enters the game for I. Stewart, ,26-20, , ,
1:33.0, , ,26-20, ,D. Avdija enters the game for D. Gafford,
1:33.0, , ,26-20, ,P. Baldwin enters the game for K. Kuzma,
1:33.0,A. Thompson makes free throw 1 of 1,+1,27-20, , ,
1:21.0, , ,27-20, ,D. Wright misses 2-pt layup from 5 ft,
1:17.0,Defensive rebound by A. Thompson, ,27-20, , ,
1:12.0,Turnover by M. Sasser (traveling), ,27-20, , ,
0:53.0, , ,27-22,+2,C. Kispert makes 2-pt layup from 4 ft (assist by D. Avdija),
0:38.0,J. Wiseman makes 2-pt layup from 4 ft (assist by J. Harris),+2,29-22, , ,
0:29.0, , ,29-22, ,D. Wright misses 2-pt jump shot from 15 ft (block by J. Wiseman),
0:29.0,Defensive rebound by M. Sasser, ,29-22, , ,
0:05.0,A. Burks misses 3-pt jump shot from 27 ft, ,29-22, , ,
0:01.0, , ,29-22, ,Defensive rebound by C. Kispert,
0:00.0,End of 1st quarter,
2nd Q,
Time,Detroit,,Score,,Washington,
12:00.0,Start of 2nd quarter,
11:41.0,A. Thompson makes 2-pt layup from 2 ft (assist by M. Sasser),+2,31-22, , ,
11:27.0, , ,31-25,+3,P. Baldwin makes 3-pt jump shot from 26 ft (assist by C. Kispert),
11:10.0,M. Sasser makes 2-pt jump shot from 7 ft,+2,33-25, , ,
10:58.0, , ,33-25, ,Turnover by D. Avdija (bad pass),
10:39.0,Turnover by J. Harris (bad pass; steal by P. Baldwin), ,33-25, , ,
10:31.0, , ,33-25, ,L. Shamet misses 2-pt layup from 3 ft (block by J. Wiseman),
10:29.0,Defensive rebound by A. Burks, ,33-25, , ,
10:20.0,Personal foul by C. Kispert (drawn by A. Burks), ,33-25, , ,
10:15.0,Personal foul by C. Kispert (drawn by A. Burks), ,33-25, , ,
10:03.0,A. Burks misses 3-pt jump shot from 24 ft, ,33-25, , ,
10:00.0, , ,33-25, ,Defensive rebound by P. Baldwin,
9:54.0, , ,33-25, ,D. Avdija misses 2-pt layup from 5 ft (block by M. Sasser),
9:54.0, , ,33-25, ,Offensive rebound by Team,
9:54.0,J. Ivey enters the game for M. Sasser, ,33-25, , ,
9:49.0, , ,33-28,+3,P. Baldwin makes 3-pt jump shot from 26 ft (assist by C. Kispert),
9:30.0,Turnover by J. Ivey (bad pass; steal by L. Shamet), ,33-28, , ,
9:27.0, , ,33-30,+2,L. Shamet makes 2-pt layup from 3 ft,
9:27.0, , ,33-30, ,Shooting foul by A. Burks (drawn by L. Shamet),
9:27.0,K. Hayes enters the game for A. Burks, ,33-30, , ,
9:27.0, , ,33-30, ,J. Poole enters the game for C. Kispert,
9:27.0, , ,33-31,+1,L. Shamet makes free throw 1 of 1,
9:14.0,Turnover by J. Ivey (bad pass; steal by D. Wright), ,33-31, , ,
9:12.0, , ,33-33,+2,L. Shamet makes 2-pt layup from 1 ft (assist by D. Wright),Tie
9:12.0,Detroit full timeout, ,33-33, , ,
9:12.0,K. Knox enters the game for J. Harris, ,33-33, , ,
8:56.0,K. Knox misses 3-pt jump shot from 24 ft, ,33-33, , ,
8:50.0, , ,33-33, ,Defensive rebound by P. Baldwin,
8:42.0, , ,33-35,+2,J. Poole makes 2-pt layup from 4 ft (assist by D. Wright),Lead change
8:31.0,Shooting foul by P. Baldwin (drawn by K. Knox), ,33-35, , ,
8:31.0,K. Knox makes free throw 1 of 2,+1,34-35, , ,
8:31.0,J. Duren enters the game for J. Wiseman, ,34-35, , ,
8:31.0,K. Knox makes free throw 2 of 2,+1,35-35, , ,Tie
8:19.0, , ,35-38,+3,L. Shamet makes 3-pt jump shot from 26 ft (assist by D. Wright),
8:02.0,Shooting foul by P. Baldwin (drawn by A. Thompson), ,35-38, , ,
8:02.0,A. Thompson makes free throw 1 of 2,+1,36-38, , ,
8:02.0,A. Thompson misses free throw 2 of 2, ,36-38, , ,
7:58.0, , ,36-38, ,Defensive rebound by P. Baldwin,
7:42.0, , ,36-41,+3,P. Baldwin makes 3-pt jump shot from 27 ft (assist by D. Avdija),
7:25.0,J. Ivey makes 2-pt layup from 2 ft (assist by A. Thompson),+2,38-41, , ,
7:19.0, , ,38-41, ,Personal foul by A. Thompson (drawn by J. Poole),
7:19.0, , ,38-41, ,T. Jones enters the game for D. Wright,
7:12.0, , ,38-41, ,L. Shamet misses 2-pt jump shot from 6 ft,
7:10.0,Defensive rebound by J. Duren, ,38-41, , ,
7:06.0,Turnover by J. Ivey (bad pass; steal by T. Jones), ,38-41, , ,
7:01.0, , ,38-43,+2,J. Poole makes 2-pt layup from 2 ft (assist by T. Jones),
6:42.0,K. Hayes makes 2-pt jump shot from 15 ft,+2,40-43, , ,
6:32.0, , ,40-43, ,J. Poole misses 2-pt layup from 3 ft (block by J. Duren),
6:30.0,Defensive rebound by J. Ivey, ,40-43, , ,
6:21.0,J. Ivey misses 2-pt layup from 10 ft (block by L. Shamet), ,40-43, , ,
6:21.0,Offensive rebound by Team, ,40-43, , ,
6:21.0, , ,40-43, ,B. Coulibaly enters the game for D. Avdija,
6:21.0, , ,40-43, ,D. Gafford enters the game for P. Baldwin,
6:07.0,A. Thompson makes 2-pt layup from 4 ft,+2,42-43, , ,
5:53.0, , ,42-43, ,J. Poole misses 3-pt jump shot from 26 ft,
5:52.0, , ,42-43, ,Offensive rebound by D. Gafford,
5:51.0, , ,42-43, ,Turnover by D. Gafford (bad pass; steal by A. Thompson),
5:36.0,K. Knox misses 2-pt layup from 7 ft, ,42-43, , ,
5:32.0, , ,42-43, ,Defensive rebound by B. Coulibaly,
5:29.0, , ,42-46,+3,T. Jones makes 3-pt jump shot from 24 ft (assist by B. Coulibaly),
5:03.0,J. Ivey makes 2-pt jump shot from 16 ft (assist by J. Duren),+2,44-46, , ,
4:42.0, , ,44-46, ,B. Coulibaly misses 2-pt layup from 6 ft,
4:38.0,Defensive rebound by J. Ivey, ,44-46, , ,
4:24.0,J. Duren makes 2-pt layup from 3 ft (assist by K. Hayes),+2,46-46, , ,Tie
4:24.0,Shooting foul by D. Gafford (drawn by J. Duren), ,46-46, , ,
4:24.0,A. Burks enters the game for J. Ivey, ,46-46, , ,
4:24.0,I. Stewart enters the game for A. Thompson, ,46-46, , ,
4:24.0, , ,46-46, ,K. Kuzma enters the game for L. Shamet,
4:24.0,J. Duren makes free throw 1 of 1,+1,47-46, , ,Lead change
4:10.0, , ,47-49,+3,J. Poole makes 3-pt jump shot from 26 ft,Lead change
4:10.0,Loose ball foul by I. Stewart (drawn by K. Kuzma), ,47-49, , ,
4:10.0, , ,47-50,+1,K. Kuzma makes free throw 1 of 1,
3:54.0,I. Stewart misses 2-pt layup from 3 ft, ,47-50, , ,
3:54.0,Offensive rebound by I. Stewart, ,47-50, , ,
3:54.0,I. Stewart misses 2-pt layup from 2 ft (block by K. Kuzma), ,47-50, , ,
3:54.0,Offensive rebound by Team, ,47-50, , ,
3:52.0,A. Burks misses 2-pt jump shot from 10 ft, ,47-50, , ,
3:52.0, , ,47-50, ,Defensive rebound by D. Gafford,
3:43.0, , ,47-50, ,Shooting foul by A. Burks (drawn by J. Poole),
3:43.0, , ,47-51,+1,J. Poole makes free throw 1 of 2,
3:43.0, , ,47-52,+1,J. Poole makes free throw 2 of 2,
3:31.0,K. Knox misses 3-pt jump shot from 25 ft, ,47-52, , ,
