A,B,C,D,E,F,Event
3:31.0, , ,21-23, ,J. Clarkson misses 3-pt jump shot from 26 ft,
3:26.0,Defensive rebound by J. Butler, ,21-23, , ,
3:18.0,K. Love misses 3-pt jump shot from 25 ft, ,21-23, , ,
3:14.0, , ,21-23, ,Defensive rebound by J. Clarkson,
2:59.0, , ,21-23, ,K. George misses 2-pt layup from 9 ft (block by H. Highsmith),
2:54.0,Defensive rebound by H. Highsmith, ,21-23, , ,
2:52.0,J. Jaquez misses 3-pt jump shot from 23 ft, ,21-23, , ,
2:45.0,Offensive rebound by K. Love, ,21-23, , ,
2:45.0,K. Love makes 2-pt layup at rim,+2,23-23, , ,Tie
2:31.0, , ,23-25,+2,K. Olynyk makes 2-pt jump shot from 8 ft,
2:31.0,Miami full timeout, ,23-25, , ,
2:31.0,B. Adebayo enters the game for J. Butler, ,23-25, , ,
2:31.0, , ,23-25, ,O. Agbaji enters the game for W. Kessler,
2:31.0, , ,23-25, ,J. Collins enters the game for L. Markkanen,
2:19.0,H. Highsmith misses 3-pt jump shot from 25 ft, ,23-25, , ,
2:16.0, , ,23-25, ,Defensive rebound by K. George,
2:07.0, , ,23-25, ,J. Collins misses 3-pt jump shot from 26 ft,
2:03.0,Defensive rebound by J. Jaquez, ,23-25, , ,
1:55.0,Shooting foul by J. Collins (drawn by K. Love), ,23-25, , ,
1:55.0,K. Love misses free throw 1 of 2, ,23-25, , ,
1:55.0,Offensive rebound by Team, ,23-25, , ,
1:55.0,K. Love misses free throw 2 of 2, ,23-25, , ,
1:54.0, , ,23-25, ,Defensive rebound by J. Collins,
1:41.0, , ,23-25, ,Shooting foul by H. Highsmith (drawn by J. Clarkson),
1:41.0, , ,23-26,+1,J. Clarkson makes free throw 1 of 2,
1:41.0, , ,23-27,+1,J. Clarkson makes free throw 2 of 2,
1:19.0,B. Adebayo misses 2-pt jump shot from 19 ft, ,23-27, , ,
1:16.0, , ,23-27, ,Defensive rebound by J. Clarkson,
1:06.0, , ,23-27, ,O. Agbaji misses 3-pt jump shot from 27 ft,
1:03.0,Defensive rebound by D. Robinson, ,23-27, , ,
0:52.0,Shooting foul by K. Olynyk (drawn by K. Love), ,23-27, , ,
0:52.0,K. Love makes free throw 1 of 2,+1,24-27, , ,
0:52.0,T. Herro enters the game for H. Highsmith, ,24-27, , ,
0:52.0,K. Love makes free throw 2 of 2,+1,25-27, , ,
0:28.0, , ,25-27, ,J. Clarkson misses 2-pt jump shot from 12 ft,
0:26.0,Defensive rebound by B. Adebayo, ,25-27, , ,
0:06.0,D. Robinson makes 3-pt jump shot from 24 ft (assist by T. Herro),+3,28-27, , ,Lead change
0:00.0, , ,28-27, ,K. Olynyk misses 3-pt jump shot from 23 ft,
0:00.0, , ,28-27, ,Offensive rebound by Team,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Utah,
12:00.0,Start of 2nd quarter,
11:42.0, , ,28-27, ,Shooting foul by D. Robinson (drawn by O. Agbaji),
11:42.0, , ,28-27, ,O. Agbaji misses free throw 1 of 2,
11:42.0, , ,28-27, ,Offensive rebound by Team,
11:42.0, , ,28-27, ,O. Agbaji misses free throw 2 of 2,
11:41.0,Defensive rebound by B. Adebayo, ,28-27, , ,
11:26.0,B. Adebayo makes 2-pt layup from 6 ft (assist by T. Herro),+2,30-27, , ,
11:05.0, , ,30-29,+2,K. Olynyk makes 2-pt layup from 3 ft (assist by K. George),
10:39.0,J. Jaquez misses 3-pt jump shot from 24 ft, ,30-29, , ,
10:37.0, , ,30-29, ,Defensive rebound by K. Olynyk,
10:28.0, , ,30-31,+2,J. Clarkson makes 2-pt jump shot from 6 ft (assist by K. Olynyk),Lead change
10:09.0,K. Love misses 3-pt jump shot from 24 ft, ,30-31, , ,
10:06.0,Offensive rebound by T. Herro, ,30-31, , ,
10:03.0,J. Jaquez misses 3-pt jump shot from 25 ft, ,30-31, , ,
10:01.0, , ,30-31, ,Defensive rebound by K. George,
9:50.0, , ,30-31, ,O. Agbaji misses 3-pt jump shot from 23 ft,
9:46.0, , ,30-31, ,Offensive rebound by K. Olynyk,
9:45.0, , ,30-31, ,J. Clarkson misses 2-pt layup from 5 ft (block by B. Adebayo),
9:45.0, , ,30-31, ,Offensive rebound by Team,
9:45.0,H. Highsmith enters the game for K. Love, ,30-31, , ,
