A,B,C,D,E,F,Event
2:45.0,K. Lowry misses 3-pt jump shot from 26 ft, ,23-20, , ,
2:42.0, , ,23-20, ,Defensive rebound by N. Reid,
2:36.0, , ,23-22,+2,A. Edwards makes 2-pt jump shot from 11 ft,
2:15.0,D. Robinson misses 3-pt jump shot from 25 ft, ,23-22, , ,
2:13.0, , ,23-22, ,Defensive rebound by K. Towns,
1:59.0, , ,23-24,+2,N. Reid makes 2-pt jump shot from 8 ft,Lead change
1:58.0,Miami full timeout, ,23-24, , ,
1:58.0,T. Herro enters the game for K. Lowry, ,23-24, , ,
1:58.0, , ,23-24, ,R. Gobert enters the game for K. Towns,
1:42.0,Personal foul by K. Anderson (drawn by T. Herro), ,23-24, , ,
1:37.0,T. Herro misses 3-pt jump shot from 26 ft, ,23-24, , ,
1:34.0, , ,23-24, ,Defensive rebound by K. Anderson,
1:31.0, , ,23-24, ,Turnover by K. Anderson (bad pass; steal by D. Smith),
1:25.0,D. Smith misses 2-pt layup from 3 ft, ,23-24, , ,
1:24.0,Offensive rebound by T. Bryant, ,23-24, , ,
1:23.0,T. Bryant misses 2-pt layup at rim, ,23-24, , ,
1:22.0,Offensive rebound by T. Bryant, ,23-24, , ,
1:22.0,T. Bryant makes 2-pt layup at rim,+2,25-24, , ,Lead change
1:04.0, , ,25-24, ,A. Edwards misses 3-pt jump shot from 25 ft,
1:03.0,Defensive rebound by Team, ,25-24, , ,
1:03.0, , ,25-24, ,T. Brown enters the game for A. Edwards,
0:52.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by T. Bryant),+3,28-24, , ,
0:37.0, , ,28-24, ,T. Brown misses 3-pt jump shot from 26 ft,
0:36.0,Defensive rebound by Team, ,28-24, , ,
0:31.0,T. Herro makes 3-pt jump shot from 28 ft (assist by D. Smith),+3,31-24, , ,
0:16.0, , ,31-24, ,N. Reid misses 2-pt layup from 2 ft,
0:15.0, , ,31-24, ,Offensive rebound by R. Gobert,
0:15.0, , ,31-26,+2,R. Gobert makes 2-pt dunk from 2 ft,
0:02.0,T. Herro misses 2-pt jump shot from 16 ft, ,31-26, , ,
0:00.0, , ,31-26, ,Defensive rebound by N. Reid,
0:00.0, , ,31-26, ,N. Reid misses 3-pt jump shot from 49 ft,
0:00.0, , ,31-26, ,Offensive rebound by Team,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Minnesota,
12:00.0,Start of 2nd quarter,
11:35.0, , ,31-26, ,Turnover by Team (shot clock),
11:27.0,J. Cain makes 2-pt dunk from 2 ft (assist by D. Smith),+2,33-26, , ,
11:15.0, , ,33-26, ,S. Milton misses 3-pt jump shot from 26 ft,
11:13.0,Defensive rebound by T. Bryant, ,33-26, , ,
11:04.0,T. Bryant misses 2-pt jump shot from 5 ft, ,33-26, , ,
11:02.0, , ,33-26, ,Defensive rebound by R. Gobert,
