A,B,C,D,E,F,Event
3:19.0,Defensive rebound by B. Adebayo, ,26-18, , ,
3:07.0,D. Smith misses 3-pt jump shot from 29 ft, ,26-18, , ,
3:04.0, , ,26-18, ,Defensive rebound by J. Holiday,
2:56.0, , ,26-20,+2,J. Brown makes 2-pt layup from 2 ft,
2:56.0, , ,26-20, ,Shooting foul by K. Lowry (drawn by J. Brown),
2:56.0,T. Bryant enters the game for B. Adebayo, ,26-20, , ,
2:56.0, , ,26-20, ,J. Tatum enters the game for J. Holiday,
2:56.0, , ,26-20, ,J. Brown misses free throw 1 of 1,
2:56.0, , ,26-20, ,Offensive rebound by O. Brissett,
2:55.0, , ,26-20, ,O. Brissett misses 2-pt layup from 4 ft (block by J. Butler),
2:55.0, , ,26-20, ,Offensive rebound by Team,
2:55.0, , ,26-20, ,P. Pritchard enters the game for J. Brown,
2:52.0, , ,26-20, ,A. Horford misses 3-pt jump shot from 29 ft,
2:50.0, , ,26-20, ,Offensive rebound by O. Brissett,
2:46.0, , ,26-23,+3,S. Hauser makes 3-pt jump shot from 26 ft (assist by P. Pritchard),
2:45.0,Miami full timeout, ,26-23, , ,
2:45.0,T. Herro enters the game for K. Lowry, ,26-23, , ,
2:45.0,Violation by Team (delay of game), ,26-23, , ,
2:21.0,J. Butler makes 2-pt jump shot from 15 ft,+2,28-23, , ,
2:08.0, , ,28-23, ,Turnover by A. Horford (out of bounds lost ball),
2:08.0,J. Jaquez enters the game for J. Butler, ,28-23, , ,
1:50.0,Turnover by J. Jaquez (step out of bounds), ,28-23, , ,
1:31.0, , ,28-23, ,Turnover by O. Brissett (out of bounds lost ball),
1:16.0,D. Smith misses 2-pt jump shot from 7 ft, ,28-23, , ,
1:11.0,Offensive rebound by T. Bryant, ,28-23, , ,
1:11.0,T. Bryant misses 2-pt layup at rim, ,28-23, , ,
1:11.0, , ,28-23, ,Defensive rebound by J. Tatum,
1:02.0, , ,28-23, ,Turnover by A. Horford (bad pass; steal by D. Smith),
0:56.0,D. Robinson misses 3-pt jump shot from 27 ft, ,28-23, , ,
0:53.0, , ,28-23, ,Defensive rebound by Team,
0:41.0, , ,28-23, ,J. Tatum misses 3-pt jump shot from 26 ft,
0:41.0, , ,28-23, ,Offensive rebound by A. Horford,
0:31.0, , ,28-23, ,A. Horford misses 2-pt hook shot from 8 ft,
0:30.0, , ,28-23, ,Offensive rebound by Team,
0:30.0,Loose ball foul by D. Smith (drawn by O. Brissett), ,28-23, , ,
0:26.0, , ,28-25,+2,O. Brissett makes 2-pt dunk from 2 ft (assist by J. Tatum),
0:03.0,Turnover by T. Herro (bad pass; steal by J. Tatum), ,28-25, , ,
0:00.0,Instant Replay (Request: Ruling Stands), ,28-25, , ,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Boston,
12:00.0,Start of 2nd quarter,
11:46.0,T. Herro misses 3-pt jump shot from 25 ft, ,28-25, , ,
11:42.0,Offensive rebound by D. Smith, ,28-25, , ,
11:35.0,T. Bryant makes 2-pt dunk from 4 ft (assist by D. Smith),+2,30-25, , ,
11:17.0, , ,30-25, ,J. Tatum misses 2-pt jump shot from 8 ft,
11:15.0,Defensive rebound by T. Bryant, ,30-25, , ,
11:08.0,T. Herro misses 2-pt jump shot from 13 ft, ,30-25, , ,
11:04.0, , ,30-25, ,Defensive rebound by A. Horford,
10:59.0, , ,30-28,+3,P. Pritchard makes 3-pt jump shot from 29 ft (assist by A. Horford),
10:36.0,D. Smith makes 3-pt jump shot from 28 ft (assist by T. Bryant),+3,33-28, , ,
10:17.0, , ,33-31,+3,J. Tatum makes 3-pt jump shot from 26 ft (assist by D. White),
9:57.0,Personal foul by P. Pritchard (drawn by T. Bryant), ,33-31, , ,
9:57.0, , ,33-31, ,K. Porziņģis enters the game for O. Brissett,
9:45.0,T. Bryant misses 3-pt jump shot from 28 ft, ,33-31, , ,
9:41.0, , ,33-31, ,Defensive rebound by J. Tatum,
9:27.0, , ,33-33,+2,J. Tatum makes 2-pt layup at rim,Tie
9:16.0,D. Robinson makes 3-pt jump shot from 27 ft (assist by T. Herro),+3,36-33, , ,
9:07.0, , ,36-33, ,D. White misses 2-pt layup from 3 ft (block by D. Smith),
9:04.0,Defensive rebound by T. Herro, ,36-33, , ,
9:01.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by D. Smith),+3,39-33, , ,
8:44.0, , ,39-33, ,J. Tatum misses 3-pt jump shot from 27 ft,
8:43.0, , ,39-33, ,Offensive rebound by A. Horford,
8:41.0, , ,39-33, ,A. Horford misses 2-pt layup at rim,
8:40.0, , ,39-33, ,Offensive rebound by A. Horford,
8:38.0, , ,39-33, ,A. Horford misses 2-pt layup from 1 ft,
8:37.0, , ,39-33, ,Offensive rebound by D. White,
8:35.0, , ,39-35,+2,D. White makes 2-pt layup from 2 ft,
8:30.0,D. Smith makes 3-pt jump shot from 28 ft,+3,42-35, , ,
8:11.0, , ,42-37,+2,J. Tatum makes 2-pt layup from 3 ft,
8:11.0, , ,42-37, ,Shooting foul by J. Jaquez (drawn by J. Tatum),
8:11.0,B. Adebayo enters the game for T. Bryant, ,42-37, , ,
8:11.0, , ,42-37, ,J. Brown enters the game for P. Pritchard,
8:11.0, , ,42-37, ,J. Tatum misses free throw 1 of 1,
8:09.0,Defensive rebound by T. Herro, ,42-37, , ,
7:58.0,D. Robinson misses 3-pt jump shot from 27 ft, ,42-37, , ,
7:55.0, , ,42-37, ,Defensive rebound by K. Porziņģis,
7:51.0, , ,42-37, ,Personal foul by D. Robinson (drawn by D. White),
7:51.0, , ,42-37, ,J. Holiday enters the game for D. White,
7:37.0, , ,42-39,+2,J. Tatum makes 2-pt layup from 2 ft,
7:36.0, , ,42-39, ,Violation by Team (delay of game),
7:23.0,B. Adebayo makes 2-pt jump shot from 20 ft (assist by J. Jaquez),+2,44-39, , ,
7:04.0, , ,44-39, ,K. Porziņģis misses 3-pt jump shot from 24 ft,
