A,B,C,D,E,F,Event
2:39.0,H. Highsmith misses 3-pt jump shot from 26 ft, ,24-8, , ,
2:35.0, , ,24-8, ,Defensive rebound by Z. LaVine,
2:27.0, , ,24-10,+2,N. Vučević makes 2-pt layup from 1 ft (assist by T. Craig),
2:16.0,Miami full timeout, ,24-10, , ,
2:16.0,B. Adebayo enters the game for H. Highsmith, ,24-10, , ,
2:16.0,C. Martin enters the game for K. Love, ,24-10, , ,
2:16.0, , ,24-10, ,A. Drummond enters the game for Z. LaVine,
2:16.0, , ,24-10, ,P. Williams enters the game for N. Vučević,
2:01.0,J. Richardson misses 3-pt jump shot from 25 ft, ,24-10, , ,
1:59.0, , ,24-10, ,Defensive rebound by T. Craig,
1:56.0, , ,24-10, ,Shooting foul by J. Jaquez (drawn by A. Dosunmu),
1:56.0, , ,24-11,+1,A. Dosunmu makes free throw 1 of 2,
1:56.0, , ,24-12,+1,A. Dosunmu makes free throw 2 of 2,
1:37.0,Turnover by C. Martin (bad pass), ,24-12, , ,
1:37.0,D. Robinson enters the game for J. Butler, ,24-12, , ,
1:15.0, , ,24-12, ,P. Williams misses 2-pt layup from 3 ft,
1:13.0, , ,24-12, ,Offensive rebound by A. Drummond,
1:13.0, , ,24-14,+2,A. Drummond makes 2-pt dunk at rim,
1:01.0,D. Robinson misses 2-pt layup from 5 ft (block by T. Craig), ,24-14, , ,
1:01.0, , ,24-14, ,Defensive rebound by T. Craig,
0:55.0, , ,24-14, ,J. Carter misses 3-pt jump shot from 25 ft,
0:53.0,Defensive rebound by C. Martin, ,24-14, , ,
0:39.0,J. Jaquez misses 2-pt layup from 2 ft (block by A. Drummond), ,24-14, , ,
0:36.0,Offensive rebound by J. Jaquez, ,24-14, , ,
0:36.0,J. Jaquez misses 2-pt layup at rim, ,24-14, , ,
0:35.0, , ,24-14, ,Defensive rebound by A. Drummond,
0:28.0, , ,24-14, ,A. Dosunmu misses 3-pt jump shot from 26 ft,
0:24.0,Defensive rebound by B. Adebayo, ,24-14, , ,
0:24.0,Personal foul by A. Drummond (drawn by B. Adebayo), ,24-14, , ,
0:00.0,B. Adebayo makes 2-pt jump shot from 16 ft,+2,26-14, , ,
0:00.0,Instant Replay (Request: Ruling Stands), ,26-14, , ,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Chicago,
12:00.0,Start of 2nd quarter,
11:42.0, , ,26-14, ,P. Williams misses 3-pt jump shot from 25 ft,
11:39.0,Defensive rebound by D. Robinson, ,26-14, , ,
11:25.0,C. Martin misses 3-pt jump shot from 25 ft, ,26-14, , ,
11:22.0, , ,26-14, ,Defensive rebound by A. Dosunmu,
11:15.0, , ,26-16,+2,D. DeRozan makes 2-pt jump shot from 5 ft (assist by A. Dosunmu),
10:57.0,B. Adebayo makes 2-pt jump shot from 10 ft (assist by D. Robinson),+2,28-16, , ,
10:45.0, , ,28-16, ,Personal foul by J. Jaquez (drawn by D. DeRozan),
10:40.0, , ,28-19,+3,J. Carter makes 3-pt jump shot from 26 ft (assist by D. DeRozan),
10:19.0,Turnover by J. Jaquez (lost ball; steal by P. Williams), ,28-19, , ,
10:16.0, , ,28-19, ,Turnover by A. Drummond (bad pass; steal by J. Richardson),
