A,B,C,D,E,F,Event
1st Q
Time,Atlanta,,Score,,Miami,
12:00.0,Jump ball: C. Capela vs. B. Adebayo (K. Lowry gains possession),
11:38.0, , ,0-0, ,T. Herro misses 3-pt jump shot from 27 ft,
11:35.0, , ,0-0, ,Offensive rebound by J. Jaquez,
11:33.0, , ,0-2,+2,J. Jaquez makes 2-pt layup from 7 ft,
11:14.0,G. Mathews misses 3-pt jump shot from 22 ft, ,0-2, , ,
11:11.0, , ,0-2, ,Defensive rebound by T. Herro,
10:53.0, , ,0-4,+2,T. Herro makes 2-pt layup from 5 ft,
10:28.0,S. Bey misses 3-pt jump shot from 25 ft, ,0-4, , ,
10:27.0, , ,0-4, ,Defensive rebound by Team,
10:13.0, , ,0-7,+3,K. Lowry makes 3-pt jump shot from 27 ft (assist by C. Martin),
9:57.0,Turnover by C. Capela (bad pass), ,0-7, , ,
9:48.0, , ,0-9,+2,T. Herro makes 2-pt jump shot from 11 ft,
9:41.0,Atlanta full timeout, ,0-9, , ,
9:39.0,Personal foul by J. Jaquez (drawn by T. Young), ,0-9, , ,
9:32.0,Def 3 sec tech foul by Team, ,0-9, , ,
9:32.0,T. Young makes technical free throw,+1,1-9, , ,
9:24.0,G. Mathews misses 3-pt jump shot from 22 ft, ,1-9, , ,
9:21.0, , ,1-9, ,Defensive rebound by C. Martin,
9:14.0, , ,1-11,+2,B. Adebayo makes 2-pt jump shot from 19 ft,
9:00.0,S. Bey makes 2-pt layup from 4 ft (assist by T. Young),+2,3-11, , ,
8:42.0, , ,3-11, ,Def 3 sec tech foul by Team,
8:42.0, , ,3-12,+1,T. Herro makes technical free throw,
8:33.0, , ,3-14,+2,C. Martin makes 2-pt layup from 6 ft (assist by T. Herro),
8:33.0, , ,3-14, ,Shooting foul by G. Mathews (drawn by C. Martin),
8:33.0, , ,3-15,+1,C. Martin makes free throw 1 of 1,
8:17.0,S. Bey misses 3-pt jump shot from 22 ft, ,3-15, , ,
8:13.0, , ,3-15, ,Defensive rebound by K. Lowry,
8:13.0, , ,3-15, ,Turnover by K. Lowry (bad pass),
7:56.0,T. Young makes 3-pt jump shot from 29 ft,+3,6-15, , ,
7:44.0, , ,6-15, ,C. Martin misses 2-pt jump shot from 18 ft,
7:41.0,Defensive rebound by S. Bey, ,6-15, , ,
7:32.0,T. Young makes 2-pt jump shot from 19 ft (assist by D. Murray),+2,8-15, , ,
7:14.0, , ,8-17,+2,B. Adebayo makes 2-pt jump shot from 13 ft,
7:03.0,S. Bey misses 2-pt layup from 4 ft, ,8-17, , ,
6:58.0, , ,8-17, ,Defensive rebound by T. Herro,
6:55.0, , ,8-17, ,Turnover by T. Herro (bad pass; steal by S. Bey),
6:53.0,Turnover by T. Young (bad pass; steal by T. Herro), ,8-17, , ,
6:50.0, , ,8-17, ,T. Herro misses 3-pt jump shot from 26 ft,
6:49.0,Defensive rebound by T. Young, ,8-17, , ,
6:41.0,S. Bey misses 3-pt jump shot from 23 ft, ,8-17, , ,
6:39.0, , ,8-17, ,Defensive rebound by K. Lowry,
6:28.0, , ,8-17, ,Shooting foul by C. Capela (drawn by B. Adebayo),
6:28.0, , ,8-17, ,B. Adebayo misses free throw 1 of 2,
6:28.0, , ,8-17, ,Offensive rebound by Team,
6:28.0,B. Bogdanović enters the game for S. Bey, ,8-17, , ,
6:28.0,P. Mills enters the game for G. Mathews, ,8-17, , ,
6:28.0,O. Okongwu enters the game for T. Young, ,8-17, , ,
6:28.0, , ,8-17, ,B. Adebayo misses free throw 2 of 2,
6:26.0,Defensive rebound by C. Capela, ,8-17, , ,
6:14.0,D. Murray makes 3-pt jump shot from 26 ft (assist by P. Mills),+3,11-17, , ,
6:00.0, , ,11-20,+3,T. Herro makes 3-pt jump shot from 25 ft (assist by C. Martin),
5:47.0,D. Murray makes 2-pt jump shot from 13 ft,+2,13-20, , ,
5:35.0, , ,13-20, ,B. Adebayo misses 3-pt jump shot from 26 ft,
5:32.0,Defensive rebound by D. Murray, ,13-20, , ,
5:22.0,B. Bogdanović misses 3-pt jump shot from 23 ft, ,13-20, , ,
5:18.0, , ,13-20, ,Defensive rebound by T. Herro,
5:18.0, , ,13-20, ,K. Love enters the game for B. Adebayo,
5:18.0, , ,13-20, ,J. Richardson enters the game for J. Jaquez,
5:02.0, , ,13-20, ,J. Richardson misses 3-pt jump shot from 25 ft,
5:00.0,Defensive rebound by D. Murray, ,13-20, , ,
4:57.0,D. Murray makes 2-pt layup from 4 ft,+2,15-20, , ,
4:45.0, , ,15-23,+3,T. Herro makes 3-pt jump shot from 28 ft,
4:26.0,D. Murray makes 2-pt layup from 4 ft,+2,17-23, , ,
4:26.0,Shooting foul by K. Love (drawn by D. Murray), ,17-23, , ,
4:26.0,D. Murray misses free throw 1 of 1, ,17-23, , ,
4:21.0, , ,17-23, ,Defensive rebound by C. Martin,
4:09.0, , ,17-23, ,K. Love misses 3-pt jump shot from 26 ft,
4:06.0, , ,17-23, ,Offensive rebound by C. Martin,
4:05.0, , ,17-23, ,K. Lowry misses 3-pt jump shot from 27 ft,
4:03.0,Defensive rebound by Team, ,17-23, , ,
3:52.0,O. Okongwu misses 3-pt jump shot from 24 ft, ,17-23, , ,
3:51.0, , ,17-23, ,Defensive rebound by K. Lowry,
3:51.0, , ,17-23, ,Personal foul by P. Mills (drawn by K. Lowry),
