A,B,C,D,E,F,Event
2:31.0,K. Lowry misses 3-pt jump shot from 25 ft, ,26-22, , ,
2:29.0, , ,26-22, ,Defensive rebound by P. Siakam,
2:14.0, , ,26-24,+2,G. Trent makes 2-pt jump shot from 20 ft (assist by O. Anunoby),
2:02.0,J. Richardson makes 2-pt jump shot from 18 ft,+2,28-24, , ,
1:52.0, , ,28-24, ,Personal foul by J. Jaquez (drawn by P. Siakam),
1:52.0,D. Robinson enters the game for K. Lowry, ,28-24, , ,
1:52.0, , ,28-24, ,S. Barnes enters the game for O. Anunoby,
1:52.0, , ,28-24, ,M. Flynn enters the game for D. Schröder,
1:47.0, , ,28-24, ,P. Siakam misses 2-pt layup from 2 ft,
1:44.0,Defensive rebound by K. Love, ,28-24, , ,
1:36.0,J. Jaquez makes 2-pt jump shot from 5 ft (assist by K. Love),+2,30-24, , ,
1:14.0, , ,30-24, ,Shooting foul by J. Butler (drawn by P. Siakam),
1:14.0, , ,30-25,+1,P. Siakam makes free throw 1 of 2,
1:14.0,C. Martin enters the game for J. Butler, ,30-25, , ,
1:14.0, , ,30-26,+1,P. Siakam makes free throw 2 of 2,
0:56.0,C. Martin makes 2-pt layup from 1 ft (assist by K. Love),+2,32-26, , ,
0:52.0, , ,32-26, ,Shooting foul by J. Richardson (drawn by P. Siakam),
0:52.0, , ,32-27,+1,P. Siakam makes free throw 1 of 2,
0:52.0, , ,32-28,+1,P. Siakam makes free throw 2 of 2,
0:44.0,J. Jaquez makes 2-pt dunk from 1 ft (assist by D. Robinson),+2,34-28, , ,
0:35.0, , ,34-30,+2,P. Achiuwa makes 2-pt dunk from 1 ft (assist by P. Siakam),
0:28.0,Shooting foul by M. Flynn (drawn by K. Love), ,34-30, , ,
0:28.0,K. Love makes free throw 1 of 3,+1,35-30, , ,
0:28.0,K. Love makes free throw 2 of 3,+1,36-30, , ,
0:28.0,K. Love makes free throw 3 of 3,+1,37-30, , ,
0:12.0, , ,37-30, ,Shooting foul by K. Love (drawn by P. Siakam),
0:12.0, , ,37-31,+1,P. Siakam makes free throw 1 of 2,
0:12.0, , ,37-32,+1,P. Siakam makes free throw 2 of 2,
0:01.0,J. Jaquez misses 2-pt jump shot from 6 ft, ,37-32, , ,
0:01.0, , ,37-32, ,Defensive rebound by S. Barnes,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Toronto,
12:00.0,Start of 2nd quarter,
11:44.0,D. Robinson misses 3-pt jump shot from 26 ft, ,37-32, , ,
11:43.0, , ,37-32, ,Defensive rebound by S. Barnes,
11:36.0, , ,37-32, ,P. Achiuwa misses 3-pt jump shot from 26 ft,
11:33.0,Defensive rebound by D. Robinson, ,37-32, , ,
11:24.0,J. Jaquez makes 2-pt layup from 7 ft (assist by O. Robinson),+2,39-32, , ,
11:08.0, , ,39-32, ,G. Trent misses 3-pt jump shot from 25 ft,
11:07.0, , ,39-32, ,Offensive rebound by Team,
