A,B,C,D,E,F,Event
0:47.0, , ,30-23, ,Defensive rebound by R. Westbrook,
0:40.0, , ,30-23, ,R. Westbrook misses 2-pt layup from 2 ft (block by K. Love),
0:36.0,Defensive rebound by B. Adebayo, ,30-23, , ,
0:34.0,Shooting foul by D. Theis (drawn by K. Love), ,30-23, , ,
0:34.0,K. Love makes free throw 1 of 2,+1,31-23, , ,
0:34.0,K. Love makes free throw 2 of 2,+1,32-23, , ,
0:19.0, , ,32-23, ,P. George misses 3-pt jump shot from 25 ft,
0:15.0,Defensive rebound by B. Adebayo, ,32-23, , ,
0:02.0,D. Robinson makes 3-pt jump shot from 28 ft (assist by J. Jaquez),+3,35-23, , ,
0:01.0, , ,35-23, ,Turnover by D. Theis (bad pass; steal by J. Jaquez),
0:00.0,J. Jaquez misses 3-pt jump shot from 48 ft, ,35-23, , ,
0:00.0,Offensive rebound by Team, ,35-23, , ,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,LA Clippers,
12:00.0,Start of 2nd quarter,
11:35.0, , ,35-25,+2,N. Powell makes 2-pt jump shot from 6 ft (assist by J. Harden),
11:21.0,K. Love makes 3-pt jump shot from 25 ft (assist by D. Robinson),+3,38-25, , ,
11:01.0, , ,38-25, ,Turnover by J. Harden (traveling),
10:47.0,B. Adebayo misses 2-pt jump shot from 5 ft, ,38-25, , ,
10:46.0,Offensive rebound by B. Adebayo, ,38-25, , ,
10:46.0,Shooting foul by D. Theis (drawn by B. Adebayo), ,38-25, , ,
10:46.0,B. Adebayo misses free throw 1 of 2, ,38-25, , ,
10:46.0,Offensive rebound by Team, ,38-25, , ,
10:46.0, , ,38-25, ,I. Zubac enters the game for D. Theis,
10:46.0,B. Adebayo makes free throw 2 of 2,+1,39-25, , ,
10:32.0, , ,39-25, ,J. Harden misses 3-pt jump shot from 25 ft,
10:28.0,Defensive rebound by B. Adebayo, ,39-25, , ,
10:25.0,K. Love misses 3-pt jump shot from 26 ft, ,39-25, , ,
10:22.0, , ,39-25, ,Defensive rebound by I. Zubac,
10:13.0, , ,39-27,+2,A. Coffey makes 2-pt jump shot from 10 ft (assist by J. Harden),
9:52.0,J. Jaquez makes 2-pt jump shot from 9 ft,+2,41-27, , ,
9:48.0, , ,41-27, ,Personal foul by R. Hampton (drawn by J. Harden),
9:38.0,Violation by Team (kicked ball), ,41-27, , ,
9:25.0, , ,41-30,+3,N. Powell makes 3-pt jump shot from 23 ft (assist by A. Coffey),
9:07.0,Def 3 sec tech foul by Team, ,41-30, , ,
9:07.0,D. Robinson makes technical free throw,+1,42-30, , ,
8:52.0,R. Hampton misses 3-pt jump shot from 24 ft, ,42-30, , ,
8:50.0, , ,42-30, ,Defensive rebound by J. Harden,
