A,B,C,D,E,F,Event
2:14.0, , ,28-24, ,Violation by Team (delay of game),
1:59.0, , ,28-24, ,D. Brooks misses 3-pt jump shot from 25 ft,
1:55.0,Defensive rebound by T. Herro, ,28-24, , ,
1:42.0,H. Highsmith misses 3-pt jump shot from 26 ft, ,28-24, , ,
1:38.0, , ,28-24, ,Defensive rebound by D. Brooks,
1:35.0, , ,28-24, ,K. Chandler misses 2-pt jump shot from 7 ft,
1:33.0, , ,28-24, ,Offensive rebound by X. Tillman,
1:27.0, , ,28-26,+2,B. Clarke makes 2-pt layup from 9 ft,
1:27.0, , ,28-26, ,Shooting foul by D. Dedmon (drawn by B. Clarke),
1:27.0,B. Adebayo enters the game for D. Dedmon, ,28-26, , ,
1:27.0, , ,28-27,+1,B. Clarke makes free throw 1 of 1,
1:13.0,Shooting foul by V. Williams (drawn by M. Strus), ,28-27, , ,
1:13.0,M. Strus misses free throw 1 of 3, ,28-27, , ,
1:13.0,Offensive rebound by Team, ,28-27, , ,
1:13.0,M. Strus makes free throw 2 of 3,+1,29-27, , ,
1:13.0,M. Strus makes free throw 3 of 3,+1,30-27, , ,
0:55.0, , ,30-27, ,K. Chandler misses 3-pt jump shot from 27 ft,
0:51.0, , ,30-27, ,Offensive rebound by Team,
0:40.0, , ,30-27, ,D. Brooks misses 3-pt jump shot from 26 ft,
0:38.0, , ,30-27, ,Offensive rebound by Team,
0:34.0, , ,30-27, ,Turnover by D. Brooks (lost ball; steal by H. Highsmith),
0:28.0,Personal foul by B. Clarke (drawn by B. Adebayo), ,30-27, , ,
0:28.0,B. Adebayo makes free throw 1 of 2,+1,31-27, , ,
0:28.0, , ,31-27, ,T. Jones enters the game for V. Williams,
0:28.0,B. Adebayo makes free throw 2 of 2,+1,32-27, , ,
0:03.0, , ,32-27, ,D. Brooks misses 3-pt jump shot from 25 ft,
0:01.0,Defensive rebound by B. Adebayo, ,32-27, , ,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Memphis,
