A,B,C,D,E,F,Event
1st Q
Time,Cleveland,,Score,,Miami,
12:00.0,Jump ball: J. Allen vs. B. Adebayo (E. Mobley gains possession),
11:38.0,D. Garland makes 3-pt jump shot from 29 ft (assist by E. Mobley),+3,3-0, , ,
11:21.0, , ,3-2,+2,K. Love makes 2-pt layup from 2 ft (assist by B. Adebayo),
11:07.0,Personal foul by B. Adebayo (drawn by D. Mitchell), ,3-2, , ,
10:57.0,D. Mitchell misses 2-pt jump shot from 16 ft (block by B. Adebayo), ,3-2, , ,
10:57.0, , ,3-2, ,Defensive rebound by Team,
10:57.0,Loose ball foul by D. Mitchell (drawn by B. Adebayo), ,3-2, , ,
10:45.0, , ,3-4,+2,K. Love makes 2-pt jump shot from 16 ft (assist by G. Vincent),Lead change
10:20.0,E. Mobley misses 3-pt jump shot from 24 ft, ,3-4, , ,
10:17.0, , ,3-4, ,Defensive rebound by J. Butler,
10:01.0, , ,3-4, ,Turnover by J. Butler (bad pass; steal by D. Garland),
9:58.0,Offensive foul by I. Okoro (drawn by K. Love), ,3-4, , ,
9:58.0,Turnover by I. Okoro (offensive foul), ,3-4, , ,
9:46.0, , ,3-4, ,J. Butler misses 3-pt jump shot from 24 ft,
9:41.0,Defensive rebound by D. Mitchell, ,3-4, , ,
9:31.0,Turnover by J. Allen (lost ball; steal by G. Vincent), ,3-4, , ,
9:24.0, , ,3-4, ,T. Herro misses 2-pt layup from 6 ft,
9:21.0,Defensive rebound by E. Mobley, ,3-4, , ,
9:18.0,J. Allen makes 2-pt dunk from 1 ft (assist by D. Mitchell),+2,5-4, , ,Lead change
9:04.0, , ,5-4, ,Turnover by B. Adebayo (lost ball; steal by J. Allen),
9:01.0,D. Mitchell misses 3-pt jump shot from 27 ft, ,5-4, , ,
8:57.0, , ,5-4, ,Defensive rebound by K. Love,
8:52.0, , ,5-6,+2,B. Adebayo makes 2-pt dunk from 2 ft,Lead change
8:35.0,I. Okoro makes 3-pt jump shot from 24 ft (assist by E. Mobley),+3,8-6, , ,Lead change
8:25.0, , ,8-8,+2,J. Butler makes 2-pt layup from 1 ft (assist by T. Herro),Tie
8:07.0,Offensive foul by E. Mobley (drawn by K. Love), ,8-8, , ,
8:07.0,Turnover by E. Mobley (offensive foul), ,8-8, , ,
8:02.0, , ,8-8, ,J. Butler misses 2-pt dunk from 2 ft (block by J. Allen),
8:00.0, , ,8-8, ,Offensive rebound by J. Butler,
7:59.0, , ,8-8, ,Shooting foul by E. Mobley (drawn by J. Butler),
7:59.0, , ,8-9,+1,J. Butler makes free throw 1 of 2,Lead change
7:59.0,L. Stevens enters the game for E. Mobley, ,8-9, , ,
7:59.0, , ,8-10,+1,J. Butler makes free throw 2 of 2,
7:44.0,I. Okoro misses 3-pt jump shot from 23 ft, ,8-10, , ,
7:40.0, , ,8-10, ,Defensive rebound by K. Love,
7:36.0, , ,8-10, ,Turnover by K. Love (bad pass; steal by L. Stevens),
7:31.0,D. Garland makes 2-pt layup from 6 ft,+2,10-10, , ,Tie
7:23.0, , ,10-12,+2,B. Adebayo makes 2-pt jump shot from 5 ft (assist by J. Butler),
7:23.0, , ,10-12, ,Shooting foul by L. Stevens (drawn by B. Adebayo),
7:23.0, , ,10-12, ,B. Adebayo misses free throw 1 of 1,
7:21.0,Defensive rebound by J. Allen, ,10-12, , ,
7:08.0,L. Stevens misses 3-pt jump shot from 24 ft, ,10-12, , ,
7:04.0, , ,10-12, ,Defensive rebound by K. Love,
6:49.0, , ,10-14,+2,T. Herro makes 2-pt jump shot from 6 ft,
6:36.0, , ,10-14, ,Miami full timeout,
6:30.0,Turnover by D. Mitchell (bad pass), ,10-14, , ,
6:11.0, , ,10-16,+2,B. Adebayo makes 2-pt dunk from 5 ft (assist by G. Vincent),
5:53.0,D. Garland makes 2-pt jump shot from 7 ft,+2,12-16, , ,
5:28.0, , ,12-16, ,Turnover by T. Herro (lost ball; steal by L. Stevens),
5:17.0,I. Okoro makes 2-pt layup from 3 ft (assist by J. Allen),+2,14-16, , ,
5:04.0, , ,14-18,+2,T. Herro makes 2-pt layup from 2 ft (assist by J. Butler),
4:51.0,Flagrant foul type 1 by B. Adebayo (drawn by D. Mitchell), ,14-18, , ,
4:51.0,Instant Replay (Request: Ruling Stands), ,14-18, , ,
4:51.0,D. Mitchell makes flagrant free throw 1 of 3,+1,15-18, , ,
4:51.0,D. Mitchell makes flagrant free throw 2 of 3,+1,16-18, , ,
4:51.0,D. Mitchell makes flagrant free throw 3 of 3,+1,17-18, , ,
4:51.0,C. LeVert enters the game for D. Garland, ,17-18, , ,
4:51.0,R. Rubio enters the game for I. Okoro, ,17-18, , ,
4:51.0, , ,17-18, ,V. Oladipo enters the game for B. Adebayo,
4:51.0, , ,17-18, ,C. Zeller enters the game for T. Herro,
4:43.0,D. Mitchell misses 2-pt layup from 6 ft (block by J. Butler), ,17-18, , ,
4:43.0,Offensive rebound by Team, ,17-18, , ,
4:41.0,D. Mitchell misses 2-pt jump shot from 17 ft, ,17-18, , ,
4:36.0, , ,17-18, ,Defensive rebound by K. Love,
4:33.0, , ,17-18, ,Shooting foul by J. Allen (drawn by C. Zeller),
4:33.0, , ,17-18, ,C. Zeller misses free throw 1 of 2,
4:33.0, , ,17-18, ,Offensive rebound by Team,
4:33.0, , ,17-19,+1,C. Zeller makes free throw 2 of 2,
4:17.0,J. Allen makes 2-pt jump shot from 13 ft (assist by R. Rubio),+2,19-19, , ,Tie
4:03.0, , ,19-19, ,Turnover by V. Oladipo (step out of bounds),
3:44.0,J. Allen misses 2-pt jump shot from 14 ft, ,19-19, , ,
3:39.0, , ,19-19, ,Defensive rebound by C. Zeller,
3:30.0, , ,19-19, ,K. Love misses 2-pt hook shot from 10 ft,
3:27.0,Defensive rebound by J. Allen, ,19-19, , ,
3:18.0,R. Rubio makes 3-pt jump shot from 26 ft (assist by D. Mitchell),+3,22-19, , ,Lead change
2:59.0, , ,22-19, ,Personal foul by R. Rubio (drawn by J. Butler),
2:59.0,Cleveland full timeout, ,22-19, , ,
2:59.0,D. Garland enters the game for D. Mitchell, ,22-19, , ,
2:59.0, , ,22-19, ,C. Martin enters the game for K. Love,
2:59.0, , ,22-19, ,M. Strus enters the game for G. Vincent,
2:59.0, , ,22-20,+1,J. Butler makes free throw 1 of 2,
2:59.0, , ,22-20, ,J. Butler misses free throw 2 of 2,
2:57.0,Defensive rebound by C. LeVert, ,22-20, , ,
2:43.0,D. Garland misses 3-pt jump shot from 27 ft, ,22-20, , ,
2:38.0, , ,22-20, ,Defensive rebound by C. Zeller,
2:21.0, , ,22-23,+3,M. Strus makes 3-pt jump shot from 25 ft (assist by C. Zeller),Lead change
2:08.0,R. Rubio misses 2-pt jump shot from 11 ft, ,22-23, , ,
2:05.0, , ,22-23, ,Defensive rebound by C. Zeller,
1:43.0, , ,22-23, ,M. Strus misses 3-pt jump shot from 26 ft,
1:41.0, , ,22-23, ,Offensive rebound by J. Butler,
1:28.0, , ,22-25,+2,J. Butler makes 2-pt jump shot from 11 ft,
1:07.0,Shooting foul by M. Strus (drawn by D. Garland), ,22-25, , ,
1:07.0,D. Garland makes free throw 1 of 2,+1,23-25, , ,
1:07.0, , ,23-25, ,T. Herro enters the game for J. Butler,
1:07.0,D. Garland makes free throw 2 of 2,+1,24-25, , ,
0:47.0, , ,24-28,+3,V. Oladipo makes 3-pt jump shot from 25 ft (assist by T. Herro),
0:35.0,J. Allen makes 2-pt dunk from 4 ft,+2,26-28, , ,
0:24.0, , ,26-28, ,Turnover by T. Herro (bad pass),
0:06.0,J. Allen misses 2-pt hook shot from 4 ft, ,26-28, , ,
0:05.0, , ,26-28, ,Defensive rebound by Team,
0:05.0,I. Okoro enters the game for R. Rubio, ,26-28, , ,
0:00.0, , ,26-30,+2,V. Oladipo makes 2-pt layup from 2 ft,
0:00.0, , ,26-30, ,Instant Replay (Request: Ruling Stands),
0:00.0,End of 1st quarter,
2nd Q,
Time,Cleveland,,Score,,Miami,
12:00.0,Start of 2nd quarter,
11:41.0, , ,26-30, ,M. Strus misses 3-pt jump shot from 23 ft,
11:37.0, , ,26-30, ,Offensive rebound by C. Zeller,
11:35.0, , ,26-30, ,Shooting foul by D. Garland (drawn by T. Herro),
11:35.0, , ,26-31,+1,T. Herro makes free throw 1 of 2,
11:35.0, , ,26-32,+1,T. Herro makes free throw 2 of 2,
11:27.0,C. LeVert misses 3-pt jump shot from 26 ft, ,26-32, , ,
11:24.0, , ,26-32, ,Defensive rebound by C. Martin,
11:13.0, , ,26-32, ,Offensive foul by C. Zeller (drawn by C. LeVert),
11:13.0, , ,26-32, ,Turnover by C. Zeller (offensive foul),
10:57.0,E. Mobley misses 2-pt hook shot from 8 ft, ,26-32, , ,
10:55.0, , ,26-32, ,Defensive rebound by C. Zeller,
10:47.0, , ,26-32, ,Turnover by C. Zeller (bad pass),
10:30.0,E. Mobley makes 2-pt layup from 4 ft (assist by D. Garland),+2,28-32, , ,
10:30.0,Shooting foul by C. Zeller (drawn by E. Mobley), ,28-32, , ,
10:30.0,E. Mobley makes free throw 1 of 1,+1,29-32, , ,
10:19.0, , ,29-32, ,M. Strus misses 3-pt jump shot from 27 ft,
10:15.0,Defensive rebound by C. LeVert, ,29-32, , ,
10:11.0,L. Stevens makes 2-pt dunk from 4 ft (assist by E. Mobley),+2,31-32, , ,
9:55.0, , ,31-32, ,T. Herro misses 2-pt jump shot from 8 ft,
9:55.0,Defensive rebound by L. Stevens, ,31-32, , ,
9:44.0,L. Stevens makes 2-pt jump shot from 5 ft (assist by D. Garland),+2,33-32, , ,Lead change
9:44.0, , ,33-32, ,Miami full timeout,
9:44.0, , ,33-32, ,B. Adebayo enters the game for C. Zeller,
9:30.0, , ,33-34,+2,B. Adebayo makes 2-pt layup from 2 ft (assist by V. Oladipo),Lead change
9:07.0,D. Garland misses 2-pt layup from 6 ft, ,33-34, , ,
9:03.0, , ,33-34, ,Defensive rebound by T. Herro,
8:52.0, , ,33-37,+3,M. Strus makes 3-pt jump shot from 23 ft (assist by V. Oladipo),
8:30.0,R. Rubio makes 2-pt jump shot from 13 ft (assist by E. Mobley),+2,35-37, , ,
8:13.0, , ,35-37, ,Turnover by B. Adebayo (bad pass; steal by E. Mobley),
8:07.0,C. LeVert makes 3-pt jump shot from 26 ft (assist by R. Rubio),+3,38-37, , ,Lead change
7:48.0, , ,38-39,+2,B. Adebayo makes 2-pt jump shot from 11 ft,Lead change
7:37.0,Personal foul by M. Strus (drawn by C. LeVert), ,38-39, , ,
7:37.0,D. Mitchell enters the game for D. Garland, ,38-39, , ,
7:25.0,Shooting foul by B. Adebayo (drawn by E. Mobley), ,38-39, , ,
7:25.0,E. Mobley makes free throw 1 of 2,+1,39-39, , ,Tie
7:25.0,E. Mobley makes free throw 2 of 2,+1,40-39, , ,Lead change
7:25.0, , ,40-39, ,C. Zeller enters the game for B. Adebayo,
7:00.0, , ,40-39, ,M. Strus misses 3-pt jump shot from 25 ft,
6:57.0,Defensive rebound by C. LeVert, ,40-39, , ,
6:51.0,R. Rubio misses 2-pt jump shot from 10 ft, ,40-39, , ,
6:49.0,Offensive rebound by E. Mobley, ,40-39, , ,
6:47.0,E. Mobley misses 2-pt layup from 4 ft (block by C. Martin), ,40-39, , ,
6:47.0, , ,40-39, ,Defensive rebound by T. Herro,
6:43.0, , ,40-42,+3,T. Herro makes 3-pt jump shot from 26 ft,Lead change
6:34.0,C. LeVert misses 3-pt jump shot from 26 ft, ,40-42, , ,
6:31.0, , ,40-42, ,Defensive rebound by T. Herro,
6:29.0, , ,40-44,+2,C. Martin makes 2-pt layup from 2 ft (assist by T. Herro),
6:28.0,Cleveland full timeout, ,40-44, , ,
6:28.0,I. Okoro enters the game for L. Stevens, ,40-44, , ,
6:11.0,D. Mitchell makes 2-pt hook shot from 7 ft,+2,42-44, , ,
