A,B,C,D,E,F,Event
1:43.0, , ,22-23, ,Offensive rebound by R. Westbrook,
1:43.0, , ,22-23, ,R. Westbrook misses 2-pt layup from 4 ft,
1:37.0,Defensive rebound by M. Strus, ,22-23, , ,
1:33.0,Turnover by T. Herro (bad pass; steal by D. Schröder), ,22-23, , ,
1:28.0, , ,22-23, ,M. Christie misses 3-pt jump shot from 23 ft,
1:25.0,Defensive rebound by B. Adebayo, ,22-23, , ,
1:14.0,M. Strus misses 2-pt jump shot from 4 ft, ,22-23, , ,
1:14.0, , ,22-23, ,Defensive rebound by Team,
1:14.0, , ,22-23, ,K. Nunn enters the game for M. Christie,
1:14.0,Jump ball: T. Brown vs. M. Strus (K. Nunn gains possession),
1:01.0, , ,22-23, ,K. Nunn misses 2-pt layup from 6 ft,
0:51.0,Defensive rebound by G. Vincent, ,22-23, , ,
0:50.0,T. Herro misses 2-pt jump shot from 17 ft, ,22-23, , ,
0:50.0, , ,22-23, ,Defensive rebound by K. Nunn,
0:47.0, , ,22-26,+3,K. Nunn makes 3-pt jump shot from 26 ft,
0:30.0,B. Adebayo misses 2-pt layup from 3 ft, ,22-26, , ,
0:29.0, , ,22-26, ,Defensive rebound by T. Brown,
0:21.0, , ,22-28,+2,D. Schröder makes 2-pt layup from 3 ft,
0:21.0, , ,22-28, ,Shooting foul by M. Strus (drawn by D. Schröder),
0:21.0, , ,22-29,+1,D. Schröder makes free throw 1 of 1,
0:05.0,Shooting foul by R. Westbrook (drawn by V. Oladipo), ,22-29, , ,
0:05.0,V. Oladipo misses free throw 1 of 2, ,22-29, , ,
0:05.0,Offensive rebound by Team, ,22-29, , ,
0:05.0,V. Oladipo makes free throw 2 of 2,+1,23-29, , ,
0:00.0, , ,23-32,+3,W. Gabriel makes 3-pt jump shot from 22 ft (assist by R. Westbrook),
0:00.0, , ,23-32, ,Instant Replay (Request: Ruling Stands),
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,LA Lakers,
12:00.0,Start of 2nd quarter,
11:41.0,T. Herro misses 3-pt jump shot from 26 ft, ,23-32, , ,
11:39.0, , ,23-32, ,Defensive rebound by R. Westbrook,
11:36.0, , ,23-32, ,Turnover by R. Westbrook (bad pass),
11:24.0,M. Strus misses 3-pt jump shot from 25 ft, ,23-32, , ,
11:21.0,Offensive rebound by V. Oladipo, ,23-32, , ,
11:19.0,B. Adebayo makes 2-pt dunk from 3 ft (assist by V. Oladipo),+2,25-32, , ,
11:02.0, , ,25-32, ,M. Christie misses 3-pt jump shot from 23 ft,
11:02.0, , ,25-32, ,Offensive rebound by T. Brown,
10:57.0, , ,25-35,+3,R. Westbrook makes 3-pt jump shot from 30 ft (assist by D. Schröder),
10:39.0,Personal foul by M. Christie (drawn by B. Adebayo), ,25-35, , ,
10:31.0,T. Herro misses 2-pt layup from 4 ft, ,25-35, , ,
10:29.0, , ,25-35, ,Defensive rebound by W. Gabriel,
10:24.0, , ,25-35, ,D. Schröder misses 3-pt jump shot from 29 ft,
10:24.0,Defensive rebound by Team, ,25-35, , ,
10:24.0, , ,25-35, ,K. Nunn enters the game for M. Christie,
10:06.0,B. Adebayo misses 2-pt layup from 5 ft (block by W. Gabriel), ,25-35, , ,
10:05.0,Offensive rebound by Team, ,25-35, , ,
9:58.0,T. Herro misses 2-pt jump shot from 17 ft, ,25-35, , ,
9:55.0, , ,25-35, ,Defensive rebound by W. Gabriel,
9:47.0, , ,25-37,+2,R. Westbrook makes 2-pt layup from 3 ft,
9:34.0,B. Adebayo makes 2-pt jump shot from 6 ft (assist by V. Oladipo),+2,27-37, , ,
9:13.0, , ,27-37, ,T. Brown misses 3-pt jump shot from 26 ft,
9:10.0,Defensive rebound by T. Herro, ,27-37, , ,
9:04.0,V. Oladipo misses 3-pt jump shot from 25 ft, ,27-37, , ,
9:01.0, , ,27-37, ,Defensive rebound by D. Schröder,
8:53.0, , ,27-37, ,D. Schröder misses 2-pt jump shot from 14 ft,
8:49.0,Defensive rebound by M. Strus, ,27-37, , ,
8:42.0,T. Herro makes 2-pt layup from 4 ft,+2,29-37, , ,
8:23.0, , ,29-40,+3,R. Westbrook makes 3-pt jump shot from 27 ft (assist by T. Brown),
8:07.0,Turnover by V. Oladipo (bad pass; steal by T. Brown), ,29-40, , ,
8:04.0, , ,29-40, ,Turnover by R. Westbrook (lost ball; steal by G. Vincent),
8:00.0,T. Herro misses 3-pt jump shot from 25 ft, ,29-40, , ,
7:57.0,Offensive rebound by B. Adebayo, ,29-40, , ,
7:53.0,G. Vincent misses 3-pt jump shot from 25 ft, ,29-40, , ,
7:50.0, , ,29-40, ,Defensive rebound by T. Brown,
7:46.0, , ,29-40, ,LA Lakers full timeout,
7:46.0, , ,29-40, ,P. Beverley enters the game for T. Brown,
7:46.0, , ,29-40, ,T. Bryant enters the game for W. Gabriel,
7:46.0, , ,29-40, ,J. Toscano-Anderson enters the game for R. Westbrook,
7:35.0, , ,29-42,+2,K. Nunn makes 2-pt jump shot from 9 ft (assist by T. Bryant),
7:18.0,G. Vincent makes 2-pt layup from 4 ft (assist by M. Strus),+2,31-42, , ,
7:18.0,Shooting foul by T. Bryant (drawn by G. Vincent), ,31-42, , ,
7:18.0,C. Martin enters the game for T. Herro, ,31-42, , ,
7:18.0,G. Vincent misses free throw 1 of 1, ,31-42, , ,
7:16.0, , ,31-42, ,Defensive rebound by T. Bryant,
7:03.0, , ,31-42, ,K. Nunn misses 3-pt jump shot from 27 ft,
7:00.0,Defensive rebound by V. Oladipo, ,31-42, , ,
6:46.0,B. Adebayo makes 2-pt hook shot from 8 ft (assist by M. Strus),+2,33-42, , ,
6:38.0, , ,33-42, ,Turnover by T. Bryant (lost ball; steal by M. Strus),
6:31.0,V. Oladipo makes 3-pt jump shot from 26 ft,+3,36-42, , ,
6:29.0, , ,36-42, ,LA Lakers full timeout,
6:29.0,J. Butler enters the game for B. Adebayo, ,36-42, , ,
6:29.0,D. Dedmon enters the game for V. Oladipo, ,36-42, , ,
6:29.0,K. Lowry enters the game for G. Vincent, ,36-42, , ,
6:29.0, , ,36-42, ,A. Reaves enters the game for K. Nunn,
6:29.0, , ,36-42, ,R. Westbrook enters the game for D. Schröder,
6:15.0, , ,36-42, ,J. Toscano-Anderson misses 3-pt jump shot from 23 ft,
6:10.0,Defensive rebound by D. Dedmon, ,36-42, , ,
6:04.0,K. Lowry misses 3-pt jump shot from 27 ft, ,36-42, , ,
6:03.0, , ,36-42, ,Defensive rebound by T. Bryant,
5:45.0, , ,36-44,+2,T. Bryant makes 2-pt dunk from 2 ft (assist by R. Westbrook),
5:29.0,C. Martin misses 2-pt layup from 4 ft, ,36-44, , ,
5:27.0, , ,36-44, ,Defensive rebound by R. Westbrook,
5:26.0, , ,36-44, ,Turnover by R. Westbrook (bad pass; steal by J. Butler),
5:24.0,Shooting foul by P. Beverley (drawn by C. Martin), ,36-44, , ,
5:24.0,C. Martin misses free throw 1 of 2, ,36-44, , ,
5:24.0,Offensive rebound by Team, ,36-44, , ,
5:24.0,C. Martin makes free throw 2 of 2,+1,37-44, , ,
5:02.0, , ,37-44, ,P. Beverley misses 2-pt jump shot from 20 ft,
4:59.0,Defensive rebound by D. Dedmon, ,37-44, , ,
4:51.0,C. Martin misses 2-pt jump shot from 23 ft, ,37-44, , ,
4:49.0,Offensive rebound by M. Strus, ,37-44, , ,
4:45.0,M. Strus makes 2-pt layup from 3 ft,+2,39-44, , ,
4:21.0, , ,39-46,+2,P. Beverley makes 2-pt jump shot from 8 ft,
4:02.0,J. Butler makes 2-pt jump shot from 7 ft,+2,41-46, , ,
3:50.0, , ,41-46, ,T. Bryant misses 2-pt layup from 5 ft,
3:46.0,Defensive rebound by D. Dedmon, ,41-46, , ,
3:45.0,Turnover by D. Dedmon (lost ball; steal by J. Toscano-Anderson), ,41-46, , ,
3:44.0, , ,41-46, ,Shooting foul by D. Dedmon (drawn by T. Bryant),
3:44.0, , ,41-47,+1,T. Bryant makes free throw 1 of 2,
3:44.0, , ,41-47, ,T. Brown enters the game for P. Beverley,
3:44.0, , ,41-47, ,D. Schröder enters the game for J. Toscano-Anderson,
3:44.0, , ,41-48,+1,T. Bryant makes free throw 2 of 2,
3:27.0,M. Strus misses 3-pt jump shot from 27 ft, ,41-48, , ,
3:23.0, , ,41-48, ,Defensive rebound by R. Westbrook,
3:18.0, , ,41-48, ,D. Schröder misses 2-pt layup from 5 ft (block by D. Dedmon),
3:17.0,Defensive rebound by K. Lowry, ,41-48, , ,
3:08.0,C. Martin misses 2-pt jump shot from 20 ft, ,41-48, , ,
3:08.0, , ,41-48, ,Defensive rebound by T. Bryant,
3:03.0, , ,41-48, ,Turnover by R. Westbrook (bad pass),
3:03.0,B. Adebayo enters the game for D. Dedmon, ,41-48, , ,
3:03.0,V. Oladipo enters the game for M. Strus, ,41-48, , ,
2:43.0,B. Adebayo makes 2-pt jump shot from 10 ft (assist by K. Lowry),+2,43-48, , ,
2:24.0, , ,43-48, ,R. Westbrook misses 2-pt jump shot from 17 ft,
2:22.0,Defensive rebound by C. Martin, ,43-48, , ,
2:12.0,J. Butler misses 2-pt jump shot from 7 ft, ,43-48, , ,
2:09.0, , ,43-48, ,Defensive rebound by T. Bryant,
1:58.0, , ,43-48, ,Shooting foul by C. Martin (drawn by D. Schröder),
1:58.0, , ,43-48, ,D. Schröder misses free throw 1 of 2,
1:58.0, , ,43-48, ,Offensive rebound by Team,
1:58.0,T. Herro enters the game for C. Martin, ,43-48, , ,
1:58.0, , ,43-48, ,W. Gabriel enters the game for T. Bryant,
1:58.0, , ,43-49,+1,D. Schröder makes free throw 2 of 2,
1:44.0,V. Oladipo misses 3-pt jump shot from 23 ft, ,43-49, , ,
1:41.0, , ,43-49, ,Defensive rebound by T. Brown,
1:28.0, , ,43-49, ,Turnover by R. Westbrook (bad pass; steal by B. Adebayo),
1:23.0,K. Lowry makes 3-pt jump shot from 24 ft (assist by T. Herro),+3,46-49, , ,
1:15.0, , ,46-49, ,Turnover by D. Schröder (bad pass),
1:03.0,B. Adebayo misses 2-pt hook shot from 6 ft, ,46-49, , ,
1:01.0,Offensive rebound by J. Butler, ,46-49, , ,
0:57.0,J. Butler misses 3-pt jump shot from 24 ft, ,46-49, , ,
0:53.0, , ,46-49, ,Defensive rebound by A. Reaves,
0:38.0, , ,46-49, ,Personal foul by K. Lowry (drawn by D. Schröder),
0:38.0, , ,46-49, ,D. Schröder misses free throw 1 of 2,
0:38.0, , ,46-49, ,Offensive rebound by Team,
0:38.0, , ,46-50,+1,D. Schröder makes free throw 2 of 2,
0:29.0,Turnover by T. Herro (traveling), ,46-50, , ,
0:08.0, , ,46-50, ,Shooting foul by T. Herro (drawn by R. Westbrook),
0:08.0, , ,46-51,+1,R. Westbrook makes free throw 1 of 2,
0:08.0, , ,46-51, ,P. Beverley enters the game for A. Reaves,
0:08.0, , ,46-52,+1,R. Westbrook makes free throw 2 of 2,
0:01.0,K. Lowry makes 2-pt layup from 2 ft,+2,48-52, , ,
0:01.0, , ,48-52, ,Turnover by R. Westbrook (bad pass; steal by B. Adebayo),
0:00.0,B. Adebayo misses 2-pt hook shot from 8 ft, ,48-52, , ,
0:00.0,Offensive rebound by Team, ,48-52, , ,
0:00.0,End of 2nd quarter,
3rd Q,
Time,Miami,,Score,,LA Lakers,
12:00.0,Start of 3rd quarter,
11:41.0,J. Butler makes 2-pt layup from 5 ft,+2,50-52, , ,
11:25.0, , ,50-52, ,P. Beverley misses 3-pt jump shot from 27 ft,
11:23.0,Defensive rebound by B. Adebayo, ,50-52, , ,
11:14.0,T. Herro misses 2-pt jump shot from 16 ft, ,50-52, , ,
11:08.0,Offensive rebound by J. Butler, ,50-52, , ,
11:08.0,J. Butler makes 2-pt layup at rim,+2,52-52, , ,Tie
10:50.0, , ,52-55,+3,D. Schröder makes 3-pt jump shot from 26 ft (assist by P. Beverley),
10:34.0,B. Adebayo misses 2-pt hook shot from 9 ft (block by J. Toscano-Anderson), ,52-55, , ,
10:31.0, , ,52-55, ,Defensive rebound by A. Reaves,
10:17.0, , ,52-57,+2,A. Reaves makes 2-pt hook shot from 6 ft,
10:01.0,B. Adebayo makes 2-pt jump shot from 11 ft (assist by T. Herro),+2,54-57, , ,
9:48.0, , ,54-59,+2,D. Schröder makes 2-pt layup from 3 ft,
9:35.0,J. Butler makes 2-pt layup from 4 ft (assist by B. Adebayo),+2,56-59, , ,
9:35.0,Shooting foul by P. Beverley (drawn by J. Butler), ,56-59, , ,
9:35.0,J. Butler misses free throw 1 of 1, ,56-59, , ,
9:33.0, , ,56-59, ,Defensive rebound by J. Toscano-Anderson,
9:21.0, , ,56-59, ,Turnover by A. Reaves (lost ball; steal by J. Butler),
9:17.0,J. Butler makes 2-pt dunk from 1 ft,+2,58-59, , ,
9:17.0, , ,58-59, ,LA Lakers full timeout,
9:01.0, , ,58-62,+3,D. Schröder makes 3-pt jump shot from 27 ft,
8:37.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Butler),+2,60-62, , ,
8:19.0, , ,60-62, ,D. Schröder misses 3-pt jump shot from 27 ft,
8:17.0,Defensive rebound by C. Martin, ,60-62, , ,
8:07.0,C. Martin makes 2-pt jump shot from 19 ft,+2,62-62, , ,Tie
7:51.0, , ,62-62, ,A. Reaves misses 2-pt jump shot from 16 ft,
7:51.0, , ,62-62, ,Offensive rebound by Team,
7:51.0, , ,62-62, ,R. Westbrook enters the game for P. Beverley,
7:49.0, , ,62-62, ,Turnover by A. Reaves (bad pass),
7:42.0,Turnover by J. Butler (traveling), ,62-62, , ,
7:21.0, , ,62-62, ,R. Westbrook misses 3-pt jump shot from 26 ft,
7:19.0,Defensive rebound by C. Martin, ,62-62, , ,
6:58.0,J. Butler misses 2-pt layup from 5 ft (block by T. Bryant), ,62-62, , ,
6:55.0, , ,62-62, ,Defensive rebound by D. Schröder,
6:51.0, , ,62-62, ,A. Reaves misses 3-pt jump shot from 25 ft,
6:48.0,Defensive rebound by T. Herro, ,62-62, , ,
6:44.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Butler),+2,64-62, , ,Lead change
6:44.0,Shooting foul by A. Reaves (drawn by B. Adebayo), ,64-62, , ,
6:44.0,B. Adebayo makes free throw 1 of 1,+1,65-62, , ,
6:22.0, , ,65-62, ,A. Reaves misses 2-pt jump shot from 11 ft,
6:19.0,Defensive rebound by B. Adebayo, ,65-62, , ,
6:08.0,Turnover by T. Herro (bad pass; steal by R. Westbrook), ,65-62, , ,
5:51.0, , ,65-64,+2,T. Bryant makes 2-pt layup from 3 ft (assist by A. Reaves),
5:33.0,T. Herro misses 3-pt jump shot from 26 ft, ,65-64, , ,
5:30.0, , ,65-64, ,Defensive rebound by J. Toscano-Anderson,
5:24.0, , ,65-64, ,Shooting foul by C. Martin (drawn by A. Reaves),
5:24.0, , ,65-65,+1,A. Reaves makes free throw 1 of 3,Tie
5:24.0, , ,65-66,+1,A. Reaves makes free throw 2 of 3,Lead change
5:24.0,V. Oladipo enters the game for T. Herro, ,65-66, , ,
5:24.0, , ,65-66, ,W. Gabriel enters the game for T. Bryant,
5:24.0, , ,65-66, ,K. Nunn enters the game for D. Schröder,
5:24.0, , ,65-67,+1,A. Reaves makes free throw 3 of 3,
5:05.0,C. Martin misses 2-pt layup from 4 ft, ,65-67, , ,
5:04.0,Offensive rebound by J. Butler, ,65-67, , ,
5:04.0,J. Butler makes 2-pt layup at rim,+2,67-67, , ,Tie
