A,B,C,D,E,F,Event
4:12.0,J. Butler makes free throw 2 of 2,+1,22-29, , ,
3:54.0, , ,22-32,+3,T. Young makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),
3:35.0,J. Butler makes 2-pt layup at rim,+2,24-32, , ,
3:29.0, , ,24-32, ,B. Bogdanović misses 3-pt jump shot from 25 ft,
3:26.0,Defensive rebound by G. Vincent, ,24-32, , ,
3:14.0,Turnover by J. Butler (bad pass; steal by T. Young), ,24-32, , ,
3:05.0, , ,24-32, ,Shooting foul by G. Vincent (drawn by T. Young),
3:05.0, , ,24-33,+1,T. Young makes free throw 1 of 2,
3:05.0,B. Adebayo enters the game for J. Butler, ,24-33, , ,
3:05.0,T. Herro enters the game for O. Robinson, ,24-33, , ,
3:05.0,H. Highsmith enters the game for G. Vincent, ,24-33, , ,
3:05.0, , ,24-33, ,A. Griffin enters the game for D. Hunter,
3:05.0, , ,24-33, ,T. Young misses free throw 2 of 2,
3:03.0,Defensive rebound by H. Highsmith, ,24-33, , ,
2:52.0,H. Highsmith makes 2-pt hook shot from 2 ft (assist by M. Strus),+2,26-33, , ,
2:26.0, , ,26-33, ,B. Bogdanović misses 3-pt jump shot from 24 ft,
2:24.0,Defensive rebound by M. Strus, ,26-33, , ,
2:14.0,Turnover by M. Strus (bad pass; steal by B. Bogdanović), ,26-33, , ,
2:09.0, , ,26-33, ,B. Bogdanović misses 2-pt layup from 2 ft,
2:06.0,Defensive rebound by B. Adebayo, ,26-33, , ,
1:56.0,Turnover by B. Adebayo (lost ball; steal by B. Bogdanović), ,26-33, , ,
1:36.0, , ,26-33, ,C. Capela misses 2-pt hook shot from 5 ft,
1:34.0,Defensive rebound by T. Herro, ,26-33, , ,
1:22.0,T. Herro misses 2-pt jump shot from 11 ft, ,26-33, , ,
1:20.0, , ,26-33, ,Defensive rebound by C. Capela,
1:11.0, , ,26-35,+2,C. Capela makes 2-pt layup from 2 ft (assist by T. Young),
0:57.0,M. Strus misses 2-pt layup from 2 ft, ,26-35, , ,
0:56.0,Offensive rebound by B. Adebayo, ,26-35, , ,
0:56.0,B. Adebayo misses 2-pt layup at rim, ,26-35, , ,
0:55.0,Offensive rebound by B. Adebayo, ,26-35, , ,
0:55.0,B. Adebayo misses 2-pt layup at rim, ,26-35, , ,
0:55.0, , ,26-35, ,Defensive rebound by Team,
0:55.0, , ,26-35, ,Atlanta full timeout,
0:34.0, , ,26-38,+3,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by A. Griffin),
0:10.0,T. Herro misses 3-pt jump shot from 23 ft, ,26-38, , ,
0:09.0,Offensive rebound by Team, ,26-38, , ,
0:09.0,Turnover by Team (shot clock), ,26-38, , ,
0:01.0, , ,26-38, ,Turnover by T. Young (bad pass; steal by V. Oladipo),
0:00.0,V. Oladipo misses 3-pt jump shot from 26 ft, ,26-38, , ,
0:00.0,Offensive rebound by Team, ,26-38, , ,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Atlanta,
12:00.0,Start of 2nd quarter,
11:39.0, , ,26-40,+2,O. Okongwu makes 2-pt layup from 1 ft (assist by B. Bogdanović),
11:20.0,H. Highsmith makes 3-pt jump shot from 23 ft (assist by V. Oladipo),+3,29-40, , ,
11:07.0, , ,29-40, ,J. Collins misses 2-pt jump shot from 6 ft (block by B. Adebayo),
11:05.0,Defensive rebound by H. Highsmith, ,29-40, , ,
11:00.0,Shooting foul by A. Griffin (drawn by M. Strus), ,29-40, , ,
11:00.0,M. Strus makes free throw 1 of 2,+1,30-40, , ,
11:00.0,M. Strus makes free throw 2 of 2,+1,31-40, , ,
10:45.0, , ,31-42,+2,D. Murray makes 2-pt jump shot from 18 ft,
10:29.0,H. Highsmith makes 2-pt layup from 3 ft (assist by V. Oladipo),+2,33-42, , ,
10:13.0, , ,33-44,+2,J. Collins makes 2-pt jump shot from 10 ft (assist by D. Murray),
9:52.0,T. Herro misses 3-pt jump shot from 24 ft, ,33-44, , ,
9:49.0, , ,33-44, ,Defensive rebound by A. Griffin,
9:47.0, , ,33-46,+2,J. Collins makes 2-pt dunk from 1 ft (assist by A. Griffin),
9:35.0,T. Herro misses 3-pt jump shot from 25 ft, ,33-46, , ,
9:32.0, , ,33-46, ,Defensive rebound by B. Bogdanović,
9:19.0, , ,33-49,+3,A. Griffin makes 3-pt jump shot from 23 ft (assist by D. Murray),
9:18.0,Miami full timeout, ,33-49, , ,
9:18.0,G. Vincent enters the game for T. Herro, ,33-49, , ,
9:02.0,B. Adebayo misses 2-pt jump shot from 6 ft, ,33-49, , ,
8:59.0, , ,33-49, ,Defensive rebound by O. Okongwu,
8:52.0, , ,33-51,+2,A. Griffin makes 2-pt jump shot from 12 ft,
8:37.0,H. Highsmith misses 3-pt jump shot from 25 ft, ,33-51, , ,
8:35.0, , ,33-51, ,Defensive rebound by D. Murray,
8:15.0, , ,33-51, ,B. Bogdanović misses 2-pt layup from 2 ft,
8:10.0,Defensive rebound by B. Adebayo, ,33-51, , ,
7:55.0,G. Vincent makes 3-pt jump shot from 23 ft (assist by B. Adebayo),+3,36-51, , ,
7:38.0, , ,36-54,+3,A. Griffin makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),
7:26.0,G. Vincent misses 3-pt jump shot from 25 ft, ,36-54, , ,
7:25.0, , ,36-54, ,Defensive rebound by Team,
7:25.0,J. Butler enters the game for V. Oladipo, ,36-54, , ,
7:25.0, , ,36-54, ,D. Hunter enters the game for B. Bogdanović,
7:17.0, , ,36-54, ,Personal foul by H. Highsmith (drawn by O. Okongwu),
7:09.0, , ,36-57,+3,D. Murray makes 3-pt jump shot from 26 ft (assist by D. Hunter),
6:53.0,G. Vincent misses 3-pt jump shot from 25 ft, ,36-57, , ,
6:50.0,Offensive rebound by G. Vincent, ,36-57, , ,
6:48.0,M. Strus makes 3-pt jump shot from 23 ft (assist by G. Vincent),+3,39-57, , ,
6:39.0, , ,39-57, ,Offensive foul by D. Hunter (drawn by M. Strus),
6:39.0, , ,39-57, ,Turnover by D. Hunter (offensive foul),
6:39.0,C. Martin enters the game for B. Adebayo, ,39-57, , ,
6:39.0,O. Robinson enters the game for H. Highsmith, ,39-57, , ,
6:39.0, , ,39-57, ,T. Young enters the game for A. Griffin,
6:29.0,O. Robinson misses 2-pt layup from 2 ft (block by O. Okongwu), ,39-57, , ,
6:24.0, , ,39-57, ,Defensive rebound by J. Collins,
6:17.0, , ,39-59,+2,J. Collins makes 2-pt layup from 2 ft,
5:59.0,Turnover by G. Vincent (bad pass; steal by T. Young), ,39-59, , ,
5:52.0, , ,39-59, ,Turnover by O. Okongwu (bad pass),
5:47.0,Offensive foul by C. Martin (drawn by T. Young), ,39-59, , ,
5:47.0,Turnover by C. Martin (offensive foul), ,39-59, , ,
5:47.0, , ,39-59, ,C. Capela enters the game for O. Okongwu,
5:39.0, , ,39-62,+3,D. Murray makes 3-pt jump shot from 25 ft (assist by T. Young),
5:16.0,J. Butler misses 2-pt layup from 2 ft (block by C. Capela), ,39-62, , ,
5:13.0, , ,39-62, ,Defensive rebound by D. Hunter,
