id,OpponentName,Diffs
202310250CHO,Charlotte,"0,-3,4,11,1,-4,-5,1,-6"
202310270ATL,New York,"0,-5,-4,-1,-8,-3,-8,-1,-6"
202310290MIL,Milwaukee,"0,9,6,15,21,22,21,27,17"
202310300ATL,Minnesota,"0,-2,-7,-14,-19,-12,0,11,14"
202311010ATL,Washington,"0,-7,-5,-4,8,21,17,24,9"
202311040NOP,New Orleans,"0,-4,-8,-2,-7,2,11,13,18"
202311060OKC,Oklahoma City,"0,-5,-1,-5,-8,-10,-19,-10,-9"
202311090ORL,Orlando,"0,5,0,9,4,6,-5,-8,1"
202311110ATL,Miami,"0,-9,-17,-21,-11,-7,-11,-12,-8"
202311140DET,Detroit,"0,10,9,4,4,-3,6,5,6"
202311150ATL,New York,"0,-5,-11,-6,-1,-5,-6,3,-2"
202311170ATL,Philadelphia,"0,-1,-6,4,-1,5,-7,-12,-10"
202311210ATL,Indiana,"0,-3,6,11,13,8,-5,-4,-5"
202311220ATL,Brooklyn,"0,1,12,6,10,2,5,5,2"
202311250WAS,Washington,"0,8,4,7,12,22,29,30,28"
202311260BOS,Boston,"0,-3,-7,-9,-16,-16,-8,-11,-10"
202311280CLE,Cleveland,"0,-2,4,8,-3,-15,-12,-18,-23"
202311300SAS,San Antonio,"0,-11,-9,-3,-4,0,-4,2,2"
202312020MIL,Milwaukee,"0,1,-5,-5,-4,-1,-1,-2,-11"
202312060ATL,Brooklyn,"0,4,2,0,3,6,1,1,-1"
202312080PHI,Philadelphia,"0,-6,-12,-6,6,1,-1,0,-11"
202312110ATL,Denver,"0,1,8,5,-3,-11,-17,-13,-7"
202312130TOR,Toronto,"0,-5,8,7,2,-3,-8,-2,-7"
202312150TOR,Toronto,"0,1,6,5,10,12,9,18,21"
202312160CLE,Cleveland,"0,-13,-13,-19,-18,-13,-11,-9,-8"
202312180ATL,Detroit,"0,10,13,8,9,13,12,8,6"
202312200HOU,Houston,"0,4,10,17,12,5,-2,18,7"
202312220MIA,Miami,"0,-9,-7,-3,-2,3,-2,-6,-9"
202312230ATL,Memphis,"0,5,7,2,10,2,3,-4,-6"
202312260CHI,Chicago,"0,-3,-11,-1,6,5,2,-4,-5"
202312290ATL,Sacramento,"0,13,13,5,18,7,5,2,-7"
202312310WAS,Washington,"0,-12,-2,0,12,7,13,11,4"
202401030ATL,Oklahoma City,"0,9,14,15,17,8,13,12,3"
202401050IND,Indiana,"0,-3,-14,-20,-24,-35,-34,-33,-34"
202401070ORL,Orlando,"0,-12,-4,2,9,-4,-7,-4,-7"
202401100ATL,Philadelphia,"0,-1,3,-5,-3,-6,-3,4,7,7"
202401120ATL,Indiana,"0,-4,-4,-12,-6,-12,-18,-24,-18"
202401130ATL,Washington,"0,2,-5,-9,-11,-15,-28,-25,-28"
202401150ATL,San Antonio,"0,9,19,31,35,30,20,11,10"
202401170ATL,Orlando,"0,-3,0,-6,-2,-5,2,2,2"
202401190MIA,Miami,"0,4,8,2,1,-7,-2,-1,1"
202401200ATL,Cleveland,"0,-11,-5,-15,-14,-20,-23,-18,-21"
202401220SAC,Sacramento,"0,-2,-3,-14,-17,-12,-18,-12,-15"
202401240GSW,Golden State,"0,0,-7,-3,-1,-3,-9,-15,-22"
202401260ATL,Dallas,"0,-4,4,4,0,-4,-6,-7,-5"
202401280ATL,Toronto,"0,6,8,-8,-4,2,2,5,1"
202401300ATL,LA Lakers,"0,-2,7,9,11,17,15,14,16"
202402020ATL,Phoenix,"0,2,3,4,3,3,5,7,9"
202402030ATL,Golden State,"0,-3,-5,0,0,4,0,2,7"
202402050ATL,LA Clippers,"0,-6,-9,-6,0,-1,-1,-4,-5"
202402070BOS,Boston,"0,1,2,3,-4,-1,-5,-11,-8"
202402090PHI,Philadelphia,"0,3,11,12,17,20,17,9,6"
202402100ATL,Houston,"0,1,-12,-2,8,9,11,10,9"
202402120ATL,Chicago,"0,4,7,8,-1,-3,-5,-4,-10"
202402140CHO,Charlotte,"0,-8,2,-5,-6,-12,-16,-11,-23"
202402230ATL,Toronto,"0,-13,-11,-5,-1,1,-6,-4,-2"
202402250ATL,Orlando,"0,-1,-3,-7,-6,0,13,17,17"
202402270ATL,Utah,"0,11,8,9,11,10,20,29,27"
202402290BRK,Brooklyn,"0,-12,-18,-11,-6,-14,-19,-28,-27"
202403020BRK,Brooklyn,"0,6,7,5,2,-7,-10,-10,-12"
202403050NYK,New York,"0,5,18,21,11,14,5,7,16"
202403060ATL,Cleveland,"0,3,3,14,15,11,-2,4,11"
202403080MEM,Memphis,"0,-3,-11,-8,0,5,8,6,7"
202403100ATL,New Orleans,"0,0,-6,-18,-11,-11,-15,-19,-13"
202403130POR,Portland,"0,8,7,10,5,-2,-7,-5,-4"
202403150UTA,Utah,"0,-2,-6,2,1,-3,-2,-8,-2"
202403170LAC,LA Clippers,"0,1,2,11,17,20,26,19,17"
202403180LAL,LA Lakers,"0,-5,-10,-9,-14,-17,-25,-34,-31"
202403210PHO,Phoenix,"0,11,7,-4,-5,0,-3,-7,-13"
202403230ATL,Charlotte,"0,-1,2,9,18,17,25,32,41"
202403250ATL,Boston,"0,-13,-22,-25,-18,-9,-6,2,2"
202403270ATL,Portland,"0,0,-3,-1,7,14,14,11,14"
202403280ATL,Boston,"0,0,-1,-2,-4,1,-1,-3,1,1"
202403300ATL,Milwaukee,"0,-1,-5,-11,-14,-16,-15,-8,-9"
202404010CHI,Chicago,"0,-5,2,2,8,13,16,13,12"
202404030ATL,Detroit,"0,9,5,2,9,19,13,10,8"
202404040DAL,Dallas,"0,2,6,4,-8,-16,-12,-7,-14"
202404060DEN,Denver,"0,-2,-7,-15,-13,-14,-25,-22,-32"
202404090ATL,Miami,"0,-4,-3,-5,-12,-8,0,1,0,-6"
202404100ATL,Charlotte,"0,-1,5,-1,6,17,15,6,-1"
202404120MIN,Minnesota,"0,2,2,-8,-9,-15,0,-3,-3"
202404140IND,Indiana,"0,-9,-15,-7,-14,-23,-32,-36,-42"
202404170CHI,Chicago,"0,-4,-18,-11,-6,-8,-18,-21,-15"
