id,OpponentName,Q1,Q2,Q3,Q4
202310250MIA,Detroit,-3.0,11.0,8.0,1.0
202310270BOS,Boston,3.0,-5.0,1.0,-8.0
202310280MIN,Minnesota,5.0,-2.0,-7.0,-16.0
202310300MIL,Milwaukee,0.0,-10.0,-24.0,-8.0
202311010MIA,Brooklyn,3.0,10.0,8.0,-4.0
202311030MIA,Washington,0.0,6.0,20.0,7.0
202311060MIA,LA Lakers,0.0,3.0,11.0,1.0
202311080MEM,Memphis,7.0,8.0,1.0,6.0
202311110ATL,Atlanta,17.0,11.0,11.0,8.0
202311120SAS,San Antonio,-14.0,-3.0,-2.0,5.0
202311140CHO,Charlotte,-8.0,9.0,7.0,6.0
202311160MIA,Brooklyn,3.0,8.0,12.0,7.0
202311180CHI,Chicago,12.0,10.0,8.0,-5.0
202311200CHI,Chicago,6.0,12.0,12.0,18.0
202311220CLE,Cleveland,11.0,14.0,22.0,33.0
202311240NYK,New York,3.0,-1.0,16.0,-2.0
202311250BRK,Brooklyn,-4.0,-10.0,-14.0,-15.0
202311280MIA,Milwaukee,-9.0,3.0,4.0,-7.0
202311300MIA,Indiana,-5.0,-9.0,-3.0,10.0
202312020MIA,Indiana,6.0,0.0,-8.0,-15.0
202312060TOR,Toronto,5.0,-2.0,3.0,9.0
202312080MIA,Cleveland,8.0,-1.0,-13.0,-12.0
202312110CHO,Charlotte,5.0,9.0,12.0,2.0
202312130MIA,Charlotte,-1.0,11.0,21.0,11.0
202312140MIA,Chicago,-14.0,-4.0,-5.0,-8.0
202312160MIA,Chicago,12.0,1.0,11.0,2.0
202312180MIA,Minnesota,11.0,12.0,6.0,-4.0
202312200ORL,Orlando,1.0,18.0,17.0,9.0
202312220MIA,Atlanta,7.0,2.0,2.0,9.0
202312250MIA,Philadelphia,4.0,14.0,0.0,6.0
202312280GSW,Golden State,-3.0,7.0,15.0,12.0
202312300UTA,Utah,1.0,-1.0,0.0,-8.0
202401010LAC,LA Clippers,12.0,-1.0,-10.0,-17.0
202401030LAL,LA Lakers,7.0,8.0,5.0,14.0
202401050PHO,Phoenix,-4.0,-7.0,-19.0,-16.0
202401080MIA,Houston,7.0,0.0,9.0,7.0
202401100MIA,Oklahoma City,6.0,4.0,-3.0,-8.0
202401120MIA,Orlando,8.0,1.0,2.0,3.0
202401140MIA,Charlotte,10.0,21.0,16.0,17.0
202401150BRK,Brooklyn,-6.0,-14.0,-1.0,
202401170TOR,Toronto,-23.0,-35.0,-21.0,-24.0
202401190MIA,Atlanta,-8.0,-1.0,2.0,-1.0
202401210ORL,Orlando,-3.0,-2.0,-12.0,-18.0
202401240MIA,Memphis,1.0,-7.0,-14.0,-9.0
202401250MIA,Boston,-13.0,-13.0,-23.0,-33.0
202401270NYK,New York,3.0,-10.0,-3.0,-16.0
202401290MIA,Phoenix,-8.0,-13.0,-26.0,-13.0
202401310MIA,Sacramento,6.0,4.0,6.0,9.0
202402020WAS,Washington,-2.0,-3.0,13.0,8.0
202402040MIA,LA Clippers,3.0,0.0,-2.0,-8.0
202402060MIA,Orlando,7.0,7.0,21.0,26.0
202402070MIA,San Antonio,1.0,2.0,1.0,12.0
202402110MIA,Boston,-4.0,-9.0,-7.0,-4.0
202402130MIL,Milwaukee,12.0,17.0,22.0,26.0
202402140PHI,Philadelphia,0.0,-2.0,1.0,5.0
202402230NOP,New Orleans,7.0,0.0,4.0,11.0
202402260SAC,Sacramento,-1.0,3.0,20.0,11.0
202402270POR,Portland,-13.0,-10.0,4.0,10.0
202402290DEN,Denver,-16.0,-5.0,-13.0,-6.0
202403020MIA,Utah,-4.0,-4.0,0.0,6.0
202403050MIA,Detroit,10.0,1.0,5.0,8.0
202403070DAL,Dallas,8.0,4.0,-8.0,-6.0
202403080OKC,Oklahoma City,2.0,10.0,-4.0,-7.0
202403100MIA,Washington,2.0,6.0,1.0,-2.0
202403130MIA,Denver,-7.0,-6.0,-1.0,-12.0
202403150DET,Detroit,-1.0,2.0,12.0,13.0
202403170DET,Detroit,-2.0,10.0,3.0,3.0
202403180PHI,Philadelphia,-8.0,-2.0,-14.0,-7.0
202403200CLE,Cleveland,1.0,4.0,8.0,3.0
202403220MIA,New Orleans,-1.0,-4.0,-10.0,-23.0
202403240MIA,Cleveland,10.0,21.0,33.0,37.0
202403260MIA,Golden State,2.0,2.0,-10.0,-21.0
202403290MIA,Portland,10.0,34.0,44.0,60.0
202403310WAS,Washington,0.0,7.0,15.0,12.0
202404020MIA,New York,12.0,15.0,10.0,10.0
202404040MIA,Philadelphia,-10.0,-8.0,1.0,-2.0
202404050HOU,Houston,0.0,5.0,10.0,15.0
202404070IND,Indiana,-14.0,-17.0,-13.0,-2.0
202404090ATL,Atlanta,3.0,12.0,0.0,
202404100MIA,Dallas,-9.0,-22.0,-14.0,-19.0
202404120MIA,Toronto,11.0,16.0,17.0,22.0
202404140MIA,Toronto,0.0,21.0,23.0,15.0
202404170PHI,Philadelphia,1.0,12.0,5.0,-1.0
