event,TeamScore,opponentScore,pointDifference,elapsedTime,opponent,id
,25,30,-5,745.0,MIA,202310270BOS
,28,30,-2,781.0,MIA,202310270BOS
,28,33,-5,804.0,MIA,202310270BOS
,31,33,-2,823.0,MIA,202310270BOS
T,33,33,0,873.0,MIA,202310270BOS
,33,36,-3,884.0,MIA,202310270BOS
,33,39,-6,899.0,MIA,202310270BOS
,35,39,-4,925.0,MIA,202310270BOS
,35,42,-7,930.0,MIA,202310270BOS
,37,42,-5,949.0,MIA,202310270BOS
,39,42,-3,983.0,MIA,202310270BOS
,39,44,-5,997.0,MIA,202310270BOS
,40,44,-4,1035.0,MIA,202310270BOS
,41,44,-3,1035.0,MIA,202310270BOS
,43,44,-1,1062.0,MIA,202310270BOS
,43,47,-4,1085.0,MIA,202310270BOS
,43,49,-6,1126.0,MIA,202310270BOS
,45,49,-4,1136.0,MIA,202310270BOS
,47,49,-2,1189.0,MIA,202310270BOS
,47,51,-4,1208.0,MIA,202310270BOS
,49,51,-2,1244.0,MIA,202310270BOS
T,51,51,0,1266.0,MIA,202310270BOS
LC,53,51,2,1269.0,MIA,202310270BOS
,53,52,1,1298.0,MIA,202310270BOS
T,53,53,0,1298.0,MIA,202310270BOS
,56,53,3,1315.0,MIA,202310270BOS
,59,53,6,1386.0,MIA,202310270BOS
,59,55,4,1408.0,MIA,202310270BOS
,60,55,5,1412.0,MIA,202310270BOS
,60,58,2,1461.0,MIA,202310270BOS
,61,58,3,1510.0,MIA,202310270BOS
,62,58,4,1510.0,MIA,202310270BOS
,62,60,2,1534.0,MIA,202310270BOS
,64,60,4,1553.0,MIA,202310270BOS
,64,62,2,1583.0,MIA,202310270BOS
,67,62,5,1591.0,MIA,202310270BOS
,69,62,7,1624.0,MIA,202310270BOS
,69,65,4,1642.0,MIA,202310270BOS
,71,65,6,1678.0,MIA,202310270BOS
,71,68,3,1694.0,MIA,202310270BOS
,73,68,5,1711.0,MIA,202310270BOS
,73,70,3,1731.0,MIA,202310270BOS
,73,72,1,1762.0,MIA,202310270BOS
,76,72,4,1782.0,MIA,202310270BOS
,76,74,2,1790.0,MIA,202310270BOS
,76,75,1,1790.0,MIA,202310270BOS
T,76,76,0,1790.0,MIA,202310270BOS
LC,76,79,-3,1821.0,MIA,202310270BOS
,78,79,-1,1837.0,MIA,202310270BOS
,78,81,-3,1922.0,MIA,202310270BOS
,79,81,-2,1939.0,MIA,202310270BOS
,80,81,-1,1939.0,MIA,202310270BOS
,80,83,-3,2030.0,MIA,202310270BOS
,82,83,-1,2052.0,MIA,202310270BOS
,82,86,-4,2110.0,MIA,202310270BOS
,84,86,-2,2119.0,MIA,202310270BOS
,84,88,-4,2127.0,MIA,202310270BOS
,87,88,-1,2156.0,MIA,202310270BOS
T,88,88,0,2180.0,MIA,202310270BOS
,88,89,-1,2213.0,MIA,202310270BOS
,88,90,-2,2213.0,MIA,202310270BOS
LC,91,90,1,2225.0,MIA,202310270BOS
,93,90,3,2289.0,MIA,202310270BOS
,96,90,6,2313.0,MIA,202310270BOS
,96,93,3,2328.0,MIA,202310270BOS
,98,93,5,2385.0,MIA,202310270BOS
,98,95,3,2428.0,MIA,202310270BOS
,98,96,2,2428.0,MIA,202310270BOS
,101,96,5,2467.0,MIA,202310270BOS
,102,96,6,2508.0,MIA,202310270BOS
,102,97,5,2525.0,MIA,202310270BOS
,102,98,4,2525.0,MIA,202310270BOS
,104,98,6,2568.0,MIA,202310270BOS
,104,99,5,2581.0,MIA,202310270BOS
,104,100,4,2581.0,MIA,202310270BOS
,106,100,6,2594.0,MIA,202310270BOS
,106,101,5,2594.0,MIA,202310270BOS
,109,101,8,2621.0,MIA,202310270BOS
,109,102,7,2629.0,MIA,202310270BOS
,109,103,6,2682.0,MIA,202310270BOS
,109,104,5,2682.0,MIA,202310270BOS
,111,104,7,2712.0,MIA,202310270BOS
,112,104,8,2742.0,MIA,202310270BOS
,112,105,7,2764.0,MIA,202310270BOS
,112,108,4,2791.0,MIA,202310270BOS
,114,108,6,2810.0,MIA,202310270BOS
,114,111,3,2821.0,MIA,202310270BOS
,115,111,4,2833.0,MIA,202310270BOS
,116,111,5,2833.0,MIA,202310270BOS
,119,111,8,2863.0,MIA,202310270BOS
F,119,111,8,2880.0,MIA,202310270BOS
,0,0,0,0.0,WAS,202310300WAS
,2,0,2,49.0,WAS,202310300WAS
,4,0,4,83.0,WAS,202310300WAS
,4,3,1,94.0,WAS,202310300WAS
,6,3,3,112.0,WAS,202310300WAS
,8,3,5,134.0,WAS,202310300WAS
,8,5,3,148.0,WAS,202310300WAS
,10,5,5,162.0,WAS,202310300WAS
,13,5,8,186.0,WAS,202310300WAS
