id,OpponentName,Diffs
202210190MIA,Chicago,"0,6,5,6,0,-11,-10,-4,-8"
202210210MIA,Boston,"0,2,-8,-7,-8,2,-12,-9,-7"
202210220MIA,Toronto,"0,4,5,5,21,16,9,11,3"
202210240MIA,Toronto,"0,1,-4,-6,-5,1,5,0,-8"
202210260POR,Portland,"0,-4,-3,-5,5,7,13,26,21"
202210270GSW,Golden State,"0,-5,-1,-5,-4,1,-5,-3,-13"
202210290SAC,Sacramento,"0,-6,-9,-8,-22,-12,-8,-4,-6"
202211010MIA,Golden State,"0,-4,9,4,2,-7,-8,0,7"
202211020MIA,Sacramento,"0,-4,1,-2,2,1,1,-6,3"
202211040IND,Indiana,"0,7,1,-7,-12,-5,-3,-3,-2"
202211070MIA,Portland,"0,-1,0,3,7,14,8,8,-3"
202211100MIA,Charlotte,"0,4,5,13,8,9,12,-1,5,5"
202211120MIA,Charlotte,"0,4,1,5,-2,14,18,15,17"
202211140MIA,Phoenix,"0,3,4,0,1,-3,-7,-8,1"
202211160TOR,Toronto,"0,7,4,5,6,2,-5,-5,-8"
202211180WAS,Washington,"0,-3,-2,6,12,12,7,2,-1"
202211200CLE,Cleveland,"0,7,-1,-12,-17,-21,-31,-26,-26"
202211210MIN,Minnesota,"0,-1,3,7,13,6,-5,2,-4"
202211230MIA,Washington,"0,-5,2,6,17,14,3,1,8"
202211250MIA,Washington,"0,-3,-10,-9,-3,-5,0,-4,3"
202211270ATL,Atlanta,"0,-3,-8,-7,-9,3,4,11,8"
202211300BOS,Boston,"0,-9,-3,-10,-8,-6,-6,-5,-13"
202212020BOS,Boston,"0,0,0,-1,-3,-5,-6,3,4"
202212050MEM,Memphis,"0,8,5,2,-7,0,-5,-7,-8"
202212060MIA,Detroit,"0,11,5,4,3,0,-5,-10,-20"
202212080MIA,LA Clippers,"0,-1,-8,-1,2,3,-3,1,5"
202212100MIA,San Antonio,"0,2,4,-1,-2,4,-2,-3,-2"
202212120IND,Indiana,"0,3,7,19,5,1,3,2,5"
202212140OKC,Oklahoma City,"0,0,0,18,12,0,2,-4,2"
202212150HOU,Houston,"0,-3,0,2,14,12,1,7,3"
202212170SAS,San Antonio,"0,6,-3,2,-3,-6,-4,10,10"
202212200MIA,Chicago,"0,-2,-10,1,5,-8,-11,-14,-10"
202212230MIA,Indiana,"0,0,-3,0,2,5,-2,-12,-3"
202212260MIA,Minnesota,"0,1,2,1,3,12,7,4,3"
202212280MIA,LA Lakers,"0,-2,8,0,9,14,17,11,14"
202212300DEN,Denver,"0,-5,-4,0,-3,7,5,4,-5"
202212310UTA,Utah,"0,5,1,3,6,-2,-2,0,3"
202301020LAC,LA Clippers,"0,2,6,9,18,12,-2,4,10"
202301040LAL,LA Lakers,"0,1,-9,-6,-4,3,-1,2,-3"
202301060PHO,Phoenix,"0,0,7,8,5,11,5,7,8"
202301080MIA,Brooklyn,"0,-3,-1,-2,-2,-4,3,1,-1"
202301100MIA,Oklahoma City,"0,3,5,6,7,5,1,1,1"
202301120MIA,Milwaukee,"0,2,-9,-9,0,0,5,10,6"
202301140MIA,Milwaukee,"0,9,8,12,8,1,6,17,16"
202301160ATL,Atlanta,"0,-5,-12,-20,-20,-10,-11,-10,-8"
202301180NOP,New Orleans,"0,10,13,23,19,20,22,26,26"
202301200DAL,Dallas,"0,-6,-12,-10,-9,-16,-25,-25,-25"
202301220MIA,New Orleans,"0,-10,-9,-12,-6,-2,-3,1,4"
202301240MIA,Boston,"-1,2,1,-8,-9,-7,-2,2"
202301270MIA,Orlando,"0,6,-5,-7,-9,-6,-6,5,5"
202301290CHO,Charlotte,"0,0,2,-1,4,4,-5,-10,-5"
202301310CLE,Cleveland,"0,-11,-2,3,3,0,0,0,3"
202302020NYK,New York,"0,-7,-6,2,-3,-11,-5,-7,-2"
202302040MIL,Milwaukee,"0,-4,-8,-8,0,1,-2,-6,-8"
202302080MIA,Indiana,"0,12,9,3,-3,-6,6,1,5"
