Time,Score,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: K. Looney vs. M. Bagley (K. Hayes gains possession),Golden State,202311060DET
6:02.0,45-38,,2,38,45,-7,1078.0,Defensive rebound by C. Cunningham,Golden State,202311060DET
12:00.0,31-26,,2,26,31,-5,720.0,Start of 2nd quarter,Golden State,202311060DET
6:09.0,71-67,,3,67,71,-4,1791.0,C. Cunningham makes free throw 2 of 2,Golden State,202311060DET
12:00.0,56-48,,3,48,56,-8,1440.0,Start of 3rd quarter,Golden State,202311060DET
6:09.0,103-99,,4,99,103,-4,2511.0,I. Stewart makes 2-pt layup from 4 ft (assist by C. Cunningham),Golden State,202311060DET
12:00.0,83-82,,4,82,83,-1,2160.0,Start of 4th quarter,Golden State,202311060DET
0:00.0,120-109,,4,109,120,-11,2880.0,End of 4th quarter,Golden State,202311060DET
6:02.0,13-12,,1,13,12,1,358.0, ,Milwaukee,202311080MIL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Duren vs. B. Lopez (C. Cunningham gains possession),Milwaukee,202311080MIL
6:09.0,37-47,,2,37,47,-10,1071.0,C. Cunningham makes free throw 1 of 1,Milwaukee,202311080MIL
12:00.0,23-24,,2,23,24,-1,720.0,Start of 2nd quarter,Milwaukee,202311080MIL
6:04.0,70-78,,3,70,78,-8,1796.0,M. Sasser makes 2-pt jump shot from 20 ft (assist by J. Duren),Milwaukee,202311080MIL
12:00.0,52-62,,3,52,62,-10,1440.0,Start of 3rd quarter,Milwaukee,202311080MIL
6:09.0,111-104,,4,111,104,7,2511.0, ,Milwaukee,202311080MIL
12:00.0,95-90,,4,95,90,5,2160.0,Start of 4th quarter,Milwaukee,202311080MIL
0:00.0,118-120,,4,118,120,-2,2880.0,C. Cunningham misses 3-pt jump shot from 52 ft,Milwaukee,202311080MIL
6:02.0,9-17,,1,17,9,8,358.0,C. Cunningham misses 2-pt layup from 4 ft,Philadelphia,202311100DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Embiid vs. J. Duren (I. Stewart gains possession),Philadelphia,202311100DET
6:03.0,33-49,,2,49,33,16,1077.0,M. Bagley makes 2-pt dunk from 3 ft (assist by C. Cunningham),Philadelphia,202311100DET
12:00.0,21-33,,2,33,21,12,720.0,Start of 2nd quarter,Philadelphia,202311100DET
6:15.0,62-65,,3,65,62,3,1785.0,I. Stewart makes 3-pt jump shot from 25 ft (assist by M. Sasser),Philadelphia,202311100DET
12:00.0,48-56,,3,56,48,8,1440.0,Start of 3rd quarter,Philadelphia,202311100DET
6:11.0,103-88,,4,88,103,-15,2509.0, ,Philadelphia,202311100DET
12:00.0,83-77,,4,77,83,-6,2160.0,Start of 4th quarter,Philadelphia,202311100DET
0:00.0,114-106,,4,106,114,-8,2880.0,End of 4th quarter,Philadelphia,202311100DET
6:02.0,11-10,,1,11,10,1,358.0, ,Chicago,202311120CHI
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Bagley vs. N. Vučević (K. Hayes gains possession),Chicago,202311120CHI
6:01.0,38-35,,2,38,35,3,1079.0,Turnover by A. Thompson (lost ball; steal by C. White),Chicago,202311120CHI
12:00.0,31-22,,2,31,22,9,720.0,Start of 2nd quarter,Chicago,202311120CHI
6:03.0,64-68,,3,64,68,-4,1797.0, ,Chicago,202311120CHI
12:00.0,50-55,,3,50,55,-5,1440.0,Start of 3rd quarter,Chicago,202311120CHI
6:00.0,96-102,,4,96,102,-6,2520.0,Turnover by M. Bagley (traveling),Chicago,202311120CHI
12:00.0,81-84,,4,81,84,-3,2160.0,Start of 4th quarter,Chicago,202311120CHI
0:00.0,108-119,,4,108,119,-11,2880.0,End of 4th quarter,Chicago,202311120CHI
6:12.0,21-11,,1,11,21,-10,348.0, ,Atlanta,202311140DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Capela vs. M. Bagley (B. Bogdanović gains possession),Atlanta,202311140DET
6:02.0,49-45,,2,45,49,-4,1078.0,Defensive rebound by A. Thompson,Atlanta,202311140DET
12:00.0,38-29,,2,29,38,-9,720.0,Start of 2nd quarter,Atlanta,202311140DET
6:12.0,74-77,,3,77,74,3,1788.0,K. Knox makes 2-pt layup from 5 ft (assist by A. Thompson),Atlanta,202311140DET
12:00.0,64-60,,3,60,64,-4,1440.0,Start of 3rd quarter,Atlanta,202311140DET
6:10.0,111-106,,4,106,111,-5,2510.0, ,Atlanta,202311140DET
12:00.0,97-91,,4,91,97,-6,2160.0,Start of 4th quarter,Atlanta,202311140DET
0:00.0,126-120,,4,120,126,-6,2880.0,C. Cunningham misses 2-pt layup from 5 ft (block by C. Capela),Atlanta,202311140DET
6:01.0,13-13,,1,13,13,0,359.0,Defensive rebound by I. Stewart,Cleveland,202311170CLE
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: I. Stewart vs. J. Allen (D. Garland gains possession),Cleveland,202311170CLE
6:02.0,37-46,,2,37,46,-9,1078.0, ,Cleveland,202311170CLE
12:00.0,26-35,,2,26,35,-9,720.0,Start of 2nd quarter,Cleveland,202311170CLE
6:15.0,61-69,,3,61,69,-8,1785.0,A. Burks makes 3-pt jump shot from 25 ft (assist by C. Cunningham),Cleveland,202311170CLE
12:00.0,45-59,,3,45,59,-14,1440.0,Start of 3rd quarter,Cleveland,202311170CLE
6:04.0,83-93,,4,83,93,-10,2516.0, ,Cleveland,202311170CLE
12:00.0,73-80,,4,73,80,-7,2160.0,Start of 4th quarter,Cleveland,202311170CLE
0:00.0,100-108,,4,100,108,-8,2880.0,End of 4th quarter,Cleveland,202311170CLE
6:00.0,12-14,,1,12,14,-2,360.0,C. Cunningham misses 2-pt layup from 5 ft,Toronto,202311190TOR
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: I. Stewart vs. J. Poeltl (D. Schröder gains possession),Toronto,202311190TOR
6:15.0,33-50,,2,33,50,-17,1065.0,C. Cunningham makes 3-pt jump shot from 26 ft,Toronto,202311190TOR
12:00.0,20-32,,2,20,32,-12,720.0,Start of 2nd quarter,Toronto,202311190TOR
6:18.0,55-87,,3,55,87,-32,1782.0,Defensive rebound by A. Burks,Toronto,202311190TOR
12:00.0,45-69,,3,45,69,-24,1440.0,Start of 3rd quarter,Toronto,202311190TOR
6:01.0,88-127,,4,88,127,-39,2519.0, ,Toronto,202311190TOR
12:00.0,72-104,,4,72,104,-32,2160.0,Start of 4th quarter,Toronto,202311190TOR
0:00.0,113-142,,4,113,142,-29,2880.0,End of 4th quarter,Toronto,202311190TOR
6:09.0,7-13,,1,13,7,6,351.0, ,Denver,202311200DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: N. Jokić vs. M. Bagley (C. Cunningham gains possession),Denver,202311200DET
6:09.0,42-39,,2,39,42,-3,1071.0,Defensive rebound by J. Ivey,Denver,202311200DET
12:00.0,27-23,,2,23,27,-4,720.0,Start of 2nd quarter,Denver,202311200DET
6:03.0,71-68,,3,68,71,-3,1797.0, ,Denver,202311200DET
12:00.0,56-55,,3,55,56,-1,1440.0,Start of 3rd quarter,Denver,202311200DET
6:19.0,94-93,Lead change,4,93,94,-1,2501.0, ,Denver,202311200DET
12:00.0,81-79,,4,79,81,-2,2160.0,Start of 4th quarter,Denver,202311200DET
0:00.0,107-103,,4,103,107,-4,2880.0,End of 4th quarter,Denver,202311200DET
6:02.0,17-14,Lead change,1,17,14,3,358.0,J. Ivey makes 3-pt jump shot from 23 ft (assist by C. Cunningham),Indiana,202311240IND
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Bagley vs. M. Turner (T. Haliburton gains possession),Indiana,202311240IND
6:00.0,42-52,,2,42,52,-10,1080.0, ,Indiana,202311240IND
12:00.0,26-33,,2,26,33,-7,720.0,Start of 2nd quarter,Indiana,202311240IND
6:17.0,77-81,,3,77,81,-4,1783.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by I. Stewart),Indiana,202311240IND
12:00.0,63-61,,3,63,61,2,1440.0,Start of 3rd quarter,Indiana,202311240IND
6:04.0,108-115,,4,108,115,-7,2516.0,Detroit full timeout,Indiana,202311240IND
12:00.0,96-97,,4,96,97,-1,2160.0,Start of 4th quarter,Indiana,202311240IND
0:00.0,113-136,,4,113,136,-23,2880.0,J. Ivey misses 3-pt jump shot from 28 ft,Indiana,202311240IND
6:12.0,12-14,,1,14,12,2,348.0, ,Washington,202311270DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: D. Gafford vs. J. Duren (J. Ivey gains possession),Washington,202311270DET
6:10.0,44-42,,2,42,44,-2,1070.0,J. Duren makes 2-pt hook shot from 6 ft (assist by J. Ivey),Washington,202311270DET
12:00.0,31-27,,2,27,31,-4,720.0,Start of 2nd quarter,Washington,202311270DET
6:15.0,73-67,,3,67,73,-6,1785.0,J. Ivey makes 2-pt layup from 1 ft,Washington,202311270DET
12:00.0,57-54,,3,54,57,-3,1440.0,Start of 3rd quarter,Washington,202311270DET
6:14.0,110-95,,4,95,110,-15,2506.0,C. Cunningham makes 2-pt jump shot from 16 ft,Washington,202311270DET
12:00.0,94-83,,4,83,94,-11,2160.0,Start of 4th quarter,Washington,202311270DET
0:00.0,126-107,,4,107,126,-19,2880.0,I. Livers misses 2-pt jump shot from 8 ft,Washington,202311270DET
6:00.0,19-12,,1,12,19,-7,360.0,J. Duren misses 2-pt hook shot from 5 ft,LA Lakers,202311290DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: A. Davis vs. J. Duren (A. Thompson gains possession),LA Lakers,202311290DET
6:12.0,49-36,,2,36,49,-13,1068.0, ,LA Lakers,202311290DET
12:00.0,38-24,,2,24,38,-14,720.0,Start of 2nd quarter,LA Lakers,202311290DET
6:14.0,81-61,,3,61,81,-20,1786.0, ,LA Lakers,202311290DET
12:00.0,65-48,,3,48,65,-17,1440.0,Start of 3rd quarter,LA Lakers,202311290DET
6:14.0,118-87,,4,87,118,-31,2506.0,A. Burks makes 2-pt jump shot from 18 ft,LA Lakers,202311290DET
12:00.0,101-76,,4,76,101,-25,2160.0,Start of 4th quarter,LA Lakers,202311290DET
0:00.0,133-107,,4,107,133,-26,2880.0,End of 4th quarter,LA Lakers,202311290DET
6:12.0,10-12,Lead change,1,10,12,-2,348.0, ,New York,202311300NYK
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Duren vs. M. Robinson (R. Barrett gains possession),New York,202311300NYK
6:00.0,34-40,,2,34,40,-6,1080.0,Turnover by I. Stewart (lost ball; steal by M. Robinson),New York,202311300NYK
12:00.0,17-31,,2,17,31,-14,720.0,Start of 2nd quarter,New York,202311300NYK
6:05.0,67-69,,3,67,69,-2,1795.0,Defensive rebound by I. Stewart,New York,202311300NYK
12:00.0,54-54,,3,54,54,0,1440.0,Start of 3rd quarter,New York,202311300NYK
6:02.0,98-103,,4,98,103,-5,2518.0, ,New York,202311300NYK
12:00.0,87-85,,4,87,85,2,2160.0,Start of 4th quarter,New York,202311300NYK
0:00.0,112-118,,4,112,118,-6,2880.0,End of 4th quarter,New York,202311300NYK
6:06.0,14-17,,1,17,14,3,354.0, ,Cleveland,202312020DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Allen vs. J. Duren (C. Cunningham gains possession),Cleveland,202312020DET
6:06.0,37-36,,2,36,37,-1,1074.0,J. Duren makes 2-pt layup from 4 ft (assist by J. Ivey),Cleveland,202312020DET
12:00.0,25-30,,2,30,25,5,720.0,Start of 2nd quarter,Cleveland,202312020DET
6:02.0,62-66,,3,66,62,4,1798.0, ,Cleveland,202312020DET
12:00.0,54-48,,3,48,54,-6,1440.0,Start of 3rd quarter,Cleveland,202312020DET
6:00.0,96-92,,4,92,96,-4,2520.0, ,Cleveland,202312020DET
12:00.0,85-82,,4,82,85,-3,2160.0,Start of 4th quarter,Cleveland,202312020DET
0:00.0,110-101,,4,101,110,-9,2880.0,End of 4th quarter,Cleveland,202312020DET
6:02.0,12-13,,1,13,12,1,358.0,Defensive rebound by I. Stewart,Memphis,202312060DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Jackson vs. J. Duren (J. Jackson gains possession),Memphis,202312060DET
6:08.0,40-39,,2,39,40,-1,1072.0,J. Ivey makes 2-pt layup from 1 ft (assist by B. Bogdanović),Memphis,202312060DET
12:00.0,31-29,,2,29,31,-2,720.0,Start of 2nd quarter,Memphis,202312060DET
6:14.0,68-69,,3,69,68,1,1786.0, ,Memphis,202312060DET
12:00.0,52-56,,3,56,52,4,1440.0,Start of 3rd quarter,Memphis,202312060DET
6:12.0,96-88,,4,88,96,-8,2508.0, ,Memphis,202312060DET
12:00.0,82-84,,4,84,82,2,2160.0,Start of 4th quarter,Memphis,202312060DET
0:00.0,116-102,,4,102,116,-14,2880.0,End of 4th quarter,Memphis,202312060DET
6:08.0,15-12,,1,15,12,3,352.0,M. Bagley makes 2-pt dunk from 1 ft (assist by C. Cunningham),Orlando,202312080ORL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Bagley vs. G. Bitadze (I. Stewart gains possession),Orlando,202312080ORL
6:00.0,31-43,,2,31,43,-12,1080.0,A. Burks makes free throw 1 of 1,Orlando,202312080ORL
12:00.0,23-28,,2,23,28,-5,720.0,Start of 2nd quarter,Orlando,202312080ORL
6:00.0,51-75,,3,51,75,-24,1800.0,K. Hayes makes 2-pt jump shot from 16 ft (assist by C. Cunningham),Orlando,202312080ORL
12:00.0,44-58,,3,44,58,-14,1440.0,Start of 3rd quarter,Orlando,202312080ORL
6:01.0,80-111,,4,80,111,-31,2519.0, ,Orlando,202312080ORL
12:00.0,68-93,,4,68,93,-25,2160.0,Start of 4th quarter,Orlando,202312080ORL
0:00.0,91-123,,4,91,123,-32,2880.0,End of 4th quarter,Orlando,202312080ORL
6:18.0,18-15,,1,15,18,-3,342.0,I. Livers enters the game for K. Hayes,Indiana,202312110DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Turner vs. I. Stewart (T. Haliburton gains possession),Indiana,202312110DET
6:00.0,50-49,,2,49,50,-1,1080.0,I. Livers makes 3-pt jump shot from 25 ft (assist by I. Stewart),Indiana,202312110DET
12:00.0,33-36,,2,36,33,3,720.0,Start of 2nd quarter,Indiana,202312110DET
6:17.0,82-77,,3,77,82,-5,1783.0, ,Indiana,202312110DET
12:00.0,66-61,,3,61,66,-5,1440.0,Start of 3rd quarter,Indiana,202312110DET
6:00.0,115-108,,4,108,115,-7,2520.0,Detroit full timeout,Indiana,202312110DET
12:00.0,98-93,,4,93,98,-5,2160.0,Start of 4th quarter,Indiana,202312110DET
0:00.0,131-123,,4,123,131,-8,2880.0,End of 4th quarter,Indiana,202312110DET
6:10.0,19-17,,1,17,19,-2,350.0,J. Wiseman makes 2-pt layup from 3 ft (assist by B. Bogdanović),Philadelphia,202312130DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Embiid vs. I. Stewart (K. Hayes gains possession),Philadelphia,202312130DET
6:00.0,53-40,,2,40,53,-13,1080.0, ,Philadelphia,202312130DET
12:00.0,39-26,,2,26,39,-13,720.0,Start of 2nd quarter,Philadelphia,202312130DET
6:01.0,86-70,,3,70,86,-16,1799.0, ,Philadelphia,202312130DET
12:00.0,70-56,,3,56,70,-14,1440.0,Start of 3rd quarter,Philadelphia,202312130DET
6:03.0,118-89,,4,89,118,-29,2517.0,Defensive rebound by A. Thompson,Philadelphia,202312130DET
12:00.0,104-80,,4,80,104,-24,2160.0,Start of 4th quarter,Philadelphia,202312130DET
0:00.0,129-111,,4,111,129,-18,2880.0,End of 4th quarter,Philadelphia,202312130DET
6:02.0,5-15,,1,5,15,-10,358.0, ,Philadelphia,202312150PHI
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: I. Stewart vs. J. Embiid (T. Maxey gains possession),Philadelphia,202312150PHI
6:02.0,34-43,,2,34,43,-9,1078.0,A. Thompson makes 2-pt layup from 1 ft (assist by C. Cunningham),Philadelphia,202312150PHI
12:00.0,22-26,,2,22,26,-4,720.0,Start of 2nd quarter,Philadelphia,202312150PHI
6:03.0,52-82,,3,52,82,-30,1797.0,J. Wiseman makes 2-pt hook shot from 10 ft (assist by J. Ivey),Philadelphia,202312150PHI
12:00.0,39-61,,3,39,61,-22,1440.0,Start of 3rd quarter,Philadelphia,202312150PHI
6:04.0,71-109,,4,71,109,-38,2516.0, ,Philadelphia,202312150PHI
12:00.0,62-94,,4,62,94,-32,2160.0,Start of 4th quarter,Philadelphia,202312150PHI
0:00.0,92-124,,4,92,124,-32,2880.0,End of 4th quarter,Philadelphia,202312150PHI
6:01.0,10-22,,1,10,22,-12,359.0, ,Milwaukee,202312160MIL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Bagley vs. B. Lopez (D. Lillard gains possession),Milwaukee,202312160MIL
6:00.0,34-64,,2,34,64,-30,1080.0, ,Milwaukee,202312160MIL
12:00.0,20-43,,2,20,43,-23,720.0,Start of 2nd quarter,Milwaukee,202312160MIL
6:10.0,73-94,,3,73,94,-21,1790.0, ,Milwaukee,202312160MIL
12:00.0,56-81,,3,56,81,-25,1440.0,Start of 3rd quarter,Milwaukee,202312160MIL
6:00.0,101-133,,4,101,133,-32,2520.0,C. Cunningham makes free throw 1 of 1,Milwaukee,202312160MIL
12:00.0,83-114,,4,83,114,-31,2160.0,Start of 4th quarter,Milwaukee,202312160MIL
0:00.0,114-146,,4,114,146,-32,2880.0,End of 4th quarter,Milwaukee,202312160MIL
6:09.0,10-20,,1,10,20,-10,351.0, ,Atlanta,202312180ATL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Bagley vs. C. Capela (B. Bogdanović gains possession),Atlanta,202312180ATL
6:00.0,39-47,,2,39,47,-8,1080.0,M. Bagley makes 2-pt layup from 2 ft,Atlanta,202312180ATL
12:00.0,25-38,,2,25,38,-13,720.0,Start of 2nd quarter,Atlanta,202312180ATL
6:04.0,69-82,,3,69,82,-13,1796.0,Turnover by A. Thompson (step out of bounds),Atlanta,202312180ATL
12:00.0,52-61,,3,52,61,-9,1440.0,Start of 3rd quarter,Atlanta,202312180ATL
6:01.0,107-115,,4,107,115,-8,2519.0, ,Atlanta,202312180ATL
12:00.0,84-96,,4,84,96,-12,2160.0,Start of 4th quarter,Atlanta,202312180ATL
0:00.0,124-130,,4,124,130,-6,2880.0,End of 4th quarter,Atlanta,202312180ATL
6:03.0,19-22,,1,22,19,3,357.0,B. Bogdanović misses 3-pt jump shot from 24 ft,Utah,202312210DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Collins vs. M. Bagley (I. Stewart gains possession),Utah,202312210DET
6:10.0,52-46,,2,46,52,-6,1070.0,C. Cunningham makes 3-pt jump shot from 24 ft (assist by I. Stewart),Utah,202312210DET
12:00.0,34-32,,2,32,34,-2,720.0,Start of 2nd quarter,Utah,202312210DET
6:01.0,78-76,,3,76,78,-2,1799.0,J. Ivey makes 2-pt layup from 7 ft,Utah,202312210DET
12:00.0,64-58,,3,58,64,-6,1440.0,Start of 3rd quarter,Utah,202312210DET
6:00.0,104-97,,4,97,104,-7,2520.0, ,Utah,202312210DET
12:00.0,90-88,,4,88,90,-2,2160.0,Start of 4th quarter,Utah,202312210DET
0:00.0,119-111,,4,111,119,-8,2880.0,End of 4th quarter,Utah,202312210DET
6:23.0,15-12,,1,15,12,3,337.0,C. Cunningham makes 2-pt jump shot from 19 ft,Brooklyn,202312230BRK
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: I. Stewart vs. N. Claxton (J. Ivey gains possession),Brooklyn,202312230BRK
6:10.0,40-47,,2,40,47,-7,1070.0,J. Ivey makes free throw 2 of 2,Brooklyn,202312230BRK
12:00.0,21-32,,2,21,32,-11,720.0,Start of 2nd quarter,Brooklyn,202312230BRK
6:02.0,75-79,,3,75,79,-4,1798.0,Turnover by B. Bogdanović (bad pass; steal by C. Johnson),Brooklyn,202312230BRK
12:00.0,56-65,,3,56,65,-9,1440.0,Start of 3rd quarter,Brooklyn,202312230BRK
6:04.0,98-114,,4,98,114,-16,2516.0, ,Brooklyn,202312230BRK
12:00.0,82-98,,4,82,98,-16,2160.0,Start of 4th quarter,Brooklyn,202312230BRK
0:00.0,115-126,,4,115,126,-11,2880.0,End of 4th quarter,Brooklyn,202312230BRK
6:07.0,8-20,,1,20,8,12,353.0, ,Brooklyn,202312260DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: N. Claxton vs. J. Duren (J. Ivey gains possession),Brooklyn,202312260DET
6:03.0,42-41,,2,41,42,-1,1077.0,I. Stewart makes 3-pt jump shot from 23 ft (assist by C. Cunningham),Brooklyn,202312260DET
12:00.0,25-31,,2,31,25,6,720.0,Start of 2nd quarter,Brooklyn,202312260DET
6:07.0,71-71,Tie,3,71,71,0,1793.0,C. Cunningham makes 2-pt jump shot from 15 ft,Brooklyn,202312260DET
12:00.0,61-54,,3,54,61,-7,1440.0,Start of 3rd quarter,Brooklyn,202312260DET
6:11.0,100-97,,4,97,100,-3,2509.0, ,Brooklyn,202312260DET
12:00.0,88-85,,4,85,88,-3,2160.0,Start of 4th quarter,Brooklyn,202312260DET
