event,TeamScore,opponentScore,pointDifference,elapsedTime,opponent,id
,0,0,0,0.0,CHA,202310250CHO
,2,0,2,25.0,CHA,202310250CHO
T,2,2,0,56.0,CHA,202310250CHO
LC,2,4,-2,70.0,CHA,202310250CHO
T,4,4,0,81.0,CHA,202310250CHO
LC,6,4,2,106.0,CHA,202310250CHO
T,6,6,0,161.0,CHA,202310250CHO
,8,6,2,194.0,CHA,202310250CHO
T,8,8,0,231.0,CHA,202310250CHO
LC,8,10,-2,257.0,CHA,202310250CHO
T,10,10,0,272.0,CHA,202310250CHO
,10,12,-2,283.0,CHA,202310250CHO
,10,13,-3,283.0,CHA,202310250CHO
,12,13,-1,303.0,CHA,202310250CHO
,12,15,-3,316.0,CHA,202310250CHO
,12,17,-5,340.0,CHA,202310250CHO
,14,17,-3,357.0,CHA,202310250CHO
,15,17,-2,425.0,CHA,202310250CHO
,16,17,-1,425.0,CHA,202310250CHO
LC,18,17,1,459.0,CHA,202310250CHO
LC,18,20,-2,507.0,CHA,202310250CHO
T,20,20,0,530.0,CHA,202310250CHO
LC,22,20,2,547.0,CHA,202310250CHO
,22,21,1,583.0,CHA,202310250CHO
LC,22,23,-1,602.0,CHA,202310250CHO
LC,24,23,1,638.0,CHA,202310250CHO
,26,23,3,654.0,CHA,202310250CHO
,28,23,5,672.0,CHA,202310250CHO
,29,23,6,694.0,CHA,202310250CHO
,29,25,4,716.0,CHA,202310250CHO
,31,25,6,738.0,CHA,202310250CHO
,32,25,7,800.0,CHA,202310250CHO
,33,25,8,800.0,CHA,202310250CHO
,34,25,9,834.0,CHA,202310250CHO
,35,25,10,834.0,CHA,202310250CHO
,35,26,9,873.0,CHA,202310250CHO
,35,27,8,873.0,CHA,202310250CHO
,35,29,6,894.0,CHA,202310250CHO
,35,31,4,916.0,CHA,202310250CHO
,37,31,6,936.0,CHA,202310250CHO
,37,33,4,952.0,CHA,202310250CHO
,40,33,7,968.0,CHA,202310250CHO
,41,33,8,989.0,CHA,202310250CHO
,42,33,9,989.0,CHA,202310250CHO
,44,33,11,1066.0,CHA,202310250CHO
,44,35,9,1086.0,CHA,202310250CHO
,45,35,10,1098.0,CHA,202310250CHO
,45,38,7,1130.0,CHA,202310250CHO
,47,38,9,1161.0,CHA,202310250CHO
,47,39,8,1179.0,CHA,202310250CHO
,47,40,7,1179.0,CHA,202310250CHO
,49,40,9,1219.0,CHA,202310250CHO
,49,41,8,1224.0,CHA,202310250CHO
,49,42,7,1239.0,CHA,202310250CHO
,49,43,6,1239.0,CHA,202310250CHO
,49,46,3,1263.0,CHA,202310250CHO
,50,46,4,1287.0,CHA,202310250CHO
,51,46,5,1287.0,CHA,202310250CHO
,51,49,2,1324.0,CHA,202310250CHO
T,51,51,0,1367.0,CHA,202310250CHO
,52,51,1,1388.0,CHA,202310250CHO
,54,51,3,1459.0,CHA,202310250CHO
,56,51,5,1496.0,CHA,202310250CHO
,56,54,2,1565.0,CHA,202310250CHO
,58,54,4,1581.0,CHA,202310250CHO
,58,57,1,1594.0,CHA,202310250CHO
,60,57,3,1613.0,CHA,202310250CHO
,60,59,1,1630.0,CHA,202310250CHO
LC,60,61,-1,1681.0,CHA,202310250CHO
LC,63,61,2,1701.0,CHA,202310250CHO
,63,62,1,1712.0,CHA,202310250CHO
T,63,63,0,1712.0,CHA,202310250CHO
LC,63,65,-2,1740.0,CHA,202310250CHO
,63,67,-4,1786.0,CHA,202310250CHO
,64,67,-3,1802.0,CHA,202310250CHO
,65,67,-2,1802.0,CHA,202310250CHO
,65,69,-4,1866.0,CHA,202310250CHO
,66,69,-3,1879.0,CHA,202310250CHO
,67,69,-2,1879.0,CHA,202310250CHO
,67,71,-4,2001.0,CHA,202310250CHO
,67,73,-6,2024.0,CHA,202310250CHO
,68,73,-5,2037.0,CHA,202310250CHO
,69,73,-4,2037.0,CHA,202310250CHO
,69,76,-7,2056.0,CHA,202310250CHO
,71,76,-5,2077.0,CHA,202310250CHO
,71,78,-7,2106.0,CHA,202310250CHO
,73,78,-5,2157.0,CHA,202310250CHO
,73,80,-7,2172.0,CHA,202310250CHO
