id,OpponentName,Diffs
202110210MIA,Milwaukee,"0,12,23,20,29,34,36,35,42"
202110230IND,Indiana,"0,6,-4,-12,-10,-8,-1,5,-11"
202110250MIA,Orlando,"0,2,12,16,13,9,11,19,17"
202110270BRK,Brooklyn,"0,2,7,9,-2,1,7,3,13"
202110290MIA,Charlotte,"0,6,11,24,18,13,9,10,15"
202110300MEM,Memphis,"0,11,16,16,13,21,23,22,26"
202111020DAL,Dallas,"0,-8,-6,4,8,8,11,12,15"
202111040MIA,Boston,"0,5,6,-2,-18,-15,-18,-21,-17"
202111060MIA,Utah,"0,3,3,9,3,7,9,18,3"
202111080DEN,Denver,"0,-9,-5,-11,-15,-23,-21,-15,-17"
202111100LAL,LA Lakers,"0,-2,-3,-5,2,-1,4,7,-3"
202111110LAC,LA Clippers,"0,10,15,13,2,-3,-8,-9,-3"
202111130UTA,Utah,"0,9,3,8,10,23,26,22,6"
202111150OKC,Oklahoma City,"0,6,-1,1,0,8,7,17,13"
202111170MIA,New Orleans,"0,-6,-13,-10,-5,1,11,16,15"
202111180MIA,Washington,"0,-5,2,6,7,14,13,14,15"
202111200WAS,Washington,"0,-3,-1,-1,2,11,4,5,-3"
202111230DET,Detroit,"0,-3,-5,-2,-7,-7,-9,5,7"
202111240MIN,Minnesota,"0,5,-3,7,8,3,-4,-6,-12"
202111270CHI,Chicago,"0,1,7,5,3,2,-2,5,3"
202111290MIA,Denver,"0,0,-9,-12,-20,-22,-17,-15,-9"
202112010MIA,Cleveland,"0,0,-15,-11,-18,-12,-24,-17,-26"
202112030IND,Indiana,"0,4,7,8,7,6,11,20,9"
202112040MIL,Milwaukee,"0,-4,-11,-14,-17,-21,-29,-26,-22"
202112060MIA,Memphis,"0,-14,-9,-13,-11,-11,-15,-14,-15"
202112080MIA,Milwaukee,"0,6,-2,-2,-7,-2,6,3,9"
202112110MIA,Chicago,"0,12,14,12,13,18,16,21,26"
202112130CLE,Cleveland,"0,-4,2,-4,-11,-3,-5,-14,-11"
202112150PHI,Philadelphia,"0,3,11,12,9,21,11,7,5"
202112170ORL,Orlando,"0,-7,9,9,9,11,10,15,10"
202112190DET,Detroit,"0,-5,3,2,2,2,-12,-7,-10"
202112210MIA,Indiana,"0,3,12,20,23,21,29,30,29"
202112230MIA,Detroit,"0,-4,0,-4,-6,-1,1,-2,3"
202112260MIA,Orlando,"0,-3,-2,2,3,13,12,8,10"
202112280MIA,Washington,"0,3,14,16,14,26,18,16,7"
202112310HOU,Houston,"0,0,11,22,14,16,13,10,10"
202201020SAC,Sacramento,"0,0,-8,-2,-4,2,0,1,-2"
202201030GSW,Golden State,"0,-8,-8,1,-5,-1,-7,-7,-7"
202201050POR,Portland,"0,7,7,14,11,6,3,4,6"
202201080PHO,Phoenix,"0,0,4,13,21,21,19,21,23"
202201120ATL,Atlanta,"0,-7,-6,1,5,20,19,18,24"
202201140MIA,Atlanta,"0,9,10,-2,-6,-6,-5,-7,6"
202201150MIA,Philadelphia,"0,-4,9,2,7,8,-2,-6,-11"
202201170MIA,Toronto,"0,5,-3,0,7,1,5,7,5"
202201190MIA,Portland,"0,-5,-3,5,2,-4,-2,2,12"
202201210ATL,Atlanta,"0,5,-1,-3,-9,-7,-14,-9,-2"
202201230MIA,LA Lakers,"0,10,14,17,17,19,19,16,6"
202201260MIA,New York,"0,10,14,15,13,23,25,20,14"
202201280MIA,LA Clippers,"0,3,9,8,12,19,16,9,7"
202201290MIA,Toronto,"0,-1,-1,-12,-6,-8,-10,-5,0,0,-4"
202201310BOS,Boston,"0,-11,-13,-3,-9,-11,-24,-26,-30"
202202010TOR,Toronto,"0,8,10,10,12,7,3,1,-4"
202202030SAS,San Antonio,"0,-3,2,8,10,13,22,25,17"
202202050CHO,Charlotte,"0,-3,8,4,-5,6,22,27,18"
202202070WAS,Washington,"0,8,15,12,7,11,21,32,21"
202202100NOP,New Orleans,"0,5,3,0,1,6,10,7,15"
202202120MIA,Brooklyn,"0,0,0,6,6,16,15,9,4"
202202150MIA,Dallas,"0,-5,5,7,8,6,-3,-8,-8"
202202170CHO,Charlotte,"0,11,7,-5,-7,-3,-7,-11,0,4,4"
202202250NYK,New York,"0,-7,-2,8,10,7,5,11,15"
