id,OpponentName,Q1,Q2,Q3,Q4
202110210MIA,Milwaukee,23.0,29.0,36.0,42.0
202110230IND,Indiana,-4.0,-10.0,-1.0,
202110250MIA,Orlando,12.0,13.0,11.0,17.0
202110270BRK,Brooklyn,7.0,-2.0,7.0,13.0
202110290MIA,Charlotte,11.0,18.0,9.0,15.0
202110300MEM,Memphis,16.0,13.0,23.0,26.0
202111020DAL,Dallas,-6.0,8.0,11.0,15.0
202111040MIA,Boston,6.0,-18.0,-18.0,-17.0
202111060MIA,Utah,3.0,3.0,9.0,3.0
202111080DEN,Denver,-5.0,-15.0,-21.0,-17.0
202111100LAL,LA Lakers,-3.0,2.0,4.0,
202111110LAC,LA Clippers,15.0,2.0,-8.0,-3.0
202111130UTA,Utah,3.0,10.0,26.0,6.0
202111150OKC,Oklahoma City,-1.0,0.0,7.0,13.0
202111170MIA,New Orleans,-13.0,-5.0,11.0,15.0
202111180MIA,Washington,2.0,7.0,13.0,15.0
202111200WAS,Washington,-1.0,2.0,4.0,-3.0
202111230DET,Detroit,-5.0,-7.0,-9.0,7.0
202111240MIN,Minnesota,-3.0,8.0,-4.0,-12.0
202111270CHI,Chicago,7.0,3.0,-2.0,3.0
202111290MIA,Denver,-9.0,-20.0,-17.0,-9.0
202112010MIA,Cleveland,-15.0,-18.0,-24.0,-26.0
202112030IND,Indiana,7.0,7.0,11.0,9.0
202112040MIL,Milwaukee,-11.0,-17.0,-29.0,-22.0
202112060MIA,Memphis,-9.0,-11.0,-15.0,-15.0
202112080MIA,Milwaukee,-2.0,-7.0,6.0,9.0
202112110MIA,Chicago,14.0,13.0,16.0,26.0
202112130CLE,Cleveland,2.0,-11.0,-5.0,-11.0
202112150PHI,Philadelphia,11.0,9.0,11.0,5.0
202112170ORL,Orlando,9.0,9.0,10.0,10.0
202112190DET,Detroit,3.0,2.0,-12.0,-10.0
202112210MIA,Indiana,12.0,23.0,29.0,29.0
202112230MIA,Detroit,0.0,-6.0,1.0,3.0
202112260MIA,Orlando,-2.0,3.0,12.0,10.0
202112280MIA,Washington,14.0,14.0,18.0,7.0
202112310HOU,Houston,11.0,14.0,13.0,10.0
202201020SAC,Sacramento,-8.0,-4.0,0.0,-2.0
202201030GSW,Golden State,-8.0,-5.0,-7.0,-7.0
202201050POR,Portland,7.0,11.0,3.0,6.0
202201080PHO,Phoenix,4.0,21.0,19.0,23.0
202201120ATL,Atlanta,-6.0,5.0,19.0,24.0
202201140MIA,Atlanta,10.0,-6.0,-5.0,6.0
202201150MIA,Philadelphia,9.0,7.0,-2.0,-11.0
202201170MIA,Toronto,-3.0,7.0,5.0,5.0
202201190MIA,Portland,-3.0,2.0,-2.0,12.0
202201210ATL,Atlanta,-1.0,-9.0,-14.0,-2.0
202201230MIA,LA Lakers,14.0,17.0,19.0,6.0
202201260MIA,New York,14.0,13.0,25.0,14.0
202201280MIA,LA Clippers,9.0,12.0,16.0,7.0
202201290MIA,Toronto,-1.0,-6.0,-10.0,
202201310BOS,Boston,-13.0,-9.0,-24.0,-30.0
202202010TOR,Toronto,10.0,12.0,3.0,-4.0
202202030SAS,San Antonio,2.0,10.0,22.0,17.0
202202050CHO,Charlotte,8.0,-5.0,22.0,18.0
202202070WAS,Washington,15.0,7.0,21.0,21.0
202202100NOP,New Orleans,3.0,1.0,10.0,15.0
202202120MIA,Brooklyn,0.0,6.0,15.0,4.0
202202150MIA,Dallas,5.0,8.0,-3.0,-8.0
202202170CHO,Charlotte,7.0,-7.0,-7.0,
202202250NYK,New York,-2.0,10.0,5.0,15.0
202202260MIA,San Antonio,-12.0,3.0,2.0,4.0
202202280MIA,Chicago,9.0,9.0,24.0,13.0
202203020MIL,Milwaukee,-8.0,2.0,4.0,-1.0
202203030BRK,Brooklyn,-12.0,-7.0,4.0,6.0
202203050MIA,Philadelphia,8.0,14.0,5.0,17.0
202203070MIA,Houston,-7.0,4.0,12.0,17.0
202203090MIA,Phoenix,-2.0,-2.0,-17.0,-21.0
202203110MIA,Cleveland,10.0,1.0,13.0,12.0
202203120MIA,Minnesota,-5.0,12.0,-3.0,-9.0
202203150MIA,Detroit,7.0,6.0,-5.0,7.0
202203180MIA,Oklahoma City,1.0,15.0,24.0,12.0
202203210PHI,Philadelphia,6.0,-1.0,-2.0,-7.0
202203230MIA,Golden State,0.0,0.0,-1.0,-14.0
202203250MIA,New York,7.0,9.0,15.0,-8.0
202203260MIA,Brooklyn,-2.0,-21.0,-28.0,-15.0
202203280MIA,Sacramento,12.0,16.0,25.0,23.0
202203300BOS,Boston,-4.0,1.0,-4.0,8.0
202204020CHI,Chicago,1.0,9.0,19.0,18.0
202204030TOR,Toronto,-6.0,-10.0,1.0,5.0
202204050MIA,Charlotte,-3.0,10.0,5.0,29.0
202204080MIA,Atlanta,2.0,-5.0,4.0,4.0
202204100ORL,Orlando,0.0,-9.0,-13.0,-14.0
