Time,Score,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
0:00.0,117-120,,5,117,120,-3,3600.0,End of 1st overtime,LA Lakers,202111100LAL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. I. Zubac (N. Batum gains possession),LA Clippers,202111110LAC
12:00.0,40-25,,2,40,25,15,720.0,Start of 2nd quarter,LA Clippers,202111110LAC
12:00.0,58-56,,3,58,56,2,1440.0,Start of 3rd quarter,LA Clippers,202111110LAC
12:00.0,78-86,,4,78,86,-8,2160.0,Start of 4th quarter,LA Clippers,202111110LAC
0:00.0,109-112,,4,109,112,-3,2880.0,End of 4th quarter,LA Clippers,202111110LAC
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. R. Gobert (R. O'Neale gains possession),Utah,202111130UTA
12:00.0,27-24,,2,27,24,3,720.0,Start of 2nd quarter,Utah,202111130UTA
12:00.0,58-48,,3,58,48,10,1440.0,Start of 3rd quarter,Utah,202111130UTA
12:00.0,95-69,,4,95,69,26,2160.0,Start of 4th quarter,Utah,202111130UTA
0:00.0,111-105,,4,111,105,6,2880.0, ,Utah,202111130UTA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: D. Dedmon vs. J. Robinson-Earl (P. Tucker gains possession),Oklahoma City,202111150OKC
12:00.0,23-24,,2,23,24,-1,720.0,Start of 2nd quarter,Oklahoma City,202111150OKC
12:00.0,43-43,,3,43,43,0,1440.0,Start of 3rd quarter,Oklahoma City,202111150OKC
12:00.0,74-67,,4,74,67,7,2160.0,Start of 4th quarter,Oklahoma City,202111150OKC
0:00.0,103-90,,4,103,90,13,2880.0,End of 4th quarter,Oklahoma City,202111150OKC
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Valančiūnas vs. D. Dedmon (D. Robinson gains possession),New Orleans,202111170MIA
12:00.0,34-21,,2,21,34,-13,720.0,Start of 2nd quarter,New Orleans,202111170MIA
12:00.0,52-47,,3,47,52,-5,1440.0,Start of 3rd quarter,New Orleans,202111170MIA
12:00.0,70-81,,4,81,70,11,2160.0,Start of 4th quarter,New Orleans,202111170MIA
0:00.0,98-113,,4,113,98,15,2880.0,End of 4th quarter,New Orleans,202111170MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Harrell vs. B. Adebayo (K. Lowry gains possession),Washington,202111180MIA
12:00.0,19-21,,2,21,19,2,720.0,Start of 2nd quarter,Washington,202111180MIA
12:00.0,40-47,,3,47,40,7,1440.0,Start of 3rd quarter,Washington,202111180MIA
12:00.0,70-83,,4,83,70,13,2160.0,Start of 4th quarter,Washington,202111180MIA
0:00.0,97-112,,4,112,97,15,2880.0,End of 4th quarter,Washington,202111180MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. D. Gafford (J. Butler gains possession),Washington,202111200WAS
12:00.0,25-26,,2,25,26,-1,720.0,Start of 2nd quarter,Washington,202111200WAS
12:00.0,43-41,,3,43,41,2,1440.0,Start of 3rd quarter,Washington,202111200WAS
