Time,Score,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: D. Finney-Smith vs. K. Porziņģis (J. Brown gains possession),Brooklyn,202311100BOS
6:12.0,38-48,,2,48,38,10,1068.0,J. Brown makes free throw 2 of 2,Brooklyn,202311100BOS
12:00.0,33-38,,2,38,33,5,720.0,Start of 2nd quarter,Brooklyn,202311100BOS
6:04.0,63-79,,3,79,63,16,1796.0,Defensive rebound by J. Holiday,Brooklyn,202311100BOS
12:00.0,54-66,,3,66,54,12,1440.0,Start of 3rd quarter,Brooklyn,202311100BOS
6:06.0,92-111,,4,111,92,19,2514.0, ,Brooklyn,202311100BOS
12:00.0,84-93,,4,93,84,9,2160.0,Start of 4th quarter,Brooklyn,202311100BOS
0:00.0,107-121,,4,121,107,14,2880.0,End of 4th quarter,Brooklyn,202311100BOS
6:04.0,14-15,,1,15,14,1,356.0, ,Toronto,202311110BOS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Poeltl vs. K. Porziņģis (S. Barnes gains possession),Toronto,202311110BOS
6:03.0,37-45,,2,45,37,8,1077.0, ,Toronto,202311110BOS
12:00.0,26-30,,2,30,26,4,720.0,Start of 2nd quarter,Toronto,202311110BOS
6:10.0,57-81,,3,81,57,24,1790.0,J. Brown makes 3-pt jump shot from 23 ft (assist by D. White),Toronto,202311110BOS
12:00.0,46-55,,3,55,46,9,1440.0,Start of 3rd quarter,Toronto,202311110BOS
6:03.0,78-103,,4,103,78,25,2517.0, ,Toronto,202311110BOS
12:00.0,71-88,,4,88,71,17,2160.0,Start of 4th quarter,Toronto,202311110BOS
0:00.0,94-117,,4,117,94,23,2880.0,End of 4th quarter,Toronto,202311110BOS
6:01.0,16-14,,1,14,16,-2,359.0, ,New York,202311130BOS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Robinson vs. K. Porziņģis (D. White gains possession),New York,202311130BOS
6:09.0,37-32,,2,32,37,-5,1071.0,K. Porziņģis enters the game for P. Pritchard,New York,202311130BOS
12:00.0,24-25,,2,25,24,1,720.0,Start of 2nd quarter,New York,202311130BOS
6:06.0,59-63,,3,63,59,4,1794.0, ,New York,202311130BOS
12:00.0,53-52,,3,52,53,-1,1440.0,Start of 3rd quarter,New York,202311130BOS
6:10.0,90-98,,4,98,90,8,2510.0,Turnover by J. Brown (traveling),New York,202311130BOS
12:00.0,76-84,,4,84,76,8,2160.0,Start of 4th quarter,New York,202311130BOS
0:00.0,98-114,,4,114,98,16,2880.0,End of 4th quarter,New York,202311130BOS
6:03.0,16-16,Tie,1,16,16,0,357.0, ,Philadelphia,202311150PHI
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: A. Horford vs. J. Embiid (R. Covington gains possession),Philadelphia,202311150PHI
6:15.0,47-38,,2,47,38,9,1065.0,Turnover by L. Kornet (bad pass),Philadelphia,202311150PHI
12:00.0,37-22,,2,37,22,15,720.0,Start of 2nd quarter,Philadelphia,202311150PHI
6:07.0,72-71,,3,72,71,1,1793.0, ,Philadelphia,202311150PHI
12:00.0,57-58,,3,57,58,-1,1440.0,Start of 3rd quarter,Philadelphia,202311150PHI
6:00.0,99-98,,4,99,98,1,2520.0, ,Philadelphia,202311150PHI
12:00.0,83-75,,4,83,75,8,2160.0,Start of 4th quarter,Philadelphia,202311150PHI
0:00.0,117-107,,4,117,107,10,2880.0,End of 4th quarter,Philadelphia,202311150PHI
6:07.0,14-19,,1,14,19,-5,353.0, ,Toronto,202311170TOR
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: K. Porziņģis vs. J. Poeltl (J. Tatum gains possession),Toronto,202311170TOR
6:01.0,42-37,,2,42,37,5,1079.0, ,Toronto,202311170TOR
12:00.0,26-32,,2,26,32,-6,720.0,Start of 2nd quarter,Toronto,202311170TOR
6:01.0,73-69,,3,73,69,4,1799.0, ,Toronto,202311170TOR
12:00.0,65-49,,3,65,49,16,1440.0,Start of 3rd quarter,Toronto,202311170TOR
6:12.0,95-93,Lead change,4,95,93,2,2508.0,D. White makes 3-pt jump shot from 27 ft (assist by J. Tatum),Toronto,202311170TOR
12:00.0,84-81,,4,84,81,3,2160.0,Start of 4th quarter,Toronto,202311170TOR
0:00.0,108-105,,4,108,105,3,2880.0,End of 4th quarter,Toronto,202311170TOR
6:00.0,11-13,,1,11,13,-2,360.0,Turnover by J. Holiday (bad pass; steal by D. Bane),Memphis,202311190MEM
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: K. Porziņģis vs. J. Jackson (D. White gains possession),Memphis,202311190MEM
6:07.0,40-38,,2,40,38,2,1073.0, ,Memphis,202311190MEM
12:00.0,26-27,,2,26,27,-1,720.0,Start of 2nd quarter,Memphis,202311190MEM
6:07.0,70-64,,3,70,64,6,1793.0,Jump ball: J. Konchar vs. A. Horford (D. Roddy gains possession),Memphis,202311190MEM
12:00.0,56-53,,3,56,53,3,1440.0,Start of 3rd quarter,Memphis,202311190MEM
6:09.0,90-86,,4,90,86,4,2511.0, ,Memphis,202311190MEM
12:00.0,79-76,,4,79,76,3,2160.0,Start of 4th quarter,Memphis,202311190MEM
0:00.0,102-100,,4,102,100,2,2880.0, ,Memphis,202311190MEM
6:04.0,11-14,,1,11,14,-3,356.0, ,Charlotte,202311200CHO
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: K. Porziņģis vs. M. Williams (J. Brown gains possession),Charlotte,202311200CHO
6:05.0,53-38,,2,53,38,15,1075.0, ,Charlotte,202311200CHO
