Time,Score,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
12:00.0,0-0,,1,0,0,0,0.0,Violation by Team (delay of game),Chicago,202210190MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: N. Vučević vs. B. Adebayo (T. Herro gains possession),Chicago,202210190MIA
12:00.0,28-33,,2,33,28,5,720.0,Start of 2nd quarter,Chicago,202210190MIA
12:00.0,59-59,,3,59,59,0,1440.0,Start of 3rd quarter,Chicago,202210190MIA
12:00.0,59-59,,3,59,59,0,1440.0, ,Chicago,202210190MIA
12:00.0,59-59,,3,59,59,0,1440.0,Violation by Team (delay of game),Chicago,202210190MIA
12:00.0,96-86,,4,86,96,-10,2160.0,Start of 4th quarter,Chicago,202210190MIA
0:00.0,116-108,,4,108,116,-8,2880.0,End of 4th quarter,Chicago,202210190MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: A. Horford vs. B. Adebayo (K. Lowry gains possession),Boston,202210210MIA
12:00.0,30-22,,2,22,30,-8,720.0,Start of 2nd quarter,Boston,202210210MIA
12:00.0,59-51,,3,51,59,-8,1440.0,Start of 3rd quarter,Boston,202210210MIA
12:00.0,89-77,,4,77,89,-12,2160.0,Start of 4th quarter,Boston,202210210MIA
0:00.0,111-104,,4,104,111,-7,2880.0,End of 4th quarter,Boston,202210210MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: S. Barnes vs. B. Adebayo (F. VanVleet gains possession),Toronto,202210220MIA
12:00.0,33-38,,2,38,33,5,720.0,Start of 2nd quarter,Toronto,202210220MIA
12:00.0,50-71,,3,71,50,21,1440.0,Start of 3rd quarter,Toronto,202210220MIA
12:00.0,83-92,,4,92,83,9,2160.0,Start of 4th quarter,Toronto,202210220MIA
0:00.0,109-112,,4,112,109,3,2880.0,End of 4th quarter,Toronto,202210220MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Koloko vs. B. Adebayo (M. Strus gains possession),Toronto,202210240MIA
12:00.0,27-23,,2,23,27,-4,720.0,Start of 2nd quarter,Toronto,202210240MIA
12:00.0,48-43,,3,43,48,-5,1440.0,Start of 3rd quarter,Toronto,202210240MIA
12:00.0,71-76,,4,76,71,5,2160.0,Start of 4th quarter,Toronto,202210240MIA
0:00.0,98-90,,4,90,98,-8,2880.0,End of 4th quarter,Toronto,202210240MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. J. Nurkić (K. Lowry gains possession),Portland,202210260POR
12:00.0,28-31,,2,28,31,-3,720.0,Start of 2nd quarter,Portland,202210260POR
12:00.0,61-56,,3,61,56,5,1440.0,Start of 3rd quarter,Portland,202210260POR
12:00.0,94-81,,4,94,81,13,2160.0,Start of 4th quarter,Portland,202210260POR
0:00.0,119-98,,4,119,98,21,2880.0,End of 4th quarter,Portland,202210260POR
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. K. Looney (K. Lowry gains possession),Golden State,202210270GSW
12:00.0,30-31,,2,30,31,-1,720.0,Start of 2nd quarter,Golden State,202210270GSW
12:00.0,59-63,,3,59,63,-4,1440.0,Start of 3rd quarter,Golden State,202210270GSW
12:00.0,87-92,,4,87,92,-5,2160.0,Start of 4th quarter,Golden State,202210270GSW
