id,OpponentName,Diffs
202310250NYK,New York,"0,3,12,7,5,4,9,-2,4"
202310270BOS,Miami,"0,-6,-3,-1,5,0,-1,6,8"
202310300WAS,Washington,"0,11,23,27,26,31,33,25,19"
202311010BOS,Indiana,"0,9,17,20,21,31,38,42,51"
202311040BRK,Brooklyn,"0,7,0,1,12,5,3,7,10"
202311060MIN,Minnesota,"0,5,-3,1,3,0,-5,0,-5"
202311080PHI,Philadelphia,"0,5,5,1,-7,-1,-10,-10,-3"
202311100BOS,Brooklyn,"0,6,5,10,12,16,9,19,14"
202311110BOS,Toronto,"0,1,4,8,9,24,17,25,23"
202311130BOS,New York,"0,-2,1,-5,-1,4,8,8,16"
202311150PHI,Philadelphia,"0,0,15,9,-1,1,8,1,10"
202311170TOR,Toronto,"0,-5,-6,5,16,4,3,2,3"
202311190MEM,Memphis,"0,-2,-1,2,3,6,3,4,2"
202311200CHO,Charlotte,"0,-3,6,15,11,5,6,11,-3,-1"
202311220BOS,Milwaukee,"0,8,12,18,14,14,15,13,3"
202311240ORL,Orlando,"0,6,11,4,8,-2,-3,-12,-17"
202311260BOS,Atlanta,"0,3,7,9,16,16,8,11,10"
202311280BOS,Chicago,"0,0,11,18,19,28,29,35,27"
202312010BOS,Philadelphia,"0,4,8,-2,-3,3,-2,3,6"
202312040IND,Indiana,"0,-5,2,-1,7,4,-7,0,-10"
202312080BOS,New York,"0,4,1,-4,9,15,14,10,10"
202312120BOS,Cleveland,"0,-14,-10,-5,-1,-5,2,0,7"
202312140BOS,Cleveland,"0,7,9,10,11,10,3,6,9"
202312150BOS,Orlando,"0,-6,6,6,13,18,23,22,17"
202312170BOS,Orlando,"0,-7,-4,2,11,7,9,16,17"
202312190GSW,Golden State,"0,4,10,6,3,13,11,7,-6,-6"
202312200SAC,Sacramento,"0,-10,-3,3,8,20,23,25,25"
202312230LAC,LA Clippers,"0,0,7,14,17,26,25,31,37"
202312250LAL,LA Lakers,"0,11,9,6,1,9,9,11,11"
202312280BOS,Detroit,"0,-3,-3,-9,-19,-7,0,-1,6,6"
202312290BOS,Toronto,"0,3,15,15,15,15,13,-3,2"
202312310SAS,San Antonio,"0,5,8,9,12,22,29,34,33"
202401020OKC,Oklahoma City,"0,0,-2,-4,3,-5,-12,-15,-4"
202401050BOS,Utah,"0,10,15,36,31,29,32,28,29"
202401060IND,Indiana,"0,9,12,12,9,7,3,11,17"
202401080IND,Indiana,"0,-3,1,0,9,0,-2,-1,0"
