Time,Score,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
6:13.0,19-16,,1,16,19,-3,347.0,J. Butler makes 2-pt jump shot from 14 ft,LA Lakers,202311060MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: A. Davis vs. B. Adebayo (K. Lowry gains possession),LA Lakers,202311060MIA
6:08.0,45-47,,2,47,45,2,1072.0, ,LA Lakers,202311060MIA
12:00.0,33-33,,2,33,33,0,720.0,Start of 2nd quarter,LA Lakers,202311060MIA
6:01.0,74-75,,3,75,74,1,1799.0,T. Herro misses 3-pt jump shot from 26 ft,LA Lakers,202311060MIA
12:00.0,59-62,,3,62,59,3,1440.0,Start of 3rd quarter,LA Lakers,202311060MIA
6:24.0,94-100,,4,100,94,6,2496.0, ,LA Lakers,202311060MIA
12:00.0,79-90,,4,90,79,11,2160.0,Start of 4th quarter,LA Lakers,202311060MIA
0:00.0,107-108,,4,108,107,1,2880.0,End of 4th quarter,LA Lakers,202311060MIA
6:00.0,20-13,,1,20,13,7,360.0, ,Memphis,202311080MEM
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. J. Jackson (T. Herro gains possession),Memphis,202311080MEM
6:02.0,43-38,,2,43,38,5,1078.0, ,Memphis,202311080MEM
12:00.0,33-26,,2,33,26,7,720.0,Start of 2nd quarter,Memphis,202311080MEM
6:00.0,71-64,,3,71,64,7,1800.0, ,Memphis,202311080MEM
12:00.0,54-46,,3,54,46,8,1440.0,Start of 3rd quarter,Memphis,202311080MEM
6:11.0,94-86,,4,94,86,8,2509.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by J. Jaquez),Memphis,202311080MEM
12:00.0,77-76,,4,77,76,1,2160.0,Start of 4th quarter,Memphis,202311080MEM
0:00.0,108-102,,4,108,102,6,2880.0,End of 4th quarter,Memphis,202311080MEM
6:07.0,18-9,,1,18,9,9,353.0,J. Jaquez makes 2-pt layup from 2 ft (assist by B. Adebayo),Atlanta,202311110ATL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. C. Capela (K. Lowry gains possession),Atlanta,202311110ATL
6:00.0,54-33,,2,54,33,21,1080.0, ,Atlanta,202311110ATL
12:00.0,41-24,,2,41,24,17,720.0,Start of 2nd quarter,Atlanta,202311110ATL
6:18.0,74-67,,3,74,67,7,1782.0, ,Atlanta,202311110ATL
12:00.0,63-52,,3,63,52,11,1440.0,Start of 3rd quarter,Atlanta,202311110ATL
6:09.0,106-94,,4,106,94,12,2511.0, ,Atlanta,202311110ATL
12:00.0,93-82,,4,93,82,11,2160.0,Start of 4th quarter,Atlanta,202311110ATL
0:00.0,117-109,,4,117,109,8,2880.0,End of 4th quarter,Atlanta,202311110ATL
6:09.0,7-13,,1,7,13,-6,351.0,K. Love enters the game for D. Robinson,San Antonio,202311120SAS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. V. Wembanyama (J. Richardson gains possession),San Antonio,202311120SAS
6:06.0,34-42,,2,34,42,-8,1074.0, ,San Antonio,202311120SAS
12:00.0,15-29,,2,15,29,-14,720.0,Start of 2nd quarter,San Antonio,202311120SAS
6:09.0,59-69,,3,59,69,-10,1791.0, ,San Antonio,202311120SAS
12:00.0,50-53,,3,50,53,-3,1440.0,Start of 3rd quarter,San Antonio,202311120SAS
6:06.0,96-103,,4,96,103,-7,2514.0,Defensive rebound by J. Jaquez,San Antonio,202311120SAS
12:00.0,82-84,,4,82,84,-2,2160.0,Start of 4th quarter,San Antonio,202311120SAS
0:00.0,118-113,,4,118,113,5,2880.0,End of 4th quarter,San Antonio,202311120SAS
6:05.0,13-19,,1,13,19,-6,355.0,J. Butler makes 2-pt jump shot from 10 ft (assist by D. Robinson),Charlotte,202311140CHO
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. M. Williams (K. Lowry gains possession),Charlotte,202311140CHO
6:02.0,38-38,Tie,2,38,38,0,1078.0, ,Charlotte,202311140CHO
12:00.0,24-32,,2,24,32,-8,720.0,Start of 2nd quarter,Charlotte,202311140CHO
6:04.0,74-64,,3,74,64,10,1796.0, ,Charlotte,202311140CHO
12:00.0,57-48,,3,57,48,9,1440.0,Start of 3rd quarter,Charlotte,202311140CHO
6:17.0,97-93,,4,97,93,4,2503.0, ,Charlotte,202311140CHO
12:00.0,87-80,,4,87,80,7,2160.0,Start of 4th quarter,Charlotte,202311140CHO
0:00.0,111-105,,4,111,105,6,2880.0,End of 4th quarter,Charlotte,202311140CHO
6:13.0,13-9,,1,9,13,-4,347.0,B. Adebayo makes 2-pt jump shot from 16 ft,Brooklyn,202311160MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: N. Claxton vs. B. Adebayo (S. Dinwiddie gains possession),Brooklyn,202311160MIA
6:05.0,47-43,,2,43,47,-4,1075.0,K. Lowry enters the game for D. Robinson,Brooklyn,202311160MIA
12:00.0,27-30,,2,30,27,3,720.0,Start of 2nd quarter,Brooklyn,202311160MIA
6:04.0,64-73,,3,73,64,9,1796.0,Loose ball foul by K. Lowry (drawn by D. Sharpe),Brooklyn,202311160MIA
12:00.0,52-60,,3,60,52,8,1440.0,Start of 3rd quarter,Brooklyn,202311160MIA
6:06.0,99-113,,4,113,99,14,2514.0, ,Brooklyn,202311160MIA
12:00.0,83-95,,4,95,83,12,2160.0,Start of 4th quarter,Brooklyn,202311160MIA
0:00.0,115-122,,4,122,115,7,2880.0,End of 4th quarter,Brooklyn,202311160MIA
6:09.0,20-1,,1,20,1,19,351.0,Defensive rebound by B. Adebayo,Chicago,202311180CHI
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. N. Vučević (J. Butler gains possession),Chicago,202311180CHI
6:14.0,35-28,,2,35,28,7,1066.0, ,Chicago,202311180CHI
12:00.0,26-14,,2,26,14,12,720.0,Start of 2nd quarter,Chicago,202311180CHI
6:21.0,62-53,,3,62,53,9,1779.0,Turnover by H. Highsmith (dbl dribble),Chicago,202311180CHI
12:00.0,50-40,,3,50,40,10,1440.0,Start of 3rd quarter,Chicago,202311180CHI
6:01.0,87-81,,4,87,81,6,2519.0,Defensive rebound by J. Jaquez,Chicago,202311180CHI
12:00.0,76-68,,4,76,68,8,2160.0,Start of 4th quarter,Chicago,202311180CHI
0:00.0,97-102,,4,97,102,-5,2880.0,End of 4th quarter,Chicago,202311180CHI
6:08.0,19-15,,1,19,15,4,352.0,B. Adebayo makes free throw 2 of 2,Chicago,202311200CHI
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. N. Vučević (J. Butler gains possession),Chicago,202311200CHI
6:01.0,47-44,,2,47,44,3,1079.0,K. Love enters the game for D. Robinson,Chicago,202311200CHI
12:00.0,33-27,,2,33,27,6,720.0,Start of 2nd quarter,Chicago,202311200CHI
6:01.0,80-74,,3,80,74,6,1799.0, ,Chicago,202311200CHI
12:00.0,65-53,,3,65,53,12,1440.0,Start of 3rd quarter,Chicago,202311200CHI
6:05.0,106-90,,4,106,90,16,2515.0, ,Chicago,202311200CHI
12:00.0,93-81,,4,93,81,12,2160.0,Start of 4th quarter,Chicago,202311200CHI
0:00.0,118-100,,4,118,100,18,2880.0,End of 4th quarter,Chicago,202311200CHI
6:00.0,19-11,,1,19,11,8,360.0, ,Cleveland,202311220CLE
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: T. Bryant vs. J. Allen (D. Garland gains possession),Cleveland,202311220CLE
6:12.0,54-41,,2,54,41,13,1068.0,J. Butler makes 2-pt jump shot from 21 ft,Cleveland,202311220CLE
12:00.0,37-26,,2,37,26,11,720.0,Start of 2nd quarter,Cleveland,202311220CLE
6:16.0,85-62,,3,85,62,23,1784.0,D. Robinson makes 2-pt layup from 2 ft (assist by K. Lowry),Cleveland,202311220CLE
12:00.0,69-55,,3,69,55,14,1440.0,Start of 3rd quarter,Cleveland,202311220CLE
6:18.0,113-86,,4,113,86,27,2502.0, ,Cleveland,202311220CLE
12:00.0,101-79,,4,101,79,22,2160.0,Start of 4th quarter,Cleveland,202311220CLE
0:00.0,129-96,,4,129,96,33,2880.0,End of 4th quarter,Cleveland,202311220CLE
6:03.0,14-12,Lead change,1,14,12,2,357.0,B. Adebayo makes 2-pt layup from 1 ft (assist by J. Richardson),New York,202311240NYK
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. M. Robinson (K. Lowry gains possession),New York,202311240NYK
6:05.0,37-35,,2,37,35,2,1075.0, ,New York,202311240NYK
12:00.0,28-25,,2,28,25,3,720.0,Start of 2nd quarter,New York,202311240NYK
6:20.0,69-56,,3,69,56,13,1780.0,Miami full timeout,New York,202311240NYK
12:00.0,50-51,,3,50,51,-1,1440.0,Start of 3rd quarter,New York,202311240NYK
6:05.0,93-82,,4,93,82,11,2515.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Jaquez),New York,202311240NYK
12:00.0,87-71,,4,87,71,16,2160.0,Start of 4th quarter,New York,202311240NYK
0:00.0,98-100,,4,98,100,-2,2880.0,J. Butler misses 3-pt jump shot from 26 ft,New York,202311240NYK
6:04.0,5-16,,1,5,16,-11,356.0,Defensive rebound by J. Richardson,Brooklyn,202311250BRK
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: T. Bryant vs. N. Claxton (C. Johnson gains possession),Brooklyn,202311250BRK
6:03.0,41-46,,2,41,46,-5,1077.0, ,Brooklyn,202311250BRK
12:00.0,22-26,,2,22,26,-4,720.0,Start of 2nd quarter,Brooklyn,202311250BRK
6:09.0,64-78,,3,64,78,-14,1791.0,C. Martin makes 2-pt layup from 4 ft,Brooklyn,202311250BRK
12:00.0,53-63,,3,53,63,-10,1440.0,Start of 3rd quarter,Brooklyn,202311250BRK
6:00.0,83-99,,4,83,99,-16,2520.0, ,Brooklyn,202311250BRK
12:00.0,76-90,,4,76,90,-14,2160.0,Start of 4th quarter,Brooklyn,202311250BRK
0:00.0,97-112,,4,97,112,-15,2880.0,End of 4th quarter,Brooklyn,202311250BRK
6:02.0,15-7,,1,7,15,-8,358.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by K. Lowry),Milwaukee,202311280MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Lopez vs. B. Adebayo (G. Antetokounmpo gains possession),Milwaukee,202311280MIA
6:10.0,41-44,Lead change,2,44,41,3,1070.0,J. Cain makes 3-pt jump shot from 23 ft (assist by J. Jaquez),Milwaukee,202311280MIA
12:00.0,31-22,,2,22,31,-9,720.0,Start of 2nd quarter,Milwaukee,202311280MIA
6:03.0,80-78,,3,78,80,-2,1797.0,B. Adebayo makes 2-pt layup from 2 ft (assist by J. Richardson),Milwaukee,202311280MIA
12:00.0,59-62,,3,62,59,3,1440.0,Start of 3rd quarter,Milwaukee,202311280MIA
6:18.0,110-108,,4,108,110,-2,2502.0, ,Milwaukee,202311280MIA
12:00.0,93-97,,4,97,93,4,2160.0,Start of 4th quarter,Milwaukee,202311280MIA
0:00.0,131-124,,4,124,131,-7,2880.0,End of 4th quarter,Milwaukee,202311280MIA
6:08.0,22-14,,1,14,22,-8,352.0, ,Indiana,202311300MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Turner vs. B. Adebayo (J. Butler gains possession),Indiana,202311300MIA
6:01.0,48-45,,2,45,48,-3,1079.0,Loose ball foul by K. Lowry (drawn by B. Brown),Indiana,202311300MIA
12:00.0,38-33,,2,33,38,-5,720.0,Start of 2nd quarter,Indiana,202311300MIA
6:04.0,92-84,,3,84,92,-8,1796.0,J. Butler makes 2-pt dunk from 2 ft (assist by K. Love),Indiana,202311300MIA
12:00.0,73-64,,3,64,73,-9,1440.0,Start of 3rd quarter,Indiana,202311300MIA
6:01.0,107-116,,4,116,107,9,2519.0,J. Butler misses 2-pt jump shot from 6 ft,Indiana,202311300MIA
12:00.0,100-97,,4,97,100,-3,2160.0,Start of 4th quarter,Indiana,202311300MIA
0:00.0,132-142,,4,142,132,10,2880.0, ,Indiana,202311300MIA
6:08.0,7-11,,1,11,7,4,352.0,K. Love enters the game for O. Robinson,Indiana,202312020MIA
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Turner vs. O. Robinson (O. Toppin gains possession),Indiana,202312020MIA
6:08.0,43-49,,2,49,43,6,1072.0,J. Butler makes free throw 2 of 2,Indiana,202312020MIA
12:00.0,25-31,,2,31,25,6,720.0,Start of 2nd quarter,Indiana,202312020MIA
