event,TeamScore,opponentScore,pointDifference,elapsedTime,opponent,id
,0,0,0,0.0,MIA,202310250MIA
,2,0,2,17.0,MIA,202310250MIA
,4,0,4,52.0,MIA,202310250MIA
,4,2,2,102.0,MIA,202310250MIA
LC,4,5,-1,123.0,MIA,202310250MIA
T,5,5,0,133.0,MIA,202310250MIA
LC,6,5,1,133.0,MIA,202310250MIA
,9,5,4,164.0,MIA,202310250MIA
,12,5,7,200.0,MIA,202310250MIA
,12,8,4,212.0,MIA,202310250MIA
,12,10,2,231.0,MIA,202310250MIA
T,12,12,0,261.0,MIA,202310250MIA
LC,12,13,-1,261.0,MIA,202310250MIA
,12,14,-2,277.0,MIA,202310250MIA
,12,15,-3,300.0,MIA,202310250MIA
,12,16,-4,300.0,MIA,202310250MIA
,14,16,-2,315.0,MIA,202310250MIA
,14,18,-4,336.0,MIA,202310250MIA
,16,18,-2,351.0,MIA,202310250MIA
,16,20,-4,367.0,MIA,202310250MIA
,18,20,-2,390.0,MIA,202310250MIA
,18,21,-3,432.0,MIA,202310250MIA
,18,22,-4,432.0,MIA,202310250MIA
,21,22,-1,484.0,MIA,202310250MIA
,21,24,-3,527.0,MIA,202310250MIA
,23,24,-1,598.0,MIA,202310250MIA
LC,26,24,2,644.0,MIA,202310250MIA
T,26,26,0,694.0,MIA,202310250MIA
,29,26,3,715.0,MIA,202310250MIA
,29,28,1,741.0,MIA,202310250MIA
LC,29,31,-2,796.0,MIA,202310250MIA
,29,33,-4,836.0,MIA,202310250MIA
,30,33,-3,850.0,MIA,202310250MIA
,30,34,-4,861.0,MIA,202310250MIA
,30,36,-6,895.0,MIA,202310250MIA
,30,38,-8,925.0,MIA,202310250MIA
,30,39,-9,925.0,MIA,202310250MIA
,32,39,-7,939.0,MIA,202310250MIA
,35,39,-4,1016.0,MIA,202310250MIA
,35,41,-6,1034.0,MIA,202310250MIA
,35,42,-7,1073.0,MIA,202310250MIA
,35,43,-8,1073.0,MIA,202310250MIA
,37,43,-6,1082.0,MIA,202310250MIA
,39,43,-4,1123.0,MIA,202310250MIA
,39,46,-7,1142.0,MIA,202310250MIA
,41,46,-5,1162.0,MIA,202310250MIA
,41,48,-7,1180.0,MIA,202310250MIA
,41,49,-8,1191.0,MIA,202310250MIA
,41,50,-9,1191.0,MIA,202310250MIA
,43,50,-7,1213.0,MIA,202310250MIA
,43,52,-9,1232.0,MIA,202310250MIA
,43,53,-10,1302.0,MIA,202310250MIA
,46,53,-7,1348.0,MIA,202310250MIA
,46,55,-9,1371.0,MIA,202310250MIA
,46,58,-12,1409.0,MIA,202310250MIA
,47,58,-11,1440.0,MIA,202310250MIA
,47,61,-14,1484.0,MIA,202310250MIA
,49,61,-12,1502.0,MIA,202310250MIA
,49,63,-14,1520.0,MIA,202310250MIA
,51,63,-12,1613.0,MIA,202310250MIA
,53,63,-10,1644.0,MIA,202310250MIA
,55,63,-8,1669.0,MIA,202310250MIA
,55,65,-10,1686.0,MIA,202310250MIA
,55,67,-12,1717.0,MIA,202310250MIA
,55,70,-15,1742.0,MIA,202310250MIA
,57,70,-13,1761.0,MIA,202310250MIA
,57,71,-14,1805.0,MIA,202310250MIA
,60,71,-11,1819.0,MIA,202310250MIA
,60,73,-13,1835.0,MIA,202310250MIA
,60,75,-15,1898.0,MIA,202310250MIA
,62,75,-13,1916.0,MIA,202310250MIA
,62,76,-14,1927.0,MIA,202310250MIA
,62,77,-15,1927.0,MIA,202310250MIA
,64,77,-13,1946.0,MIA,202310250MIA
,65,77,-12,1981.0,MIA,202310250MIA
,66,77,-11,1981.0,MIA,202310250MIA
,66,79,-13,2000.0,MIA,202310250MIA
,67,79,-12,2026.0,MIA,202310250MIA
,68,79,-11,2026.0,MIA,202310250MIA
,68,81,-13,2048.0,MIA,202310250MIA
,70,81,-11,2075.0,MIA,202310250MIA
,72,81,-9,2107.0,MIA,202310250MIA
,75,81,-6,2115.0,MIA,202310250MIA
,75,82,-7,2129.0,MIA,202310250MIA
,75,83,-8,2129.0,MIA,202310250MIA
,75,86,-11,2194.0,MIA,202310250MIA
,75,88,-13,2246.0,MIA,202310250MIA
,75,90,-15,2276.0,MIA,202310250MIA
,75,92,-17,2300.0,MIA,202310250MIA
,75,94,-19,2315.0,MIA,202310250MIA
,77,94,-17,2333.0,MIA,202310250MIA
