id,OpponentName,Q1,Q2,Q3,Q4
202310250CHO,Charlotte,4.0,1.0,-5.0,-6.0
202310270ATL,New York,-4.0,-8.0,-8.0,-6.0
202310290MIL,Milwaukee,6.0,21.0,21.0,17.0
202310300ATL,Minnesota,-7.0,-19.0,0.0,14.0
202311010ATL,Washington,-5.0,8.0,17.0,9.0
202311040NOP,New Orleans,-8.0,-7.0,11.0,18.0
202311060OKC,Oklahoma City,-1.0,-8.0,-19.0,-9.0
202311090ORL,Orlando,0.0,4.0,-5.0,1.0
202311110ATL,Miami,-17.0,-11.0,-11.0,-8.0
202311140DET,Detroit,9.0,4.0,6.0,6.0
202311150ATL,New York,-11.0,-1.0,-6.0,-2.0
202311170ATL,Philadelphia,-6.0,-1.0,-7.0,-10.0
202311210ATL,Indiana,6.0,13.0,-5.0,-5.0
202311220ATL,Brooklyn,12.0,10.0,5.0,
202311250WAS,Washington,4.0,12.0,29.0,28.0
202311260BOS,Boston,-7.0,-16.0,-8.0,-10.0
202311280CLE,Cleveland,4.0,-3.0,-12.0,-23.0
202311300SAS,San Antonio,-9.0,-4.0,-4.0,2.0
202312020MIL,Milwaukee,-5.0,-4.0,-1.0,-11.0
202312060ATL,Brooklyn,2.0,3.0,1.0,-1.0
202312080PHI,Philadelphia,-12.0,6.0,-1.0,-11.0
202312110ATL,Denver,8.0,-3.0,-17.0,-7.0
202312130TOR,Toronto,8.0,2.0,-8.0,-7.0
202312150TOR,Toronto,6.0,10.0,9.0,21.0
202312160CLE,Cleveland,-13.0,-18.0,-11.0,-8.0
202312180ATL,Detroit,13.0,9.0,12.0,6.0
202312200HOU,Houston,10.0,12.0,-2.0,7.0
202312220MIA,Miami,-7.0,-2.0,-2.0,-9.0
202312230ATL,Memphis,7.0,10.0,3.0,-6.0
202312260CHI,Chicago,-11.0,6.0,2.0,-5.0
202312290ATL,Sacramento,13.0,18.0,5.0,-7.0
202312310WAS,Washington,-2.0,12.0,13.0,4.0
202401030ATL,Oklahoma City,14.0,17.0,13.0,3.0
202401050IND,Indiana,-14.0,-24.0,-34.0,-34.0
202401070ORL,Orlando,-4.0,9.0,-7.0,
202401100ATL,Philadelphia,3.0,-3.0,-3.0,
202401120ATL,Indiana,-4.0,-6.0,-18.0,-18.0
202401130ATL,Washington,-5.0,-11.0,-28.0,-28.0
202401150ATL,San Antonio,19.0,35.0,20.0,10.0
202401170ATL,Orlando,0.0,-2.0,2.0,2.0
202401190MIA,Miami,8.0,1.0,-2.0,1.0
202401200ATL,Cleveland,-5.0,-14.0,-23.0,-21.0
202401220SAC,Sacramento,-3.0,-17.0,-18.0,-15.0
202401240GSW,Golden State,-7.0,-1.0,-9.0,-22.0
202401260ATL,Dallas,4.0,0.0,-6.0,-5.0
202401280ATL,Toronto,8.0,-4.0,2.0,1.0
202401300ATL,LA Lakers,7.0,11.0,15.0,16.0
202402020ATL,Phoenix,3.0,3.0,5.0,9.0
202402030ATL,Golden State,-5.0,0.0,0.0,
202402050ATL,LA Clippers,-9.0,0.0,-1.0,-5.0
202402070BOS,Boston,2.0,-4.0,-5.0,-8.0
202402090PHI,Philadelphia,11.0,17.0,17.0,6.0
202402100ATL,Houston,-12.0,8.0,11.0,9.0
202402120ATL,Chicago,7.0,-1.0,-5.0,-10.0
202402140CHO,Charlotte,2.0,-6.0,-16.0,-23.0
202402230ATL,Toronto,-11.0,-1.0,-6.0,-2.0
202402250ATL,Orlando,-3.0,-6.0,13.0,17.0
202402270ATL,Utah,8.0,11.0,20.0,27.0
202402290BRK,Brooklyn,-18.0,-6.0,-19.0,-27.0
202403020BRK,Brooklyn,7.0,2.0,-10.0,-12.0
202403050NYK,New York,18.0,11.0,5.0,16.0
202403060ATL,Cleveland,3.0,15.0,-2.0,11.0
202403080MEM,Memphis,-11.0,0.0,8.0,7.0
202403100ATL,New Orleans,-6.0,-11.0,-15.0,-13.0
202403130POR,Portland,7.0,5.0,-7.0,-4.0
202403150UTA,Utah,-6.0,1.0,-2.0,-2.0
202403170LAC,LA Clippers,2.0,17.0,26.0,17.0
202403180LAL,LA Lakers,-10.0,-14.0,-25.0,-31.0
202403210PHO,Phoenix,7.0,-5.0,-3.0,-13.0
202403230ATL,Charlotte,2.0,18.0,25.0,41.0
202403250ATL,Boston,-22.0,-18.0,-6.0,2.0
202403270ATL,Portland,-3.0,7.0,14.0,14.0
202403280ATL,Boston,-1.0,-4.0,-1.0,
202403300ATL,Milwaukee,-5.0,-14.0,-15.0,-9.0
202404010CHI,Chicago,2.0,8.0,16.0,12.0
202404030ATL,Detroit,5.0,9.0,13.0,8.0
202404040DAL,Dallas,6.0,-8.0,-12.0,-14.0
202404060DEN,Denver,-7.0,-13.0,-25.0,-32.0
202404090ATL,Miami,-3.0,-12.0,0.0,
202404100ATL,Charlotte,5.0,6.0,15.0,-1.0
202404120MIN,Minnesota,2.0,-9.0,0.0,-3.0
202404140IND,Indiana,-15.0,-14.0,-32.0,-42.0
202404170CHI,Chicago,-18.0,-6.0,-18.0,-15.0
