Time,Score,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
12:00.0,50-58,,3,50,58,-8,1440.0,Start of 3rd quarter,Oklahoma City,202311060OKC
6:00.0,95-105,,4,95,105,-10,2520.0,D. Murray makes free throw 2 of 2,Oklahoma City,202311060OKC
12:00.0,77-96,,4,77,96,-19,2160.0,Start of 4th quarter,Oklahoma City,202311060OKC
0:00.0,117-126,,4,117,126,-9,2880.0,End of 4th quarter,Oklahoma City,202311060OKC
6:02.0,18-13,,1,18,13,5,358.0,Turnover by B. Bogdanović (bad pass),Orlando,202311090ORL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Capela vs. G. Bitadze (T. Young gains possession),Orlando,202311090ORL
6:03.0,52-43,,2,52,43,9,1077.0, ,Orlando,202311090ORL
12:00.0,34-34,,2,34,34,0,720.0,Start of 2nd quarter,Orlando,202311090ORL
6:17.0,86-80,,3,86,80,6,1783.0,D. Murray makes 2-pt jump shot from 13 ft,Orlando,202311090ORL
12:00.0,73-69,,3,73,69,4,1440.0,Start of 3rd quarter,Orlando,202311090ORL
6:03.0,105-113,,4,105,113,-8,2517.0,Offensive rebound by Team,Orlando,202311090ORL
12:00.0,93-98,,4,93,98,-5,2160.0,Start of 4th quarter,Orlando,202311090ORL
0:00.0,120-119,,4,120,119,1,2880.0,End of 4th quarter,Orlando,202311090ORL
6:07.0,18-9,,1,9,18,-9,353.0, ,Miami,202311110ATL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: B. Adebayo vs. C. Capela (K. Lowry gains possession),Miami,202311110ATL
6:00.0,54-33,,2,33,54,-21,1080.0,C. Capela misses 2-pt hook shot from 5 ft,Miami,202311110ATL
12:00.0,41-24,,2,24,41,-17,720.0,Start of 2nd quarter,Miami,202311110ATL
6:18.0,74-67,,3,67,74,-7,1782.0,T. Young makes 3-pt jump shot from 26 ft,Miami,202311110ATL
12:00.0,63-52,,3,52,63,-11,1440.0,Start of 3rd quarter,Miami,202311110ATL
6:09.0,106-94,,4,94,106,-12,2511.0,C. Capela enters the game for O. Okongwu,Miami,202311110ATL
12:00.0,93-82,,4,82,93,-11,2160.0,Start of 4th quarter,Miami,202311110ATL
0:00.0,117-109,,4,109,117,-8,2880.0,End of 4th quarter,Miami,202311110ATL
6:12.0,21-11,,1,21,11,10,348.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),Detroit,202311140DET
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Capela vs. M. Bagley (B. Bogdanović gains possession),Detroit,202311140DET
6:02.0,49-45,,2,49,45,4,1078.0, ,Detroit,202311140DET
12:00.0,38-29,,2,38,29,9,720.0,Start of 2nd quarter,Detroit,202311140DET
6:12.0,74-77,,3,74,77,-3,1788.0, ,Detroit,202311140DET
12:00.0,64-60,,3,64,60,4,1440.0,Start of 3rd quarter,Detroit,202311140DET
6:10.0,111-106,,4,111,106,5,2510.0,J. Johnson makes 2-pt jump shot from 7 ft (assist by O. Okongwu),Detroit,202311140DET
12:00.0,97-91,,4,97,91,6,2160.0,Start of 4th quarter,Detroit,202311140DET
0:00.0,126-120,,4,126,120,6,2880.0, ,Detroit,202311140DET
6:02.0,16-11,,1,11,16,-5,358.0,S. Bey makes 2-pt jump shot from 4 ft (assist by D. Murray),New York,202311150ATL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: M. Robinson vs. C. Capela (J. Randle gains possession),New York,202311150ATL
6:00.0,49-43,,2,43,49,-6,1080.0, ,New York,202311150ATL
12:00.0,33-22,,2,22,33,-11,720.0,Start of 2nd quarter,New York,202311150ATL
6:08.0,71-66,,3,66,71,-5,1792.0, ,New York,202311150ATL
12:00.0,57-56,,3,56,57,-1,1440.0,Start of 3rd quarter,New York,202311150ATL
6:00.0,94-97,,4,97,94,3,2520.0, ,New York,202311150ATL
12:00.0,87-81,,4,81,87,-6,2160.0,Start of 4th quarter,New York,202311150ATL
0:00.0,116-114,,4,114,116,-2,2880.0,End of 4th quarter,New York,202311150ATL
6:00.0,15-14,,1,14,15,-1,360.0,Offensive rebound by J. Johnson,Philadelphia,202311170ATL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Embiid vs. C. Capela (J. Johnson gains possession),Philadelphia,202311170ATL
6:00.0,37-41,,2,41,37,4,1080.0, ,Philadelphia,202311170ATL
12:00.0,30-24,,2,24,30,-6,720.0,Start of 2nd quarter,Philadelphia,202311170ATL
6:15.0,68-73,,3,73,68,5,1785.0,J. Johnson makes 2-pt jump shot from 13 ft,Philadelphia,202311170ATL
12:00.0,57-56,,3,56,57,-1,1440.0,Start of 3rd quarter,Philadelphia,202311170ATL
