Time,Miami,Score,Boston,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. R. Williams (A. Horford gains possession),0-0,,,1,0,0,0,0.0
11:39.0, ,0-0,Shooting foul by D. Robinson (drawn by R. Williams),,1,0,0,0,21.0
11:39.0, ,0-0,R. Williams misses free throw 1 of 2,,1,0,0,0,21.0
11:39.0, ,0-0,Offensive rebound by Team,,1,0,0,0,21.0
11:39.0, ,0-0,R. Williams misses free throw 2 of 2,,1,0,0,0,21.0
11:35.0, ,0-0,Offensive rebound by R. Williams,,1,0,0,0,25.0
11:31.0, ,0-0,J. Tatum misses 2-pt layup from 5 ft (block by B. Adebayo),,1,0,0,0,29.0
11:29.0,Defensive rebound by M. Strus,0-0, ,,1,0,0,0,31.0
11:24.0,M. Strus misses 3-pt jump shot from 24 ft,0-0, ,,1,0,0,0,36.0
11:23.0, ,0-0,Defensive rebound by M. Smart,,1,0,0,0,37.0
11:01.0, ,0-0,Turnover by M. Smart (bad pass; steal by D. Robinson),,1,0,0,0,59.0
10:55.0,Turnover by B. Adebayo (bad pass),0-0, ,,1,0,0,0,65.0
10:42.0, ,0-2,R. Williams makes 2-pt dunk from 1 ft (assist by M. Smart),,1,0,2,-2,78.0
10:23.0,M. Strus misses 2-pt layup from 3 ft (block by A. Horford),0-2, ,,1,0,2,-2,97.0
10:22.0, ,0-2,Defensive rebound by J. Brown,,1,0,2,-2,98.0
10:15.0, ,0-2,Turnover by A. Horford (bad pass; steal by B. Adebayo),,1,0,2,-2,105.0
9:57.0,B. Adebayo misses 2-pt jump shot from 17 ft,0-2, ,,1,0,2,-2,123.0
9:55.0, ,0-2,Defensive rebound by R. Williams,,1,0,2,-2,125.0
9:36.0, ,0-5,J. Tatum makes 3-pt jump shot from 28 ft,,1,0,5,-5,144.0
9:24.0,D. Robinson misses 3-pt jump shot from 25 ft,0-5, ,,1,0,5,-5,156.0
9:21.0, ,0-5,Defensive rebound by J. Tatum,,1,0,5,-5,159.0
9:15.0, ,0-5,Personal foul by B. Adebayo (drawn by J. Brown),,1,0,5,-5,165.0
9:07.0, ,0-7,J. Tatum makes 2-pt jump shot from 14 ft,,1,0,7,-7,173.0
8:51.0,C. Martin makes 2-pt layup from 3 ft (assist by B. Adebayo),2-7, ,,1,2,7,-5,189.0
8:36.0, ,2-9,J. Brown makes 2-pt jump shot from 16 ft,,1,2,9,-7,204.0
8:22.0,B. Adebayo misses 2-pt layup from 4 ft,2-9, ,,1,2,9,-7,218.0
8:19.0, ,2-9,Defensive rebound by R. Williams,,1,2,9,-7,221.0
8:07.0, ,2-12,M. Smart makes 3-pt jump shot from 22 ft (assist by J. Tatum),,1,2,12,-10,233.0
7:48.0,M. Strus makes 3-pt jump shot from 24 ft (assist by C. Martin),5-12, ,,1,5,12,-7,252.0
7:36.0, ,5-12,Shooting foul by D. Robinson (drawn by A. Horford),,1,5,12,-7,264.0
7:36.0, ,5-12,A. Horford misses free throw 1 of 2,,1,5,12,-7,264.0
7:36.0, ,5-12,Offensive rebound by Team,,1,5,12,-7,264.0
7:36.0,T. Herro enters the game for D. Robinson,5-12, ,,1,5,12,-7,264.0
7:36.0, ,5-13,A. Horford makes free throw 2 of 2,,1,5,13,-8,264.0
7:26.0,G. Vincent makes 2-pt jump shot from 17 ft,7-13, ,,1,7,13,-6,274.0
7:13.0, ,7-16,A. Horford makes 3-pt jump shot from 25 ft (assist by M. Smart),,1,7,16,-9,287.0
7:02.0,G. Vincent misses 2-pt jump shot from 19 ft,7-16, ,,1,7,16,-9,298.0
6:59.0,Offensive rebound by Team,7-16, ,,1,7,16,-9,301.0
6:59.0, ,7-16,Loose ball foul by A. Horford (drawn by B. Adebayo),,1,7,16,-9,301.0
6:59.0, ,7-16,Boston full timeout,,1,7,16,-9,301.0
6:52.0,T. Herro misses 2-pt jump shot from 10 ft,7-16, ,,1,7,16,-9,308.0
6:49.0, ,7-16,Defensive rebound by A. Horford,,1,7,16,-9,311.0
6:39.0, ,7-18,A. Horford makes 2-pt hook shot from 6 ft (assist by M. Smart),,1,7,18,-11,321.0
6:24.0,C. Martin misses 2-pt layup from 8 ft (block by R. Williams),7-18, ,,1,7,18,-11,336.0
6:21.0,Offensive rebound by C. Martin,7-18, ,,1,7,18,-11,339.0
6:18.0,M. Strus misses 3-pt jump shot from 26 ft,7-18, ,,1,7,18,-11,342.0
6:16.0, ,7-18,Defensive rebound by R. Williams,,1,7,18,-11,344.0
6:10.0, ,7-18,A. Horford misses 3-pt jump shot from 27 ft,,1,7,18,-11,350.0
6:07.0,Defensive rebound by M. Strus,7-18, ,,1,7,18,-11,353.0
6:00.0,Turnover by T. Herro (bad pass),7-18, ,,1,7,18,-11,360.0
6:00.0, ,7-18,J. Richardson enters the game for J. Tatum,,1,7,18,-11,360.0
5:38.0, ,7-18,J. Richardson misses 3-pt jump shot from 29 ft,,1,7,18,-11,382.0
5:36.0,Defensive rebound by Team,7-18, ,,1,7,18,-11,384.0
5:36.0,D. Dedmon enters the game for B. Adebayo,7-18, ,,1,7,18,-11,384.0
5:36.0, ,7-18,G. Williams enters the game for A. Horford,,1,7,18,-11,384.0
5:29.0,Personal foul by J. Brown (drawn by T. Herro),7-18, ,,1,7,18,-11,391.0
5:20.0,Turnover by M. Strus (bad pass; steal by J. Brown),7-18, ,,1,7,18,-11,400.0
5:04.0, ,7-21,M. Smart makes 3-pt jump shot from 26 ft (assist by G. Williams),,1,7,21,-14,416.0
5:02.0,Miami full timeout,7-21, ,,1,7,21,-14,418.0
5:02.0,D. Robinson enters the game for M. Strus,7-21, ,,1,7,21,-14,418.0
4:42.0,C. Martin makes 2-pt layup at rim (assist by G. Vincent),9-21, ,,1,9,21,-12,438.0
4:42.0,Shooting foul by M. Smart (drawn by C. Martin),9-21, ,,1,9,21,-12,438.0
4:42.0,C. Martin makes free throw 1 of 1,10-21, ,,1,10,21,-11,438.0
4:40.0, ,10-21,Personal foul by G. Vincent (drawn by M. Smart),,1,10,21,-11,440.0
4:21.0, ,10-21,M. Smart misses 3-pt jump shot from 27 ft,,1,10,21,-11,459.0
4:18.0,Defensive rebound by T. Herro,10-21, ,,1,10,21,-11,462.0
4:12.0,T. Herro misses 2-pt jump shot from 19 ft,10-21, ,,1,10,21,-11,468.0
4:10.0, ,10-21,Defensive rebound by M. Smart,,1,10,21,-11,470.0
4:02.0, ,10-23,J. Richardson makes 2-pt layup from 4 ft,,1,10,23,-13,478.0
4:00.0, ,10-23,Violation by Team (delay of game),,1,10,23,-13,480.0
3:42.0,T. Herro makes 2-pt jump shot from 4 ft,12-23, ,,1,12,23,-11,498.0
3:26.0, ,12-25,J. Brown makes 2-pt jump shot from 15 ft (assist by M. Smart),,1,12,25,-13,514.0
3:03.0,T. Herro misses 2-pt layup from 11 ft (block by G. Williams),12-25, ,,1,12,25,-13,537.0
3:01.0,Offensive rebound by C. Martin,12-25, ,,1,12,25,-13,539.0
3:01.0,Turnover by Team (shot clock),12-25, ,,1,12,25,-13,539.0
3:01.0,B. Adebayo enters the game for C. Martin,12-25, ,,1,12,25,-13,539.0
3:01.0, ,12-25,A. Horford enters the game for J. Brown,,1,12,25,-13,539.0
3:01.0, ,12-25,D. Schröder enters the game for M. Smart,,1,12,25,-13,539.0
3:01.0, ,12-25,J. Tatum enters the game for R. Williams,,1,12,25,-13,539.0
2:39.0, ,12-25,G. Williams misses 3-pt jump shot from 27 ft,,1,12,25,-13,561.0
2:33.0,Defensive rebound by D. Dedmon,12-25, ,,1,12,25,-13,567.0
2:12.0,D. Dedmon misses 2-pt jump shot from 6 ft,12-25, ,,1,12,25,-13,588.0
2:11.0, ,12-25,Defensive rebound by J. Richardson,,1,12,25,-13,589.0
