Time,Miami,Score,Detroit,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. L. Garza (P. Tucker gains possession),0-0,,,1,0,0,0,0.0
11:48.0,Personal foul by C. Cunningham (drawn by D. Robinson),0-0, ,,1,0,0,0,12.0
11:43.0,D. Robinson makes 2-pt layup from 4 ft (assist by B. Adebayo),2-0, ,,1,2,0,2,17.0
11:26.0, ,2-3,J. Grant makes 3-pt jump shot from 26 ft (assist by C. Cunningham),Lead change,1,2,3,-1,34.0
10:59.0,B. Adebayo misses 2-pt jump shot from 20 ft,2-3, ,,1,2,3,-1,61.0
10:55.0, ,2-3,Defensive rebound by J. Grant,,1,2,3,-1,65.0
10:47.0, ,2-3,J. Grant misses 3-pt jump shot from 30 ft,,1,2,3,-1,73.0
10:42.0,Defensive rebound by J. Butler,2-3, ,,1,2,3,-1,78.0
10:36.0,B. Adebayo makes 2-pt layup from 3 ft (assist by J. Butler),4-3, ,Lead change,1,4,3,1,84.0
10:36.0,Shooting foul by L. Garza (drawn by B. Adebayo),4-3, ,,1,4,3,1,84.0
10:36.0,B. Adebayo misses free throw 1 of 1,4-3, ,,1,4,3,1,84.0
10:32.0, ,4-3,Defensive rebound by L. Garza,,1,4,3,1,88.0
10:17.0, ,4-3,C. Joseph misses 3-pt jump shot from 25 ft,,1,4,3,1,103.0
10:13.0, ,4-3,Offensive rebound by J. Grant,,1,4,3,1,107.0
10:10.0, ,4-3,J. Grant misses 2-pt layup from 5 ft,,1,4,3,1,110.0
10:07.0,Defensive rebound by D. Robinson,4-3, ,,1,4,3,1,113.0
9:56.0,Turnover by J. Butler (bad pass; steal by J. Grant),4-3, ,,1,4,3,1,124.0
9:48.0, ,4-6,S. Bey makes 3-pt jump shot from 27 ft,Lead change,1,4,6,-2,132.0
9:28.0,J. Butler makes 2-pt jump shot from 9 ft,6-6, ,Tie,1,6,6,0,152.0
9:03.0, ,6-6,S. Bey misses 3-pt jump shot from 25 ft,,1,6,6,0,177.0
8:59.0,Defensive rebound by K. Lowry,6-6, ,,1,6,6,0,181.0
8:55.0,B. Adebayo makes 2-pt layup from 2 ft (assist by K. Lowry),8-6, ,Lead change,1,8,6,2,185.0
8:45.0, ,8-6,C. Cunningham misses 3-pt jump shot from 25 ft,,1,8,6,2,195.0
8:45.0,Defensive rebound by P. Tucker,8-6, ,,1,8,6,2,195.0
8:33.0,J. Butler misses 2-pt layup from 5 ft,8-6, ,,1,8,6,2,207.0
8:31.0, ,8-6,Defensive rebound by C. Cunningham,,1,8,6,2,209.0
8:27.0, ,8-9,S. Bey makes 3-pt jump shot from 25 ft (assist by C. Cunningham),Lead change,1,8,9,-1,213.0
8:12.0,Shooting foul by C. Joseph (drawn by J. Butler),8-9, ,,1,8,9,-1,228.0
8:12.0,J. Butler makes free throw 1 of 2,9-9, ,Tie,1,9,9,0,228.0
8:12.0,J. Butler makes free throw 2 of 2,10-9, ,Lead change,1,10,9,1,228.0
7:53.0, ,10-11,S. Bey makes 2-pt layup from 4 ft,Lead change,1,10,11,-1,247.0
7:41.0,B. Adebayo misses 2-pt jump shot from 15 ft,10-11, ,,1,10,11,-1,259.0
7:37.0, ,10-11,Defensive rebound by C. Cunningham,,1,10,11,-1,263.0
7:31.0, ,10-13,C. Joseph makes 2-pt layup from 1 ft (assist by L. Garza),,1,10,13,-3,269.0
7:31.0, ,10-13,Shooting foul by P. Tucker (drawn by C. Joseph),,1,10,13,-3,269.0
7:31.0, ,10-14,C. Joseph makes free throw 1 of 1,,1,10,14,-4,269.0
7:08.0,Turnover by B. Adebayo (step out of bounds),10-14, ,,1,10,14,-4,292.0
