Time,Miami,Score,Washington,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. T. Bryant (P. Tucker gains possession),0-0,,,1,0,0,0,0.0
11:40.0,B. Adebayo makes 2-pt jump shot from 16 ft,2-0, ,,1,2,0,2,20.0
11:16.0, ,2-2,A. Holiday makes 2-pt jump shot from 13 ft (assist by S. Dinwiddie),Tie,1,2,2,0,44.0
10:53.0,D. Robinson makes 3-pt jump shot from 27 ft (assist by B. Adebayo),5-2, ,,1,5,2,3,67.0
10:33.0, ,5-2,A. Holiday misses 3-pt jump shot from 23 ft,,1,5,2,3,87.0
10:30.0,Defensive rebound by P. Tucker,5-2, ,,1,5,2,3,90.0
10:26.0,D. Robinson makes 3-pt jump shot from 29 ft (assist by P. Tucker),8-2, ,,1,8,2,6,94.0
10:16.0, ,8-2,T. Bryant misses 3-pt jump shot from 26 ft,,1,8,2,6,104.0
10:13.0,Defensive rebound by B. Adebayo,8-2, ,,1,8,2,6,107.0
10:08.0,B. Adebayo misses 2-pt layup from 3 ft,8-2, ,,1,8,2,6,112.0
10:06.0, ,8-2,Defensive rebound by K. Kuzma,,1,8,2,6,114.0
10:01.0, ,8-2,Turnover by K. Kuzma (bad pass; steal by B. Adebayo),,1,8,2,6,119.0
9:51.0,J. Butler makes 2-pt layup from 3 ft,10-2, ,,1,10,2,8,129.0
9:28.0, ,10-4,T. Bryant makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,1,10,4,6,152.0
9:17.0,Shooting foul by K. Kuzma (drawn by J. Butler),10-4, ,,1,10,4,6,163.0
9:17.0,J. Butler makes free throw 1 of 2,11-4, ,,1,11,4,7,163.0
9:17.0,J. Butler makes free throw 2 of 2,12-4, ,,1,12,4,8,163.0
9:02.0, ,12-4,Shooting foul by D. Robinson (drawn by K. Caldwell-Pope),,1,12,4,8,178.0
9:02.0, ,12-5,K. Caldwell-Pope makes free throw 1 of 2,,1,12,5,7,178.0
9:02.0, ,12-6,K. Caldwell-Pope makes free throw 2 of 2,,1,12,6,6,178.0
8:52.0,J. Butler makes 2-pt jump shot from 13 ft,14-6, ,,1,14,6,8,188.0
8:30.0, ,14-6,A. Holiday misses 3-pt jump shot from 30 ft,,1,14,6,8,210.0
8:26.0,Defensive rebound by P. Tucker,14-6, ,,1,14,6,8,214.0
8:18.0,D. Robinson misses 3-pt jump shot from 29 ft,14-6, ,,1,14,6,8,222.0
8:15.0, ,14-6,Defensive rebound by S. Dinwiddie,,1,14,6,8,225.0
8:04.0, ,14-8,T. Bryant makes 2-pt layup from 3 ft (assist by K. Kuzma),,1,14,8,6,236.0
7:53.0,J. Butler misses 2-pt jump shot from 14 ft,14-8, ,,1,14,8,6,247.0
7:51.0, ,14-8,Defensive rebound by T. Bryant,,1,14,8,6,249.0
7:44.0, ,14-8,K. Caldwell-Pope misses 2-pt layup from 5 ft,,1,14,8,6,256.0
7:41.0,Defensive rebound by B. Adebayo,14-8, ,,1,14,8,6,259.0
7:34.0,J. Butler misses 2-pt jump shot from 11 ft,14-8, ,,1,14,8,6,266.0
7:31.0, ,14-8,Defensive rebound by T. Bryant,,1,14,8,6,269.0
7:28.0, ,14-8,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,1,14,8,6,272.0
7:25.0,Defensive rebound by K. Lowry,14-8, ,,1,14,8,6,275.0
7:20.0,Shooting foul by K. Caldwell-Pope (drawn by B. Adebayo),14-8, ,,1,14,8,6,280.0
7:20.0,B. Adebayo makes free throw 1 of 2,15-8, ,,1,15,8,7,280.0
7:20.0,B. Adebayo makes free throw 2 of 2,16-8, ,,1,16,8,8,280.0
7:09.0, ,16-8,A. Holiday misses 2-pt jump shot from 7 ft,,1,16,8,8,291.0
7:05.0,Defensive rebound by J. Butler,16-8, ,,1,16,8,8,295.0
6:59.0,Turnover by J. Butler (bad pass; steal by A. Holiday),16-8, ,,1,16,8,8,301.0
6:55.0, ,16-8,A. Holiday misses 2-pt layup from 3 ft,,1,16,8,8,305.0
6:52.0,Defensive rebound by P. Tucker,16-8, ,,1,16,8,8,308.0
6:48.0,D. Robinson misses 3-pt jump shot from 27 ft,16-8, ,,1,16,8,8,312.0
6:45.0,Offensive rebound by P. Tucker,16-8, ,,1,16,8,8,315.0
6:45.0,P. Tucker makes 2-pt layup from 2 ft,18-8, ,,1,18,8,10,315.0
6:45.0, ,18-8,Washington full timeout,,1,18,8,10,315.0
6:45.0, ,18-8,Technical foul by A. Holiday,,1,18,8,10,315.0
6:45.0,J. Butler misses technical free throw,18-8, ,,1,18,8,10,315.0
6:45.0, ,18-8,Defensive rebound by Team,,1,18,8,10,315.0
6:45.0, ,18-8,D. Avdija enters the game for A. Holiday,,1,18,8,10,315.0
6:45.0, ,18-8,C. Kispert enters the game for K. Kuzma,,1,18,8,10,315.0
6:33.0, ,18-8,K. Caldwell-Pope misses 2-pt jump shot from 14 ft,,1,18,8,10,327.0
6:30.0,Defensive rebound by B. Adebayo,18-8, ,,1,18,8,10,330.0
6:20.0,K. Lowry misses 3-pt jump shot from 24 ft,18-8, ,,1,18,8,10,340.0
6:17.0, ,18-8,Defensive rebound by S. Dinwiddie,,1,18,8,10,343.0
6:03.0, ,18-10,S. Dinwiddie makes 2-pt hook shot from 2 ft,,1,18,10,8,357.0
5:47.0,D. Robinson makes 3-pt jump shot from 27 ft,21-10, ,,1,21,10,11,373.0
5:25.0, ,21-10,K. Caldwell-Pope misses 2-pt jump shot from 6 ft,,1,21,10,11,395.0
5:23.0,Defensive rebound by K. Lowry,21-10, ,,1,21,10,11,397.0
5:16.0,Turnover by B. Adebayo (bad pass; steal by S. Dinwiddie),21-10, ,,1,21,10,11,404.0
5:13.0, ,21-12,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by S. Dinwiddie),,1,21,12,9,407.0
5:02.0,J. Butler makes 2-pt layup from 3 ft,23-12, ,,1,23,12,11,418.0
4:43.0, ,23-12,S. Dinwiddie misses 3-pt jump shot from 25 ft,,1,23,12,11,437.0
4:41.0,Defensive rebound by B. Adebayo,23-12, ,,1,23,12,11,439.0
4:35.0,D. Robinson misses 3-pt jump shot from 28 ft,23-12, ,,1,23,12,11,445.0
4:29.0, ,23-12,Defensive rebound by S. Dinwiddie,,1,23,12,11,451.0
4:23.0, ,23-12,S. Dinwiddie misses 2-pt layup from 4 ft,,1,23,12,11,457.0
4:19.0, ,23-12,Offensive rebound by C. Kispert,,1,23,12,11,461.0
4:19.0, ,23-14,C. Kispert makes 2-pt layup at rim,,1,23,14,9,461.0
4:11.0,Personal foul by D. Avdija (drawn by B. Adebayo),23-14, ,,1,23,14,9,469.0
4:11.0,D. Dedmon enters the game for B. Adebayo,23-14, ,,1,23,14,9,469.0
4:11.0,G. Vincent enters the game for K. Lowry,23-14, ,,1,23,14,9,469.0
4:11.0, ,23-14,R. Hachimura enters the game for T. Bryant,,1,23,14,9,469.0
4:11.0, ,23-14,M. Harrell enters the game for K. Caldwell-Pope,,1,23,14,9,469.0
4:04.0,D. Robinson misses 3-pt jump shot from 28 ft,23-14, ,,1,23,14,9,476.0
4:00.0, ,23-14,Defensive rebound by D. Avdija,,1,23,14,9,480.0
3:52.0, ,23-14,Turnover by M. Harrell (lost ball; steal by P. Tucker),,1,23,14,9,488.0
3:35.0,G. Vincent makes 3-pt jump shot from 26 ft (assist by P. Tucker),26-14, ,,1,26,14,12,505.0
3:21.0, ,26-14,C. Kispert misses 3-pt jump shot from 23 ft,,1,26,14,12,519.0
3:17.0,Defensive rebound by D. Robinson,26-14, ,,1,26,14,12,523.0
3:06.0,Turnover by J. Butler (bad pass; steal by D. Avdija),26-14, ,,1,26,14,12,534.0
3:00.0, ,26-14,Turnover by S. Dinwiddie (bad pass; steal by J. Butler),,1,26,14,12,540.0
2:49.0,J. Butler misses 2-pt jump shot from 4 ft,26-14, ,,1,26,14,12,551.0
2:46.0,Offensive rebound by D. Dedmon,26-14, ,,1,26,14,12,554.0
2:46.0,Miami full timeout,26-14, ,,1,26,14,12,554.0
2:46.0,C. Martin enters the game for D. Robinson,26-14, ,,1,26,14,12,554.0
2:46.0,M. Strus enters the game for P. Tucker,26-14, ,,1,26,14,12,554.0
2:46.0, ,26-14,K. Kuzma enters the game for S. Dinwiddie,,1,26,14,12,554.0
2:46.0, ,26-14,R. Neto enters the game for C. Kispert,,1,26,14,12,554.0
2:38.0,J. Butler misses 2-pt jump shot from 16 ft,26-14, ,,1,26,14,12,562.0
2:34.0,Offensive rebound by J. Butler,26-14, ,,1,26,14,12,566.0
2:29.0,J. Butler makes 2-pt layup from 3 ft (assist by C. Martin),28-14, ,,1,28,14,14,571.0
2:29.0,Shooting foul by R. Hachimura (drawn by J. Butler),28-14, ,,1,28,14,14,571.0
2:29.0, ,28-14,A. Gill enters the game for M. Harrell,,1,28,14,14,571.0
2:29.0,J. Butler makes free throw 1 of 1,29-14, ,,1,29,14,15,571.0
2:06.0, ,29-14,Turnover by R. Hachimura (traveling),,1,29,14,15,594.0
1:51.0,G. Vincent makes 2-pt jump shot from 13 ft,31-14, ,,1,31,14,17,609.0
1:38.0, ,31-16,K. Kuzma makes 2-pt jump shot from 4 ft,,1,31,16,15,622.0
1:21.0,D. Dedmon makes 2-pt hook shot from 11 ft,33-16, ,,1,33,16,17,639.0
1:07.0, ,33-18,K. Kuzma makes 2-pt layup from 3 ft (assist by R. Neto),,1,33,18,15,653.0
1:07.0, ,33-18,Shooting foul by G. Vincent (drawn by K. Kuzma),,1,33,18,15,653.0
1:07.0,K. Lowry enters the game for J. Butler,33-18, ,,1,33,18,15,653.0
1:07.0, ,33-19,K. Kuzma makes free throw 1 of 1,,1,33,19,14,653.0
1:00.0,G. Vincent makes 3-pt jump shot from 27 ft (assist by K. Lowry),36-19, ,,1,36,19,17,660.0
0:41.0, ,36-19,Shooting foul by C. Martin (drawn by R. Neto),,1,36,19,17,679.0
0:41.0, ,36-20,R. Neto makes free throw 1 of 2,,1,36,20,16,679.0
0:41.0, ,36-21,R. Neto makes free throw 2 of 2,,1,36,21,15,679.0
0:34.0,G. Vincent makes 3-pt jump shot from 30 ft (assist by K. Lowry),39-21, ,,1,39,21,18,686.0
0:22.0, ,39-24,R. Hachimura makes 3-pt jump shot from 26 ft (assist by R. Neto),,1,39,24,15,698.0
0:00.0, ,39-24,Instant Replay (Request: Ruling Stands),,1,39,24,15,720.0
0:00.0,End of 1st quarter,39-24,,,1,39,24,15,720.0
12:00.0,Start of 2nd quarter,39-24,,,2,39,24,15,720.0
11:36.0, ,39-24,K. Kuzma misses 3-pt jump shot from 34 ft,,2,39,24,15,744.0
11:32.0,Defensive rebound by G. Vincent,39-24, ,,2,39,24,15,748.0
11:28.0,K. Lowry makes 2-pt jump shot from 21 ft (assist by G. Vincent),41-24, ,,2,41,24,17,752.0
11:06.0, ,41-26,R. Hachimura makes 2-pt layup from 3 ft (assist by K. Kuzma),,2,41,26,15,774.0
10:45.0,D. Dedmon misses 2-pt jump shot from 17 ft,41-26, ,,2,41,26,15,795.0
10:43.0, ,41-26,Defensive rebound by C. Kispert,,2,41,26,15,797.0
10:34.0, ,41-26,K. Kuzma misses 2-pt hook shot from 5 ft,,2,41,26,15,806.0
10:33.0,Defensive rebound by D. Dedmon,41-26, ,,2,41,26,15,807.0
10:27.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by M. Strus),44-26, ,,2,44,26,18,813.0
10:03.0, ,44-26,R. Hachimura misses 2-pt jump shot from 19 ft,,2,44,26,18,837.0
10:01.0,Defensive rebound by D. Dedmon,44-26, ,,2,44,26,18,839.0
9:55.0,Shooting foul by R. Neto (drawn by C. Martin),44-26, ,,2,44,26,18,845.0
9:55.0,C. Martin makes free throw 1 of 2,45-26, ,,2,45,26,19,845.0
9:55.0,C. Martin makes free throw 2 of 2,46-26, ,,2,46,26,20,845.0
9:49.0, ,46-26,Personal foul by D. Dedmon (drawn by M. Harrell),,2,46,26,20,851.0
9:40.0, ,46-26,Shooting foul by D. Dedmon (drawn by M. Harrell),,2,46,26,20,860.0
9:40.0, ,46-26,M. Harrell misses free throw 1 of 2,,2,46,26,20,860.0
9:40.0, ,46-26,Offensive rebound by Team,,2,46,26,20,860.0
9:40.0, ,46-27,M. Harrell makes free throw 2 of 2,,2,46,27,19,860.0
9:27.0,Turnover by K. Lowry (bad pass; steal by C. Kispert),46-27, ,,2,46,27,19,873.0
9:22.0, ,46-29,M. Harrell makes 2-pt layup from 3 ft (assist by C. Kispert),,2,46,29,17,878.0
9:11.0,Turnover by M. Strus (bad pass; steal by R. Neto),46-29, ,,2,46,29,17,889.0
9:08.0, ,46-29,Personal foul by G. Vincent (drawn by M. Harrell),,2,46,29,17,892.0
9:02.0, ,46-29,R. Neto misses 2-pt layup from 3 ft,,2,46,29,17,898.0
8:59.0, ,46-29,Offensive rebound by M. Harrell,,2,46,29,17,901.0
8:59.0, ,46-31,M. Harrell makes 2-pt dunk at rim,,2,46,31,15,901.0
8:48.0,D. Dedmon makes 2-pt dunk from 5 ft (assist by G. Vincent),48-31, ,,2,48,31,17,912.0
8:26.0,Jump ball: K. Kuzma vs. G. Vincent (M. Harrell gains possession),48-31,,,2,48,31,17,934.0
8:26.0, ,48-31,A. Holiday enters the game for R. Neto,,2,48,31,17,934.0
8:18.0, ,48-34,A. Holiday makes 3-pt jump shot from 26 ft (assist by M. Harrell),,2,48,34,14,942.0
7:59.0,K. Lowry misses 3-pt jump shot from 28 ft,48-34, ,,2,48,34,14,961.0
7:57.0, ,48-34,Defensive rebound by C. Kispert,,2,48,34,14,963.0
7:43.0, ,48-34,C. Kispert misses 3-pt jump shot from 25 ft,,2,48,34,14,977.0
7:39.0,Defensive rebound by K. Lowry,48-34, ,,2,48,34,14,981.0
7:37.0,C. Martin makes 2-pt dunk from 2 ft (assist by K. Lowry),50-34, ,,2,50,34,16,983.0
7:16.0, ,50-36,M. Harrell makes 2-pt dunk from 4 ft (assist by A. Holiday),,2,50,36,14,1004.0
7:01.0,Personal foul by C. Kispert (drawn by K. Lowry),50-36, ,,2,50,36,14,1019.0
7:01.0,B. Adebayo enters the game for D. Dedmon,50-36, ,,2,50,36,14,1019.0
7:01.0,D. Robinson enters the game for G. Vincent,50-36, ,,2,50,36,14,1019.0
6:50.0,Turnover by D. Robinson (step out of bounds),50-36, ,,2,50,36,14,1030.0
6:50.0, ,50-36,Washington full timeout,,2,50,36,14,1030.0
6:50.0,J. Butler enters the game for K. Lowry,50-36, ,,2,50,36,14,1030.0
6:50.0, ,50-36,K. Caldwell-Pope enters the game for C. Kispert,,2,50,36,14,1030.0
6:50.0, ,50-36,S. Dinwiddie enters the game for K. Kuzma,,2,50,36,14,1030.0
6:32.0, ,50-36,K. Caldwell-Pope misses 2-pt jump shot from 5 ft,,2,50,36,14,1048.0
6:30.0,Defensive rebound by B. Adebayo,50-36, ,,2,50,36,14,1050.0
6:21.0,C. Martin misses 3-pt jump shot from 27 ft,50-36, ,,2,50,36,14,1059.0
6:18.0, ,50-36,Defensive rebound by K. Caldwell-Pope,,2,50,36,14,1062.0
6:08.0, ,50-36,Shooting foul by M. Strus (drawn by M. Harrell),,2,50,36,14,1072.0
6:08.0, ,50-37,M. Harrell makes free throw 1 of 2,,2,50,37,13,1072.0
6:08.0,P. Tucker enters the game for C. Martin,50-37, ,,2,50,37,13,1072.0
6:08.0, ,50-37,D. Avdija enters the game for R. Hachimura,,2,50,37,13,1072.0
6:08.0, ,50-38,M. Harrell makes free throw 2 of 2,,2,50,38,12,1072.0
5:52.0,Offensive foul by P. Tucker (drawn by K. Caldwell-Pope),50-38, ,,2,50,38,12,1088.0
5:52.0,Turnover by P. Tucker (offensive foul),50-38, ,,2,50,38,12,1088.0
5:52.0,G. Vincent enters the game for M. Strus,50-38, ,,2,50,38,12,1088.0
5:52.0, ,50-38,T. Bryant enters the game for M. Harrell,,2,50,38,12,1088.0
5:39.0, ,50-38,K. Caldwell-Pope misses 2-pt jump shot from 12 ft,,2,50,38,12,1101.0
5:38.0,Defensive rebound by Team,50-38, ,,2,50,38,12,1102.0
5:26.0,Offensive foul by B. Adebayo (drawn by K. Caldwell-Pope),50-38, ,,2,50,38,12,1114.0
5:26.0,Turnover by B. Adebayo (offensive foul),50-38, ,,2,50,38,12,1114.0
5:12.0, ,50-40,A. Holiday makes 2-pt jump shot from 6 ft,,2,50,40,10,1128.0
5:00.0,Miami full timeout,50-40, ,,2,50,40,10,1140.0
4:53.0,J. Butler misses 2-pt layup from 5 ft,50-40, ,,2,50,40,10,1147.0
4:51.0, ,50-40,Defensive rebound by D. Avdija,,2,50,40,10,1149.0
4:40.0, ,50-40,Personal foul by G. Vincent (drawn by A. Holiday),,2,50,40,10,1160.0
4:40.0, ,50-40,A. Holiday misses free throw 1 of 2,,2,50,40,10,1160.0
4:40.0, ,50-40,Offensive rebound by Team,,2,50,40,10,1160.0
4:40.0,K. Lowry enters the game for G. Vincent,50-40, ,,2,50,40,10,1160.0
4:40.0, ,50-41,A. Holiday makes free throw 2 of 2,,2,50,41,9,1160.0
4:22.0,Turnover by J. Butler (bad pass; steal by D. Avdija),50-41, ,,2,50,41,9,1178.0
3:59.0, ,50-44,K. Caldwell-Pope makes 3-pt jump shot from 28 ft (assist by D. Avdija),,2,50,44,6,1201.0
3:36.0,Personal foul by D. Avdija (drawn by B. Adebayo),50-44, ,,2,50,44,6,1224.0
3:27.0,J. Butler makes 2-pt jump shot from 12 ft,52-44, ,,2,52,44,8,1233.0
3:27.0, ,52-44,K. Kuzma enters the game for D. Avdija,,2,52,44,8,1233.0
2:59.0, ,52-44,Turnover by Team (shot clock),,2,52,44,8,1261.0
2:42.0,J. Butler makes 2-pt layup from 2 ft (assist by K. Lowry),54-44, ,,2,54,44,10,1278.0
2:31.0, ,54-44,Shooting foul by P. Tucker (drawn by K. Kuzma),,2,54,44,10,1289.0
2:31.0, ,54-45,K. Kuzma makes free throw 1 of 2,,2,54,45,9,1289.0
2:31.0, ,54-46,K. Kuzma makes free throw 2 of 2,,2,54,46,8,1289.0
2:19.0,B. Adebayo misses 2-pt hook shot from 7 ft,54-46, ,,2,54,46,8,1301.0
2:16.0, ,54-46,Defensive rebound by A. Holiday,,2,54,46,8,1304.0
2:05.0, ,54-46,Shooting foul by B. Adebayo (drawn by T. Bryant),,2,54,46,8,1315.0
2:05.0, ,54-47,T. Bryant makes free throw 1 of 2,,2,54,47,7,1315.0
2:05.0, ,54-48,T. Bryant makes free throw 2 of 2,,2,54,48,6,1315.0
1:51.0,Personal foul by T. Bryant (drawn by K. Lowry),54-48, ,,2,54,48,6,1329.0
1:43.0,B. Adebayo makes 2-pt jump shot from 9 ft,56-48, ,,2,56,48,8,1337.0
1:16.0, ,56-48,K. Kuzma misses 3-pt jump shot from 40 ft,,2,56,48,8,1364.0
1:14.0,Defensive rebound by P. Tucker,56-48, ,,2,56,48,8,1366.0
1:09.0,Personal foul by T. Bryant (drawn by B. Adebayo),56-48, ,,2,56,48,8,1371.0
1:09.0,B. Adebayo misses free throw 1 of 2,56-48, ,,2,56,48,8,1371.0
1:09.0,Offensive rebound by Team,56-48, ,,2,56,48,8,1371.0
1:09.0,C. Martin enters the game for P. Tucker,56-48, ,,2,56,48,8,1371.0
1:09.0,B. Adebayo makes free throw 2 of 2,57-48, ,,2,57,48,9,1371.0
0:56.0, ,57-51,K. Kuzma makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,2,57,51,6,1384.0
0:38.0,C. Martin makes 3-pt jump shot from 25 ft (assist by B. Adebayo),60-51, ,,2,60,51,9,1402.0
0:29.0, ,60-51,S. Dinwiddie misses 2-pt layup from 5 ft,,2,60,51,9,1411.0
0:27.0, ,60-51,Offensive rebound by A. Holiday,,2,60,51,9,1413.0
0:27.0,D. Dedmon enters the game for B. Adebayo,60-51, ,,2,60,51,9,1413.0
0:22.0, ,60-53,K. Caldwell-Pope makes 2-pt layup from 2 ft,,2,60,53,7,1418.0
0:00.0,C. Martin misses 2-pt layup from 5 ft,60-53, ,,2,60,53,7,1440.0
0:00.0, ,60-53,Defensive rebound by K. Kuzma,,2,60,53,7,1440.0
0:00.0,End of 2nd quarter,60-53,,,2,60,53,7,1440.0
12:00.0,Start of 3rd quarter,60-53,,,3,60,53,7,1440.0
11:42.0, ,60-53,A. Holiday misses 3-pt jump shot from 27 ft,,3,60,53,7,1458.0
11:38.0,Defensive rebound by P. Tucker,60-53, ,,3,60,53,7,1462.0
11:21.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by J. Butler),63-53, ,,3,63,53,10,1479.0
11:05.0, ,63-53,Turnover by A. Holiday (bad pass; steal by K. Lowry),,3,63,53,10,1495.0
10:56.0,B. Adebayo misses 2-pt jump shot from 14 ft,63-53, ,,3,63,53,10,1504.0
10:53.0, ,63-53,Defensive rebound by S. Dinwiddie,,3,63,53,10,1507.0
10:33.0, ,63-53,K. Kuzma misses 3-pt jump shot from 24 ft,,3,63,53,10,1527.0
10:30.0,Defensive rebound by K. Lowry,63-53, ,,3,63,53,10,1530.0
10:24.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),66-53, ,,3,66,53,13,1536.0
10:06.0, ,66-53,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,3,66,53,13,1554.0
10:05.0, ,66-53,Offensive rebound by Team,,3,66,53,13,1555.0
10:02.0, ,66-53,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,3,66,53,13,1558.0
10:00.0,Defensive rebound by B. Adebayo,66-53, ,,3,66,53,13,1560.0
9:51.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Butler),68-53, ,,3,68,53,15,1569.0
9:51.0, ,68-53,Washington full timeout,,3,68,53,15,1569.0
9:35.0, ,68-53,Turnover by T. Bryant (3 sec),,3,68,53,15,1585.0
9:21.0,D. Robinson misses 3-pt jump shot from 26 ft,68-53, ,,3,68,53,15,1599.0
9:20.0,Offensive rebound by B. Adebayo,68-53, ,,3,68,53,15,1600.0
9:19.0,B. Adebayo makes 2-pt layup at rim,70-53, ,,3,70,53,17,1601.0
8:53.0, ,70-53,Personal foul by P. Tucker (drawn by S. Dinwiddie),,3,70,53,17,1627.0
8:41.0, ,70-55,A. Holiday makes 2-pt jump shot from 5 ft (assist by S. Dinwiddie),,3,70,55,15,1639.0
8:29.0,Personal foul by S. Dinwiddie (drawn by J. Butler),70-55, ,,3,70,55,15,1651.0
8:19.0,Offensive foul by B. Adebayo (drawn by S. Dinwiddie),70-55, ,,3,70,55,15,1661.0
8:19.0,Turnover by B. Adebayo (offensive foul),70-55, ,,3,70,55,15,1661.0
8:00.0, ,70-55,S. Dinwiddie misses 2-pt jump shot from 4 ft,,3,70,55,15,1680.0
7:54.0, ,70-55,Offensive rebound by T. Bryant,,3,70,55,15,1686.0
7:54.0, ,70-57,T. Bryant makes 2-pt dunk at rim,,3,70,57,13,1686.0
7:41.0,B. Adebayo makes 2-pt layup from 4 ft (assist by K. Lowry),72-57, ,,3,72,57,15,1699.0
7:30.0, ,72-57,K. Kuzma misses 3-pt jump shot from 29 ft,,3,72,57,15,1710.0
7:28.0,Defensive rebound by P. Tucker,72-57, ,,3,72,57,15,1712.0
7:15.0,Offensive foul by J. Butler (drawn by S. Dinwiddie),72-57, ,,3,72,57,15,1725.0
7:15.0,Turnover by J. Butler (offensive foul),72-57, ,,3,72,57,15,1725.0
7:00.0, ,72-57,Shooting foul by J. Butler (drawn by A. Holiday),,3,72,57,15,1740.0
7:00.0, ,72-58,A. Holiday makes free throw 1 of 2,,3,72,58,14,1740.0
7:00.0, ,72-59,A. Holiday makes free throw 2 of 2,,3,72,59,13,1740.0
6:42.0,B. Adebayo misses 2-pt dunk from 3 ft,72-59, ,,3,72,59,13,1758.0
6:39.0, ,72-59,Defensive rebound by T. Bryant,,3,72,59,13,1761.0
6:38.0, ,72-59,Turnover by A. Holiday (out of bounds lost ball),,3,72,59,13,1762.0
6:38.0, ,72-59,D. Avdija enters the game for T. Bryant,,3,72,59,13,1762.0
6:38.0, ,72-59,M. Harrell enters the game for A. Holiday,,3,72,59,13,1762.0
6:38.0, ,72-59,C. Kispert enters the game for K. Kuzma,,3,72,59,13,1762.0
6:20.0,Turnover by D. Robinson (bad pass; steal by S. Dinwiddie),72-59, ,,3,72,59,13,1780.0
6:16.0, ,72-61,C. Kispert makes 2-pt dunk from 3 ft (assist by K. Caldwell-Pope),,3,72,61,11,1784.0
5:58.0,J. Butler misses 2-pt layup from 8 ft,72-61, ,,3,72,61,11,1802.0
5:56.0, ,72-61,Defensive rebound by D. Avdija,,3,72,61,11,1804.0
5:45.0, ,72-63,S. Dinwiddie makes 2-pt layup from 4 ft,,3,72,63,9,1815.0
5:45.0,Miami full timeout,72-63, ,,3,72,63,9,1815.0
5:45.0,G. Vincent enters the game for K. Lowry,72-63, ,,3,72,63,9,1815.0
5:28.0,Turnover by D. Robinson (traveling),72-63, ,,3,72,63,9,1832.0
5:17.0, ,72-63,Offensive foul by M. Harrell (drawn by J. Butler),,3,72,63,9,1843.0
5:17.0, ,72-63,Turnover by M. Harrell (offensive foul),,3,72,63,9,1843.0
5:03.0,G. Vincent makes 2-pt layup from 5 ft (assist by B. Adebayo),74-63, ,,3,74,63,11,1857.0
4:44.0, ,74-65,C. Kispert makes 2-pt jump shot from 5 ft (assist by K. Caldwell-Pope),,3,74,65,9,1876.0
4:34.0,Personal foul by K. Caldwell-Pope (drawn by B. Adebayo),74-65, ,,3,74,65,9,1886.0
4:34.0, ,74-65,R. Hachimura enters the game for K. Caldwell-Pope,,3,74,65,9,1886.0
4:23.0,D. Robinson misses 2-pt layup from 7 ft,74-65, ,,3,74,65,9,1897.0
4:21.0, ,74-65,Defensive rebound by S. Dinwiddie,,3,74,65,9,1899.0
4:18.0, ,74-67,C. Kispert makes 2-pt layup from 3 ft (assist by D. Avdija),,3,74,67,7,1902.0
4:05.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by G. Vincent),76-67, ,,3,76,67,9,1915.0
3:47.0, ,76-69,M. Harrell makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,3,76,69,7,1933.0
3:32.0,Shooting foul by D. Avdija (drawn by B. Adebayo),76-69, ,,3,76,69,7,1948.0
3:32.0, ,76-69,Technical foul by D. Avdija,,3,76,69,7,1948.0
3:32.0,J. Butler makes technical free throw,77-69, ,,3,77,69,8,1948.0
3:32.0,B. Adebayo makes free throw 1 of 2,78-69, ,,3,78,69,9,1948.0
3:32.0,C. Martin enters the game for D. Robinson,78-69, ,,3,78,69,9,1948.0
