Time,Detroit,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: I. Stewart vs. B. Adebayo (P. Tucker gains possession),0-0,,,1,0,0,0,0.0
11:39.0, ,0-0,D. Robinson misses 3-pt jump shot from 28 ft,,1,0,0,0,21.0
11:35.0,Defensive rebound by I. Stewart,0-0, ,,1,0,0,0,25.0
11:30.0,R. McGruder misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,30.0
11:26.0, ,0-0,Defensive rebound by P. Tucker,,1,0,0,0,34.0
11:18.0, ,0-0,Turnover by P. Tucker (bad pass; steal by J. Grant),,1,0,0,0,42.0
11:08.0,I. Stewart misses 2-pt hook shot from 6 ft,0-0, ,,1,0,0,0,52.0
11:05.0,Offensive rebound by I. Stewart,0-0, ,,1,0,0,0,55.0
11:05.0,I. Stewart misses 2-pt layup at rim,0-0, ,,1,0,0,0,55.0
11:03.0,Offensive rebound by I. Stewart,0-0, ,,1,0,0,0,57.0
11:03.0,I. Stewart misses 2-pt layup at rim,0-0, ,,1,0,0,0,57.0
11:02.0, ,0-0,Defensive rebound by J. Butler,,1,0,0,0,58.0
10:53.0, ,0-2,B. Adebayo makes 2-pt hook shot from 9 ft (assist by J. Butler),,1,2,0,2,67.0
10:38.0,S. Bey misses 3-pt jump shot from 23 ft,0-2, ,,1,2,0,2,82.0
10:34.0, ,0-2,Defensive rebound by B. Adebayo,,1,2,0,2,86.0
10:17.0, ,0-2,J. Butler misses 2-pt layup from 5 ft,,1,2,0,2,103.0
10:13.0,Defensive rebound by C. Joseph,0-2, ,,1,2,0,2,107.0
10:13.0,Shooting foul by D. Robinson (drawn by S. Bey),0-2, ,,1,2,0,2,107.0
10:13.0,S. Bey misses free throw 1 of 2,0-2, ,,1,2,0,2,107.0
10:13.0,Offensive rebound by Team,0-2, ,,1,2,0,2,107.0
10:13.0,S. Bey makes free throw 2 of 2,1-2, ,,1,2,1,1,107.0
10:01.0, ,1-5,D. Robinson makes 3-pt jump shot from 23 ft (assist by J. Butler),,1,5,1,4,119.0
9:47.0,J. Grant makes 2-pt jump shot from 19 ft,3-5, ,,1,5,3,2,133.0
9:38.0, ,3-5,Turnover by K. Lowry (bad pass),,1,5,3,2,142.0
9:26.0,C. Joseph misses 3-pt jump shot from 26 ft,3-5, ,,1,5,3,2,154.0
9:23.0, ,3-5,Defensive rebound by B. Adebayo,,1,5,3,2,157.0
9:09.0, ,3-7,B. Adebayo makes 2-pt jump shot from 11 ft (assist by D. Robinson),,1,7,3,4,171.0
8:54.0,R. McGruder makes 3-pt jump shot from 23 ft (assist by S. Bey),6-7, ,,1,7,6,1,186.0
8:31.0, ,6-7,B. Adebayo misses 2-pt dunk from 7 ft (block by I. Stewart),,1,7,6,1,209.0
8:27.0,Defensive rebound by R. McGruder,6-7, ,,1,7,6,1,213.0
8:25.0,Turnover by R. McGruder (bad pass; steal by D. Robinson),6-7, ,,1,7,6,1,215.0
8:22.0, ,6-9,J. Butler makes 2-pt dunk from 2 ft (assist by K. Lowry),,1,9,6,3,218.0
8:07.0,C. Joseph misses 3-pt jump shot from 28 ft,6-9, ,,1,9,6,3,233.0
8:03.0, ,6-9,Defensive rebound by D. Robinson,,1,9,6,3,237.0
7:41.0, ,6-9,J. Butler misses 2-pt layup from 2 ft,,1,9,6,3,259.0
7:39.0,Defensive rebound by I. Stewart,6-9, ,,1,9,6,3,261.0
7:36.0,J. Grant misses 3-pt jump shot from 27 ft,6-9, ,,1,9,6,3,264.0
7:32.0, ,6-9,Defensive rebound by B. Adebayo,,1,9,6,3,268.0
7:30.0, ,6-9,Shooting foul by C. Joseph (drawn by B. Adebayo),,1,9,6,3,270.0
7:30.0, ,6-9,B. Adebayo misses free throw 1 of 2,,1,9,6,3,270.0
7:30.0, ,6-9,Offensive rebound by Team,,1,9,6,3,270.0
7:30.0, ,6-10,B. Adebayo makes free throw 2 of 2,,1,10,6,4,270.0
7:17.0,C. Joseph makes 2-pt jump shot from 3 ft,8-10, ,,1,10,8,2,283.0
7:00.0, ,8-10,D. Robinson misses 2-pt layup from 3 ft,,1,10,8,2,300.0
6:57.0, ,8-10,Offensive rebound by D. Robinson,,1,10,8,2,303.0
6:52.0, ,8-10,Shooting foul by I. Stewart (drawn by B. Adebayo),,1,10,8,2,308.0
6:52.0, ,8-10,Miami full timeout,,1,10,8,2,308.0
6:52.0, ,8-11,B. Adebayo makes free throw 1 of 2,,1,11,8,3,308.0
6:52.0, ,8-11,B. Adebayo misses free throw 2 of 2,,1,11,8,3,308.0
6:49.0,Defensive rebound by I. Stewart,8-11, ,,1,11,8,3,311.0
6:37.0,Offensive foul by I. Stewart (drawn by B. Adebayo),8-11, ,,1,11,8,3,323.0
6:37.0,Turnover by I. Stewart (offensive foul),8-11, ,,1,11,8,3,323.0
