Time,Miami,Score,Phoenix,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: O. Yurtseven vs. D. Ayton (C. Paul gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-0,Turnover by C. Paul (bad pass),,1,0,0,0,15.0
11:33.0,K. Lowry misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,27.0
11:29.0, ,0-0,Defensive rebound by C. Paul,,1,0,0,0,31.0
11:19.0, ,0-0,Turnover by D. Booker (bad pass),,1,0,0,0,41.0
10:55.0,Turnover by P. Tucker (bad pass; steal by D. Booker),0-0, ,,1,0,0,0,65.0
10:50.0, ,0-3,D. Booker makes 3-pt jump shot from 25 ft,,1,0,3,-3,70.0
10:29.0,M. Strus makes 3-pt jump shot from 24 ft (assist by O. Yurtseven),3-3, ,Tie,1,3,3,0,91.0
10:16.0, ,3-3,J. Crowder misses 3-pt jump shot from 25 ft,,1,3,3,0,104.0
10:14.0,Defensive rebound by C. Martin,3-3, ,,1,3,3,0,106.0
10:06.0,C. Martin makes 3-pt jump shot from 24 ft (assist by K. Lowry),6-3, ,Lead change,1,6,3,3,114.0
9:50.0, ,6-6,C. Paul makes 3-pt jump shot from 23 ft (assist by M. Bridges),Tie,1,6,6,0,130.0
9:30.0,M. Strus misses 3-pt jump shot from 26 ft,6-6, ,,1,6,6,0,150.0
9:28.0, ,6-6,Defensive rebound by D. Ayton,,1,6,6,0,152.0
9:25.0, ,6-9,M. Bridges makes 3-pt jump shot from 26 ft (assist by C. Paul),Lead change,1,6,9,-3,155.0
9:14.0,Turnover by K. Lowry (bad pass; steal by J. Crowder),6-9, ,,1,6,9,-3,166.0
9:07.0, ,6-12,M. Bridges makes 3-pt jump shot from 24 ft (assist by J. Crowder),,1,6,12,-6,173.0
8:46.0,P. Tucker misses 3-pt jump shot from 23 ft,6-12, ,,1,6,12,-6,194.0
8:44.0, ,6-12,Defensive rebound by Team,,1,6,12,-6,196.0
8:28.0, ,6-12,J. Crowder misses 2-pt jump shot from 14 ft,,1,6,12,-6,212.0
8:26.0,Defensive rebound by O. Yurtseven,6-12, ,,1,6,12,-6,214.0
8:22.0,C. Martin misses 3-pt jump shot from 23 ft,6-12, ,,1,6,12,-6,218.0
8:19.0,Offensive rebound by K. Lowry,6-12, ,,1,6,12,-6,221.0
8:18.0,K. Lowry makes 2-pt layup from 1 ft,8-12, ,,1,8,12,-4,222.0
8:06.0, ,8-12,C. Paul misses 2-pt jump shot from 13 ft,,1,8,12,-4,234.0
8:05.0,Defensive rebound by P. Tucker,8-12, ,,1,8,12,-4,235.0
8:05.0,Personal foul by C. Paul (drawn by P. Tucker),8-12, ,,1,8,12,-4,235.0
7:53.0, ,8-12,Violation by Team (kicked ball),,1,8,12,-4,247.0
7:47.0,M. Strus makes 3-pt jump shot from 25 ft (assist by O. Yurtseven),11-12, ,,1,11,12,-1,253.0
7:30.0, ,11-14,J. Crowder makes 2-pt jump shot from 6 ft (assist by C. Paul),,1,11,14,-3,270.0
7:16.0,M. Strus misses 3-pt jump shot from 25 ft,11-14, ,,1,11,14,-3,284.0
7:15.0, ,11-14,Defensive rebound by J. Crowder,,1,11,14,-3,285.0
7:06.0, ,11-14,Shooting foul by O. Yurtseven (drawn by D. Booker),,1,11,14,-3,294.0
7:06.0, ,11-15,D. Booker makes free throw 1 of 2,,1,11,15,-4,294.0
7:06.0, ,11-16,D. Booker makes free throw 2 of 2,,1,11,16,-5,294.0
6:53.0,P. Tucker makes 2-pt layup from 3 ft (assist by K. Lowry),13-16, ,,1,13,16,-3,307.0
6:43.0, ,13-16,M. Bridges misses 3-pt jump shot from 23 ft,,1,13,16,-3,317.0
6:40.0,Defensive rebound by O. Yurtseven,13-16, ,,1,13,16,-3,320.0
6:30.0,Personal foul by D. Booker (drawn by K. Lowry),13-16, ,,1,13,16,-3,330.0
6:30.0, ,13-16,Phoenix full timeout,,1,13,16,-3,330.0
6:21.0,K. Lowry makes 3-pt jump shot from 25 ft,16-16, ,Tie,1,16,16,0,339.0
5:57.0, ,16-16,J. Crowder misses 3-pt jump shot from 25 ft,,1,16,16,0,363.0
5:55.0,Defensive rebound by O. Yurtseven,16-16, ,,1,16,16,0,365.0
5:55.0,T. Herro enters the game for C. Martin,16-16, ,,1,16,16,0,365.0
5:55.0, ,16-16,C. Johnson enters the game for J. Crowder,,1,16,16,0,365.0
5:40.0,P. Tucker makes 2-pt layup from 2 ft (assist by O. Yurtseven),18-16, ,Lead change,1,18,16,2,380.0
5:30.0, ,18-16,D. Booker misses 2-pt jump shot from 13 ft (block by T. Herro),,1,18,16,2,390.0
5:27.0,Defensive rebound by M. Strus,18-16, ,,1,18,16,2,393.0
5:15.0,P. Tucker misses 2-pt jump shot from 10 ft,18-16, ,,1,18,16,2,405.0
5:11.0, ,18-16,Defensive rebound by D. Booker,,1,18,16,2,409.0
5:04.0, ,18-16,D. Booker misses 2-pt jump shot from 11 ft,,1,18,16,2,416.0
5:03.0,Defensive rebound by M. Strus,18-16, ,,1,18,16,2,417.0
4:55.0,P. Tucker makes 3-pt jump shot from 26 ft (assist by K. Lowry),21-16, ,,1,21,16,5,425.0
4:36.0, ,21-16,M. Bridges misses 3-pt jump shot from 26 ft,,1,21,16,5,444.0
4:34.0,Defensive rebound by T. Herro,21-16, ,,1,21,16,5,446.0
4:28.0,K. Lowry misses 3-pt jump shot from 27 ft,21-16, ,,1,21,16,5,452.0
4:28.0,Offensive rebound by O. Yurtseven,21-16, ,,1,21,16,5,452.0
4:28.0,Instant Replay (Request: Ruling Stands),21-16, ,,1,21,16,5,452.0
4:28.0,Turnover by M. Strus (step out of bounds),21-16, ,,1,21,16,5,452.0
4:28.0,D. Robinson enters the game for M. Strus,21-16, ,,1,21,16,5,452.0
4:28.0,C. Silva enters the game for O. Yurtseven,21-16, ,,1,21,16,5,452.0
4:28.0, ,21-16,J. McGee enters the game for D. Ayton,,1,21,16,5,452.0
4:28.0, ,21-16,C. Payne enters the game for C. Paul,,1,21,16,5,452.0
4:14.0, ,21-16,Offensive foul by J. McGee (drawn by D. Robinson),,1,21,16,5,466.0
4:14.0, ,21-16,Turnover by J. McGee (offensive foul),,1,21,16,5,466.0
3:50.0,K. Lowry misses 2-pt jump shot from 3 ft,21-16, ,,1,21,16,5,490.0
3:48.0, ,21-16,Defensive rebound by J. McGee,,1,21,16,5,492.0
3:35.0, ,21-19,D. Booker makes 3-pt jump shot from 23 ft (assist by C. Payne),,1,21,19,2,505.0
3:22.0,P. Tucker misses 3-pt jump shot from 23 ft,21-19, ,,1,21,19,2,518.0
3:19.0,Offensive rebound by C. Silva,21-19, ,,1,21,19,2,521.0
3:17.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by C. Silva),24-19, ,,1,24,19,5,523.0
3:05.0, ,24-19,Shooting foul by P. Tucker (drawn by D. Booker),,1,24,19,5,535.0
3:05.0, ,24-20,D. Booker makes free throw 1 of 2,,1,24,20,4,535.0
3:05.0,C. Martin enters the game for P. Tucker,24-20, ,,1,24,20,4,535.0
3:05.0, ,24-20,J. Smith enters the game for M. Bridges,,1,24,20,4,535.0
3:05.0, ,24-21,D. Booker makes free throw 2 of 2,,1,24,21,3,535.0
2:49.0,T. Herro misses 2-pt layup from 4 ft,24-21, ,,1,24,21,3,551.0
2:47.0,Offensive rebound by C. Silva,24-21, ,,1,24,21,3,553.0
2:47.0,Shooting foul by J. Smith (drawn by C. Silva),24-21, ,,1,24,21,3,553.0
2:47.0,Miami full timeout,24-21, ,,1,24,21,3,553.0
2:47.0,C. Silva misses free throw 1 of 2,24-21, ,,1,24,21,3,553.0
2:47.0,Offensive rebound by Team,24-21, ,,1,24,21,3,553.0
2:47.0,C. Silva makes free throw 2 of 2,25-21, ,,1,25,21,4,553.0
2:22.0, ,25-21,J. McGee misses 2-pt jump shot from 9 ft,,1,25,21,4,578.0
2:19.0,Defensive rebound by D. Robinson,25-21, ,,1,25,21,4,581.0
2:09.0,C. Silva makes 2-pt layup from 2 ft (assist by T. Herro),27-21, ,,1,27,21,6,591.0
1:51.0, ,27-21,J. Smith misses 3-pt jump shot from 24 ft,,1,27,21,6,609.0
1:49.0,Defensive rebound by C. Silva,27-21, ,,1,27,21,6,611.0
1:40.0,T. Herro misses 2-pt jump shot from 7 ft,27-21, ,,1,27,21,6,620.0
1:38.0, ,27-21,Defensive rebound by D. Booker,,1,27,21,6,622.0
1:26.0, ,27-21,D. Booker misses 2-pt jump shot from 12 ft,,1,27,21,6,634.0
1:23.0,Defensive rebound by D. Robinson,27-21, ,,1,27,21,6,637.0
1:13.0,T. Herro makes 3-pt jump shot from 26 ft,30-21, ,,1,30,21,9,647.0
0:53.0, ,30-23,C. Payne makes 2-pt jump shot from 9 ft,,1,30,23,7,667.0
0:43.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by C. Martin),33-23, ,,1,33,23,10,677.0
0:31.0, ,33-26,C. Payne makes 3-pt jump shot from 27 ft (assist by D. Booker),,1,33,26,7,689.0
0:07.0,Turnover by Team (shot clock),33-26, ,,1,33,26,7,713.0
0:07.0,K. Guy enters the game for K. Lowry,33-26, ,,1,33,26,7,713.0
0:07.0, ,33-26,Away from play foul by T. Herro (drawn by D. Booker),,1,33,26,7,713.0
0:07.0, ,33-27,D. Booker makes free throw 1 of 1,,1,33,27,6,713.0
0:07.0,H. Highsmith enters the game for K. Guy,33-27, ,,1,33,27,6,713.0
0:00.0, ,33-29,D. Booker makes 2-pt jump shot from 19 ft,,1,33,29,4,720.0
0:00.0, ,33-29,Instant Replay (Request: Ruling Stands),,1,33,29,4,720.0
0:00.0,End of 1st quarter,33-29,,,1,33,29,4,720.0
12:00.0,Start of 2nd quarter,33-29,,,2,33,29,4,720.0
11:36.0,D. Robinson misses 3-pt jump shot from 26 ft,33-29, ,,2,33,29,4,744.0
11:33.0, ,33-29,Defensive rebound by J. Crowder,,2,33,29,4,747.0
11:26.0, ,33-29,J. Crowder misses 2-pt jump shot from 4 ft,,2,33,29,4,754.0
11:24.0, ,33-29,Offensive rebound by D. Ayton,,2,33,29,4,756.0
11:20.0, ,33-32,C. Johnson makes 3-pt jump shot from 25 ft (assist by C. Payne),,2,33,32,1,760.0
11:06.0,K. Guy misses 3-pt jump shot from 25 ft,33-32, ,,2,33,32,1,774.0
11:03.0, ,33-32,Defensive rebound by D. Ayton,,2,33,32,1,777.0
10:55.0, ,33-32,C. Payne misses 2-pt layup from 2 ft,,2,33,32,1,785.0
10:54.0, ,33-32,Offensive rebound by C. Payne,,2,33,32,1,786.0
10:43.0, ,33-32,C. Johnson misses 3-pt jump shot from 23 ft,,2,33,32,1,797.0
10:38.0,Defensive rebound by D. Robinson,33-32, ,,2,33,32,1,802.0
10:34.0,T. Herro misses 3-pt jump shot from 26 ft,33-32, ,,2,33,32,1,806.0
10:30.0, ,33-32,Defensive rebound by C. Johnson,,2,33,32,1,810.0
10:23.0, ,33-32,Turnover by C. Paul (lost ball; steal by C. Martin),,2,33,32,1,817.0
10:21.0,T. Herro misses 2-pt layup from 2 ft (block by D. Ayton),33-32, ,,2,33,32,1,819.0
10:20.0,Offensive rebound by Team,33-32, ,,2,33,32,1,820.0
10:20.0,O. Yurtseven enters the game for C. Silva,33-32, ,,2,33,32,1,820.0
10:09.0,C. Martin makes 3-pt jump shot from 25 ft (assist by K. Guy),36-32, ,,2,36,32,4,831.0
9:49.0, ,36-32,C. Johnson misses 3-pt jump shot from 25 ft,,2,36,32,4,851.0
9:48.0,Defensive rebound by Team,36-32, ,,2,36,32,4,852.0
9:39.0,T. Herro misses 2-pt jump shot from 22 ft,36-32, ,,2,36,32,4,861.0
9:37.0,Offensive rebound by Team,36-32, ,,2,36,32,4,863.0
9:37.0, ,36-32,M. Bridges enters the game for C. Payne,,2,36,32,4,863.0
9:35.0,D. Robinson misses 3-pt jump shot from 24 ft,36-32, ,,2,36,32,4,865.0
9:32.0,Offensive rebound by O. Yurtseven,36-32, ,,2,36,32,4,868.0
9:31.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by O. Yurtseven),39-32, ,,2,39,32,7,869.0
9:17.0, ,39-32,Shooting foul by O. Yurtseven (drawn by C. Paul),,2,39,32,7,883.0
9:17.0, ,39-33,C. Paul makes free throw 1 of 2,,2,39,33,6,883.0
9:17.0, ,39-34,C. Paul makes free throw 2 of 2,,2,39,34,5,883.0
9:01.0,T. Herro makes 2-pt layup from 2 ft (assist by O. Yurtseven),41-34, ,,2,41,34,7,899.0
8:49.0, ,41-36,C. Paul makes 2-pt jump shot from 19 ft,,2,41,36,5,911.0
8:39.0,O. Yurtseven misses 2-pt jump shot from 17 ft,41-36, ,,2,41,36,5,921.0
8:35.0, ,41-36,Defensive rebound by C. Johnson,,2,41,36,5,925.0
8:31.0, ,41-38,M. Bridges makes 2-pt layup from 1 ft (assist by C. Paul),,2,41,38,3,929.0
8:10.0,K. Guy makes 2-pt jump shot from 12 ft (assist by O. Yurtseven),43-38, ,,2,43,38,5,950.0
7:54.0, ,43-38,C. Johnson misses 2-pt jump shot from 16 ft,,2,43,38,5,966.0
7:51.0,Defensive rebound by T. Herro,43-38, ,,2,43,38,5,969.0
7:45.0,D. Robinson makes 3-pt jump shot from 25 ft,46-38, ,,2,46,38,8,975.0
7:28.0, ,46-38,D. Ayton misses 2-pt jump shot from 10 ft,,2,46,38,8,992.0
7:26.0,Defensive rebound by O. Yurtseven,46-38, ,,2,46,38,8,994.0
7:14.0,T. Herro makes 2-pt layup from 1 ft (assist by K. Guy),48-38, ,,2,48,38,10,1006.0
7:14.0, ,48-38,Phoenix full timeout,,2,48,38,10,1006.0
7:14.0, ,48-38,Violation by Team (delay of game),,2,48,38,10,1006.0
6:54.0, ,48-38,C. Johnson misses 3-pt jump shot from 23 ft,,2,48,38,10,1026.0
6:50.0,Defensive rebound by O. Yurtseven,48-38, ,,2,48,38,10,1030.0
6:39.0,K. Guy misses 3-pt jump shot from 24 ft,48-38, ,,2,48,38,10,1041.0
6:36.0, ,48-38,Defensive rebound by J. Crowder,,2,48,38,10,1044.0
6:27.0, ,48-38,C. Paul misses 2-pt jump shot from 14 ft,,2,48,38,10,1053.0
6:25.0,Defensive rebound by O. Yurtseven,48-38, ,,2,48,38,10,1055.0
6:10.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by O. Yurtseven),51-38, ,,2,51,38,13,1070.0
5:51.0, ,51-40,D. Ayton makes 2-pt jump shot from 14 ft (assist by M. Bridges),,2,51,40,11,1089.0
5:31.0,O. Yurtseven misses 2-pt jump shot from 12 ft,51-40, ,,2,51,40,11,1109.0
5:28.0,Offensive rebound by D. Robinson,51-40, ,,2,51,40,11,1112.0
5:25.0,T. Herro misses 2-pt jump shot from 6 ft,51-40, ,,2,51,40,11,1115.0
5:25.0, ,51-40,Defensive rebound by C. Johnson,,2,51,40,11,1115.0
5:19.0, ,51-40,Turnover by M. Bridges (bad pass),,2,51,40,11,1121.0
5:19.0,K. Lowry enters the game for K. Guy,51-40, ,,2,51,40,11,1121.0
5:19.0,M. Strus enters the game for T. Herro,51-40, ,,2,51,40,11,1121.0
5:19.0,P. Tucker enters the game for C. Martin,51-40, ,,2,51,40,11,1121.0
