Time,Miami,Score,Houston,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: O. Yurtseven vs. C. Wood (K. Porter gains possession),0-0,,,1,0,0,0,0.0
11:52.0, ,0-0,D. Nwaba misses 3-pt jump shot from 26 ft,,1,0,0,0,8.0
11:51.0,Defensive rebound by T. Herro,0-0, ,,1,0,0,0,9.0
11:34.0,O. Yurtseven makes 2-pt layup from 1 ft (assist by K. Lowry),2-0, ,,1,2,0,2,26.0
11:18.0, ,2-0,J. Green misses 3-pt jump shot from 23 ft,,1,2,0,2,42.0
11:17.0, ,2-0,Offensive rebound by Team,,1,2,0,2,43.0
11:06.0, ,2-3,E. Gordon makes 3-pt jump shot from 27 ft,Lead change,1,2,3,-1,54.0
10:41.0,C. Martin misses 2-pt jump shot from 10 ft,2-3, ,,1,2,3,-1,79.0
10:39.0, ,2-3,Defensive rebound by D. Nwaba,,1,2,3,-1,81.0
10:31.0, ,2-6,C. Wood makes 3-pt jump shot from 26 ft,,1,2,6,-4,89.0
10:14.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by T. Herro),5-6, ,,1,5,6,-1,106.0
9:56.0, ,5-8,K. Porter makes 2-pt layup from 1 ft,,1,5,8,-3,124.0
9:49.0,O. Yurtseven makes 2-pt layup from 1 ft (assist by K. Lowry),7-8, ,,1,7,8,-1,131.0
9:39.0, ,7-10,D. Nwaba makes 2-pt dunk from 1 ft (assist by J. Green),,1,7,10,-3,141.0
9:25.0,J. Butler makes 3-pt jump shot from 23 ft (assist by T. Herro),10-10, ,Tie,1,10,10,0,155.0
9:11.0, ,10-10,Turnover by K. Porter (bad pass; steal by J. Butler),,1,10,10,0,169.0
9:08.0,J. Butler makes 2-pt dunk from 1 ft,12-10, ,Lead change,1,12,10,2,172.0
8:48.0, ,12-10,E. Gordon misses 2-pt layup from 3 ft,,1,12,10,2,192.0
8:47.0, ,12-10,Offensive rebound by K. Porter,,1,12,10,2,193.0
8:46.0, ,12-13,J. Green makes 3-pt jump shot from 23 ft (assist by K. Porter),Lead change,1,12,13,-1,194.0
8:29.0,J. Butler makes 2-pt jump shot from 14 ft,14-13, ,Lead change,1,14,13,1,211.0
8:11.0, ,14-13,Offensive foul by J. Green (drawn by C. Martin),,1,14,13,1,229.0
8:11.0, ,14-13,Turnover by J. Green (offensive foul),,1,14,13,1,229.0
7:57.0,Shooting foul by J. Green (drawn by C. Martin),14-13, ,,1,14,13,1,243.0
7:57.0,C. Martin makes free throw 1 of 2,15-13, ,,1,15,13,2,243.0
7:57.0,C. Martin makes free throw 2 of 2,16-13, ,,1,16,13,3,243.0
7:38.0, ,16-13,D. Nwaba misses 2-pt layup from 3 ft (block by J. Butler),,1,16,13,3,262.0
7:37.0, ,16-13,Offensive rebound by D. Nwaba,,1,16,13,3,263.0
7:35.0, ,16-15,D. Nwaba makes 2-pt layup from 2 ft,,1,16,15,1,265.0
7:12.0,O. Yurtseven makes 2-pt jump shot from 11 ft (assist by T. Herro),18-15, ,,1,18,15,3,288.0
6:59.0, ,18-17,E. Gordon makes 2-pt layup from 2 ft,,1,18,17,1,301.0
6:54.0, ,18-17,Houston full timeout,,1,18,17,1,306.0
6:48.0,O. Yurtseven misses 2-pt hook shot from 8 ft (block by C. Wood),18-17, ,,1,18,17,1,312.0
6:45.0, ,18-17,Defensive rebound by E. Gordon,,1,18,17,1,315.0
6:40.0, ,18-17,Shooting foul by O. Yurtseven (drawn by C. Wood),,1,18,17,1,320.0
6:40.0, ,18-17,C. Wood misses free throw 1 of 3,,1,18,17,1,320.0
6:40.0, ,18-17,Offensive rebound by Team,,1,18,17,1,320.0
6:40.0, ,18-17,C. Wood misses free throw 2 of 3,,1,18,17,1,320.0
6:40.0, ,18-18,C. Wood makes free throw 3 of 3,Tie,1,18,18,0,320.0
6:23.0,J. Butler misses 2-pt jump shot from 8 ft,18-18, ,,1,18,18,0,337.0
6:19.0,Offensive rebound by O. Yurtseven,18-18, ,,1,18,18,0,341.0
6:19.0,O. Yurtseven misses 2-pt layup from 2 ft (block by K. Porter),18-18, ,,1,18,18,0,341.0
6:18.0, ,18-18,Defensive rebound by C. Wood,,1,18,18,0,342.0
6:11.0, ,18-18,E. Gordon misses 3-pt jump shot from 28 ft,,1,18,18,0,349.0
6:08.0,Defensive rebound by C. Martin,18-18, ,,1,18,18,0,352.0
5:56.0,J. Butler makes 2-pt layup from 8 ft,20-18, ,,1,20,18,2,364.0
5:35.0, ,20-20,C. Wood makes 2-pt layup from 2 ft (assist by E. Gordon),Tie,1,20,20,0,385.0
5:24.0,Def 3 sec tech foul by Team,20-20, ,,1,20,20,0,396.0
5:24.0,K. Guy enters the game for K. Lowry,20-20, ,,1,20,20,0,396.0
5:24.0,H. Highsmith enters the game for C. Martin,20-20, ,,1,20,20,0,396.0
5:24.0, ,20-20,J. Christopher enters the game for E. Gordon,,1,20,20,0,396.0
5:24.0, ,20-20,J. Tate enters the game for D. Nwaba,,1,20,20,0,396.0
5:24.0,J. Butler makes technical free throw,21-20, ,,1,21,20,1,396.0
5:13.0,T. Herro misses 3-pt jump shot from 26 ft,21-20, ,,1,21,20,1,407.0
5:10.0, ,21-20,Defensive rebound by J. Christopher,,1,21,20,1,410.0
5:07.0, ,21-20,Personal foul by H. Highsmith (drawn by C. Wood),,1,21,20,1,413.0
4:58.0, ,21-22,K. Porter makes 2-pt jump shot from 20 ft,Lead change,1,21,22,-1,422.0
4:42.0,T. Herro misses 3-pt jump shot from 25 ft,21-22, ,,1,21,22,-1,438.0
4:40.0, ,21-22,Defensive rebound by C. Wood,,1,21,22,-1,440.0
4:27.0, ,21-22,Shooting foul by K. Guy (drawn by J. Green),,1,21,22,-1,453.0
4:27.0, ,21-23,J. Green makes free throw 1 of 2,,1,21,23,-2,453.0
4:27.0,C. Silva enters the game for O. Yurtseven,21-23, ,,1,21,23,-2,453.0
4:27.0, ,21-24,J. Green makes free throw 2 of 2,,1,21,24,-3,453.0
4:19.0,K. Guy makes 3-pt jump shot from 28 ft (assist by T. Herro),24-24, ,Tie,1,24,24,0,461.0
4:07.0, ,24-27,J. Christopher makes 3-pt jump shot from 24 ft (assist by C. Wood),,1,24,27,-3,473.0
3:54.0,Turnover by T. Herro (lost ball; steal by K. Porter),24-27, ,,1,24,27,-3,486.0
3:50.0, ,24-27,K. Porter misses 2-pt dunk from 3 ft,,1,24,27,-3,490.0
3:50.0,Defensive rebound by Team,24-27, ,,1,24,27,-3,490.0
3:50.0, ,24-27,Loose ball foul by J. Christopher (drawn by C. Silva),,1,24,27,-3,490.0
3:50.0, ,24-27,A. Brooks enters the game for J. Green,,1,24,27,-3,490.0
3:50.0, ,24-27,D. Nix enters the game for K. Porter,,1,24,27,-3,490.0
3:39.0,K. Guy makes 3-pt jump shot from 23 ft (assist by T. Herro),27-27, ,Tie,1,27,27,0,501.0
3:39.0, ,27-27,A. Sengun enters the game for C. Wood,,1,27,27,0,501.0
3:19.0, ,27-27,J. Tate misses 2-pt layup from 6 ft,,1,27,27,0,521.0
3:17.0,Defensive rebound by K. Guy,27-27, ,,1,27,27,0,523.0
3:14.0,K. Guy makes 3-pt jump shot from 27 ft,30-27, ,Lead change,1,30,27,3,526.0
2:56.0, ,30-27,Turnover by J. Christopher (traveling),,1,30,27,3,544.0
2:56.0,Miami full timeout,30-27, ,,1,30,27,3,544.0
2:43.0,K. Guy misses 3-pt jump shot from 26 ft,30-27, ,,1,30,27,3,557.0
2:42.0,Offensive rebound by C. Silva,30-27, ,,1,30,27,3,558.0
2:40.0,C. Silva makes 2-pt hook shot from 6 ft,32-27, ,,1,32,27,5,560.0
2:16.0, ,32-27,J. Tate misses 2-pt layup from 8 ft,,1,32,27,5,584.0
2:13.0,Defensive rebound by J. Butler,32-27, ,,1,32,27,5,587.0
2:03.0,H. Highsmith makes 3-pt jump shot from 23 ft (assist by T. Herro),35-27, ,,1,35,27,8,597.0
1:45.0, ,35-27,J. Christopher misses 3-pt jump shot from 25 ft,,1,35,27,8,615.0
1:43.0, ,35-27,Offensive rebound by J. Tate,,1,35,27,8,617.0
1:43.0, ,35-29,J. Tate makes 2-pt layup from 3 ft,,1,35,29,6,617.0
1:31.0,Personal foul by J. Tate (drawn by C. Silva),35-29, ,,1,35,29,6,629.0
1:31.0,K. Lowry enters the game for J. Butler,35-29, ,,1,35,29,6,629.0
1:23.0,Personal foul by A. Sengun (drawn by T. Herro),35-29, ,,1,35,29,6,637.0
1:23.0,T. Herro misses free throw 1 of 2,35-29, ,,1,35,29,6,637.0
1:23.0,Offensive rebound by Team,35-29, ,,1,35,29,6,637.0
1:23.0,T. Herro makes free throw 2 of 2,36-29, ,,1,36,29,7,637.0
1:08.0, ,36-29,Shooting foul by C. Silva (drawn by A. Sengun),,1,36,29,7,652.0
1:08.0, ,36-29,A. Sengun misses free throw 1 of 2,,1,36,29,7,652.0
1:08.0, ,36-29,Offensive rebound by Team,,1,36,29,7,652.0
1:08.0, ,36-30,A. Sengun makes free throw 2 of 2,,1,36,30,6,652.0
0:56.0,Shooting foul by D. Nix (drawn by T. Herro),36-30, ,,1,36,30,6,664.0
0:56.0,T. Herro makes free throw 1 of 2,37-30, ,,1,37,30,7,664.0
0:56.0,T. Herro makes free throw 2 of 2,38-30, ,,1,38,30,8,664.0
0:35.0, ,38-30,Turnover by A. Sengun (lost ball; steal by K. Guy),,1,38,30,8,685.0
0:26.0,T. Herro makes 3-pt jump shot from 25 ft (assist by K. Guy),41-30, ,,1,41,30,11,694.0
0:03.0, ,41-30,J. Christopher misses 3-pt jump shot from 26 ft,,1,41,30,11,717.0
0:01.0,Defensive rebound by C. Silva,41-30, ,,1,41,30,11,719.0
0:00.0,End of 1st quarter,41-30,,,1,41,30,11,720.0
12:00.0,Start of 2nd quarter,41-30,,,2,41,30,11,720.0
11:49.0,K. Lowry misses 3-pt jump shot from 27 ft,41-30, ,,2,41,30,11,731.0
11:45.0, ,41-30,Defensive rebound by A. Sengun,,2,41,30,11,735.0
11:36.0, ,41-33,K. Porter makes 3-pt jump shot from 25 ft (assist by A. Sengun),,2,41,33,8,744.0
11:29.0,C. Silva misses 2-pt layup from 3 ft (block by A. Sengun),41-33, ,,2,41,33,8,751.0
11:29.0,Offensive rebound by K. Guy,41-33, ,,2,41,33,8,751.0
11:29.0,Shooting foul by K. Porter (drawn by K. Guy),41-33, ,,2,41,33,8,751.0
11:29.0,K. Guy misses free throw 1 of 2,41-33, ,,2,41,33,8,751.0
